Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKL,%_From_52WKH
5,SNDK,1554.99,1553.4,8367134.0,Technology,Computer Hardware,98.0,92.0,8.0,98.0,109.96,95.8293,14003026.0,11208730.0,2354.39,55.55,,227680092160,NO,1503.4,1562.15,996.6,1515.65,1273.09,391,0.0,8538517.0,NO,NO,2025-11-26,43000900.0,2699.26,-33.95
18,MRNX,88.26,90.85,332816.0,ETF,ETF,98.0,98.0,98.0,98.0,25.695,18.3879,208466.0,830110.0,143.84,14.95,,0,NO,66.77,47.6,,48.59,33.73,147,0.0,335269.0,NO,NO,2026-08-19,2943500.0,490.37,-38.64
17,RFAI,42.04,43.0,11611.0,Financial Services,Shell Companies,98.0,98.0,98.0,98.0,12.6976,10.979,79630.0,420480.0,73.0,8.94,,350771904,NO,29.62,18.48,12.77,22.95,14.94,544,0.0,11627.0,NO,NO,2026-08-21,3150800.0,370.25,-42.41
102,BE,235.11,217.28,14574146.0,Industrials,Electrical Equipment & Parts,97.0,59.0,5.0,93.0,15.6849,14.6484,14627134.0,11409160.0,351.28,52.0,,69246328832,NO,216.86,227.6,190.52,221.82,216.51,2039,0.79,15540921.0,YES,NO,2024-11-15,64722200.0,352.13,-33.07
123,NBIS,210.63,204.09,10438840.0,Communication Services,Internet Content & Information,97.0,17.0,5.0,97.0,15.4669,13.2425,21033755.0,15110720.0,299.86,63.26,,53478576128,NO,221.63,213.68,154.09,209.58,178.21,469,0.0,10586708.0,YES,NO,2025-09-09,88378300.0,232.96,-29.76
878,ROBN,40.78,30.75,2255062.0,ETF,ETF,87.0,98.0,97.0,96.0,3.9877,3.4816,913922.0,925510.0,123.06,14.49,,0,NO,28.58,29.77,34.18,30.29,24.92,400,12.39,2262825.0,NO,NO,2025-04-04,6933000.0,181.44,-66.86
377,GRAL,80.62,80.56,312172.0,Healthcare,Diagnostics & Research,93.0,87.0,89.0,94.0,5.2022,5.0715,647620.0,626360.0,118.84,31.89,,3600991744,NO,75.94,72.2,73.21,72.76,62.92,559,0.0,320235.0,NO,NO,2026-02-20,15444900.0,152.81,-32.16
285,NKTR,76.37,72.74,672320.0,Healthcare,Biotechnology,95.0,80.0,93.0,44.0,3.2229,3.1536,862538.0,464610.0,109.0,31.85,,2607500288,NO,74.22,71.42,64.84,72.35,72.17,8140,0.92,691138.0,NO,NO,2025-06-24,37172700.0,139.78,-29.94
276,ELF,107.43,107.36,1144882.0,Consumer Defensive,Household & Personal Products,95.0,95.0,98.0,87.0,4.4579,4.3119,2865606.0,1617720.0,150.99,48.82,,6338934272,NO,100.47,86.83,75.85,89.05,74.53,2501,0.0,1392367.0,NO,NO,2025-02-07,23546500.0,120.05,-28.85
1991,MSFU,39.59,37.61,3028806.0,ETF,ETF,71.0,87.0,94.0,90.0,1.5597,1.4386,6616574.0,2724690.0,58.89,19.47,,0,NO,37.53,30.58,31.6,31.94,28.46,1002,1.94,3029300.0,NO,NO,2026-07-30,23941600.0,103.34,-32.77
1432,DUOL,158.82,157.85,1422332.0,Technology,Software - Application,79.0,93.0,96.0,94.0,7.3214,6.6168,1307076.0,992400.0,353.0,87.89,,7430595584,NO,143.57,134.48,131.48,135.71,116.53,1282,0.0,1440430.0,NO,NO,2026-02-27,20124200.0,80.7,-55.01
