Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKL,%_From_52WKH
46,CUE,31.71,28.27,692844.0,Healthcare,Biotechnology,98.0,98.0,89.0,98.0,4.5442,4.4285,241739.0,629270.0,45.5,4.98,,230354560,NO,29.81,29.25,19.59,29.71,24.06,2192,6.12,693524,NO,NO,2026-05-01,18924600.0,536.75,-30.31
124,TSEM,230.5,233.82,1471446.0,Electronic technology,Semiconductors,96.0,87.0,5.0,89.0,11.8157,9.8836,1871865.0,2369120.0,319.94,66.3,,26053701632,NO,212.64,226.6,192.24,228.96,221.38,8029,0.0,1471446,NO,NO,2022-02-15,19691500.0,247.66,-27.96
214,SOLT,71.17,76.03,662492.0,ETF,ETF,94.0,98.0,98.0,89.0,5.8414,4.1804,486852.0,579500.0,589.22,23.28,,0,NO,60.85,45.64,63.79,49.18,44.87,380,0.0,667886,NO,NO,2026-02-06,1912135.0,205.71,-87.92
228,ETHU,30.33,32.1,6802189.0,ETF,ETF,94.0,95.0,98.0,88.0,2.3467,1.7978,6596582.0,9002370.0,169.45,10.72,,0,NO,27.16,21.33,28.13,22.8,20.99,578,0.0,6802189,NO,NO,2026-06-05,26454600.0,182.93,-82.1
284,PLTU,59.3,54.31,1132464.0,ETF,ETF,93.0,93.0,98.0,50.0,4.3283,4.0626,2232115.0,649660.0,128.03,21.04,,0,NO,51.28,44.23,47.72,47.16,41.38,445,3.24,1132464,NO,NO,2025-05-06,13459300.0,181.84,-53.68
285,LRCX,307.28,310.96,9075754.0,Technology,Semiconductor Equipment & Materials,93.0,61.0,5.0,86.0,15.2093,12.1807,10587977.0,10728790.0,438.5,125.02,,384505905152,NO,296.88,305.26,269.43,305.91,294.67,10679,0.0,9123960,YES,NO,2012-06-04,298766000.0,145.78,-29.92
407,ELF,100.78,97.79,1032581.0,Consumer Defensive,Household & Personal Products,90.0,62.0,96.0,91.0,4.4692,4.1339,2344317.0,1528440.0,147.75,48.82,,5946825728,NO,101.65,92.8,77.34,96.0,75.49,2513,0.0,1041364,NO,NO,2025-02-07,23546500.0,106.43,-31.79
428,PI,177.2,184.045,590290.0,Electronic technology,Semiconductors,90.0,91.0,95.0,95.0,8.4074,7.8277,413982.0,430060.0,247.06,87.36,,5414241792,NO,173.06,162.35,142.98,167.83,139.26,2557,0.0,590290,NO,NO,2018-02-02,11711900.0,102.84,-28.28
455,ZS,214.45,207.13,2551874.0,Technology,Software - Infrastructure,89.0,96.0,97.0,91.0,10.2848,9.2276,2813760.0,3646550.0,336.99,114.62,,34967080960,NO,182.35,170.42,167.99,175.79,153.87,2141,2.84,2551874,NO,NO,2026-05-27,31831500.0,87.1,-36.36
733,NOW,140.78,137.0,10706569.0,Technology,Software - Application,84.0,93.0,96.0,89.0,6.2057,5.2207,19768939.0,12988060.0,194.73,81.24,,145547100160,NO,138.29,124.49,116.97,128.21,111.03,3578,0.16,10770338,YES,NO,2019-11-20,189014500.0,73.29,-27.71
722,SPSC,81.29,81.65,311164.0,Technology,Software - Application,84.0,74.0,96.0,91.0,3.5436,3.3793,592387.0,661200.0,114.87,49.04,,2926454272,NO,81.72,75.46,68.77,78.0,64.06,4130,0.0,311164,NO,NO,2016-09-22,4884400.0,65.76,-29.23
