Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKL,%_From_52WKH
1,AXTI,95.97,81.64,15238161.0,Technology,Semiconductor Equipment & Materials,98.0,98.0,2.0,98.0,12.0812,10.7198,10289529.0,13992900.0,143.16,2.06,,6293061120,NO,64.6,68.99,50.7,68.83,68.7,7103,5.21,15238161,YES,NO,2024-02-23,103105600,4558.74,-32.96
2,DFNS,30.99,33.78,295147.0,Industrials,Aerospace & Defense,98.0,98.0,98.0,98.0,19.1217,13.3049,3277820.0,2445620.0,1948.75,3.7,,31315240,NO,33.4,13.55,5.36,13.54,5.2,1525,0.0,295147,NO,NO,2026-06-12,369341100,737.57,-98.41
16,AAOI,154.89,150.28,12727609.0,Technology,Communication Equipment,98.0,97.0,3.0,98.0,16.9017,14.971,12105664.0,15534070.0,233.67,18.5,,13098929152,NO,117.98,132.98,95.58,127.61,123.58,3241,1.58,12727609,YES,NO,2022-09-16,77414200,737.24,-33.71
24,MXL,84.76,84.84,2829488.0,Technology,Semiconductors,98.0,91.0,8.0,98.0,6.7293,5.9407,4009022.0,2319220.0,128.3,12.77,,7687155200,NO,73.05,82.53,44.04,82.46,57.81,4125,0.0,2829488,NO,NO,2026-04-24,29044000,563.74,-33.94
166,NBIL,37.09,39.64,4303064.0,ETF,ETF,96.0,98.0,7.0,98.0,6.0896,5.2688,2878024.0,5407250.0,68.49,6.37,,0,NO,25.9,34.58,21.48,33.45,25.22,216,0.0,4303064,NO,NO,2026-08-12,11337100,482.26,-45.85
142,NEBX,38.07,40.7,2203483.0,ETF,ETF,97.0,98.0,7.0,98.0,6.2634,5.4112,2653191.0,4252000.0,70.77,6.62,,0,NO,26.65,35.62,22.24,34.41,26.05,236,0.0,2203483,NO,NO,2025-11-11,10629300,475.08,-46.21
104,DOCN,135.28,129.92,1801484.0,Technology,Software - Infrastructure,97.0,88.0,6.0,96.0,11.5569,10.4362,3415367.0,2995500.0,187.5,29.62,,15906161664,NO,125.97,139.86,92.29,132.25,111.28,1356,0.0,1801484,NO,NO,2026-04-08,16602000,356.72,-27.85
82,PENG,63.08,63.8,2305993.0,Technology,Information Technology Services,97.0,61.0,93.0,98.0,4.7176,4.2397,3536558.0,1598460.0,89.86,16.04,,3232389632,NO,55.89,62.42,34.53,62.15,41.52,2320,0.0,2305993,NO,NO,2019-01-09,15604200,293.27,-29.8
95,MRVL,234.33,222.02,20909958.0,Technology,Semiconductors,97.0,94.0,92.0,98.0,16.2214,13.4121,41081091.0,20349660.0,329.88,61.44,,210321588224,NO,204.48,236.46,142.18,230.4,168.64,6570,2.6,20909958,YES,NO,2026-06-18,250989400,281.4,-28.97
605,NKTR,72.67,73.02,672528.0,Healthcare,Biotechnology,91.0,74.0,43.0,38.0,2.7489,2.7025,961112.0,602530.0,109.0,25.34,,2481171200,NO,72.37,67.94,63.81,69.79,69.64,8127,0.0,676076,NO,NO,2025-06-24,37172700,186.78,-33.33
1554,WGS,77.39,78.08,431909.0,Healthcare,Diagnostics & Research,78.0,94.0,98.0,6.0,5.9219,5.6439,992287.0,1013870.0,170.87,32.21,,2307966464,NO,68.89,65.04,88.62,68.22,67.54,1450,0.0,431909,NO,NO,2026-05-05,11259700,140.27,-54.71
1357,KOLD,31.5,30.53,1638096.0,ETF,ETF,81.0,90.0,91.0,93.0,1.4239,0.9464,3016164.0,2090650.0,49.47,13.44,,0,NO,29.49,26.24,26.18,27.1,23.9,3736,0.0,1638096,NO,NO,2022-11-23,97627200,134.38,-36.33
1837,GRAL,69.95,67.87,776089.0,Healthcare,Diagnostics & Research,74.0,14.0,80.0,2.0,5.316,4.9874,704648.0,843690.0,118.84,29.95,,3124402688,NO,69.23,67.34,73.64,68.71,63.84,545,0.0,776089,NO,NO,2026-02-20,15444900,133.56,-41.14
1100,CVLT,144.32,147.09,352692.0,Technology,Software - Application,84.0,12.0,94.0,94.0,6.0721,5.6529,763890.0,581300.0,198.18,71.75,,5981279744,NO,135.81,136.95,113.19,140.52,110.0,5005,0.0,355281,NO,NO,2006-09-22,8587700,101.14,-27.18
1519,PI,171.71,172.65,365032.0,Technology,Semiconductors,79.0,94.0,88.0,90.0,9.7941,9.4727,442437.0,520450.0,247.06,87.36,,5246498304,NO,156.54,143.86,142.49,149.19,131.07,2532,0.0,365032,NO,NO,2018-02-02,11711900,96.55,-30.5
1910,CLS,340.4,335.05,1795307.0,Technology,Electronic Components,73.0,87.0,11.0,81.0,26.8293,22.2507,2464606.0,3328050.0,474.03,173.23,,42928226304,NO,334.59,348.11,330.16,333.75,332.08,7076,0.76,1795307,NO,NO,2025-01-27,17004700,96.5,-28.19
975,ELF,93.66,91.44,1404793.0,Consumer Defensive,Household & Personal Products,86.0,94.0,97.0,72.0,4.7825,4.5568,3530527.0,3197750.0,150.99,48.82,,5526689280,NO,86.71,75.54,75.41,80.23,72.77,2488,0.0,1404793,NO,NO,2025-02-07,23546500,91.85,-37.97
