Metric,07/08/2026,07/09/2026,07/10/2026,07/13/2026,07/14/2026,07/15/2026,07/16/2026,07/17/2026,07/20/2026,07/21/2026,07/22/2026,07/23/2026,07/24/2026,07/27/2026,07/28/2026,07/29/2026,07/30/2026,07/31/2026,08/03/2026,08/04/2026,08/05/2026,08/06/2026,08/07/2026,08/10/2026,08/11/2026,08/12/2026,08/13/2026,08/14/2026,08/17/2026,08/18/2026,08/19/2026,08/20/2026,08/21/2026,08/24/2026,08/25/2026,08/26/2026,08/27/2026,08/28/2026
Below 50SMA %,36.37,34.76,32.86,34.02,34.55,34.16,30.57,33.11,36.14,34.35,34.12,39.15,36.69,33.93,32.01,37.7,37.11,38.39,34.14,29.88,30.97,33.71,31.69,33.9,33.96,33.03,30.94,29.42,33.3,37.03,37.42,42.12,40.16,41.43,41.02,41.31,43.05,45.92
Above 200SMA,1910.0,1961.0,1931.0,1949.0,1870.0,1519.0,1784.0,1943.0,1860.0,1847.0,1683.0,1864.0,1896.0,1962.0,1981.0,1903.0,1943.0,1918.0,1990.0,2060.0,2024.0,2009.0,2056.0,2037.0,2045.0,2036.0,2077.0,2070.0,2021.0,1992.0,2059.0,2001.0,2009.0,2014.0,2039.0,2023.0,2007.0,1941.0
Below 200SMA,905.0,867.0,846.0,868.0,844.0,698.0,692.0,840.0,867.0,829.0,741.0,916.0,879.0,826.0,799.0,857.0,835.0,854.0,802.0,749.0,775.0,788.0,755.0,766.0,764.0,773.0,750.0,755.0,784.0,810.0,755.0,805.0,805.0,801.0,795.0,800.0,816.0,841.0
Above 200SMA %,65.41,66.84,67.0,66.7,66.27,66.01,69.47,67.16,65.7,66.44,66.92,64.63,65.88,67.8,68.55,66.38,67.4,66.57,68.55,70.43,69.41,68.97,70.22,69.76,69.87,69.54,70.45,70.24,69.02,68.06,70.18,68.41,68.54,68.67,69.24,68.95,68.36,67.12
Below 200SMA %,30.99,29.55,29.35,29.71,29.91,30.33,26.95,29.04,30.63,29.82,29.46,31.76,30.54,28.54,27.65,29.89,28.96,29.64,27.63,25.61,26.58,27.05,25.79,26.23,26.1,26.4,25.44,25.62,26.78,27.67,25.73,27.52,27.47,27.31,26.99,27.27,27.79,29.08
52WKH,2.0,7.0,2.0,1.0,3.0,2.0,12.0,3.0,2.0,2.0,3.0,0.0,0.0,5.0,5.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,9.0,3.0,6.0,6.0,7.0,3.0,0.0,5.0,3.0,2.0,3.0,4.0,9.0,1.0,2.0,6.0
52WKL,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
Net 52WH/L,1.0,7.0,2.0,1.0,2.0,2.0,12.0,2.0,1.0,1.0,3.0,0.0,0.0,5.0,4.0,2.0,4.0,1.0,4.0,2.0,0.0,0.0,8.0,3.0,4.0,6.0,7.0,2.0,-3.0,3.0,3.0,2.0,0.0,3.0,9.0,1.0,2.0,6.0
0-25% 52WKH,2120.0,2166.0,2126.0,2129.0,2063.0,1675.0,1890.0,2110.0,2041.0,2021.0,1845.0,2084.0,2069.0,2099.0,2110.0,2058.0,2090.0,2086.0,2125.0,2195.0,2178.0,2177.0,2209.0,2202.0,2212.0,2215.0,2254.0,2259.0,2233.0,2184.0,2227.0,2178.0,2214.0,2197.0,2211.0,2207.0,2212.0,2147.0
0-25% 52WKH %,72.6,73.82,73.77,72.86,73.1,72.79,73.6,72.93,72.09,72.7,73.36,72.26,71.89,72.53,73.01,71.78,72.49,72.41,73.2,75.04,74.69,74.73,75.44,75.41,75.57,75.65,76.46,76.65,76.26,74.62,75.9,74.46,75.54,74.91,75.08,75.22,75.34,74.24
0-25% 52WKL,1006.0,998.0,958.0,975.0,948.0,768.0,775.0,918.0,938.0,909.0,831.0,1016.0,965.0,919.0,855.0,889.0,916.0,916.0,868.0,809.0,821.0,851.0,812.0,829.0,827.0,841.0,815.0,824.0,864.0,884.0,847.0,899.0,867.0,878.0,887.0,881.0,899.0,905.0
0-25% 52WKL %,34.45,34.01,33.24,33.37,33.59,33.38,30.18,31.73,33.13,32.7,33.04,35.23,33.53,31.76,29.58,31.01,31.77,31.79,29.9,27.66,28.16,29.21,27.73,28.39,28.25,28.72,27.65,27.96,29.51,30.2,28.87,30.74,29.58,29.94,30.12,30.03,30.62,31.29
