Rank,Industry,Sector,Relative Strength,1 Month Ago,3 Months Ago,6 Months Ago,Ticker
11,Capital Markets,Financial Services,72,68,53,74,"CRCL,BMNR,BTM,HOOD,BTCS,IREN,FUTU,TIGR,IBKR,CIFR,RIOT,COHN,SNEX,PJT,GS,LPLA,GLXY,SCHW,EVR,OPY,VIRT,HUT,ETOR,MRX,LAZ,MS,HLI,SF,FRGE,WULF,PIPR,NMR,MC,TW,PWP,GRAN,BGC,CLSK,XP,JEF,MARA,SOS,MKTX,NCTY,SRL,AMRK,CNCK"
12,Pollution & Treatment Controls,Industrials,72,66,32,73,"ADUR,PCT,CECO,FSS,ARQ,ZWS,VLTO,ERII"
13,Computer Hardware,Technology,72,73,40,61,"RGTI,UMAC,RCAT,IONQ,OSS,STX,WDC,SMCI,ANET,CRSR,SSYS,DELL,SNDK,LOGI,PSTG,ALOT,CRCT,NTAP,QMCO,HPQ"
14,Aluminum,Basic Materials,71,50,20,36,"CENX,KALU,CSTM,AA"
15,Travel Services,Consumer Cyclical,71,53,47,80,"RCL,CUK,CCL,VIK,TNL,BKNG,LIND,EXPE,TRIP,NCLH,TCOM,ABNB,MMYT,GBTG,PRSU"
16,Agricultural Inputs,Basic Materials,71,75,62,58,"MOS,IPI,ICL,CTVA,CF,NTR,UAN,SMG,FMC"
17,Entertainment,Communication Services,71,74,64,64,"CNVS,AENT,WBD,LLYVK,LLYVA,STRZ,NFLX,ROKU,DIS,LYV,IMAX,FOXA,PLAY,FOX,TKO,SPHR,FWONK,FWONA,PARA,MANU,BATRK,RDIB,BATRA,NWS,MCS,NWSA,CNK,PARAA,WMG,RSVR,MSGS,SIRI,BREA,AMCX"
18,Utilities - Renewable,Utilities,70,59,59,31,"WAVE,ENLT,CEG,BEPC,ELLO,FLNC,ORA,STEM,RNW,CWEN,BEP,EBR,XIFR,HTOO"
19,Solar,Technology,69,50,21,13,"VVPR,SEDG,NXT,FTCI,SHLS,JKS,FSLR,CSIQ,ARRY,RUN,ENPH"
20,Communication Equipment,Technology,69,69,58,76,"ASTS,COMM,AAOI,TSAT,OCC,UI,FEIM,LITE,BOSC,BKTI,CIEN,GILT,VSAT,EXTR,CLFD,ADTN,CSCO,BDC,NTGR,DGII,AVNW,HPE,ZBRA,SILC,VIAV,AUDC,MSI,ERIC,AIRG,HLIT,INSG,CLRO"
21,Confectioners,Consumer Defensive,69,43,68,20,"TR,HSY,MDLZ"
22,Financial Conglomerates,Financial Services,67,24,35,24,"FRHC,RILYL,RILYP,RILY,IX,VOYA,HTH,TREE"
23,Airlines,Industrials,66,52,32,79,"SRFM,LTM,RYAAY,UAL,SKYW,CPA,LUV,DAL,ALK,SNCY,AAL,ALGT,VLRS"
24,Airports & Air Services,Industrials,66,73,84,62,"JOBY,OMAB,PAC,CAAP,ASR,ASLE"
25,Electrical Equipment & Parts,Industrials,66,64,42,63,"TGEN,AMPX,LTBR,BE,RFIL,EOSE,NEOV,ESP,ENVX,VRT,ULBI,AEIS,POWL,NVT,HUBB,AYI,HAYW,KE,PLPC,ENS,ATKR,ENVXW,IPWR,FCEL,ADSE,ENR"
26,Gambling,Consumer Cyclical,66,58,47,52,"SBET,SGHC,FLUT,RSI,DKNG,CDRO,ACEL,INSE,LNW,CHDN,GAMB,BRSL"
27,Internet Retail,Consumer Cyclical,65,57,53,63,"NEGG,TDUP,OCG,W,BYON,DASH,SE,CPNG,EBAY,ETSY,BABA,CART,MELI,AMZN,VIPS,CHWY,PDD,JD,RVLV,WBUY,LQDT,GLBE,JFBR,QVCGP"
28,Auto Parts,Consumer Cyclical,64,54,35,40,"HSAI,QS,STRT,MPAA,CPS,AAP,GTX,SRI,ADNT,VC,DAN,ALV,ORLY,SMP,PLOW,AZO,BWA,PHIN,APTV,GPC,MGA,FOXF,ATMU,DORM,GT,GNTX,XPEL,LEA,MOD,THRM,MBLY,ALSN,MLR,LKQ,MNRO"
29,Luxury Goods,Consumer Cyclical,62,56,51,63,"SORA,TPR,REAL,SIG,LUXE,ELA,MOV,CPRI"
30,Farm & Heavy Construction Machinery,Industrials,62,60,35,42,"AGFY,REVG,MTW,OSK,ALG,CAT,TWI,DE,AGCO,CNH,ASTE,BLBD,TEX,VAPE,LNN,PCAR,GENC,AEBI,HY,WNC,CMCO"
31,Industrial Distribution,Industrials,61,55,39,47,"DXPE,EVI,CNM,REZI,FAST,WCC,TITN,FERG,AIT,MSM,DNOW,GIC,WSO,SITE,GWW,POOL,DSGR,BXC"
32,Resorts & Casinos,Consumer Cyclical,61,45,22,36,"MLCO,MCRI,HGV,WYNN,BYD,LVS,VAC,RRR,MGM,PENN,MTN,GDEN,CZR,BALY"
33,Auto Manufacturers,Consumer Cyclical,61,55,53,39,"FLYE,CYD,XPEV,ZK,LI,TSLA,RACE,RIVN,HMC,GM,F,TM,VLCN,STLA,AYRO"
34,Scientific & Technical Instruments,Technology,61,61,52,66,"MIND,ESE,TRMB,ACFN,ITRN,COHR,ITRI,GRMN,TDY,ST,LGL,VPG,VNT,KEYS,MKSI,CGNX,FTV,BMI,NOVT,ASTC,MLAB"
35,Electronic Components,Technology,61,64,47,65,"NEON,OUST,CLS,TTMI,ALNT,JBL,BELFB,APH,KULR,FLEX,TEL,FN,LINK,BELFA,OSIS,SANM,GLW,DAKT,KN,LYTS,LFUS,ELTK,RELL,VICR,PLXS,OLED,BHE,CTS,MPTI,ROG,MEI,GAUZ,HOLO"
36,Education & Training Services,Consumer Defensive,60,61,61,58,"QSG,LGCY,COE,STG,LINC,DAO,APEI,COUR,FEDU,UTI,LRN,LAUR,ATGE,PRDO,LOPE,GHC,MH,UDMY,TAL,STRA,EDU,AFYA,SKIL,FC,KLC"
