Rank,Ticker,Type,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,Latest Volume,9M+ Volume,History_Days,Gap (%),HVE,HVE Date,HVE Volume,IPO,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,SMA50,SMA200,SMA10W,SMA30W
5498,OXY,Stock,49.99,8647536,n/a,n/a,31.0,7.0,2.0,84.0,12773300.0,YES,11211,0.0,NO,2022-03-09,134669000.0,NO,1.7621,1.4607,12925320.0,10015190.0,67.45,38.8,49721790464,56.53,49.31,55.92,51.66
5521,KMB,Stock,109.37,12425439,Consumer Defensive,Household & Personal Products,31.0,87.0,59.0,62.0,12506900.0,YES,11664,0.79,NO,2025-11-03,36751500.0,NO,2.4529,2.305,4857122.0,5727030.0,137.46,92.42,36304318464,99.17,105.21,99.97,101.17
5716,NCLH,Stock,21.24,25762451,Consumer Cyclical,Travel Services,28.0,93.0,48.0,14.0,26183700.0,YES,3379,0.0,NO,2020-05-05,155971800.0,NO,1.0236,0.9257,22432638.0,20270280.0,27.18,14.53,9751499776,18.3,20.9,18.44,20.41
5755,LQD,ETF,109.5,24043871,ETF,ETF,28.0,59.0,29.0,30.0,26033500.0,YES,6016,0.0,NO,2026-03-03,78775000.0,NO,0.4986,0.4207,28784322.0,28890020.0,112.93,106.93,0,108.87,110.27,108.87,109.7
5873,TLT,ETF,87.36,19785664,ETF,ETF,26.0,71.0,29.0,33.0,21642400.0,YES,6016,0.0,NO,2025-04-09,131353500.0,NO,0.6764,0.5086,24988064.0,27366860.0,92.19,82.77,0,85.65,87.89,85.74,87.01
5910,KHC,Stock,23.7,14003161,Consumer Defensive,Packaged Foods,26.0,25.0,57.0,34.0,14928900.0,YES,2761,0.82,NO,2019-02-22,135204800.0,NO,0.6129,0.5733,14271150.0,14215080.0,29.19,21.04,28102932480,23.11,24.01,23.26,23.53
5943,SGOV,ETF,100.65,13729967,ETF,ETF,25.0,52.0,18.0,36.0,13946800.0,YES,1526,0.0,NO,2026-04-01,41267300.0,NO,0.0171,0.0114,20960017.0,19198450.0,100.74,100.27,0,100.55,100.52,100.56,100.53
6027,SPIB,ETF,33.53,10309904,ETF,ETF,24.0,55.0,23.0,30.0,10310000.0,YES,4364,0.03,NO,2022-10-31,37971400.0,NO,0.0864,0.0736,8244656.0,7520470.0,34.14,33.15,0,33.45,33.73,33.44,33.65
6114,HYG,ETF,79.83,27619441,ETF,ETF,23.0,46.0,26.0,29.0,27647500.0,YES,4834,0.0,NO,2025-04-07,193374800.0,NO,0.2357,0.2064,39455432.0,32676300.0,81.36,78.57,0,79.99,80.41,79.96,80.23
6180,GOVT,ETF,22.86,21115602,ETF,ETF,22.0,61.0,21.0,30.0,21475600.0,YES,3605,0.0,NO,2026-03-12,172976800.0,NO,0.0721,0.0571,8892383.0,8374230.0,23.39,22.47,0,22.75,23.01,22.75,22.93
6315,USHY,ETF,36.95,13329394,ETF,ETF,21.0,46.0,26.0,27.0,16199700.0,YES,2177,0.0,NO,2025-04-04,88713300.0,NO,0.1096,0.0997,13404814.0,13277820.0,37.87,36.39,0,37.01,37.29,37.0,37.16
6499,PEP,Stock,141.39,9700491,Consumer Defensive,Beverages - Non-Alcoholic,19.0,19.0,10.0,24.0,9734700.0,YES,13630,0.72,NO,1982-12-14,46162800.0,NO,2.8329,2.7229,7422845.0,9768630.0,171.48,130.59,193271775232,148.78,150.13,148.1,152.02
6654,RIVN,Stock,15.63,41558233,Consumer Cyclical,Auto Manufacturers,17.0,82.0,35.0,5.0,42564700.0,YES,1160,0.0,NO,2024-06-26,261980400.0,NO,1.016,0.9917,29060393.0,28736970.0,22.69,11.57,20989001728,15.57,15.72,15.53,16.41
6650,MIAX,Stock,37.92,1862446,Financial Services,Capital Markets,17.0,1.0,16.0,7.0,10560200.0,YES,218,0.0,NO,2025-08-14,18517100.0,NO,2.2624,2.251,1782564.0,3866390.0,57.14,28.63,3670225152,45.61,43.27,45.79,43.34
6715,TEM,Stock,56.14,8951704,Healthcare,Health Information Services,16.0,94.0,83.0,10.0,9660700.0,YES,509,0.0,NO,2025-05-28,50365400.0,NO,3.6154,3.4832,6454096.0,7176770.0,104.32,41.73,10080765952,50.34,63.58,49.88,55.13
6864,TSLA,Stock,379.71,48464179,Consumer Cyclical,Auto Manufacturers,14.0,5.0,32.0,6.0,53358900.0,YES,4023,0.0,NO,2020-02-04,914082000.0,NO,17.74,16.5564,56656059.0,47024950.0,498.83,288.77,1426085904384,404.76,417.96,405.71,413.28
6841,OMC,Stock,73.09,9798894,n/a,n/a,14.0,28.0,13.0,15.0,10033000.0,YES,11664,0.0,NO,2002-06-12,62517600.0,NO,2.3321,2.2793,4505638.0,6403720.0,87.17,66.33,20831102976,75.23,76.48,74.46,76.76
6936,ORLY,Stock,89.55,20190840,n/a,n/a,13.0,60.0,13.0,20.0,20969100.0,YES,8351,1.48,NO,2009-03-26,417903000.0,NO,2.2679,2.0493,6523233.0,9440610.0,108.72,84.76,74211434496,90.89,95.14,90.76,92.68
6925,SCHW,Stock,90.67,9562326,Financial Services,Capital Markets,13.0,81.0,11.0,12.0,17566600.0,YES,9764,0.18,NO,2023-03-13,148476900.0,NO,2.2857,2.1921,11789864.0,13947540.0,107.5,83.96,157687414784,90.29,94.66,89.93,94.88
6921,CVNA,Stock,62.35,36033411,Consumer Cyclical,Auto & Truck Dealerships,13.0,14.0,53.0,5.0,9982100.0,YES,2302,0.0,NO,2023-06-08,878905000.0,NO,4.2336,3.8737,12460587.0,13964580.0,97.38,54.46,68387704832,71.87,73.38,70.81,74.14
6984,XLC,ETF,106.18,9234039,ETF,ETF,13.0,10.0,13.0,13.0,9352100.0,YES,2016,0.08,NO,2025-04-09,23909100.0,NO,1.8668,1.7275,5736382.0,8232540.0,120.41,105.03,0,114.26,115.24,113.54,115.06
7002,SPCX,Stock,153.23,126431973,Industrials,Aerospace & Defense,12.0,,,,126788200.0,YES,10,0.0,NO,2026-06-12,519234800.0,YES,,,203484330.0,203484330.0,225.64,147.11,2018680635392,,,,
7072,UBER,Stock,76.2,64368277,Technology,Software - Application,12.0,84.0,51.0,16.0,64562500.0,YES,1792,0.62,NO,2023-12-15,364261200.0,NO,2.5975,2.4657,18919119.0,26197800.0,101.99,67.19,155112636416,73.48,81.56,72.99,76.25
7027,PFE,Stock,24.29,36033387,Healthcare,Drug Manufacturers - General,12.0,12.0,6.0,21.0,59907800.0,YES,13630,0.3,NO,2025-03-21,349996500.0,NO,0.5929,0.5557,38950245.0,57448480.0,28.75,23.11,138439507968,25.97,25.87,25.82,26.28
7026,RKT,Stock,15.0,34399132,Financial Services,Mortgage Finance,12.0,79.0,50.0,6.0,40178900.0,YES,1479,0.0,NO,2021-03-02,376559100.0,NO,1.0281,0.9017,27301803.0,41913000.0,24.36,12.17,42441445376,14.25,17.11,14.27,16.7
7030,CRWV,Stock,96.58,39666039,Technology,Software - Infrastructure,12.0,12.0,69.0,73.0,21772100.0,YES,312,0.0,NO,2026-04-10,83416500.0,NO,8.7826,8.0648,31165301.0,34001580.0,173.35,63.8,52691185664,111.28,100.68,108.33,94.09
7128,VICI,Stock,27.21,8859648,Real Estate,REIT - Diversified,11.0,17.0,19.0,22.0,13970700.0,YES,2132,0.49,NO,2022-06-07,198882200.0,NO,0.6062,0.5447,8637109.0,12915290.0,34.01,26.07,29299187712,28.08,29.09,28.03,28.29
7166,SOFI,Stock,17.88,88180942,Financial Services,Credit Services,10.0,88.0,64.0,3.0,90515600.0,YES,1376,0.0,NO,2024-01-29,286380900.0,NO,0.9694,0.9387,70644750.0,90070370.0,32.73,14.92,22935412736,16.95,22.49,16.85,20.17
7211,IGV,ETF,88.2,18572167,ETF,ETF,10.0,16.0,59.0,7.0,19806700.0,YES,6273,0.46,NO,2026-02-24,50584600.0,NO,2.7371,2.6243,22371114.0,17757000.0,117.99,73.93,0,90.77,97.42,91.43,91.37
7170,PGY,Stock,15.87,12091159,Technology,Software - Infrastructure,10.0,93.0,89.0,4.0,12099300.0,YES,1302,1.29,NO,2026-02-09,23974100.0,NO,1.1404,1.1271,3831003.0,4127460.0,44.99,10.4,1315160192,14.43,20.05,14.59,16.22
7204,DIS,Stock,98.79,7026570,Communication Services,Entertainment,10.0,15.0,37.0,10.0,12054400.0,YES,16228,0.0,NO,1984-10-04,205867207.0,NO,2.3214,2.2821,9314700.0,13338410.0,124.69,92.19,171549966336,102.8,106.79,102.29,104.93
7187,MDLN,Stock,38.87,10818692,Healthcare,Medical Instruments & Supplies,10.0,86.0,8.0,12.0,11276900.0,YES,131,0.0,NO,2025-12-17,78930900.0,NO,1.6293,1.6014,9468617.0,10117940.0,50.88,32.81,69257404416,39.31,,38.38,
7175,MA,Stock,499.02,3820185,Financial Services,Credit Services,10.0,62.0,17.0,10.0,9200900.0,YES,5053,0.0,NO,2006-05-25,395343000.0,NO,10.7393,10.6043,3782100.0,4590510.0,601.77,464.52,440926011392,497.11,532.37,495.17,519.59
7256,ASTS,Stock,71.45,20870742,Technology,Communication Equipment,9.0,0.0,1.0,5.0,22388500.0,YES,1669,0.0,NO,2024-05-29,109899300.0,NO,9.0511,8.5549,22191170.0,27686680.0,133.86,36.08,27731499008,86.54,81.0,84.76,87.63
7295,BKNG,Stock,181.46,12736633,Consumer Cyclical,Travel Services,9.0,84.0,44.0,7.0,10844600.0,YES,6851,0.0,NO,2003-11-05,395902500.0,NO,6.8829,6.3879,7943495.0,10265250.0,233.58,150.14,140609454080,169.2,189.74,167.8,182.32
7286,SHOP,Stock,116.86,9542320,Technology,Software - Application,9.0,87.0,27.0,4.0,9940800.0,YES,2792,0.87,NO,2017-10-04,208959000.0,NO,5.4661,5.2096,10277258.0,9714360.0,182.19,94.0,151643930624,113.42,136.77,112.94,128.51
7367,EQT,Stock,52.7,12435738,Energy,Oil & Gas E&P,8.0,18.0,2.0,19.0,12645700.0,YES,11664,0.39,NO,2018-11-12,126791393.0,NO,1.3014,1.2807,7505540.0,9207460.0,68.24,48.47,32962691072,55.64,56.58,55.17,57.23
7352,MDT,Stock,80.98,6968698,Healthcare,Medical Devices,8.0,82.0,9.0,8.0,12400900.0,YES,13401,0.0,NO,2006-04-13,133028500.0,NO,1.8057,1.6993,10216612.0,10594930.0,106.33,73.31,103658061824,79.4,91.6,79.02,89.64
7363,SH,ETF,33.76,11541566,ETF,ETF,8.0,69.0,6.0,15.0,11547400.0,YES,5035,0.0,NO,2026-03-09,34760900.0,NO,0.5293,0.4543,10952480.0,11599450.0,39.86,32.71,0,33.79,35.9,33.67,35.48
7347,NDAQ,Stock,78.56,10788764,Financial Services,Financial Data & Stock Exchanges,8.0,6.0,10.0,7.0,11178300.0,YES,6036,0.44,NO,2008-10-21,88611600.0,NO,2.7629,2.6743,3643585.0,5936810.0,101.79,77.09,44428881920,88.39,89.31,88.18,89.5
7370,IOT,Stock,31.14,5281361,Technology,Software - Infrastructure,8.0,81.0,14.0,8.0,9325100.0,YES,1136,0.45,NO,2026-03-06,33401800.0,NO,1.9285,1.8949,6223909.0,6457140.0,47.47,23.38,18145591296,31.31,33.87,31.72,32.27
7437,QXO,Stock,17.78,26393675,Industrials,Industrial Distribution,7.0,70.0,7.0,8.0,26606700.0,YES,3569,0.0,NO,2025-06-27,56303900.0,NO,1.0657,1.0014,16378243.0,19223500.0,27.61,14.75,12895929344,18.2,20.22,17.77,20.76
7463,PINS,Stock,20.82,24100194,Communication Services,Internet Content & Information,7.0,76.0,73.0,7.0,24102000.0,YES,1807,0.26,NO,2020-10-29,128101800.0,NO,1.1301,1.0884,18905911.0,20154740.0,39.93,13.84,11662475264,20.39,24.2,20.29,21.2
7466,META,Stock,550.25,18424450,Communication Services,Internet Content & Information,7.0,6.0,21.0,8.0,18845200.0,YES,3546,0.09,NO,2012-05-18,573576400.0,NO,18.3364,16.7321,17087061.0,17091320.0,796.25,520.26,1396767457280,612.9,650.02,603.79,628.41
7489,MSFT,Stock,372.97,181041665,Technology,Software - Infrastructure,6.0,9.0,31.0,6.0,186112200.0,YES,10150,1.22,NO,1986-03-13,1031788800.0,NO,12.5764,11.4221,39149130.0,58314230.0,555.45,349.2,2770583420928,410.97,447.99,410.47,421.7
7518,CMG,Stock,33.34,19269698,Consumer Cyclical,Restaurants,6.0,41.0,21.0,9.0,21770700.0,YES,5135,0.47,NO,2006-01-26,660930000.0,NO,1.1664,1.0379,18497351.0,23260850.0,58.42,28.04,42766348288,32.42,35.63,32.34,35.06
7508,FXI,ETF,31.59,20826688,ETF,ETF,6.0,8.0,7.0,8.0,21087400.0,YES,5463,0.0,NO,2024-10-08,322806900.0,NO,0.5464,0.3793,28179250.0,29066070.0,42.0,31.19,0,35.71,38.09,35.26,37.06
7535,SRPT,Stock,16.85,11715055,Healthcare,Biotechnology,6.0,64.0,2.0,6.0,19994600.0,YES,7311,0.0,NO,2025-07-18,78437700.0,NO,0.8621,0.8093,3107096.0,4690950.0,25.32,10.42,1778959360,18.31,19.69,17.94,19.39
7487,GFL,Stock,37.32,3772307,Industrials,Waste Management,6.0,83.0,10.0,10.0,18445000.0,YES,1588,0.0,YES,2026-06-26,18445000.0,NO,1.1051,1.0799,2856383.0,3853660.0,51.51,33.33,13471449088,36.88,42.2,36.59,40.77
7564,TOST,Stock,27.08,14206743,Technology,Software - Infrastructure,6.0,88.0,34.0,5.0,18262300.0,YES,1195,0.0,NO,2023-02-16,36920600.0,NO,1.13,1.1019,11230211.0,11477710.0,49.66,22.26,15706399744,25.91,31.37,25.66,28.98
7554,GIS,Stock,36.01,12896987,Consumer Defensive,Packaged Foods,6.0,83.0,18.0,6.0,13182000.0,YES,11664,0.28,NO,2025-03-21,48561100.0,NO,0.8564,0.8064,9498493.0,10403930.0,54.18,31.75,19217860608,34.16,42.55,34.2,40.23
7492,CPB,Stock,22.73,7457050,Consumer Defensive,Packaged Foods,6.0,88.0,53.0,6.0,10348300.0,YES,13449,0.4,NO,2026-06-18,62142100.0,NO,0.845,0.81,9360888.0,15031080.0,34.17,19.56,6778227712,21.01,26.29,21.19,24.27
7586,T,Stock,22.72,84785678,Communication Services,Telecom Services,5.0,10.0,2.0,15.0,85131700.0,YES,10732,0.22,NO,2021-05-18,327097378.0,NO,0.5571,0.5179,43174148.0,61333480.0,29.79,21.99,157866246144,24.52,25.9,24.26,25.67
