Rank,Ticker,Type,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,Latest Volume,9M+ Volume,History_Days,Gap (%),HVE,HVE Date,HVE Volume,IPO,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,SMA50,SMA200,SMA10W,SMA30W
17,MRNA,Stock,133.32,97325610,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,97325610,YES,1935,0.0,NO,2026-08-19,199252300,NO,14.5545,9.3849,9954896.0,24830350.0,176.66,22.28,53226135552,65.62,48.13,70.58,56.24
43,SNXX,ETF,15.14,91611708,ETF,ETF,98.0,3.0,3.0,98.0,91611708,YES,143,0.0,NO,2026-07-29,221465500,NO,2.5018,2.1273,78783208.0,115536650.0,49.34,3.14,0,21.91,,20.86,15.05
64,MRVL,Stock,251.01,28668066,Technology,Semiconductors,98.0,93.0,93.0,98.0,28668066,YES,6573,0.31,NO,2026-06-18,250989400,NO,17.3459,14.1188,41267609.0,22248730.0,329.88,61.44,225292632064,234.16,144.34,232.07,169.2
1,MUU,ETF,32.1,28224119,ETF,ETF,98.0,9.0,91.0,98.0,28224119,YES,466,0.0,NO,2026-06-09,109858000,NO,3.6329,3.0771,57694262.0,35214430.0,62.64,1.0,0,35.89,17.89,35.28,22.89
26,MU,Stock,974.33,24921901,Technology,Semiconductors,98.0,52.0,93.0,97.0,24921901,YES,10637,0.0,NO,2013-10-11,153906100,NO,58.705,49.9143,48850585.0,32639860.0,1255.0,114.25,0,963.09,567.44,963.77,686.53
58,PSNL,Stock,16.88,14188518,Healthcare,Diagnostics & Research,98.0,95.0,98.0,97.0,14188518,YES,1800,0.63,NO,2024-07-19,22803000,NO,0.7647,0.6871,3931864.0,2650650.0,17.06,4.59,1801954816,12.89,9.35,13.58,9.69
7,SNDK,Stock,1600.62,11002366,Technology,Computer Hardware,98.0,38.0,83.0,98.0,11002366,YES,381,0.01,NO,2025-11-26,43000900,NO,143.6794,123.9843,13936453.0,16134170.0,2354.39,43.56,234361192448,1655.12,932.27,1639.65,1211.05
47,BLZE,Stock,16.24,9692011,Technology,Software - Infrastructure,98.0,93.0,98.0,98.0,9692011,YES,1197,0.0,NO,2026-05-05,37172900,NO,2.1535,1.7074,3378461.0,3046660.0,23.99,3.26,1005256000,14.44,7.37,14.86,8.34
30,AAOI,Stock,129.1,9452682,Technology,Communication Equipment,98.0,92.0,3.0,98.0,9452682,YES,3244,0.0,NO,2022-09-16,77414200,NO,17.8372,16.1724,12233182.0,14968110.0,233.67,18.5,10917889024,129.91,96.96,125.03,122.72
128,INTC,Stock,92.13,85205887,Technology,Semiconductors,97.0,5.0,2.0,97.0,85205887,YES,11702,0.0,NO,1993-04-19,567708800,NO,5.9236,5.0914,119817304.0,111492910.0,142.35,22.78,487008862208,108.52,71.26,106.63,84.38
