Rank,Ticker,Type,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,Latest Volume,9M+ Volume,History_Days,Gap (%),HVE,HVE Date,HVE Volume,IPO,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,SMA50,SMA200,SMA10W,SMA30W
7,MUU,ETF,25.62,29092846.0,ETF,ETF,98.0,0.0,14.0,98.0,29092846,YES,458,0.0,NO,2026-06-09,109858000,NO,4.9484,4.2341,61614762.0,58281240.0,62.64,0.99,0,38.05,16.8,35.55,21.91
30,MU,Stock,861.0,26174340.0,Technology,Semiconductors,98.0,4.0,85.0,97.0,26187104,YES,10629,0.0,NO,2013-10-11,153906100,NO,79.1821,67.8371,52152882.0,48112270.0,1255.0,113.46,972407504896,969.7,538.31,953.43,663.69
1,AXTI,Stock,73.81,18395469.0,Technology,Semiconductor Equipment & Materials,98.0,96.0,0.0,98.0,18399293,YES,7098,0.0,NO,2024-02-23,103105600,NO,11.0679,9.58,10115320.0,15547210.0,143.16,2.05,4828884992,71.57,48.8,68.16,65.82
34,AAOI,Stock,132.81,18059261.0,Technology,Communication Equipment,98.0,88.0,9.0,98.0,18059261,YES,3236,0.0,NO,2022-09-16,77414200,NO,15.8379,13.3151,12133219.0,13537190.0,233.67,18.5,11231640576,137.5,92.89,127.28,119.02
59,SLN,Stock,15.43,16161410.0,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,16161410,YES,1487,0.0,YES,2026-08-10,16161410,NO,1.257,1.0481,440880.0,585510.0,17.58,4.19,728830080,9.41,7.01,10.26,7.45
56,FSLY,Stock,27.75,14261160.0,Technology,Software - Application,98.0,98.0,94.0,98.0,14265952,YES,1817,0.0,NO,2026-02-12,116491700,NO,2.0337,1.9141,6447164.0,6922740.0,34.82,6.7,4420575232,19.83,17.22,20.56,20.27
5,SNDK,Stock,1237.92,10437261.0,Technology,Computer Hardware,98.0,0.0,3.0,97.0,10437914,YES,373,0.0,NO,2025-11-26,43000900,NO,169.9465,147.5144,13590595.0,19682830.0,2354.39,42.82,180736327680,1680.02,877.69,1637.28,1160.05
95,INTC,Stock,97.52,99944552.0,Technology,Semiconductors,97.0,5.0,3.0,97.0,99944552,YES,11694,0.0,NO,1993-04-19,567708800,NO,7.42,6.5325,123393238.0,115042580.0,142.35,20.44,491890835456,110.18,68.88,109.38,82.65
83,SOXL,ETF,130.0,48932345.0,ETF,ETF,97.0,0.0,2.0,97.0,48932345,YES,4129,0.0,NO,2025-04-09,787748800,NO,20.4029,17.3829,65840604.0,92327790.0,302.0,23.66,0,188.92,101.28,176.06,125.25
128,MRVL,Stock,208.56,20416603.0,Technology,Semiconductors,97.0,5.0,90.0,98.0,20416603,YES,6565,0.0,NO,2026-06-18,250989400,NO,17.7979,14.8886,41699598.0,24147990.0,329.88,61.44,187191869440,240.97,138.76,233.59,163.06
101,HPE,Stock,54.68,15670822.0,Technology,Communication Equipment,97.0,90.0,98.0,98.0,15670822,YES,2717,0.0,NO,2026-06-02,153197800,NO,3.0984,2.8064,26553141.0,17606600.0,64.25,19.84,72407449600,47.91,30.33,47.84,34.18
152,UMC,Stock,18.79,9609105.0,Technology,Semiconductors,97.0,1.0,90.0,96.0,9609105,YES,6510,0.0,NO,2025-03-31,50395100,NO,1.3875,1.0268,17731625.0,18081270.0,28.96,6.56,47123603456,22.19,13.14,21.74,15.48
193,AMD,Stock,469.56,19283602.0,Technology,Semiconductors,96.0,3.0,53.0,97.0,19283602,YES,11694,0.0,NO,2018-08-27,325058400,NO,37.7507,31.7179,31047395.0,33771000.0,584.73,149.22,766544969728,513.11,319.45,509.3,365.77
221,NBIS,Stock,184.11,14681785.0,Communication Services,Internet Content & Information,96.0,3.0,56.0,97.0,14681785,YES,451,0.0,NO,2025-09-09,88378300,NO,24.7453,22.0666,20001111.0,27003080.0,299.86,62.01,46745194496,222.69,143.77,212.26,162.65
180,VREX,Stock,18.46,13178728.0,Healthcare,Medical Devices,96.0,98.0,98.0,89.0,13178728,YES,2400,48.23,NO,2017-01-30,13325800,NO,0.8396,0.4007,431112.0,306670.0,18.49,9.09,778024064,10.92,11.7,11.7,11.69
218,COHR,Stock,325.15,9280866.0,Technology,Scientific & Technical Instruments,96.0,41.0,20.0,92.0,9280866,YES,9786,0.0,NO,2026-03-20,51484800,NO,36.2886,29.7593,5737470.0,6930500.0,440.0,84.35,63612125184,341.94,261.37,334.02,302.9
407,CSCO,Stock,122.57,21112461.0,Electronic technology,Telecommunications equipment,93.0,48.0,92.0,92.0,21112461,YES,9185,0.0,NO,1990-02-16,940636800,NO,3.7614,3.4729,25377867.0,20391650.0,130.37,65.75,483101638656,117.96,91.04,117.45,98.93
420,KORU,ETF,16.41,20820326.0,ETF,ETF,93.0,0.0,0.0,9.0,20820326,YES,3354,0.0,NO,2024-12-03,107838800,NO,2.8393,2.2336,28060695.0,49551860.0,63.98,3.76,0,31.33,21.56,27.25,26.39
455,DRAM,ETF,49.6,27436207.0,ETF,ETF,92.0,1.0,13.0,,27436207,YES,89,0.0,NO,2026-07-17,136040800,NO,4.2296,3.3854,60810785.0,79375350.0,81.34,26.14,0,61.25,,59.38,
502,U,Stock,43.1,14598112.0,Technology,Software - Application,92.0,97.0,96.0,96.0,14598112,YES,1479,0.0,NO,2026-02-11,104917400,NO,2.3689,2.1568,9306595.0,14806090.0,52.15,16.78,18967832576,30.47,31.48,31.86,27.05
