Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
62,INTC,110.24,110.39,103494333,Technology,Semiconductors,98.0,89.0,97.0,98.0,10.7721,8.9564,136074075.0,114787100.0,142.35,18.97,,554066247680,NO,124.2,115.95,61.64,118.48,73.6,11671,0.0,103494333,YES,NO,1993-04-19,567708800,-22.56
63,DELL,431.97,417.28,8982812,Technology,Computer Hardware,98.0,87.0,98.0,98.0,33.1429,30.8171,8747288.0,7762400.0,469.47,110.22,,279114121216,NO,409.84,335.46,191.13,364.38,220.32,2485,1.34,8982812,NO,NO,2016-09-07,147907159,-7.99
65,MBX,61.74,62.0,1461983,Healthcare,Biotechnology,98.0,98.0,97.0,97.0,3.6247,3.609,763073.0,1121190.0,64.32,9.63,,2938671872,NO,47.14,38.14,31.14,41.74,35.82,454,0.0,1461983,NO,NO,2025-09-22,28303500,-4.01
66,DOCN,140.47,137.04,3157645,Technology,Software - Infrastructure,98.0,2.0,95.0,98.0,13.5682,12.4382,3997893.0,4815670.0,187.5,25.56,,14660036608,NO,156.93,151.78,80.1,155.67,96.82,1328,0.69,3157645,NO,NO,2026-04-08,16602000,-25.08
72,LABU,317.19,322.62,624060,ETF,ETF,98.0,98.0,97.0,97.0,22.1784,20.6705,577216.0,540220.0,325.0,58.35,,0,NO,241.25,204.05,164.45,217.55,183.74,2794,0.0,624060,NO,NO,2025-04-09,7938800,-2.4
74,AMD,517.41,516.11,22813612,Technology,Semiconductors,98.0,88.0,98.0,97.0,37.4407,30.04,36915924.0,31385660.0,584.73,137.59,,843680907264,NO,522.12,472.96,283.73,493.5,319.1,11671,0.0,22824431,YES,NO,2018-08-27,325058400,-11.51
78,MANE,118.25,116.8,300737,Healthcare,Biotechnology,97.0,96.0,97.0,,8.62,8.4729,665901.0,1031790.0,131.24,32.0,,4940329984,NO,109.21,105.22,,106.49,,106,0.0,300737,NO,NO,2026-06-26,4047300,-9.9
79,HUT,106.11,96.74,3433354,Financial Services,Capital Markets,97.0,10.0,97.0,96.0,11.7413,10.9652,4811416.0,5004910.0,140.8,18.68,,11947361280,NO,114.01,107.62,64.63,111.35,74.65,2094,0.0,3433354,NO,NO,2025-12-17,22652500,-24.64
81,AMBQ,81.93,75.48,752814,Technology,Semiconductors,97.0,87.0,98.0,97.0,7.5032,6.9007,695218.0,869950.0,91.61,22.12,,1953656704,NO,82.77,71.08,39.94,77.07,46.09,236,0.74,752814,NO,NO,2025-07-30,5479500,-10.57
89,DNTH,98.07,95.76,724847,Healthcare,Biotechnology,97.0,94.0,71.0,97.0,5.4293,5.2936,901114.0,1644500.0,98.7,18.08,,5361117184,NO,88.14,87.17,61.01,88.52,71.53,2021,0.03,737481,NO,NO,2025-09-08,5974200,-0.64
