Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,pct_below_52wh,pct_of_52wh
52,GLUE,19.55,1350142.0,Healthcare,Biotechnology,98.0,8.0,96.0,98.0,1597544.0,1095440.0,25.77,3.5,1490545920.0,No,24.13659293752425,75.86340706247576
53,SATS,111.61,3736250.0,Communication Services,Telecom Services,98.0,29.0,96.0,98.0,5676422.0,6941380.0,132.25,14.9,32129875968.0,No,15.60680529300567,84.39319470699432
54,ASTI,6.28,2868564.0,Technology,Solar,98.0,98.0,98.0,98.0,2555514.0,3024280.0,8.44,1.1,46775312.0,No,25.592417061611368,74.40758293838863
55,ZURA,6.01,443827.0,Healthcare,Biotechnology,98.0,88.0,97.0,98.0,632616.0,408620.0,6.63,0.97,390790080.0,No,9.351432880844648,90.64856711915536
56,APLD,34.95,44242491.0,Technology,Information Technology Services,98.0,92.0,59.0,97.0,31559840.0,35253930.0,42.27,3.31,9771525120.0,No,17.317246273953156,82.68275372604684
60,ARWR,64.52,23676640.0,Healthcare,Biotechnology,98.0,24.0,96.0,98.0,2727185.0,2255100.0,76.76,9.57,9033489408.0,No,15.945805106826484,84.05419489317352
61,KOD,23.04,731116.0,Healthcare,Biotechnology,98.0,8.0,90.0,97.0,855291.0,682610.0,31.18,1.92,1406555776.0,No,26.106478511866584,73.89352148813342
62,STX,429.32,3213878.0,Technology,Computer Hardware,98.0,97.0,96.0,98.0,4312009.0,7275790.0,459.41,63.19,93623132160.0,No,6.549705056485498,93.4502949435145
64,AP,6.79,226439.0,Industrials,Metal Fabrication,98.0,96.0,98.0,95.0,233350.0,242500.0,7.1,1.75,138016176.0,No,4.366197183098587,95.63380281690141
66,GLSI,29.0,298138.0,Healthcare,Biotechnology,98.0,90.0,98.0,97.0,531529.0,449310.0,34.1,7.78,401781632.0,No,14.956011730205281,85.04398826979471
67,MAZE,45.03,663169.0,Healthcare,Biotechnology,98.0,85.0,95.0,98.0,455536.0,605740.0,49.25,6.71,2166818560.0,No,8.568527918781724,91.43147208121827
68,BWET,40.24,63050.0,ETF,ETF,98.0,98.0,98.0,98.0,20649.0,35050.0,40.4,9.6,,No,0.3960396039603876,99.60396039603961
69,INTW,72.41,1106554.0,ETF,ETF,98.0,96.0,95.0,98.0,872329.0,1702920.0,90.32,13.56,,No,19.82949512843224,80.17050487156776
70,TERG,42.39,48137.0,ETF,ETF,98.0,98.0,,,15305.0,42430.0,42.78,12.19,,No,0.9116409537166914,99.08835904628332
71,GPCR,74.92,1101113.0,Healthcare,Biotechnology,98.0,87.0,98.0,98.0,1644085.0,954540.0,94.9,13.22,5292286976.0,No,21.05374077976818,78.94625922023182
72,FBRX,27.59,173881.0,Healthcare,Biotechnology,98.0,68.0,98.0,97.0,184408.0,306870.0,35.62,4.9,345618144.0,No,22.543514879281297,77.4564851207187
74,TGB,7.85,5865275.0,Basic Materials,Copper,98.0,96.0,97.0,97.0,7605050.0,11299830.0,9.25,1.67,2830995200.0,No,15.135135135135139,84.86486486486487
76,VICR,159.87,662504.0,Technology,Electronic Components,98.0,89.0,97.0,98.0,486778.0,548100.0,177.0,38.92,7181242368.0,No,9.677966101694913,90.3220338983051
77,AG,21.99,17512921.0,Basic Materials,Silver,98.0,94.0,98.0,97.0,23015954.0,36327980.0,27.9,5.09,10782929920.0,No,21.182795698924732,78.81720430107528
78,IMMX,6.74,859245.0,Healthcare,Biotechnology,98.0,97.0,98.0,97.0,1042959.0,943260.0,7.73,1.34,356917536.0,No,12.807244501940493,87.1927554980595
