Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
4482,VEFA,76.49,13.0,ETF,ETF,52.0,,,,333.0,333.0,76.85,72.0,,No
4483,RESM,21.82,200.0,ETF,ETF,52.0,76.0,71.0,,2435.0,390.0,21.82,19.69,,No
4486,AVOS,26.29,308.0,ETF,ETF,52.0,68.0,,,12432.0,4350.0,26.29,23.9,,No
4487,VPX,26.08,1905.0,ETF,ETF,52.0,64.0,,,5712.0,6700.0,26.08,23.4,,No
4503,TNUK,27.72,712.0,ETF,ETF,51.0,56.0,31.0,,2535.0,1090.0,32.79,24.54,,No
4509,BCTK,26.39,12782.0,ETF,ETF,51.0,74.0,71.0,,28890.0,27800.0,26.55,22.06,,No
4517,TMCR,14.85,497954.0,Basic Materials,Other Industrial Metals & Mining,51.0,,,,209866.0,209866.0,21.38,10.57,817657536.0,Yes
4548,TSRS,26.8,562.0,ETF,ETF,51.0,32.0,71.0,,2496.0,380.0,27.41,24.76,,No
4570,WIMA,41.4,5478.0,ETF,ETF,51.0,64.0,,,65379.0,1600.0,41.7,37.53,,No
4581,PRTO,26.76,4630.0,ETF,ETF,51.0,,,,2786.0,1670.0,26.8,24.68,,No
4584,CBC,25.18,605175.0,Financial Services,Banks - Regional,51.0,66.0,69.0,,508073.0,771540.0,25.52,22.5,6050580480.0,No
4585,ENHI,25.94,530.0,ETF,ETF,50.0,59.0,,,533.0,220.0,26.08,23.54,,No
4611,APC,18.54,114235.0,Energy,Oil & Gas Refining & Marketing,50.0,14.0,,,257439.0,130670.0,19.8,17.0,1530851968.0,No
4613,ODTE,26.49,2861.0,ETF,ETF,50.0,,,,2400.0,2400.0,26.49,24.81,,No
4637,SQS,26.69,24503.0,ETF,ETF,50.0,67.0,,,39172.0,48710.0,26.8,23.53,,No
4644,VEM,26.28,1658.0,ETF,ETF,50.0,78.0,,,9332.0,1030.0,26.8,23.06,,No
4660,BLDX,26.7,2385.0,ETF,ETF,50.0,42.0,,,5014.0,3140.0,32.25,25.06,,No
4668,PZLV,26.43,500.0,ETF,ETF,50.0,,,,98180.0,98180.0,26.46,24.99,,No
4678,MFMO,21.19,6474.0,ETF,ETF,50.0,80.0,71.0,,8913.0,17240.0,21.19,18.06,,No
4681,KDVD,26.86,223.0,ETF,ETF,49.0,54.0,63.0,,731.0,620.0,28.27,24.89,,No
4696,INDQ,26.69,120.0,ETF,ETF,49.0,,,,5566.0,5566.0,26.88,25.22,,No
4716,QEW,26.08,24089.0,ETF,ETF,49.0,,,,20630.0,13960.0,26.15,23.71,,No
4732,TALV,26.4,1951.0,ETF,ETF,49.0,53.0,62.0,,36156.0,500.0,26.61,24.57,,No
4737,TRUF,27.17,775.0,ETF,ETF,49.0,,,,1066.0,1066.0,27.31,25.58,,No
4740,FSML,26.9,218.0,ETF,ETF,49.0,82.0,63.0,,17068.0,2280.0,27.01,23.9,,No
4749,WSGE,26.44,107.0,ETF,ETF,49.0,67.0,67.0,,12368.0,2460.0,26.48,23.94,,No
4768,PZIV,26.84,3041.0,ETF,ETF,49.0,,,,13050.0,13050.0,26.97,25.38,,No
4772,QBKV,26.36,1823.0,ETF,ETF,49.0,,,,23510.0,23510.0,26.36,24.83,,No
4782,ROCY,52.36,46811.0,ETF,ETF,48.0,,,,24068.0,29560.0,53.11,48.34,,No
4832,GTOP,41.61,13684.0,ETF,ETF,48.0,83.0,73.0,,17660.0,19540.0,41.69,34.43,,No
4834,NPFE,26.03,21652.0,ETF,ETF,48.0,67.0,,,5484.0,4140.0,26.07,23.55,,No
4873,BFXU,21.61,1850.0,ETF,ETF,47.0,,,,1766.0,1766.0,21.62,20.7,,No
4881,UFOD,25.7,2468.0,ETF,ETF,47.0,56.0,,,2727.0,960.0,26.53,22.48,,No
4883,MCVT,26.12,18543.0,ETF,ETF,47.0,,,,18066.0,6030.0,26.17,24.41,,No
4922,IVEP,27.19,52253.0,ETF,ETF,47.0,,,,27700.0,27700.0,27.41,26.1,,No
4923,WTLS,54.02,343.0,ETF,ETF,47.0,70.0,,,4903.0,700.0,54.23,47.21,,No
4944,SMRF,27.13,20250.0,ETF,ETF,47.0,84.0,,,10315.0,7000.0,30.71,22.14,,No
4946,QBQV,26.28,28.0,ETF,ETF,47.0,,,,21440.0,21440.0,26.29,25.11,,No
