Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
8155,VIPS,14.64,3264869.00,Consumer Cyclical,Internet Retail,13.00,15.00,8.00,11.00,2005206.00,1664850.00,21.08,13.36,7031160832.00,No,,15.27,17.41,15.11,17.19
8156,IDCC,269.58,397589.00,Technology,Software - Application,13.00,2.00,4.00,7.00,411156.00,459530.00,412.60,205.78,6967173632.00,No,,336.23,330.93,323.24,339.36
8157,TMUS,190.85,4441873.00,Communication Services,Telecom Services,13.00,16.00,26.00,21.00,6099678.00,5971880.00,261.56,181.36,206538768384.00,No,,203.10,215.36,200.18,203.81
8158,KINS,14.08,406725.00,Financial Services,Insurance - Property & Casualty,13.00,9.00,14.00,21.00,115846.00,121690.00,22.40,13.08,203915056.00,No,,15.82,15.34,15.56,15.64
8159,IOT,29.07,3873817.00,Technology,Software - Infrastructure,13.00,82.00,73.00,9.00,7216968.00,4633430.00,48.41,23.38,16881422336.00,No,,30.65,34.48,30.26,33.37
8160,GLOO,6.00,61406.00,Technology,Software - Application,13.00,86.00,77.00,,93861.00,63900.00,9.98,4.63,483433728.00,No,,6.12,,6.13,
8161,MATV,8.75,408956.00,Basic Materials,Specialty Chemicals,13.00,53.00,2.00,6.00,450938.00,429350.00,15.48,5.46,482277504.00,No,,9.10,11.09,8.92,11.13
8162,SH,33.53,7140088.00,ETF,ETF,13.00,8.00,21.00,17.00,13412018.00,8194650.00,42.89,33.47,,No,,36.16,36.75,35.95,36.15
8163,LYFT,13.87,14550156.00,Technology,Software - Application,13.00,63.00,10.00,5.00,16473916.00,15048600.00,25.54,12.46,5300058624.00,No,,13.74,17.40,13.78,17.00
8164,CCS,55.24,512400.00,Real Estate,Real Estate - Development,13.00,8.00,7.00,18.00,266845.00,306260.00,76.00,50.42,1589216512.00,No,,58.50,62.28,57.34,61.77
8165,CLPT,12.31,570123.00,Healthcare,Medical Devices,13.00,95.00,12.00,6.00,737593.00,447100.00,30.10,8.27,369127872.00,No,,10.33,14.07,10.70,13.50
8166,CBTL,19.07,6985.00,ETF,ETF,13.00,57.00,57.00,12.00,2748.00,4550.00,25.27,17.91,,No,,18.52,,18.55,20.15
8167,PMT,10.78,815217.00,Real Estate,REIT - Mortgage,13.00,7.00,14.00,16.00,1092975.00,1191140.00,13.81,10.76,940041408.00,No,,11.77,12.27,11.62,12.27
8168,CBTY,20.17,550.00,ETF,ETF,13.00,47.00,46.00,13.00,5246.00,3270.00,27.08,19.67,,No,,19.96,22.84,19.96,21.43
8169,AWAY,17.43,8671.00,ETF,ETF,13.00,64.00,23.00,12.00,7588.00,7640.00,23.23,15.50,,No,,16.85,19.88,16.85,18.89
8170,MAIN,52.30,1128312.00,Financial Services,Asset Management,13.00,19.00,11.00,17.00,797438.00,591860.00,67.77,50.77,4712482816.00,No,,54.98,59.92,53.85,57.80
8171,BILI,22.08,2013386.00,Communication Services,Internet Content & Information,13.00,9.00,4.00,10.00,2269155.00,1872610.00,36.40,17.59,9199049728.00,No,,23.85,26.33,23.19,26.58
8172,ARDT,9.95,334889.00,Healthcare,Medical Care Facilities,13.00,67.00,80.00,7.00,402780.00,469080.00,15.48,8.07,1426332800.00,No,,9.33,10.70,9.43,9.66
8173,BNTX,93.34,638240.00,Healthcare,Biotechnology,13.00,17.00,10.00,16.00,1148913.00,945010.00,124.00,79.52,23604215808.00,No,,95.87,102.11,94.62,100.28
8174,OZ,50.35,871.00,Real Estate,Real Estate - Development,13.00,13.00,52.00,11.00,15801.00,5340.00,69.00,48.50,196192336.00,No,,52.08,58.17,51.75,55.41
