Ticker,Days,Start_Date,End_Date,Sufficient,3M_Return,6M_Return,9M_Return,12M_Return,Strength_Stock,Strength_Ref,RS,Recomputed_RS
MSFT,501,2023-11-27,2025-11-24,✅ Sufficient,-0.05585213940656153,0.02889143998796939,0.19125410221371486,0.1408217072392497,0.04985259412556218,0.09242742251262004,96.1,96.1
TSLA,501,2023-11-27,2025-11-24,✅ Sufficient,0.1879886906113688,0.15125790712107734,0.37972264075830386,0.22147180150966728,0.22568594612235723,0.09242742251262004,112.2,112.2
AAPL,501,2023-11-27,2025-11-24,✅ Sufficient,0.20326203116037656,0.37815296026671197,0.11690422978659876,0.2048908883307179,0.22129442814095637,0.09242742251262004,111.8,111.8
META,501,2023-11-27,2025-11-24,✅ Sufficient,-0.18704414846767836,-0.04556921658595625,-0.06760458130347047,0.08404648221139199,-0.0806431225226783,0.09242742251262004,84.16,84.16
SNDK,197,2025-02-13,2025-11-24,⚠️ Short: 197 days (need ~252 for full 1Y),3.79324211251899,4.944473674692457,3.7126247390564115,5.304444630940751,4.30960545394552,0.09242742251262004,486.04,486.04
