Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
7201,SQQQ,45.22,44.79,48822968,ETF,ETF,2.00,93.00,7.00,3.00,2.26,1.83,63907529.00,50605490.00,98.85,35.80,0,NO,40.27,40.21,61.02,40.99,56.84,,4138,0.00,48822968,YES,NO,2026-06-09,158568600
7202,GAVA,16.03,15.25,1714,ETF,ETF,2.00,86.00,1.00,,0.50,0.23,2768.00,1940.00,24.97,14.50,0,NO,16.08,17.85,,16.43,,,93,4.26,1714,NO,NO,2026-05-29,19200
7203,SOLC,15.21,14.80,4970,ETF,ETF,2.00,94.00,9.00,2.00,0.36,0.10,2113.00,1660.00,28.66,12.23,0,NO,15.43,15.19,,14.75,17.32,,171,0.00,4970,NO,NO,2025-12-02,24800
7204,BILI,17.85,17.16,1664811,Communication Services,Internet Content & Information,2.00,90.00,4.00,1.00,0.65,0.40,2994501.00,2321220.00,36.40,15.79,7470327808,NO,17.74,17.77,24.57,17.42,23.15,,2093,3.90,1666409,NO,NO,2022-04-11,36062400
7205,EFOR,21.56,19.64,1161405,Technology,Information Technology Services,2.00,95.00,79.00,0.00,1.48,1.13,1196314.00,884910.00,55.28,16.90,883960000,NO,18.46,19.22,36.51,19.76,31.59,,8518,8.30,1161405,NO,NO,2018-10-10,10142400
7206,DOX,53.10,52.10,1196368,Technology,Software - Infrastructure,2.00,83.00,4.00,2.00,1.66,1.52,1378096.00,1361790.00,90.29,49.74,0,NO,51.88,55.84,69.68,54.44,64.60,,7068,1.61,1196368,NO,NO,2002-06-21,20656300
7207,GBTC,50.28,50.19,1155784,ETF,ETF,2.00,86.00,5.00,4.00,1.25,0.89,1932683.00,1454560.00,99.12,44.98,0,NO,49.00,51.73,62.83,49.56,55.87,,2818,0.14,1155784,NO,NO,2024-01-11,62378454
7208,DUG,17.63,16.95,58956,ETF,ETF,2.00,4.00,11.00,2.00,0.68,0.54,125501.00,69100.00,38.27,15.65,0,NO,19.15,19.01,24.47,19.25,20.41,,4901,0.00,58956,NO,NO,2026-05-06,613900
7209,TYYY,33.39,33.77,280,ETF,ETF,2.00,2.00,,,1.22,0.10,322.00,140.00,49.80,33.30,0,NO,41.89,,,42.06,,,49,0.00,280,NO,NO,2026-05-18,1500
7210,TARK,38.17,37.55,12156,ETF,ETF,2.00,6.00,7.00,4.00,2.51,1.82,15850.00,13430.00,94.00,30.70,0,NO,44.95,44.76,52.01,43.89,43.30,,1062,0.00,12156,NO,NO,2022-12-13,2686400
7211,KTOS,49.45,47.35,2751499,Industrials,Aerospace & Defense,2.00,83.00,4.00,0.00,2.73,2.59,4827681.00,3822510.00,134.00,45.58,9272863744,NO,49.24,53.38,76.19,52.82,72.70,,6719,1.16,2751499,NO,NO,2025-09-19,35427700
