Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
21,TWST,142.39,116.10,3495111,Healthcare,Diagnostics & Research,98.00,98.00,98.00,98.00,10.36,8.86,1776385.00,1632390.00,142.84,23.30,8928910336,NO,108.11,95.71,57.28,102.94,69.97,,1956,10.63,3495111,NO,NO,2022-11-15,7568500
22,CHRN,23.70,23.53,234418,Technology,Information Technology Services,98.00,8.00,96.00,96.00,2.33,2.26,331562.00,154740.00,30.00,3.05,3441591552,NO,21.48,21.61,12.67,21.85,15.61,,3165,0.00,234418,NO,NO,2025-12-30,111143000
23,TXG,62.19,55.63,3902219,Healthcare,Health Information Services,98.00,96.00,98.00,98.00,4.02,3.83,3255191.00,3362830.00,62.36,11.16,8102807552,NO,51.76,43.38,26.05,46.08,30.27,,1743,5.11,3902219,NO,NO,2025-06-27,17909500
24,AEHR,107.96,123.25,2911849,Technology,Semiconductor Equipment & Materials,98.00,84.00,92.00,98.00,15.62,14.39,2495917.00,2588170.00,147.40,16.38,3521703680,NO,101.23,94.76,58.85,93.21,73.36,,7297,0.00,2911849,NO,NO,2021-07-19,139700300
25,SYRE,108.92,107.82,905341,Healthcare,Biotechnology,98.00,91.00,95.00,98.00,5.87,5.55,1243291.00,760830.00,110.17,14.51,9458749440,NO,102.52,94.18,56.51,98.19,70.11,,2604,0.00,904764,NO,NO,2023-06-22,10228380
26,BBGI,20.18,21.95,23634,Communication Services,Broadcasting,98.00,8.00,93.00,98.00,2.70,2.55,41833.00,69420.00,29.30,3.14,36523580,NO,22.02,22.54,11.53,22.66,14.73,,6666,0.00,23634,NO,NO,2026-04-08,52492000
27,MU,937.10,940.76,25693590,Technology,Semiconductors,98.00,13.00,92.00,97.00,63.32,54.53,49202309.00,33409840.00,1255.00,113.46,0,NO,894.74,962.32,563.69,960.04,685.29,,10636,0.00,25693590,YES,NO,2013-10-11,153906100
28,AMLX,38.60,35.11,8198401,Healthcare,Drug Manufacturers - Specialty & Generic,98.00,98.00,98.00,98.00,2.57,2.05,2043522.00,3923000.00,39.06,7.82,4300929536,NO,22.64,18.92,15.41,20.95,16.76,,1154,2.85,8198401,NO,NO,2024-03-08,61466800
29,DFTX,45.82,46.18,1746550,Healthcare,Biotechnology,98.00,78.00,98.00,98.00,3.09,2.86,3028916.00,2786130.00,49.70,8.70,6156693504,NO,43.72,40.33,23.00,42.72,27.68,,2451,0.00,1746550,NO,NO,2024-03-07,38010300
30,MVLL,30.95,25.92,11327012,ETF,ETF,98.00,93.00,87.00,98.00,4.16,3.30,6063229.00,3197280.00,77.67,4.32,0,NO,24.47,35.31,18.72,33.31,23.23,,365,0.00,11327012,YES,NO,2025-08-29,36696300
31,QMCO,21.79,23.52,1847129,Technology,Computer Hardware,98.00,98.00,98.00,98.00,2.30,2.06,1640814.00,3707620.00,27.80,4.19,858743936,NO,15.43,13.32,8.80,13.97,9.51,,6804,0.00,1847129,NO,NO,2024-11-22,39483900
32,BUUU,28.40,28.96,26296,Industrials,Specialty Business Services,98.00,96.00,94.00,97.00,4.07,4.00,55204.00,96470.00,38.90,3.97,474137984,NO,25.53,21.88,14.58,22.80,17.86,,252,0.00,26296,NO,NO,2025-08-14,1682200
33,INTW,19.96,21.68,4205234,ETF,ETF,98.00,0.00,0.00,98.00,2.87,2.48,5405491.00,4048340.00,52.62,2.41,0,NO,22.00,30.47,17.56,28.89,22.24,,380,0.00,4205234,NO,NO,2025-09-18,79455200
34,ORAC,22.36,21.94,2724,ETF,ETF,98.00,96.00,,,1.98,1.32,28530.00,2200.00,27.25,7.16,0,NO,20.96,,,,,,34,0.00,2724,NO,NO,2026-06-29,522900
35,RLAY,20.74,20.61,2069846,Healthcare,Biotechnology,98.00,81.00,97.00,97.00,0.95,0.90,3592280.00,1990140.00,21.27,3.31,4544997376,NO,19.54,18.20,12.02,19.13,14.28,,1528,0.00,2069846,NO,NO,2024-09-09,19068500
36,ETON,61.48,63.43,608542,Healthcare,Drug Manufacturers - Specialty & Generic,98.00,98.00,98.00,98.00,4.24,3.19,522058.00,778900.00,63.83,14.27,1757291136,NO,47.76,39.89,25.26,44.12,30.54,,1947,0.00,608542,NO,NO,2023-08-11,15757000
37,NVCT,23.33,20.91,362710,Healthcare,Biotechnology,98.00,94.00,98.00,98.00,1.55,1.51,308129.00,155610.00,29.27,5.55,760127168,NO,20.09,18.75,10.92,20.01,12.74,,1138,2.53,362710,NO,NO,2022-02-07,43338700
38,AAOI,122.19,131.41,12096882,Technology,Communication Equipment,98.00,55.00,1.00,98.00,17.92,16.19,12189909.00,14969380.00,233.67,18.50,10333515776,NO,119.17,130.58,96.49,124.34,122.49,,3243,0.00,12096882,YES,NO,2022-09-16,77414200
39,DMRA,32.44,31.80,479350,Healthcare,Biotechnology,98.00,18.00,93.00,53.00,1.69,1.69,578195.00,360340.00,38.33,2.45,2002700160,NO,30.03,27.71,25.17,28.78,26.51,,1457,1.02,485244,NO,NO,2025-10-07,77432200
40,EDRY,43.29,41.49,128819,Industrials,Marine Shipping,98.00,98.00,98.00,98.00,3.04,2.87,69498.00,128290.00,43.78,10.52,124094728,NO,31.51,26.23,19.35,27.65,22.39,,2065,1.05,128819,NO,NO,2020-11-12,15683900
41,RVMD,214.66,216.00,1307565,Healthcare,Biotechnology,98.00,92.00,95.00,97.00,7.47,7.37,2567493.00,1618450.00,220.30,35.42,46009454592,NO,197.64,184.45,125.15,190.76,143.41,,1637,0.00,1307565,NO,NO,2025-06-27,26439100
42,MXL,66.43,72.63,2851687,Technology,Semiconductors,98.00,1.00,1.00,98.00,7.25,6.41,3951798.00,2246070.00,128.30,12.77,6024748544,NO,71.36,82.10,44.58,80.63,57.20,,4127,0.00,2851687,NO,NO,2026-04-24,29044000
43,BLZE,16.88,19.20,6638725,Technology,Software - Infrastructure,98.00,95.00,98.00,98.00,2.23,1.73,3300903.00,2930360.00,23.99,3.26,1044871936,NO,16.48,14.26,7.34,14.92,8.36,,1196,0.00,6638725,NO,NO,2026-05-05,37172900
44,MAAS,15.93,16.10,256391,Financial Services,Asset Management,98.00,1.00,96.00,98.00,1.86,1.85,125879.00,205350.00,24.90,2.85,7043857408,NO,17.79,16.69,8.99,16.78,10.97,,1858,0.00,256391,NO,NO,2026-04-20,4246200
45,MBX,68.40,66.52,497147,Healthcare,Biotechnology,98.00,82.00,98.00,96.00,3.78,3.75,774964.00,443820.00,72.64,9.63,3294150656,NO,65.56,55.97,37.86,61.04,42.27,,482,1.47,497147,NO,NO,2025-09-22,28303500
46,DELL,437.55,468.65,7053049,Technology,Computer Hardware,98.00,83.00,97.00,98.00,33.10,29.97,8718316.00,5715850.00,514.00,110.22,282719584256,NO,444.04,425.51,234.30,425.96,283.13,,2515,0.00,7053049,NO,NO,2016-09-07,147907159
47,PALU,55.03,59.64,50316,ETF,ETF,98.00,82.00,98.00,98.00,4.59,4.44,194545.00,101020.00,67.86,9.85,0,NO,54.43,48.73,26.26,50.28,29.15,,351,0.00,50316,NO,NO,2026-06-02,1848600
48,LABU,341.55,289.98,711371,ETF,ETF,98.00,95.00,98.00,97.00,21.05,18.89,519361.00,420290.00,341.91,65.82,0,NO,264.27,256.84,188.57,271.42,203.81,,2824,9.84,711371,NO,NO,2025-04-09,7938800
49,LITE,827.60,873.31,4252209,Technology,Communication Equipment,98.00,20.00,9.00,91.00,88.06,80.65,5303258.00,5757610.00,1085.68,111.20,74235715584,NO,809.84,812.99,645.90,805.10,780.92,,2785,0.00,4252209,NO,NO,2026-03-20,22868800
50,CDNA,46.51,46.18,1887308,Healthcare,Diagnostics & Research,98.00,93.00,98.00,97.00,2.46,2.20,1037212.00,874930.00,49.76,11.27,2406158592,NO,43.47,34.68,23.02,37.18,25.59,,3041,0.00,1887308,NO,NO,2025-07-17,16111000
51,ATEX,88.68,90.75,274305,Communication Services,Telecom Services,98.00,2.00,96.00,98.00,7.26,6.93,459153.00,402920.00,113.00,17.58,1738995840,NO,94.19,93.06,49.38,93.71,61.79,,2903,0.00,274305,NO,NO,2020-12-21,3077900
52,DNTH,113.70,115.54,726592,Healthcare,Biotechnology,98.00,80.00,92.00,98.00,5.45,5.40,1060100.00,698410.00,117.88,22.06,6359738368,NO,109.43,98.25,70.94,102.47,84.73,,2049,0.00,726592,NO,NO,2025-09-08,5974200
53,PRAX,386.19,369.84,421793,Healthcare,Biotechnology,98.00,95.00,79.00,76.00,21.00,18.56,498638.00,503630.00,392.45,37.19,10782419968,NO,340.99,315.60,295.27,331.48,321.85,,1463,2.02,421793,NO,NO,2025-10-16,13741900
54,FTH,33.11,33.00,260526,Healthcare,Biotechnology,98.00,91.00,98.00,86.00,3.23,3.20,191353.00,286530.00,37.90,7.21,855576448,NO,28.67,25.61,20.15,27.10,24.82,,1391,0.00,260526,NO,NO,2026-02-18,12540600
55,BAND,52.30,52.94,884256,Technology,Software - Infrastructure,98.00,1.00,41.00,98.00,3.58,3.47,1325682.00,861120.00,79.08,12.50,1683055232,NO,51.25,58.54,31.04,57.20,40.01,,2201,0.00,883570,NO,NO,2022-11-02,11116300
