Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
254,MOV,37.81,37.84,141624.0,Consumer Cyclical,Luxury Goods,95.0,25.0,94.0,95.0,1.1721,1.1443,238383.0,233810.0,39.85,14.78,840411648,NO,38.12,34.21,25.21,36.16,28.36,,8251,0.0,141624,NO,NO,1993-09-30,6273375.0
286,KYMR,112.08,110.4,402580.0,Healthcare,Biotechnology,95.0,97.0,90.0,93.0,8.3286,7.6836,794152.0,879720.0,130.05,36.65,9219430400,NO,106.81,91.07,78.71,94.63,85.22,,1479,1.0,402580,NO,NO,2025-12-08,7495500.0
291,MRNX,37.81,37.55,22552.0,ETF,ETF,94.0,98.0,95.0,,6.575,6.3979,34952.0,56000.0,62.8,14.95,0,NO,40.0,29.37,,31.63,,,110,0.0,22552,NO,NO,2026-05-11,188100.0
315,LGN,69.8,68.33,1503580.0,Industrials,Engineering & Construction,94.0,2.0,60.0,94.0,5.5847,5.1797,1602491.0,1673470.0,107.24,26.96,11464468480,NO,79.05,84.75,57.21,80.47,65.52,,209,0.0,1503580,NO,NO,2025-09-12,9811600.0
317,TGTX,54.89,55.01,2025980.0,Healthcare,Biotechnology,94.0,92.0,96.0,96.0,2.4105,2.3866,2404739.0,2120790.0,59.3,25.28,8402757632,NO,54.56,46.19,35.46,48.04,37.07,,4074,0.0,2025980,NO,NO,2023-11-01,50843300.0
356,AAMI,80.62,78.81,171053.0,Financial Services,Asset Management,94.0,77.0,90.0,94.0,3.0399,2.8574,474631.0,450970.0,85.73,38.38,2872409088,NO,76.2,73.66,56.88,74.8,62.02,,2956,0.16,171053,NO,NO,2020-06-19,12096900.0
359,LBRX,32.02,32.25,210724.0,Healthcare,Biotechnology,94.0,91.0,90.0,93.0,1.9244,1.9244,255791.0,284000.0,35.34,13.36,918226432,NO,31.67,30.36,23.53,30.3,26.58,,210,0.0,210724,NO,NO,2025-12-19,4085700.0
383,ATLC,97.83,96.61,146253.0,Financial Services,Credit Services,93.0,86.0,95.0,92.0,7.0175,6.9346,129039.0,192420.0,112.61,45.74,1478993664,NO,99.83,89.38,66.65,92.7,71.77,,6847,0.39,146253,NO,NO,2001-01-31,14195200.0
388,CXW,31.36,31.43,806002.0,Industrials,Security & Protection Services,93.0,94.0,96.0,93.0,1.3857,1.3636,1218226.0,1419760.0,32.6,15.74,3101142272,NO,30.05,25.17,20.46,26.76,21.81,,7294,0.0,806002,NO,NO,2016-08-18,39922800.0
390,NTCT,43.21,43.14,391338.0,Technology,Software - Infrastructure,93.0,71.0,92.0,94.0,1.5593,1.5457,644647.0,641100.0,45.28,20.39,3089308160,NO,41.79,40.58,31.62,41.22,33.95,,6770,0.0,391338,NO,NO,2021-11-04,16146600.0
408,CGON,71.77,72.5,1108115.0,Healthcare,Biotechnology,93.0,96.0,57.0,88.0,4.1991,4.1413,1052957.0,1011400.0,77.0,23.65,6330291200,NO,68.7,65.23,54.77,65.72,61.36,,618,0.0,1108115,NO,NO,2025-04-28,9040400.0
415,RHLD,135.89,130.89,82409.0,Industrials,Specialty Business Services,93.0,81.0,6.0,2.0,12.0871,11.95,180537.0,165430.0,236.19,34.27,1122103808,NO,135.75,124.77,151.06,127.39,155.4,,348,1.27,82409,NO,NO,2026-03-03,533000.0
421,CBL,52.41,51.7,156587.0,Real Estate,REIT - Retail,93.0,82.0,89.0,90.0,1.8264,1.806,268931.0,338300.0,55.78,26.0,1621814784,NO,51.44,48.81,39.08,49.83,42.52,,1177,0.93,156587,NO,NO,2022-06-24,3600200.0
440,NUTX,178.37,179.15,90033.0,Healthcare,Medical Care Facilities,92.0,95.0,96.0,19.0,11.5584,11.2845,154904.0,151120.0,204.0,77.21,1227424384,NO,168.0,145.7,129.54,152.7,132.03,,1072,0.0,90033,NO,NO,2025-07-22,1422400.0
452,GEV,1066.01,1042.6,1764876.0,Industrials,Specialty Industrial Machinery,92.0,94.0,63.0,95.0,61.3521,53.3304,2815808.0,2722960.0,1195.94,530.16,286458216448,NO,1078.56,1037.97,810.54,1035.61,903.87,,575,0.0,1764876,NO,NO,2024-04-02,18246100.0
463,SNEX,113.24,112.38,728399.0,Financial Services,Capital Markets,92.0,4.0,80.0,95.0,7.0807,6.8214,817049.0,997800.0,141.99,53.53,8974439424,NO,126.6,119.54,84.83,120.78,95.63,,7891,0.7,728399,NO,NO,2006-12-21,8230275.0
468,CMTV,39.11,39.84,11926.0,Financial Services,Banks - Regional,92.0,14.0,85.0,91.0,2.2575,2.2061,35421.0,31850.0,42.92,20.25,218673904,NO,39.25,39.07,31.29,39.16,35.13,,6903,0.0,11926,NO,NO,2026-06-26,657900.0
475,KEYS,325.73,320.83,1236762.0,Technology,Scientific & Technical Instruments,92.0,13.0,22.0,94.0,15.246,13.0096,1564439.0,1479650.0,374.96,152.85,55665745920,NO,338.2,343.5,259.41,336.84,292.18,,2949,0.0,1236762,NO,NO,2018-11-05,47677800.0
487,AKAM,126.11,125.13,2750694.0,Technology services,Data processing services,92.0,12.0,92.0,92.0,5.89,5.7993,5140288.0,3960060.0,165.45,69.78,18334560256,NO,121.21,133.63,102.44,133.41,112.18,,6715,0.0,2750694,NO,NO,2009-07-30,62872400.0
