Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
23,Electronic Components,Technology,67,37,63,74,"CLS,SANM,TTMI,VICR,OUST,FN,APH,ALNT,BELFB,GLW,BELFA,TEL,FLEX,OSIS,JBL,KN,DAKT,LPTH,BHE,MPTI,RAL,LFUS,PLXS,ROG,CTS,LYTS,RELL,MEI,OLED,ELTK"
24,Marine Shipping,Industrials,67,87,72,74,"CMDB,ECO,ESEA,CMRE,PANL,EDRY,ASC,KEX,HAFN,SBLK,CCEC,BWLP,MATX,ZIM,DAC,NMM,GSL,SFL,GNK,HSHP,GASS,SHIP,SMHI,HTCO,EHLD"
25,Utilities - Diversified,Utilities,66,71,78,56,"AES,SRE,AQN,BIP,AVA,ALE,UTL"
26,Engineering & Construction,Industrials,64,42,52,61,"PHOE,FIX,STRL,DY,IESC,LGN,PRIM,ECG,FER,MTZ,AGX,TPC,MYRG,WLDN,PWR,APG,BLD,ORN,BWMN,EME,ACA,GVA,AMRC,ROAD,J,FLR,STN,TTEK,GLDD,ACM,BBCP,EXPO,MTRX,VATE,ESOA,CDLR,KBR"
27,Oil & Gas Refining & Marketing,Energy,64,55,68,61,"PARR,DK,PBF,DINO,MPC,VLO,CVI,DKL,PSX,SUN,CAPL,IEP,WKC,SGU"
28,Airports & Air Services,Industrials,63,56,32,49,"JOBY,OMAB,CAAP,PAC,ASR,ASLE"
29,Metal Fabrication,Industrials,62,54,51,54,"CRS,ATI,CMPO,MLI,PRLB,WOR,MEC,TG,GIFI,RYI,IIIN,ESAB,CMPOW"
30,Drug Manufacturers - General,Healthcare,61,68,62,65,"LLY,BIIB,JNJ,AZN,ABBV,MRK,AMGN,GILD,GSK,NVS,PFE,SNY,GRFS,AMRN,SCLX,BMY,NSRX,OGN,NVO"
31,Computer Hardware,Technology,61,23,48,54,"SNDK,RGTI,QBTS,PSTG,QUBT,ANET,STX,WDC,DELL,QMCO,HPQ,SMCI,LOGI,IONQ,SSYS,CRSR,UMAC,ALOT,RGTIW"
32,Pollution & Treatment Controls,Industrials,61,23,47,63,"ADUR,CECO,RAIN,ZWS,FSS,ERII,VLTO,PCT"
33,Thermal Coal,Energy,61,51,79,62,"BTU,HNRG,NC,NRP,CNR,ARLP"
34,Coking Coal,Basic Materials,61,27,38,74,"HCC,AMR,METCB,METC,SXC"
35,Electronic Gaming & Multimedia,Communication Services,60,32,44,52,"EA,NTES,RBLX,TTWO,SOHU,GRVY,GDEV,DDI,SKLZ"
36,Oil & Gas Drilling,Energy,60,46,63,77,"HP,NBR,PDS,NE,SDRL,PTEN"
37,Lodging,Consumer Cyclical,60,58,56,61,"ATAT,MAR,HLT,IHG,H,HTHT,WH,SHCO,CVEO,INTG,CHH"
