IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
1,MF,16.38,Communication Services,Advertising Agencies,97.0,98.0,98.0,0.0,2.6333,2.4744,0.0,NO,NO
2,QNST,20.62,Communication Services,Advertising Agencies,95.0,96.0,97.0,96.0,1.1264,0.8279,0.2,NO,NO
3,MGNI,23.5,Communication Services,Advertising Agencies,95.0,95.0,97.0,96.0,1.1457,0.9621,0.56,NO,NO
4,ZD,56.08,Communication Services,Advertising Agencies,94.0,79.0,93.0,96.0,2.1779,1.9979,0.0,NO,NO
5,WPP,26.37,Communication Services,Advertising Agencies,87.0,97.0,95.0,91.0,1.3007,0.825,0.0,NO,NO
1,DFNS,20.61,Industrials,Aerospace & Defense,98.0,99.0,98.0,98.0,6.9978,6.2007,0.0,NO,NO
2,SIF,21.02,Industrials,Aerospace & Defense,97.0,2.0,72.0,95.0,2.3328,1.9814,0.0,NO,NO
3,DCO,191.65,Industrials,Aerospace & Defense,95.0,81.0,93.0,93.0,8.1271,7.705,0.0,NO,NO
4,ATRO,78.0,Industrials,Aerospace & Defense,95.0,82.0,89.0,86.0,5.7635,5.2135,0.79,NO,NO
5,IA,21.46,Industrials,Aerospace & Defense,94.0,82.0,94.0,8.0,1.4636,1.4621,0.76,NO,NO
1,CF,129.6,Basic Materials,Agricultural Inputs,88.0,47.0,67.0,89.0,5.0832,4.5583,1.38,NO,NO
2,IPI,38.98,Basic Materials,Agricultural Inputs,80.0,86.0,15.0,78.0,1.7071,1.6579,1.36,NO,NO
3,UAN,125.9,Basic Materials,Agricultural Inputs,78.0,42.0,48.0,86.0,3.8414,3.3043,0.41,NO,NO
4,NTR,75.27,Basic Materials,Agricultural Inputs,74.0,82.0,69.0,52.0,1.8834,1.6676,1.04,NO,NO
5,CTVA,81.79,Basic Materials,Agricultural Inputs,58.0,6.0,53.0,56.0,2.0225,1.8799,0.98,NO,NO
1,DAL,82.41,Industrials,Airlines,83.0,34.0,74.0,81.0,2.2461,1.8911,1.43,NO,NO
2,UAL,113.17,Industrials,Airlines,65.0,15.0,82.0,36.0,3.7314,3.1907,0.0,NO,NO
3,ALGT,81.85,Industrials,Airlines,57.0,3.0,38.0,3.0,5.0121,4.5536,2.68,NO,NO
4,SKYW,101.09,Industrials,Airlines,46.0,68.0,87.0,26.0,2.9221,2.6686,0.0,NO,NO
5,LUV,40.38,Industrials,Airlines,45.0,5.0,24.0,3.0,1.315,1.1768,0.0,NO,NO
