Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
5,SLGL,88.4,18614,Healthcare,Biotechnology,98.0,97.0,98.0,98.0,23230.0,22880.0,97.97,4.02,246263568.0,No
40,GDXU,354.22,545732,ETF,ETF,98.0,96.0,97.0,98.0,753259.0,718650.0,540.78,38.3,,No
47,PVLA,135.49,280440,Healthcare,Biotechnology,98.0,98.0,95.0,97.0,322959.0,563290.0,151.18,18.23,1603726080.0,No
57,LRCU,106.19,25752,ETF,ETF,98.0,6.0,98.0,98.0,31067.0,37770.0,140.59,23.05,,No
65,INBX,74.63,75188,Healthcare,Biotechnology,98.0,11.0,17.0,97.0,211932.0,186240.0,94.56,10.8,1085399168.0,No
97,FBRX,31.76,222304,Healthcare,Biotechnology,97.0,13.0,97.0,98.0,209015.0,202500.0,35.62,4.9,397855456.0,No
98,NUGT,258.99,591382,ETF,ETF,97.0,95.0,96.0,97.0,791298.0,698220.0,320.79,47.11,,No
102,TERG,42.48,26445,ETF,ETF,97.0,98.0,98.0,,26342.0,43540.0,55.21,12.19,,No
132,ARWR,65.1,1625438,Healthcare,Biotechnology,97.0,9.0,83.0,97.0,2968703.0,2095500.0,76.76,9.57,9116095488.0,No
161,ATRO,79.29,643876,Industrials,Aerospace & Defense,97.0,73.0,95.0,96.0,727491.0,744220.0,83.96,19.89,2825032960.0,No
197,BLTE,177.79,243413,Healthcare,Biotechnology,96.0,73.0,83.0,97.0,228786.0,221760.0,200.0,49.0,6669726208.0,No
203,AU,113.14,2685219,Basic Materials,Gold,96.0,95.0,92.0,96.0,2832354.0,3031190.0,129.14,30.1,57137373184.0,No
212,BVN,39.34,1398987,Basic Materials,Other Precious Metals & Mining,96.0,93.0,96.0,96.0,1791705.0,1887650.0,44.67,12.56,9991842816.0,No
216,AAUC,31.45,129918,Basic Materials,Gold,96.0,65.0,95.0,97.0,914050.0,471280.0,32.08,8.67,3937998336.0,No
223,SA,34.91,706029,Basic Materials,Gold,96.0,96.0,89.0,96.0,1176649.0,869150.0,40.06,9.4,3719803136.0,No
231,RVMD,101.19,1511985,Healthcare,Biotechnology,96.0,78.0,92.0,97.0,3494806.0,2818700.0,124.49,29.17,19562031104.0,No
245,BELFA,195.95,35988,Technology,Electronic Components,96.0,36.0,95.0,94.0,47011.0,41880.0,227.42,53.95,2480004608.0,No
251,ATI,161.82,1656092,Industrials,Metal Fabrication,96.0,97.0,97.0,96.0,1879677.0,2467600.0,168.14,39.23,22159034368.0,No
258,FTAI,282.91,1387502,Industrials,Rental & Leasing Services,96.0,75.0,97.0,95.0,1620049.0,2253820.0,323.51,81.45,29018906624.0,No
260,AGMI,81.87,6772,ETF,ETF,96.0,91.0,92.0,95.0,6220.0,5040.0,91.8,25.85,,No
262,DFEN,93.08,319490,ETF,ETF,96.0,95.0,97.0,93.0,331498.0,419140.0,97.75,17.64,,No
263,BELFB,213.8,109774,Technology,Electronic Components,96.0,38.0,93.0,93.0,160952.0,187740.0,248.61,58.0,2705919744.0,No
312,ACMR,51.82,1458407,Technology,Semiconductor Equipment & Materials,95.0,6.0,96.0,95.0,1510579.0,1711560.0,71.65,16.82,3361897728.0,No
316,IMOS,37.65,26411,Technology,Semiconductors,95.0,74.0,94.0,97.0,34020.0,54080.0,45.43,12.78,1312110080.0,No
319,EGO,41.64,1590019,Basic Materials,Gold,95.0,83.0,92.0,93.0,2424144.0,2878820.0,51.16,13.78,8243875328.0,No
325,ECO,50.82,632380,Industrials,Marine Shipping,95.0,96.0,94.0,95.0,424106.0,731960.0,57.29,17.91,1985189376.0,No
327,KGC,33.97,6758048,Basic Materials,Gold,95.0,85.0,86.0,93.0,10812794.0,12725460.0,39.11,10.42,40988897280.0,No
341,DAN,34.21,850870,Consumer Cyclical,Auto Parts,95.0,93.0,96.0,94.0,1803872.0,1775790.0,36.28,10.11,3728889856.0,No
345,VTVT,36.0,42088,Healthcare,Biotechnology,95.0,16.0,96.0,96.0,23557.0,39250.0,44.0,14.0,141768640.0,No
353,AMKR,45.77,3944715,Technology,Semiconductor Equipment & Materials,95.0,19.0,87.0,95.0,4369355.0,4337490.0,57.09,14.03,11319335936.0,No
364,DRD,33.97,277334,Basic Materials,Gold,95.0,83.0,80.0,94.0,394052.0,357660.0,39.37,11.93,2987300608.0,No
365,IPGP,129.27,418227,Technology,Semiconductor Equipment & Materials,95.0,97.0,97.0,93.0,503144.0,596290.0,155.82,48.59,5454076416.0,No
373,TIGO,72.5,1063229,Communication Services,Telecom Services,95.0,95.0,93.0,91.0,1215433.0,1647010.0,75.25,26.07,12113661952.0,No
