Rank,Industry,Sector,Relative Strength,1 Month Ago,3 Months Ago,6 Months Ago,Ticker
1,Utilities - Independent Power Producers,Utilities,94,85,89,93,"TLN,VST,NRG,KEN,TAC,PAM"
2,Silver,Basic Materials,90,93,37,73,"MAG,AG,EXK"
3,Banks - Diversified,Financial Services,84,86,82,76,"SAN,BCS,C,BK,BBVA,ING,JPM,HSBC,TD,UBS,WFC,CM,MUFG,BMO,NTB,BAC,BNS,SMFG,RY"
4,Other Precious Metals & Mining,Basic Materials,80,86,61,47,"SBSW,PPTA,TFPM,BVN,MUX,HL"
5,Uranium,Energy,78,77,32,40,"LEU,UUUU,CCJ,UEC,NXE,ISOU"
6,Gold,Basic Materials,77,87,80,68,"CNL,SSRM,CMCL,ORLA,ARMN,AU,CDE,SAND,AAUC,USAU,OR,KGC,WPM,NG,AEM,GFI,NEM,FSM,CTGO,EGO,IDR,IAG,B,PAAS,AGI,HMY,DRD,FNV,SA,CGAU,EQX,RGLD,AUGO,BGL"
7,Engineering & Construction,Industrials,76,75,56,65,"ONEG,PHOE,MSGY,WLDN,TPC,AGX,MIMI,STRL,FIX,IESC,ECG,EME,MYRG,PRIM,MTZ,DY,BWMN,PWR,APG,ROAD,MTRX,FLR,STN,GVA,ESOA,ORN,FER,ACM,GLDD,NVEE,J,BLD,BBCP,TTEK,AMRC,ACA,CDLR,VATE,KBR,EXPO"
8,Metal Fabrication,Industrials,76,83,79,65,"MTEN,CRS,ATI,WOR,CMPO,TG,ESAB,MLI,PRLB,IIIN,MEC,GIFI,RYI"
9,Computer Hardware,Technology,76,74,45,68,"RGTI,UMAC,IONQ,RCAT,OSS,SMCI,STX,WDC,ANET,DELL,SNDK,SSYS,CRSR,PSTG,LOGI,ALOT,NTAP,QMCO,HPQ"
10,Pollution & Treatment Controls,Industrials,76,69,39,70,"ADUR,PCT,PCTTU,CECO,FSS,ZWS,ARQ,VLTO,ERII"
11,Tobacco,Consumer Defensive,76,83,93,71,"TPB,BTI,PM,MO,UVV"
12,Capital Markets,Financial Services,74,72,57,76,"CRCL,BMNR,HOOD,IREN,FUTU,IBKR,RIOT,TIGR,SNEX,CIFR,LPLA,HUT,GS,WULF,EVR,SCHW,VIRT,OPY,GLXY,PJT,MS,MRX,COHN,SF,PIPR,ETOR,NMR,LAZ,HLI,TW,MC,CLSK,FRGE,PWP,BGC,JEF,MARA,XP,MKTX,NCTY,SRL,AMRK,CNCK"
13,Aerospace & Defense,Industrials,74,76,63,63,"RKLB,VWAV,ISSC,PL,KTOS,ACHR,ATRO,EVEX,ESLT,HWM,TATT,OPXS,KRMN,SIF,AVAV,AXON,LUNR,CW,DCO,WWD,GE,ERJ,BWXT,RDW,VSEC,PKE,DRS,HEI,CAE,MRCY,EVTL,BYRN,BA,RTX,AIR,LHX,TDG,NPK,NOC,SPR,GD,HII,EH,CODA,HXL,POWWP,TXT,SARO,CDRE,VVX,LOAR,AIRO,RGR,LMT,VOYG,SWBI,PEW"
14,Solar,Technology,72,54,11,7,"TOYO,SEDG,FTCI,NXT,SHLS,FSLR,JKS,ARRY,RUN,CSIQ,ENPH"
15,Communication Equipment,Technology,71,76,59,79,"ASTS,COMM,TSAT,LITE,AAOI,FEIM,UI,BKTI,VSAT,CIEN,GILT,CLFD,EXTR,ADTN,CSCO,BDC,DGII,NTGR,HPE,AVNW,ZBRA,VIAV,SILC,AUDC,MSI,ERIC,HLIT,INSG,CLRO"
16,Electrical Equipment & Parts,Industrials,71,68,46,63,"TGEN,AMPX,BE,LTBR,RFIL,EOSE,VRT,ESP,ENVX,AEIS,ULBI,NVT,POWL,AYI,HUBB,KE,HAYW,PLPC,ENS,ATKR,ADSE,IPWR,ENR"
17,Aluminum,Basic Materials,70,54,32,40,"CSTM,CENX,KALU,AA"
18,Travel Services,Consumer Cyclical,69,58,52,80,"RCL,CUK,CCL,VIK,TNL,LIND,BKNG,NCLH,TRIP,EXPE,TCOM,ABNB,GBTG,MMYT,PRSU"
19,Utilities - Renewable,Utilities,69,58,57,33,"WAVE,ENLT,CEG,BEPC,ELLO,ORA,RNW,CWEN,BEP,STEM,FLNC,EBR,XIFR,HTOO"
20,Electronic Components,Technology,68,66,51,66,"NEON,CLS,OUST,TTMI,ALNT,BELFB,JBL,SANM,APH,FN,FLEX,BELFA,TEL,GLW,OSIS,KULR,LFUS,KN,DAKT,LINK,LYTS,ELTK,VICR,BHE,PLXS,RELL,OLED,MPTI,CTS,ROG,MEI,GAUZ"
21,Entertainment,Communication Services,67,73,62,63,"CNVS,WBD,LLYVK,LLYVA,NFLX,STRZ,ROKU,LYV,DIS,TKO,FOXA,FOX,SPHR,RDIB,FWONK,PARA,PLAY,FWONA,MANU,IMAX,BATRK,NWS,BATRA,NWSA,PARAA,MCS,MSGS,RSVR,CNK,WMG,SIRI,BREA,AMCX"
22,Gambling,Consumer Cyclical,66,64,49,53,"SBET,SGHC,RSI,FLUT,DKNG,ACEL,CDRO,INSE,LNW,CHDN,GAMB,BRSL"
23,Airlines,Industrials,66,59,45,76,"LTM,RYAAY,UAL,SKYW,CPA,ALK,DAL,VLRS,LUV,SNCY,AAL,ALGT"
24,Agricultural Inputs,Basic Materials,66,77,63,52,"MOS,ICL,CTVA,IPI,UAN,CF,NTR,SMG,FMC"
25,Airports & Air Services,Industrials,65,74,86,62,"JOBY,OMAB,PAC,CAAP,ASR,ASLE"
26,Semiconductors,Technology,64,59,31,49,"ALMU,NVTS,CRDO,LASR,ALAB,WKEY,AVGO,ALGM,AMD,NVDA,POET,RMBS,SMTC,SIMO,AIP,TSM,MXL,MCHPP,PXLW,MU,MTSI,ARM,HIMX,SITM,MCHP,SLAB,SKYT,MRVL,TSEM,ON,ADI,ASX,MRAM,MPWR,VSH,TXN,NXPI,UMC,STM,LSCC,AOSL,QRVO,DIOD,GFS,PI,QCOM,CRUS,SYNA,NVEC,INTC,CEVA,SWKS,IMOS,POWI,QUIK"
27,Farm & Heavy Construction Machinery,Industrials,63,64,38,41,"VAPE,AGFY,REVG,MTW,OSK,CAT,ALG,TWI,DE,ASTE,BLBD,AGCO,TEX,CNH,LNN,PCAR,GENC,AEBI,WNC,HY,CMCO"
28,Scientific & Technical Instruments,Technology,63,62,52,63,"ACFN,MIND,COHR,ESE,TRMB,ITRI,ITRN,GRMN,TDY,LGL,ST,VNT,MKSI,KEYS,VPG,CGNX,BMI,FTV,NOVT,ASTC,MLAB"
29,Industrial Distribution,Industrials,63,59,45,44,"DXPE,REZI,CNM,WCC,FERG,FAST,GIC,EVI,TITN,AIT,SITE,MSM,DNOW,GWW,POOL,DSGR,WSO,BXC"
30,Internet Retail,Consumer Cyclical,63,54,58,64,"SBDS,TDUP,W,DASH,BYON,SE,CPNG,ETSY,EBAY,AMZN,MELI,BABA,CART,CHWY,VIPS,PDD,RVLV,JD,LQDT,GLBE,JFBR,QVCGP"
31,Medical Distribution,Healthcare,62,73,66,66,"YI,CAH,MCK,COR,HSIC,OMI"
32,Financial Conglomerates,Financial Services,62,30,26,33,"FRHC,RILYL,RILYP,RILY,IX,VOYA,HTH,TREE"
33,Auto Parts,Consumer Cyclical,62,62,41,38,"HSAI,STRT,QS,CPS,MPAA,GTX,SRI,AAP,ADNT,VC,DAN,MOD,PHIN,ORLY,ALV,AZO,PLOW,BWA,SMP,GPC,FOXF,ATMU,APTV,DORM,MGA,GNTX,GT,LEA,THRM,XPEL,MBLY,ALSN,LKQ,MLR,MNRO"
34,Pharmaceutical Retailers,Healthcare,61,69,55,6,WBA
35,Confectioners,Consumer Defensive,61,50,67,18,"TR,HSY,MDLZ"
