Rank,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Health technology,95,14,97,94,SI
2,Healthcare,71,49,69,62,"ERAS,QTTB,FBRX,AGL,DMRA,SYRE,ORKA,ANRO,ALMS,TXG,DFTX,MBX,TWST,LQDA,RVMD,RLAY,CDNA,DNTH,SLGL,PRAX,PLSE,RLYB,PACS,KOD,TRAX,TNGX,NVCT,APGE,ELVN,BDSX,ETON,ARWR,MANE,NBTX,PVLA,GH,FTH,QURE,LBRX,CRNX,URGN,COGT,FBIOP,CORT,TVTX,MNPR,SEPN,GHRS,NEO,EWTX,ANIK,ANAB,XNCR,PTGX,NRIX,ROIV,AMLX,HNGE,BTSG,BCAX,RAPP,AMN,AXGN,NKTR,BTSGU,KNSA,IMVT,YARW,STRO,MRNA,CGON,JBIO,ELMD,TRVI,CGEM,NTRA,ADPT,OSCR,CNC,MCTA,FTRE,GKOS,KYMR,GPCR,SION,COAG,ACHC,RCUS,JAZZ,DYN,ZBIO,CLDX,PARK,ELOX,HUM,LGND,SMTI,NHC,OBX,INBX,BWAY,CON,NSYS,AMRX,ILMN,ALKS,CRL,HALO,ANGO,BLFS,HAE,LNTH,DCTH,KRYS,GLUE,SPRB,GRDN,SRZN,TGTX,PDEX,ITGR,IMNM,XENE,APLM,NGNE,VTVT,BAX,ICUI,DNLI,TCMD,BBIO,IART,RIGL,OMDA,NUTX,PHVS,CSTL,VCYT,THC,UFPT,PGNY,CTNM,TEVA,SRRK,BLTE,SCTX,TECX,AVBP,STOK,CYTK,BRKR,MD,AZTA,CUE,PNTG,AXSM,ESTA,TYRA,SNDA,DRUG,TNDM,VOR,SPTX,KIDS,UNH,RPRX,TECH,IDYA,CBIO,MMED,ATRC,MRK,ABVX,PCVX,DXCM,LLY,VTRS,EXEL,IQV,DGX,WST,BRKRP,ODTX,AMGN,SIBN,ACAD,BIO,NVCR,INCY,CHE,NRC,ASTH,SHC,RGEN,LIVN,AVTX,VCEL,JNJ,KMTS,CAH,BIIB,ALMR,MIRM,NVST,BMY,MEDP,HSIC,CVS,ARQT,LH,DVA,INDV,HQY,SLP,HSTM,RVTY,MMSI,UTHR,ZYME,CBLL,WGS,VRDN,SDGR,WAT,TMO,ELV,AVLN,BDX,HCSG,AKTS,ABBV,RDNT,WW,SNDX,GRAL,RYTM,REGN,VRTX,ASND,A,GMAB,HRMY,BBNX,ICLR,CNMD,PTCT,MAZE,NVS,NBIX,GMED,UTMD,SOLV,MOH,BMRN,EHC,PTHS,VERA,ADUS,USPH,PEN,AUPH,CELC,MDGL,TFX,ALGN,VEEV,PRPO,TAK,PCRX,ARGX,BEAM,GSK,MLYS,VKTX,PBLS,TARS,EW,COO,TBPH,MLTX,IRON,ONC,IRMD,WRBY,MCK,COR,IMCR,BLCO,ATR,APMD,ZBH,MTD,INMD,STVN,ELAN,HROW,DHR,FMS,INSM,STE,PFE,ZLAB,AGIO,GEHC,QGEN,MESO,ENSG,NVO,GILD,HIMS,ABT,CTEV,CRSP,FLGT,CI,SYK,ENOV,STAA,BRVE,INSP,MDT,INVA,ASMB,ALC,LFMDP,PRVA,OMCL,CAI,SGP,PHG,HTFL,BLLN,RARE,ANIP,SNY,SUPN,HCA,SGRY,JANX,OPCH,IDXX,AZN,UHS,WAY,SRPT,KARD,TEM,BNTX,SNN,PBH,LKFT,RMD,IRTC,NAMS,PAHC,TMDX,IONS,AMPH,LMAT,MDLN,ISRG,COLL,LEGN,DOCS,KLRA,AORT,AAPG,QNCX,PRCT,BSX,ZTS,PODD,ALNY"
3,Technology,64,53,57,69,"AXTI,MGRT,SNDK,MU,LITE,AEHR,MXL,AAOI,CHRN,BLZE,DELL,ICHR,BAND,STX,ALOT,SAIH,TSEM,WDC,INTC,FSLY,PENG,UCTT,OCC,RTB,MRVL,UMAC,HPE,COHR,MEI,VICR,DOCN,ASX,SIMO,ALNT,AEVA,PUBM,AMBQ,ACMR,PANW,CIEN,AMD,AMAT,ONTO,RNG,SITM,VSAT,AIP,UMC,FORM,ALAB,OUST,TER,DGII,VIAV,SILC,SNOW,TSAT,COHU,CRWD,NAVN,FROG,ARM,MKSI,FEIM,NSIT,LRCX,SMTC,CRDO,IMOS,NVEC,NTAP,RELL,VSH,OKTA,STM,TTMI,FTNT,KLIC,WATT,TWLO,MITK,ASYS,GCT,FLEX,QLYS,VECO,LSCC,FIVN,ADEA,OOMA,VPG,PDFS,DIOD,AVT,DDOG,GLW,RAL,ASML,TENB,MRAM,ZETA,KLAC,KN,U,LASR,DAVE,MTSI,CSCO,BELFB,ZBRA,KEYS,BHE,PLXS,CEVA,ENTG,PTRN,MPTI,LFUS,ARW,SNX,ACLS,CIFR,RDVT,RELY,CGNX,RBRK,VRNS,GRMN,CCSI,CHYM,OSPN,BRUN,PAYC,NET,S,AMKR,ROG,HPQ,APPN,SCSC,KARO,BELFA,RAMP,MDB,CTS,ANET,DBX,FFIV,INTA,CNXN,NTCT,TXN,ADI,APH,YOU,SLAB,IOT,SHAZ,WOLF,SYNA,PAY,TSM,JBL,INOD,ST,CPAY,SAIC,WYFI,PLTS,TEAM,NYAX,NOVT,ADIG,IBTA,FLYW,PATH,NOVTU,GEN,ATEN,ON,P,AOSL,INGM,AMBA,SAIL,Q,GRND,MPWR,POWI,SWMR,EXTR,CACI,WEX,MANH,AKAM,MLAB,ESE,AGYS,SANM,AVGO,NTNX,ENPH,DJCO,BILL,BOX,ACIW,NATL,GFS,GTLB,CVLT,ESTC,SHOP,FN,ALGM,AAPL,CAMT,PRGS,ALRM,TDY,XYZ,DT,PCTY,PI,NVDA,BRZE,ZM,BKTI,CORZ,PLUS,QRVO,IBEX,TTAN,LYFT,FSLR,PLTR,CLMB,ARQQ,PAYX,LYTS,CLBT,BDC,IDCC,ITRN,ADP,VRSN,DBD,FTV,MSFT,EVTC,PGY,KSPI,NXT,LIF,MSI,BSP,QTWO,DOCU,RDWR,MCHP,TDC,WDAY,SONO,DAKT,ITRI,ASTS,APLD,ALKT,SWKS,PLAB,TOST,GWRE,LOGI,NN,CLS,NOW,AVNW,SONY,IONQ,MCHPP,CDW,CSQR,NVMI,SSNC,IT,SMCIP,CDNS,DFIN,RMBS,NXPI,WK,ROP,TEL,SPSC,EFOR,DSGX,EXLS,UPBD,IPGP,QCOM,JKHY,QBTS,ALMU,VNT,DCBO,PCOR,ACFN,SAP,QNT,BLKB,APPF,STRC,SEDG,VHC,OSIS,RGTI,EEFT,NTGR,GIB,OTEX,CSIQ,BMI,MBGL,NCNO,ADSK,STRF,CRM,ADBE,G,IBM,CRUS,UBER,CTSH,BSY,NICE,MQ,OCTV,TCX,VIA,PTC,BR,STRD,DUOL,SNPS,TRMB,LDOS,ZS,CHKP,MNDY,GDDY,CRWV,UI,SMCI,ACN,PAYP,SKHY,KVYO,FIG,GDS,OLED,FORTY,PAR,STRK,DOX,FICO,TYL,FIS,CNXC,CLFD,PSN,ORCL,CALX,PEGA,BL,EPAM,CBRS,IIIV,FOUR,GLOB,HUBS,JKS,INTU,WIX,BLSH,MSTR,ALIT"
4,Energy,62,55,37,59,"FTK,FET,NESR,NGL,PBF,DK,OII,PBT,WTTR,VLO,PARR,EC,INSW,MPC,APA,FRO,DINO,CMBT,CVE,PSX,NBR,WHD,HP,WKC,LPG,FTI,TEN,EQNR,EFXT,BWLP,TRGP,KGS,INVX,OVV,WBI,TDW,DHT,NCSM,E,PR,YPF,LB,SUNC,TBN,VAL,CNQ,XPRO,TNK,NOV,SM,SU,VIST,OXY,IMO,SOBO,WDS,SUN,CHRD,PAGP,TTE,REPX,XOM,DKL,TRMD,PAA,PBR,EE,SLB,STNG,SDRL,PBA,TS,NGS,COP,FANG,BKR,SEI,KNTK,SHEL,SMC,EOG,WES,NE,LNG,OKE,CQP,AROC,GLNG,DVN,NVGS,TRP,EPD,CVX,FLOC,FLNG,AM,RNGR,VTOL,MUR,ET,MPLX,WMB,CNR,BP,APC,HESM,KMI,WFRD,DTM,GLP,PDS,HAL,EROK,CVI,DMLP,MTDR,USAC,ENB,CAPL,CNX,PNRG,RRC,AR,LBRT,WHK,IMPPP,SBR,MGY,BTU,NFG,TPL,VNOM,HMH,ARLP,CRC,NRP,CCJ,TGS,BKV,EQT,NOG,GEL,NC,EXE,GPOR,LEU,VTS"
5,Basic Materials,59,69,42,40,"HYMC,FRD,AYA,MTRN,NWPX,CLMT,CGAU,HBM,AUGO,KALU,MT,ERO,NUE,RMIX,KOP,STLD,PRM,SKE,ELVR,ODC,TECK,ASH,CSTM,CLW,SCCO,IAG,FCX,CENX,BHP,SSRM,JHX,TX,HL,ARIS,SIND,RS,AXTA,AVNT,SA,BVN,EGO,SCL,AG,CMT,B,NGVT,HCC,NEU,RIO,ESI,CMP,SQM,NEM,SXT,MTUS,IFF,AU,KWR,PAAS,REX,OGC,IOSP,MEOH,ELE,DD,CBT,WPM,CDE,FNV,UAN,CF,HMY,ACNT,RGLD,MTX,BCC,AA,VHI,ALB,BCPC,PPG,USLM,TFPM,WFG,SHW,IDR,APD,WDFC,KGC,RPM,EMN,IPI,ECL,MUX,SSD,LYB,AEM,CTVA,SIM,PPTA,AAUC,LIN,USAU,WS,DOW,SOLS,SMG,NTR,FUL,GFI,UFPI,WLKP,USAR,TTAM,EXP,CC,DRD,VMC,OR,AGI,SSMR,SLVM,WLK,CRH,MOS,CMCL,AMR,MLM,CE,AMRZ,PKX,HWKN,TGLS,CTGO,KNF,OLN,ASIX,MP,SMID,MSB,IPX"
6,Financial Services,57,53,61,50,"MAAS,RACC,HUT,ECPG,PMTS,ENVA,AAMI,LIFE,CCXIU,ATLC,CCXI,CARE,MSBI,MRX,BFH,VCTR,UFCS,CIB,PRCH,WULF,GCBC,BOTJ,AMAL,STT,PGC,BWFG,DGICB,WT,SEZL,TWN,MBIN,SAFT,CBNA,IX,SKWD,ALRS,AMTB,HFBL,AMG,FNWD,RBCAA,CHMG,KF,SMFG,HBT,BBVA,IFS,UVE,MUFG,PS,CFBK,OPY,BMO,HG,AGM,PFIS,BNY,VOYA,PKBK,SMBK,CBC,CMTV,TD,FISI,FMAO,TRV,SHBI,HSBC,WRLD,HRTG,THFF,BWIN,VIRT,FCAP,CBK,CZFS,INBK,PBAM,BPOP,FBIZ,RY,PLGO,SRCE,VBNK,CAC,ACNB,PLBC,BAP,GOLD,TRST,OSBC,TMP,OBK,FVCB,CNO,ING,CTBI,KB,OBT,EGBN,NTRS,FBP,STK,ATLO,PEBO,SNEX,UBS,CM,ASIC,GSBC,WSFS,RRBI,BY,FRAF,FNLC,IVZ,PRAA,SHG,BNS,AIZ,CCNE,UVSP,ALL,ESQ,THG,TWFG,WTBA,FRST,MS,WSBC,GL,WASH,HQL,CFG,FXNC,RBB,PFG,MCY,DCOM,EZPW,FSEA,BEN,NIC,WSBF,MET,SMBC,FMBH,PDLB,SBFG,SLF,NKSH,HQH,BSTZ,FCBC,SFST,BUSE,PEBK,BCS,LCNB,TFSL,FSBC,FDSB,RIOT,MYFW,BOW,QCRH,USCB,BPRN,TFIN,EBC,USB,NBN,STBA,CPF,NWG,CATY,PBFS,CIVB,MFC,CFR,AVBC,FFBC,MBWM,JXN,CNOB,RGA,HASI,GS,TSBK,MTB,FUNC,BWB,CPBI,FCF,CBNK,OFG,FULT,FDBC,NTB,MBBC,BAC,HBCP,CZNC,FITB,PRK,MCBS,BHB,CCBG,MPB,PNC,LOB,NWBI,SRBK,WBS,ZION,ACT,CNS,LARK,KINS,MKTW,C,NBTB,EBMT,BSRR,CACC,LNC,CFFI,SEIC,HWBK,TCBK,NP,FHI,PCB,GABC,BSAC,FCCO,BFST,BOKF,AROW,UMBF,CBAN,UBSI,HWC,FBLA,COSO,ORRF,HNVR,FNRN,IBKR,AVBH,HTB,PRU,PRI,HBNC,NWFL,BLX,BVFL,NODK,DBRG,EIG,EQBK,FRBA,MCHB,SYBT,EWBC,CHCO,ECBK,HCI,PFS,BHRB,SLDE,UNM,PBHC,WF,BCAL,HAPN,SFNC,BCH,NECB,JPM,HMN,SII,HAFC,WHG,UNTY,FBNC,CEE,WTW,GSHD,HFWA,RF,LSBK,ASB,MRBK,SIGI,ITIC,BST,NBBK,AUB,CLST,EMF,ONB,TCBX,ISTR,RCBC,IBCP,MCB,BSVN,WABC,RGT,PYPL,VABK,JMSB,EFSC,BBT,CB,MVBF,TBBK,FMNB,CZWI,RNR,NMIH,TRMK,AMP,FCNCA,AX,PFBC,CCD,IOR,BFC,CUBI,NFJ,FDS,SCHW,EVT,BME,KEY,CVBF,FCFS,SFBS,WAFD,EFSI,CNA,RVI,INDB,NRIM,COFS,FBK,PEO,ASA,CAF,SPFI,EQH,TROW,ADX,NXG,CRBG,OPBK,FUSB,BTO,MNSB,L,RLI,DB,SSB,MTG,FNB,SBCF,WTFC,AFL,TRIN,CWBC,EG,COLB,RNST,FAF,OMF,ABCB,GAIN,BMRC,BMEZ,ESNT,AFG,PLMR,HOMB,BANR,CSWC,PNFP,GGZ,RVT,CBFV,HYNE,SPNT,PROV,IGIC,RJF,FIBK,AFRM,CBSH,UBCP,RMBI,UCB,BOH,OVLY,HTH,ETG,V,BGR,CINF,FSUN,SATA,TFC,NCZ,ETO,FHN,FRME,LCLN,GDV,ORI,HIPO,CSQ,THQ,GAM,OVBC,MGYR,JCAP,NCV,EMO,SPXX,CET,CBU,HIG,CASH,PFX,WTM,SYF,DGICA,NBHC,OZK,PB,MXF,TOWN,AIO,FFA,QQQX,FGNXP,IREN,AON,TCBI,BKU,ASGI,BCAT,FGBIP,HBAN,JCE,MRSH,AJG,BCV,HIFS,VRTS,BHF,TCBS,STEW,TY,AII,AUBN,GLRE,SF,PJT,FHB,NDAQ,ALLY,SFBC,OCFC,FFIN,VALU,SLM,BANC,FSBW,HOOD,RMI,BLK,TBLD,CII,WFC,FRHC,MA,COF,MIAX,ACGL,FRBT,ETV,ACV,FDUS,JEF,LPLA,BCML,GBCI,BBAR,RDN,UTF,SRV,AXS,BMA,TRU,LGI,MEGI,AXP,ECCC,NBXG,EOT,SBSI,CNOBP,NPB,NEWTP,NIE,MBINL,SCD,MORN,IBN,IBOC,ETB,RLTY,ATLCP,RYAN,WRB,PGR,KNSL,BRO,MSBIP,APAM,MNSBP,OXLCO,BX,HTD,SOR,GLU,MBNKO,AIG,OCCIN,MBINM,ARCC,ECAT,OXLCN,LKFN,BANX,BWBBP,BAM,MC,MCO,CCID,EICA,BUSEP,CBOE,CCNEP,FOA,SPME,IOND,MAIN,VEL,EIIA,UMBFO,MKTX,HTGC,TIPT,BPYPM,SLMBP,PDPA,SPMA,PDX,BTT,ONIT,ONBPP,WSBCO,OCCIM,BMN,CRVL,BUI,EOI,WAL,ARES,WAFDP,SDHY,ONBPO,EFSCP,VLYPN,VLYPP,FFC,HBANL,GUG,MMD,VLYPO,WTFCN,BANF,HPI,GBLI,MSCI,ETOR,UTG,STC,NNI,HPF,MBINN,BNT,DFP,FRMEP,MKL,ETX,BBN,RNP,APO,LDP,OZKAP,TPG,IGI,BN,PSF,FLC,ISBA,EOS,NBB,FG,TCBIO,PTA,ERIE,IIF,MSDL,UNB,PUK,EVR,BXSL,GLAD,GGAL,FPF,PSUS,NPFD,SOFI,TSLX,ACGLN,FNF,NTRSO,KLAR,FCNCP,ACGLO,TYG,KKR,FULTP,LMND,JLS,CME,FCNCO,ICE,HBANP,HBANZ,SIGIP,RM,AB,PIPR,SPGI,HBANM,XZO,TW,HLNE,CG,AGO,LAZ,ZIONP,MPV,XP,PDI,PWP,MCI,SAR,XFLT,AIFU,UPST,TRUP,STEP,KMPR,AMSF,GLXY,PFSI,FIGR,DXYZ,HERZ,HLI,HDB,ROOT,BMNR,BOT,COIN,FUTU,CRCL,WD,TREE,GBFH,BETR,GSIW,CCB,VCX"
7,Industrials,57,55,54,49,"DFNS,SIF,BUUU,FCEL,SMX,EDRY,PKOH,OESX,NCEW,BE,CDNL,ATI,PLPC,TH,DCO,MAN,ATRO,IESC,FA,CRS,TWIN,PL,PRLB,GEO,CXW,ECO,ARXS,KFRC,AGX,SHIP,NVRI,HSHP,GHM,PKE,VOYG,KELYB,XMTR,MATX,PESI,CYRX,GRC,AIR,FIX,MTW,RHI,LIME,ARCB,UNF,MRCY,TPC,AIRT,PBI,DXPE,BXC,SXI,DAL,KELYA,UHAL,RHLD,AEIS,EFTY,ESLT,POWL,TKR,NMM,NSP,ATKR,ZIM,SWK,HLIO,WTS,ALGT,ARMK,JBHT,NVT,CBZ,FSTR,ECG,UAL,RKLB,TNET,CSW,CAT,PHOE,ACA,ADUR,KNX,VRT,ENS,HXL,DAC,VVX,SNDR,SBLK,CMPR,LGN,PRG,MG,ESOA,URI,CASS,NPO,GEV,GFF,MSM,ISSC,FDX,WCC,PH,PWR,CVLG,TRNS,R,HURC,WAB,RTX,BKSY,GIC,LUV,TFII,HWM,AIT,CSX,GNK,CMCO,CIX,CMI,EXPD,ESEA,KFY,GE,ODFL,HRI,CNI,MYRG,ULH,AZZ,BRC,AAL,JCI,LXFR,IEX,DSGR,XPO,PCAR,OC,CLH,STRL,CMDB,TEX,NDSN,BLBD,NX,MLI,FLR,RCMT,MEC,UNP,MMM,GSL,HEI,ASC,LSTR,MIDD,VSEC,FPS,ETN,DY,AME,CR,SNA,FLS,ESP,EML,HUBG,ICFI,DNOW,RXO,WERN,CMC,LMT,SKYW,GWW,TTC,CP,FAST,EBF,DE,RYZ,WWD,GTES,GD,DCI,GPN,KRNT,APOG,AYI,ITW,LTM,DLX,DRS,NPK,CPA,RBC,CECO,AADX,EMBJ,AER,EMR,MSA,ROK,LUNR,MAS,DPC,NSC,AXON,VMI,FELE,KMT,CW,ABM,OTTR,ITT,ALK,RJET,KEX,HON,SUNB,TREX,LECO,ALLE,GHC,HUBB,EME,GVA,CTAS,HURN,FSS,IR,WSC,BETA,TT,KE,OSK,CSL,MDA,FTAI,LOAR,VSECU,FBIN,NSSC,CCEC,SARO,UPS,MTZ,ZTO,J,FERG,KAI,DOV,ZWS,GNRC,ROCK,BA,TTEK,CXT,GATX,APG,MGRC,IIIN,FER,VLTO,TISI,TXT,CAAP,HII,WM,TAYD,WMS,SPXC,REZI,RRX,AWI,HY,CRAI,TATT,BCO,FTAIM,CDLR,HAYW,OMAB,ENR,ARLO,ROAD,WOR,POWWP,RSG,GGG,WLDN,SEB,WCN,CAR,TITN,SAIA,ELMT,CARR,MWA,OFLX,GFL,PAM,GBX,DLB,CDRE,EXPO,EPAC,TRN,RGR,KBR,NOC,CAE,CWST,AOS,VRSK,LNN,AIRTP,ULS,FDXF,RELX,AMTM,RYAAY,TDG,LHX,CHRW,AAON,BBSI,LPX,EFX,AMRC,FWRD,TRC,TRI,XYL,MATW,ALG,ASTE,PAC,KTOS,GXO,FCN,PPIH,TNC,RBA,AGCO,KRMN,FLY,BAH,POOL,MAIR,OTIS,BBUC,AERO,CNM,JBTM,ASR,AVEX,BWXT,QXO,AVAV,HONA,ESAB,LII,SPCX,RTO,WSO,INIO,MMS,ONT,SITE,EQPT,ACM,XE,BWMN,CPRT,PNR,BLDR,HAWK,STN,AMSC,MIR,PRIM,ATS,SYM,NNE,LMB,PSIX,MFP,WLFC"
8,Consumer Cyclical,52,61,58,44,"DBGI,LVLU,VSXY,NDLS,LIND,ANDG,CAKE,CTRN,HBB,BJRI,VAC,FLXS,MOV,MYE,SN,KRT,CBRL,EAT,GTX,BZH,RCKY,VIK,ELA,ESCA,CALY,LTH,WEYS,BDL,CROX,FTDR,ETSY,M,SHOO,LQDT,BWA,MLKN,EXPE,ROST,W,TILE,FIVE,ABNB,BSET,MGA,ANF,HOFT,DIN,GEF,YETI,KMX,VGNT,JAKK,KSS,LEGH,TPR,LOCO,RUSHB,CART,RUSHA,SKY,JILL,CYD,WSM,PENN,PAG,GCO,CASY,INTG,HVT,HZO,CZR,PRSU,GLBE,THRM,BURL,GM,BBY,LAD,MLR,MGM,COOK,CRI,GIII,HNI,TXRH,XPEL,SON,RIVN,RH,MCRI,MHK,PLOW,SBH,PKG,LGIH,RSI,CVCO,STRT,RL,EBAY,BOBS,LOVE,LZB,BH,MUSA,TNL,OPLN,SW,CCK,IHG,PHIN,SAH,REYN,HOV,LEVI,ALSN,H,MHO,CARG,CVEO,RVLV,BKNG,MAR,OSW,RGS,TOL,HRB,HMC,PII,PVH,BALL,AMCR,RACE,SBUX,PRKS,GPC,BC,ALH,HOG,AMZN,DAN,KTB,SIG,RCL,RRR,MTN,DDS,DOO,IP,TJX,PHM,MTH,JD,GRBK,HLT,AEO,URBN,DASH,DORM,GOLF,DRI,TRS,BWMX,CPS,HAS,MCFT,JACK,AIN,JMKE,KBH,RICK,JOUT,SCI,AAP,REF,AN,SMP,ATMU,IBP,FND,MOD,CCL,ULTA,AS,LEA,MBUU,AVY,ALV,QSR,ETD,SE,FOXF,DHI,CHH,HGV,GNTX,HTHT,BYD,COLM,HD,ABG,YUMC,VIPS,VVV,YUM,NCLH,DECK,SLGN,GIL,ORLY,BROS,CVNA,MMYT,WWW,DKS,CPHC,ONON,VC,NATH,TM,BIRK,ZUMZ,ATAT,LCII,BOOT,WINA,CHDN,DPZ,NVR,WYNN,CMG,LOW,ASO,EYE,WGO,WH,MCD,BBWI,OXM,KEQU,BABA,MELI,BKE,CAVA,GAP,THO,HSAI,BFAM,DFH,CHWY,AZO,LEN,SGI,SHOE,DKNG,PATK,ADNT,PDD,SHAK,TSLA,LULU,LVS,LKQ,BBW,GME,TSCO,CSV,TCOM,CPNG,CPRI,PLNT,FUN,KRUS,NKE,APTV,GPI,BGSI,WHR,PZZA,ROL,FLUT,WING,NEGG"
9,Communication Services,48,51,46,51,"QMMM,BBGI,ATEX,SPHR,IRDM,STRZ,NBIS,MCS,GSAT,TIGO,MGNI,ATNI,LILAP,QNST,ZD,IMAX,MSGS,ROKU,GRPN,MSGE,WLY,WPP,WLYB,CNK,ECHO,SCHL,OPRA,SIFY,JOYY,SIRI,SKM,WBD,IDT,MANU,EVER,VOD,GOOGL,GOOG,LYV,PSO,VEON,OMC,LLYVK,LLYVA,PPLI,BATRK,TTWO,BATRA,MTCH,FWONA,FWONK,GRVY,NWSA,NWS,NTES,VZ,AMX,FOXA,ATHM,FOX,TKO,SPOT,CHT,NXST,VSNT,BZ,CRTO,DIS,RCI,PINS,BCE,PHI,RDDT,LBRDP,NYT,T,CMCSA,KT,ADV,LFTO,META,BIDU,YELP,WMG,TMUS,TLK,TIMB,LBRDA,LBRDK,NFLX,TDS,CHTR,GLIBA,BILI,APP,GLIBK,AD,GIBO,ZG,Z,RBLX,CABO"
10,Real Estate,46,41,50,45,"CBL,PEB,NHPBP,NHP,XHR,OUT,NHPAP,FVR,APLE,SEG,PSTL,MAC,HST,LXP,NREF,WELL,AHR,CDP,JAN,RHP,CCS,LAMR,SLG,DOC,VTR,CTO,CURB,VNO,SPG,PINE,HIW,EQIX,JLL,IRM,ALX,MDV,AAT,SKT,FRT,EPR,IIPR,CUZ,PSA,BNL,IVT,RMR,CTRE,FR,TRNO,ESS,KIM,JOE,KRG,XRN,PECO,HR,GTY,FOR,NNN,BXP,SAFE,OHI,EGP,DEA,DLR,PLD,SBRA,LANDO,MLP,OLP,MMI,BRX,EXR,LTC,VTMX,CPT,ADAML,LINE,CUBE,ARL,NTST,UHT,LANDP,AMH,ADAMN,INVH,EQR,GOODN,NLY,WY,UDR,IRT,O,UE,BPYPP,AVB,KRC,ELS,REG,BFS,WHLRD,WPC,SMA,MAA,AGNCL,UMH,BPYPO,AGNCM,BXDC,ADC,AGNCN,AGNCO,AGNCP,RYN,ADAMM,AGNCZ,FCPT,AKR,EPRT,ADAMZ,NHI,REGCP,STAG,MRP,ARR,REXR,CBRE,REGCO,AXR,SUI,HHH,BEKE,MAYS,CHCT,GLPI,FRPH,AMT,FSV,ARE,CSR,VICI,SBAC,STWD,TCI,NEN,OZ,STRS,NXRT,CCI,CIGI,EUDA,ACR,CSGP,OPI"
