Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
30,TWST,123.12,124.88,1055722.0,Healthcare,Diagnostics & Research,98.0,97.0,98.0,98.0,8.775,8.2393,1786800.0,1953670.0,125.66,23.3,7720538112,NO,98.48,90.51,55.43,96.79,66.82,,1953,0.0,1055722,NO,NO,2022-11-15,7568500.0
38,MXL,69.02,68.44,895971.0,Technology,Semiconductors,98.0,1.0,1.0,98.0,8.2809,7.2666,4239320.0,3013670.0,128.3,12.77,6259643904,NO,72.52,83.33,42.76,80.85,55.07,,4121,0.0,896436,NO,NO,2026-04-24,29044000.0
41,CDNA,47.23,47.07,637919.0,Healthcare,Diagnostics & Research,98.0,98.0,98.0,98.0,2.4779,2.2342,1018419.0,1488380.0,49.76,11.27,2443407360,NO,40.74,31.79,22.07,35.02,24.79,,3035,0.0,637919,NO,NO,2025-07-17,16111000.0
42,SNOU,68.78,68.96,37658.0,ETF,ETF,98.0,98.0,98.0,98.0,5.3479,5.0582,213332.0,109660.0,76.31,10.51,0,NO,53.21,44.94,37.35,47.27,31.32,,326,0.0,37658,NO,NO,2026-05-28,1302300.0
47,BAND,51.62,52.71,591692.0,Technology,Software - Infrastructure,98.0,0.0,53.0,98.0,5.5018,4.5418,1357703.0,1597630.0,79.08,12.5,1661172224,NO,54.62,59.74,30.57,58.3,38.68,,2198,0.0,591692,NO,NO,2022-11-02,11116300.0
51,CRWL,81.49,84.11,57155.0,ETF,ETF,98.0,97.0,98.0,98.0,5.7809,5.3893,163433.0,88960.0,85.17,15.25,0,NO,66.51,61.51,38.19,63.03,40.0,,436,0.0,57155,NO,NO,2026-02-23,1426500.0
72,ICHR,67.51,64.77,487602.0,Technology,Semiconductor Equipment & Materials,98.0,1.0,8.0,97.0,8.3664,7.2037,1173498.0,1264570.0,113.58,14.06,2528535040,NO,77.86,84.05,50.58,85.85,64.28,,2429,0.0,487602,NO,NO,2018-08-24,8215700.0
76,WDC,437.93,438.34,5454730.0,Technology,Computer Hardware,98.0,1.0,6.0,94.0,49.8893,39.965,8468214.0,9862560.0,799.87,73.14,150946643968,NO,499.34,557.48,344.38,543.13,415.63,,12042,0.0,5454730,NO,NO,2009-06-30,65696343.0
77,SOXL,133.0,130.0,37426472.0,ETF,ETF,97.0,1.0,1.0,97.0,19.5386,16.5143,65829508.0,88265100.0,302.0,23.66,0,NO,133.88,187.09,101.76,176.36,125.35,,4130,0.0,37426472,YES,NO,2025-04-09,787748800.0
78,LRCU,51.79,50.18,51949.0,ETF,ETF,97.0,2.0,10.0,91.0,7.2619,5.6965,130141.0,137620.0,113.66,7.68,0,NO,51.56,67.72,42.94,66.21,51.17,,246,0.0,51949,NO,NO,2026-07-30,400400.0
98,PLTL,60.07,60.18,700.0,ETF,ETF,97.0,98.0,,,4.0386,2.0285,1751.0,2760.0,62.95,27.78,0,NO,40.65,,,,,,32,0.0,700,NO,NO,2026-08-10,9400.0
99,PENG,57.33,55.18,1079984.0,Technology,Information Technology Services,97.0,0.0,93.0,98.0,5.0791,4.5226,3812759.0,2312600.0,89.86,16.04,2937744128,NO,56.19,62.95,33.74,61.6,39.87,,2316,2.74,1080652,NO,NO,2019-01-09,15604200.0
103,UCTT,86.07,82.27,629900.0,Technology,Semiconductor Equipment & Materials,97.0,3.0,43.0,95.0,9.5186,8.545,1398370.0,1652160.0,144.22,21.49,3858152192,NO,88.6,99.1,62.75,100.36,77.9,,5630,2.95,629900,NO,NO,2018-01-02,7165600.0
116,PVLA,154.3,152.22,188406.0,Healthcare,Biotechnology,97.0,77.0,91.0,97.0,8.5095,8.1624,253419.0,161580.0,161.38,40.92,2223217152,NO,146.59,134.69,112.22,140.8,121.45,,2918,1.2,188406,NO,NO,2024-07-24,5845900.0
123,BE,211.21,210.63,8641642.0,Industrials,Electrical Equipment & Parts,97.0,5.0,2.0,91.0,25.7529,23.1482,14232074.0,21749540.0,351.28,38.18,62207127552,NO,209.37,250.45,182.65,239.29,208.94,,2022,0.0,8641642,NO,NO,2024-11-15,64722200.0
153,MTRN,280.8,279.67,203627.0,Basic Materials,Other Industrial Metals & Mining,96.0,90.0,94.0,97.0,21.8243,17.8593,385401.0,546560.0,304.58,104.9,5850109440,NO,245.13,250.86,174.73,260.02,199.3,,11695,0.0,203627,NO,NO,2007-06-20,4251800.0
162,VICR,210.88,208.81,418223.0,Technology,Electronic Components,96.0,2.0,1.0,90.0,19.2657,16.6986,874209.0,725240.0,382.65,45.44,9722987520,NO,217.39,271.73,192.08,260.51,225.38,,9155,0.0,418223,NO,NO,2023-07-26,4839800.0
170,TSAT,59.48,56.74,228240.0,Technology,Communication Equipment,96.0,98.0,73.0,97.0,4.1436,3.775,276301.0,341710.0,60.78,19.59,3055995648,NO,43.17,44.53,37.81,45.17,41.84,,5293,0.16,233125,NO,NO,2023-08-11,23276300.0
179,CRWD,221.9,225.16,6033650.0,Technology,Software - Infrastructure,96.0,93.0,97.0,97.0,8.9531,8.5339,11652403.0,7940380.0,226.9,85.68,225951727616,NO,198.41,187.84,135.8,191.19,142.25,,1801,0.0,6033650,NO,NO,2024-06-21,209024000.0
185,VAC,114.86,113.24,284579.0,Consumer Cyclical,Resorts & Casinos,96.0,93.0,96.0,97.0,6.4207,5.5586,507201.0,653150.0,131.34,44.58,3950646528,NO,102.78,98.26,71.99,102.14,79.64,,3709,0.32,284579,NO,NO,2018-08-31,7085300.0
186,ANDG,48.47,49.12,228289.0,Consumer Cyclical,Personal Services,96.0,92.0,93.0,98.0,2.3361,2.2911,351469.0,343900.0,50.48,18.12,5452184064,NO,45.89,41.26,,42.39,33.45,,162,0.0,228289,NO,NO,2025-12-17,7670200.0
188,AMAT,525.61,522.12,6384413.0,Technology,Semiconductor Equipment & Materials,96.0,5.0,87.0,94.0,35.3564,29.4596,9658451.0,7468510.0,739.67,154.47,417312997376,NO,528.29,556.07,384.17,565.51,441.46,,11695,0.0,6384413,NO,NO,1997-10-24,245229200.0
196,NTAP,198.47,198.72,2012966.0,Technology,Software - Infrastructure,96.0,94.0,97.0,97.0,7.9707,7.5814,3321119.0,2788490.0,202.27,93.69,38946615296,NO,175.99,168.61,123.52,169.49,131.41,,7729,0.0,2013642,NO,NO,2012-05-24,54215800.0
197,MAN,56.24,56.52,418687.0,Industrials,Staffing & Employment Services,96.0,97.0,98.0,95.0,2.4471,2.2571,1280850.0,1178070.0,57.94,25.15,2615572992,NO,52.9,42.04,32.6,45.02,34.85,,9532,0.0,418687,NO,NO,2025-09-19,9102700.0
201,FTNT,161.89,164.21,3769578.0,Technology,Software - Infrastructure,96.0,40.0,95.0,97.0,7.263,7.1423,6086340.0,6798240.0,172.09,73.55,118780903424,NO,158.88,154.04,103.31,155.36,114.52,,4206,0.0,3769578,NO,NO,2018-10-10,166853000.0
213,NBIS,193.23,184.11,19726706.0,Communication Services,Internet Content & Information,96.0,6.0,55.0,97.0,24.1988,21.2916,20035754.0,26807120.0,299.86,62.01,49060745216,NO,193.63,221.93,144.24,213.17,162.95,,452,1.74,19739205,YES,NO,2025-09-09,88378300.0
215,COHU,52.82,49.47,540744.0,Technology,Semiconductor Equipment & Materials,96.0,32.0,52.0,95.0,4.845,4.2271,1382100.0,1297930.0,74.6,18.67,2500416000,NO,50.51,56.18,37.7,56.58,43.64,,11695,3.36,540744,NO,NO,2025-09-25,6205800.0
227,MOV,37.0,36.75,113626.0,Consumer Cyclical,Luxury Goods,96.0,14.0,94.0,93.0,1.3893,1.3361,252780.0,166540.0,40.5,15.45,822407552,NO,38.01,37.93,27.15,38.1,30.46,,8271,0.0,113626,NO,NO,1993-09-30,6273375.0
232,UCYB,92.62,94.138,13631.0,ETF,ETF,95.0,92.0,97.0,97.0,4.3119,3.7651,6024.0,12400.0,95.21,36.03,0,NO,80.92,76.98,57.43,77.85,58.62,,1395,0.0,13631,NO,NO,2026-08-10,28200.0
240,VIAV,38.4,37.2,3256639.0,Technology,Communication Equipment,95.0,8.0,1.0,91.0,3.29,2.9186,6965761.0,6603630.0,60.43,10.3,9472729088,NO,38.55,43.93,32.81,42.52,39.21,,8237,0.83,3256639,NO,NO,2013-12-20,87404420.0
248,LRCX,311.41,306.4,6862609.0,Technology,Semiconductor Equipment & Materials,95.0,8.0,62.0,91.0,23.5407,18.4843,11673861.0,12312290.0,438.5,94.11,389660475392,NO,305.09,337.47,246.86,337.1,279.96,,10649,0.0,6862609,NO,NO,2012-06-04,298766000.0
266,NTRA,312.72,318.35,942308.0,Healthcare,Diagnostics & Research,95.0,91.0,97.0,93.0,14.5984,11.4666,1477832.0,1580500.0,326.03,152.62,45076766720,NO,273.98,256.43,224.37,269.06,226.65,,2794,0.0,944074,NO,NO,2022-03-09,41733200.0
273,KFRC,57.95,57.85,115065.0,Industrials,Staffing & Employment Services,95.0,64.0,94.0,96.0,2.4811,2.3546,223887.0,274000.0,61.68,24.49,1037826560,NO,57.74,52.67,37.21,53.8,40.7,,7798,0.0,115065,NO,NO,2000-01-26,6210400.0
280,GPCR,52.13,53.805,429590.0,Healthcare,Biotechnology,95.0,42.0,94.0,1.0,2.4069,2.3644,705122.0,470950.0,94.9,17.52,3705114368,NO,49.62,47.8,52.77,49.49,53.15,,882,0.0,444139,NO,NO,2025-12-08,19520000.0
282,GSAT,83.56,83.82,668621.0,Communication Services,Telecom Services,95.0,72.0,46.0,92.0,1.1143,0.9829,1297570.0,1200830.0,84.85,24.37,10826316800,NO,81.1,80.87,69.46,81.08,74.09,,4972,0.0,696452,NO,NO,2021-08-30,37190507.0
284,IESC,780.0,751.09,145783.0,Industrials,Engineering & Construction,95.0,96.0,82.0,95.0,61.0786,49.6864,250029.0,218220.0,811.85,309.51,15540998144,NO,668.6,685.5,533.19,698.3,593.8,,7178,0.58,145783,NO,NO,2007-09-06,1946500.0
293,STM,55.04,54.35,3966890.0,Technology,Semiconductors,95.0,1.0,11.0,95.0,3.5111,2.2261,12429874.0,10271550.0,81.42,21.11,49126969344,NO,56.3,66.62,42.85,64.4,50.37,,7970,0.0,3966890,NO,NO,1994-12-08,41167800.0
302,ILMN,192.84,191.79,867938.0,Healthcare,Diagnostics & Research,95.0,45.0,94.0,95.0,8.3482,7.9846,2017845.0,2644090.0,207.0,88.0,29118838784,NO,193.89,181.81,143.17,184.5,150.5,,6547,0.0,867938,NO,NO,2024-06-21,36257766.0
304,FROG,86.1,88.15,2120049.0,Technology,Software - Application,94.0,8.0,90.0,95.0,5.4451,5.3098,2810596.0,2696650.0,99.22,34.05,10428408832,NO,83.68,85.09,62.09,85.77,64.1,,1482,0.0,2120049,NO,NO,2026-06-26,26093700.0
305,TENB,37.84,36.7,1511735.0,Technology,Software - Infrastructure,94.0,12.0,98.0,96.0,2.1714,2.1157,3717096.0,4025880.0,43.67,15.73,4172691712,NO,35.14,33.27,25.4,34.13,25.52,,2021,0.3,1512649,NO,NO,2026-02-05,11369900.0
310,KLIC,91.02,86.5,602210.0,Technology,Semiconductor Equipment & Materials,94.0,2.0,7.0,86.0,7.5889,6.5979,1093885.0,1285800.0,135.8,35.02,4762995712,NO,95.61,107.23,74.75,106.5,87.47,,13481,2.5,602210,NO,NO,2000-08-03,23567800.0
312,ERO,36.3,36.54,1668571.0,Basic Materials,Copper,94.0,98.0,91.0,76.0,1.6024,1.3826,1235633.0,1382970.0,39.8,13.37,3786185472,NO,28.07,27.76,27.59,28.51,28.64,,2212,0.0,1668571,NO,NO,2026-01-29,4622800.0
