Rank,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Health technology,95,82,96,95,SI
2,Healthcare,72,62,74,63,"QTTB,ERAS,CLYM,AGL,FBRX,MRNA,TWST,ANRO,TXG,ORKA,SYRE,AMLX,NVCT,ETON,DFTX,RLAY,DMRA,CDNA,RVMD,XNCR,PRAX,MBX,PLSE,FTH,RLYB,BDSX,DNTH,TRAX,VOGX,PSNL,OMER,ALMS,CRNX,LBRX,APGE,ELVN,CORT,SPRB,TNGX,QURE,TVTX,MNPR,ANAB,CGEM,ARWR,PACS,SCTX,OSCR,URGN,SEPN,APLM,PTGX,NEO,NBTX,ANIK,LQDA,RAPP,MANE,CRL,EWTX,DSGN,NRIX,HTFL,HNGE,KOD,KYMR,ELOX,INBX,ADPT,ILMN,IMVT,KNSA,NGNE,AXGN,FDMT,GH,FBIOP,FTRE,CGON,GKOS,NUTX,ROIV,PVLA,RCUS,HAE,VREX,TGTX,GHRS,IMUX,DCTH,YARW,NTRA,IMNM,TRVI,MCTA,SLGL,AMN,VOR,DYN,JBIO,ATRC,BTSG,CNC,HALO,CLDX,BLFS,COAG,ALMR,BTSGU,NHC,HUM,TECX,CON,ALKS,SMTI,CBLL,KRYS,AMRX,ELMD,ACHC,ODTX,PDEX,OMDA,THC,PARK,STRO,COGT,IQV,ITGR,ZBIO,GRAL,PRPO,CUE,BCAX,RGEN,JAZZ,CSTL,ANGO,LGND,GPCR,KIDS,NKTR,MRK,PHVS,TNDM,LNTH,ASTH,BRKR,TECH,BLTE,NRC,RPRX,PCVX,IDYA,ICUI,AVTX,SRRK,DNLI,ZYME,BRKRP,TEVA,XENE,UFPT,ICLR,MEDP,BIO,MD,BBNX,INCY,GENB,AZTA,CAI,BAX,SRZN,MMED,RIGL,AMGN,SDGR,PNTG,RVTY,WST,ACAD,SLP,LLY,CTNM,AVLN,DXCM,TMO,SPTX,BBIO,CARL,ARGX,CYTK,IART,VRTX,VEEV,LH,JNJ,DGX,A,CTEV,NVCR,VTVT,CLPT,BIIB,BMY,AKTS,REGN,LIVN,HIMS,SIBN,TYRA,HRMY,WAT,VTRS,AVBP,HCSG,CNMD,BDX,EXEL,KMTS,HSIC,BEAM,PBLS,SOLV,UNH,AXSM,ZLAB,NVST,CHE,MMSI,LTGO,SNDA,GMAB,MAZE,MOH,HSTM,ABBV,CAH,SHC,HQY,IRON,WGS,ASMB,GRDN,DRUG,STVN,STOK,RYTM,UTMD,RDNT,TEM,ESTA,VCEL,VRDN,ELV,ADUS,BMRN,CVS,WRBY,ARQT,ELAN,DVA,AUPH,TFX,IMCR,AGIO,TAK,GLSI,MIRM,INDV,ONC,MTD,TARS,UTHR,BNTX,ASND,CBIO,GILD,DHR,CRSP,NVS,BLCO,EHC,TCMD,ABT,USPH,BLLN,ZBH,PTCT,MCK,VERA,VCYT,COO,MESO,SGP,PFE,INMD,NBIX,EW,JANX,ABVX,PEN,SNDX,ATR,OBX,PGNY,VKTX,MDGL,GSK,GMED,INSP,MDT,GEHC,HROW,PTHS,PCRX,COR,SRPT,TBPH,ALGN,APMD,FMS,NVO,WAY,STE,QGEN,RARE,BLSM,IRMD,ENOV,ENSG,ALC,PHG,CELC,HCA,LFMDP,CI,TMDX,MLYS,RMD,SNY,LKFT,INVA,SUPN,PAHC,PRVA,UHS,ATTO,FLGT,AMPH,KARD,SYK,INSM,IONS,OPCH,BRVE,PBH,IDXX,AZN,IRTC,OMCL,DOCS,ANIP,WW,SNN,QNCX,STAA,AORT,MDLN,LMAT,NAMS,MLTX,ISRG,LEGN,ZTS,PRCT,COLL,KLRA,BSX,PODD,ALNY,AAPG"
3,Energy,67,55,46,58,"PBF,NESR,DK,FET,VLO,MPC,PARR,DINO,OII,NGL,PBT,PSX,INSW,WTTR,FTK,APA,FRO,EC,CVE,CMBT,NBR,LPG,HP,FTI,EQNR,PR,BWLP,SM,TNK,TEN,TRGP,TALO,OVV,WHD,TDW,TBN,WKC,CVI,DHT,SMC,SUNC,LB,CNQ,YPF,KNTK,SU,CHRD,COP,E,PAGP,SUN,VIST,IMO,EE,KGS,NCSM,PAA,REPX,WDS,XPRO,XOM,FANG,LNG,TRMD,WBI,SLB,NE,EOG,VAL,PBR,CNR,SDRL,OXY,INVX,EFXT,DVN,STNG,PDS,TTE,SHEL,CVX,BTU,SOBO,CQP,WES,MTDR,EROK,NOV,MUR,DMLP,NVGS,GLNG,ET,OKE,PBA,BP,PNRG,SEI,VTOL,HAL,NOG,DKL,BKR,TS,FLNG,BSM,AM,AR,CAPL,KRP,CCJ,EPD,RRC,ARLP,VNOM,RNGR,MPLX,CNX,WFRD,GLP,MGY,WMB,FLOC,AROC,TPL,HESM,KMI,TRP,NRP,WHK,NGS,USAC,IMPPP,NFG,APC,GEL,DTM,SBR,TGS,CRC,ENB,EXE,GPOR,EQT,LBRT,HMH,BKV,LEU,NC,VTS"
4,Basic Materials,62,62,53,38,"HYMC,FRD,ALM,AYA,CLMT,CGAU,AUGO,NEXA,ERO,ARIS,HBM,SSRM,MTRN,IAG,ELVR,NWPX,EGO,SKE,SCCO,FCX,TECK,JHX,HL,AU,MT,SIND,ODC,BHP,PHOS,HCC,AG,RMIX,NEM,ELE,KOP,TX,NUE,VHI,WPM,CLW,KALU,ASH,CF,MEOH,SXT,HMY,B,NEU,AVNT,SA,CDE,AMR,BVN,STLD,CSTM,SQM,RIO,AEM,SCL,FNV,KGC,RGLD,CMT,DRD,OGC,IOSP,RS,CNL,AXTA,IPI,PRM,GFI,UAN,IFF,MUX,PAAS,REX,NTR,CENX,LYB,NGVT,KWR,BCC,AAUC,CBT,TFPM,DOW,CTVA,ESI,SSMR,VALE,USLM,BCPC,DD,APD,PPTA,USAU,MTUS,ALB,WFG,CMP,MTX,ECL,OR,AGI,EMN,AA,PPG,SHW,SSD,WLKP,LIN,WDFC,SMG,UFPI,VMC,RPM,SIM,FUL,USAR,IDR,CMCL,EXP,CE,TTAM,CC,WLK,MOS,PKX,CTGO,MP,WS,MLM,SOLS,ASIX,SLVM,CRH,AMRZ,SMID,TGLS,KNF,HWKN,MSB,OLN,IPX"
5,Technology,62,52,49,67,"MGRT,SNDK,AXTI,CHRN,MU,AEHR,SAIH,QMCO,MXL,DELL,ALOT,LITE,BLZE,AAOI,STX,WDC,BAND,MRVL,HPE,ASX,ICHR,UMAC,RNG,NAVN,SIMO,SILC,INTC,DOCN,PENG,TSEM,PUBM,FSLY,UCTT,UMC,AMD,IMOS,DAVE,COHU,VICR,FORM,PANW,ACMR,U,SNOW,HQ,TEAM,TER,AMAT,CIEN,VIAV,LRCX,TWLO,FROG,CHYM,ONTO,VSAT,ALNT,QLYS,ZETA,FTNT,INTA,NTAP,DGII,OOMA,OKTA,SITM,FIVN,PAYC,CRWD,COHR,RELY,NSIT,APPN,RBRK,ALAB,KLIC,NVEC,VSH,MITK,CCSI,PATH,CRDO,GCT,RDVT,PDFS,PTRN,ADEA,ASML,MKSI,SHAZ,FLEX,FLYW,PAY,DDOG,SMTC,IBTA,MLAB,NET,AMBQ,PGY,FEIM,VPG,ZBRA,MRAM,TENB,STM,ARM,KARO,AIP,MANH,BRZE,SNX,DIOD,MDB,ANET,VECO,AVT,OUST,GTLB,P,KLAC,KEYS,DJCO,SCSC,TSAT,VIA,WEX,NTNX,ARW,RELL,MPTI,ENTG,ESTC,TOST,TTAN,VRNS,SAIC,IOT,BELFB,SLAB,GLW,PLXS,BHE,BRUN,PLTS,S,KSPI,TTMI,CPAY,AGYS,WDAY,RAL,XYZ,GRMN,DBX,TSM,LSCC,BOX,NTCT,SHOP,ACLS,CSCO,SPSC,DCBO,RAMP,INGM,OSPN,FFIV,ROG,CNXN,HPQ,BELFA,LFUS,ALRM,KN,PCTY,PLTR,GWRE,PAYX,WK,ATEN,AMKR,CIFR,MTSI,PRGS,ACIW,CACI,ADI,WIX,APH,BILL,DLO,APPF,IBEX,ADP,ZM,DT,IDCC,GRND,QTWO,SWMR,DOCU,BLKB,ACFN,JBL,CVLT,LYFT,EXTR,CGNX,NATL,CAMT,TXN,MSI,PCOR,GEN,MPWR,AAPL,EXLS,GRRR,ST,IT,NCNO,Q,SSNC,SMCIP,CLMB,SAIL,SANM,JKHY,ESE,FTV,CTS,EFOR,MSFT,ALKT,PI,ITRN,POWI,ROP,VRSN,RDWR,AEVA,YOU,SYNA,DUOL,CEVA,EVTC,TDY,DFIN,NVDA,SAP,NOVT,ON,PLUS,NOW,CRM,ADIG,ITRI,DSGX,CDW,NOVTU,QRVO,SONO,ALGM,CLS,MCHP,CTSH,AKAM,AVNW,BSP,BSY,AVGO,ARQQ,G,UBER,BR,LASR,INOD,UPBD,SONY,ADSK,WYFI,BKTI,ADBE,UI,BDC,SMCI,STRC,TDC,NVMI,STRD,DBD,STRF,APLD,GIB,MCHPP,MNDY,GFS,EEFT,GDDY,KVYO,VNT,DAKT,PLAB,AOSL,TYL,CORZ,NN,CDNS,HUBS,TEL,CSQR,PTC,NICE,SWKS,LOGI,LYTS,MBGL,CRWV,FIG,OTEX,TRMB,SKHY,IBM,STRK,GDS,IONQ,WOLF,MQ,BMI,PAR,NXPI,ACN,AMBA,LDOS,FN,DOX,QCOM,INTU,ZS,ENPH,BL,FSLR,ASTS,QBTS,RMBS,FOUR,OSIS,NTGR,FICO,QNT,LIF,EPAM,NXT,FORTY,NYAX,CHKP,OCTV,CALX,CNXC,GLOB,SNPS,PEGA,PAYP,RGTI,FIS,CRUS,BLSH,OLED,CLFD,PSN,ORCL,IIIV,SEDG,IPGP,MSTR,JKS,CBRS,WETO"
6,Financial Services,59,42,62,59,"RFAIU,RFAI,TOP,MAAS,LIFE,RACC,PMTS,ENVA,FVN,ECPG,HUT,PRCH,MRX,AAMI,FVNNU,HFBL,CIB,SEZL,WT,MSBI,VCTR,VIRT,EZPW,GCBC,TWN,ATLC,STT,PS,BFH,AII,CARE,HRTG,KF,OPY,DGICB,PRAA,BWIN,BWFG,TWFG,CHMG,BOTJ,AMAL,SLDE,MBIN,AMTB,GSHD,CBNA,SAFT,PGC,PBAM,VBNK,UFCS,HBT,BNY,CMTV,BBVA,CZFS,ALRS,SII,NP,UVE,GOLD,INBK,IVZ,SMBK,AMG,KINS,FNWD,SBFG,FCAP,VOYA,FCFS,TRST,FMAO,PFIS,ATLO,CFBK,HQL,PKBK,FISI,OSBC,HSBC,FBIZ,BEN,FRST,WASH,RRBI,FCBC,IBKR,ACNB,SEIC,RBCAA,ARX,FVCB,OBK,NTRS,EGBN,JXN,TMP,PLBC,CBK,CAC,SHBI,FDSB,AVBC,WRLD,SRCE,THFF,FNLC,WTBA,OBT,SHG,WSBF,DCOM,FBP,CNO,BAP,SNEX,CBC,CTBI,UBS,BY,ASIC,AGM,WSFS,BPOP,NIC,TSBK,ING,TD,STK,TFIN,BMO,NKSH,MUFG,PEBO,FSEA,TRV,CZNC,SMFG,DBRG,BPRN,BSTZ,PDLB,PBFS,FMBH,KB,HQH,USCB,RY,RBB,THG,PEBK,MS,FNRN,ITIC,MBBC,PRK,AIZ,AFRM,HG,BWB,FDS,MYFW,IX,CFG,GSBC,FBLA,ACT,CFR,CCNE,CFFI,ALL,SCHW,BNS,WSBC,IFS,BHB,UVSP,FXNC,HNVR,OFG,CNS,PFG,PYPL,CPBI,MBWM,ASA,FHI,CACC,BAC,EBC,HOOD,MCBS,MFC,FSBC,SMBC,CM,BSAC,TFSL,FDBC,PCB,BUSE,SLF,STBA,USB,NBN,GABC,LCNB,AMP,RCBC,WTW,BOW,CNOB,SKWD,MET,SFST,MPB,LARK,NWBI,FRAF,NWFL,CATY,CBNK,RIOT,BSVN,FUNC,C,CCBG,FCF,UMBF,ASST,RGA,QCRH,GS,TRIN,PFX,CIVB,NMIH,GL,NBTB,ORRF,MCY,TCBX,BCH,UBSI,FFBC,NWG,SRBK,HBCP,MVBF,PLGO,BCS,ZION,FULT,BFST,MTB,PBHC,JCAP,CPF,MRBK,JPM,ECBK,FBNC,PNC,NECB,EIG,AJG,BSRR,CHCO,FITB,BCAL,HAPN,PRU,AROW,RNR,AVBH,WHG,BST,BOKF,HWC,EBMT,HBNC,PEO,V,NTB,FCCO,SYBT,HWBK,LSBK,MNSB,CBAN,MTG,XZO,BHRB,BMEZ,COSO,UNM,FIGR,FUSB,BVFL,EMF,ISTR,ASB,BGR,CZWI,BFC,NBBK,CWBC,QNBC,FSUN,FRBA,BME,CLST,LPLA,HFWA,MCHB,HAFC,RGT,UNTY,PFS,MA,HCI,FMNB,RMBI,EQBK,TCBK,BBT,SFNC,EWBC,TBBK,JMSB,VABK,EVT,NFJ,AUB,HIPO,CVBF,SPNT,RF,LOB,CSWC,AX,RJF,WABC,ONB,OMF,MORN,EFSI,RLI,PROV,SFBS,GAIN,CUBI,SSB,OPBK,WF,SBCF,BANR,INDB,PFBC,HMN,LNC,CBFV,NODK,ESNT,PRI,HASI,FCNCA,IBCP,SYF,TRMK,TPG,TRU,NDAQ,TROW,TRUP,BX,DB,FIBK,BTO,FGNXP,EQH,OVLY,CB,FRHC,WAFD,CRBG,MKTW,HYNE,CCD,SIGI,ESQ,ABCB,PLMR,EG,MCB,KEY,COFS,SPFI,MCO,VRTS,COF,CBSH,IOND,SLM,PJT,GAM,TOWN,MGYR,KNSL,UCB,GGZ,FNB,FBK,EFSC,MRSH,IOR,ADX,EMO,CRVL,CEE,OVBC,HTB,HOMB,BLK,FAF,HIFS,RVT,ETG,UBCP,NRIM,ASGI,COLB,HTH,CAF,SFBC,GDV,ETO,RNST,BLX,SF,WTFC,PNFP,TFC,CNA,BMRC,CSQ,RYAN,BRO,BKU,NCZ,BCV,AFG,CET,JCE,THQ,NXG,HTGC,FRME,DGICA,SPXX,BOH,MAIN,AON,APAM,VALU,IGIC,QQQX,AUBN,MXF,SATA,FSBW,ACGL,PB,GLRE,MC,TCBS,FHN,NBHC,WFC,TCBI,AIO,BCAT,WULF,L,AXP,CINF,ALLY,APO,HBAN,BANC,ECCC,CBU,FFA,PGR,WTM,FFIN,IREN,CASH,CBOE,AFL,ARES,TY,RDN,LGI,OCFC,MBINL,MNSBP,TBLD,BAM,OZK,SBSI,FDUS,STEW,ACV,UTF,CII,NCV,IBOC,EOT,ICE,FRBT,ETB,NEWTP,CNOBP,BMNR,RMI,ORI,KKR,ARCC,HIG,VEL,GBCI,MIAX,SCD,SPGI,SOR,NBXG,BCML,BUSEP,MSBIP,OXLCO,MKTX,ERIE,BANX,FGBIP,IBN,STC,RLTY,FHB,OCCIN,NIE,MBINM,LCLN,NPB,HTD,GLU,TIPT,OXLCN,ATLCP,SRV,EICA,MSCI,MBINN,LKFN,OCCIM,BMN,BMA,NNI,WSBCO,EIIA,BPYPM,WAFDP,HBANL,CCNEP,VLYPN,UNB,UMBFO,SPMA,SLMBP,BTT,MBNKO,BXSL,VLYPO,CCID,BANF,BWBBP,PDPA,VLYPP,ONBPO,RVII,ONBPP,SPME,PDX,ECAT,WTFCN,DFP,EOI,AXS,TSLX,FRMEP,GBLI,AIG,RM,FFC,SDHY,WRB,HLNE,CRCL,GLAD,LDP,TCBIO,PUK,HPI,NPFD,CG,WAL,HPF,IGI,EFSCP,OZKAP,BBN,JEF,CME,MSDL,ISBA,NTRSO,BUI,DXYZ,PSF,XP,RNP,FLC,NBB,GUG,PSUS,TW,HBANP,SOFI,TYG,IIF,FPF,RVI,ETX,UTG,EOS,FOA,BN,BNT,MCI,XFLT,PTA,FUTU,GGAL,AB,FULTP,PIPR,ONIT,FCNCO,LMND,FCNCP,ACGLN,MKL,ACGLO,SIGIP,STEP,HBANZ,FNF,AGO,GLXY,JLS,HBANM,EVR,ZIONP,LAZ,UPST,ROOT,BHF,COIN,PDI,MPV,PWP,BOT,FG,KMPR,SAR,HERZ,PFSI,HLI,HDB,ETOR,TREE,AMSF,GBFH,WD,GSIW,CCB,AIFU,VCX"
7,Communication Services,54,59,56,56,"CCG,BBGI,ATEX,MF,STRZ,SPHR,MCS,NBIS,IRDM,MGNI,QNST,LILAP,GSAT,IMAX,ZD,ROKU,MSGS,MSGE,TIGO,WLY,SKM,WLYB,CNK,ATNI,EVER,WBD,WPP,MANU,JOYY,ECHO,IDT,OPRA,SCHL,ADV,MTCH,NWSA,SIRI,BATRA,NWS,LYV,PSO,BATRK,GOOGL,OMC,GRVY,VOD,FWONA,GOOG,FWONK,LLYVK,LLYVA,FOXA,GRPN,FOX,VEON,PINS,VZ,ATHM,PPLI,TTWO,DIS,AMX,TKO,NTES,CHT,CMCSA,RCI,YELP,VSNT,NYT,SPOT,KT,BCE,T,RDDT,NXST,PHI,BZ,CRTO,META,WMG,TMUS,NFLX,GLIBA,GLIBK,TDS,CHTR,TLK,ZG,TIMB,BIDU,GIBO,Z,BILI,AD,LFTO,APP,RBLX,CABO"
8,Industrials,53,38,50,43,"EDRY,BUUU,NCEW,FCEL,OESX,MAN,SIF,RCMT,TH,PKOH,BE,ATI,CXW,KFRC,GEO,MTW,KELYB,NSP,HQI,CYRX,RHI,PLPC,DCO,KELYA,MATX,ATRO,PHOE,SHIP,LIME,FA,ECO,HSHP,TWIN,TNET,PESI,DXPE,ARCB,IA,NMM,AIRT,CBZ,AIR,BXC,MG,TISI,ARXS,PL,GHM,GRC,CMDB,PBI,FIX,UNF,DAC,ARMK,CRS,ZIM,UHAL,NVRI,SBLK,PKE,GENC,ATKR,NPK,CIX,POWL,CASS,SWK,JBHT,FDX,GNK,XMTR,RXO,PRLB,ACA,HURC,HURN,ADUR,EXPD,GIC,WAB,TPC,SNDR,TKR,NDSN,CVLG,CSX,SXI,GFF,CDNL,AXON,KNX,KFY,NVT,WTS,EML,BWMN,CAT,MSM,ESP,FSTR,UNP,DAL,EFTY,IEX,GSL,EMBJ,FWRD,HRI,TRNS,GPN,ASC,TFII,DE,DSGR,TEX,URI,AIT,ESEA,OC,VRT,CNI,PCAR,GEV,LXFR,ULH,CLH,GWW,CSW,VSEC,VVX,VOYG,PRG,RHLD,ENS,WERN,ESLT,CP,FLS,PH,WCC,R,HXL,AGX,RTX,TTC,DNOW,LSTR,NPO,CMCO,HWM,TREX,ODFL,NX,J,XPO,NSC,PWR,TTEK,EMR,ICFI,FAST,AME,BETA,STRL,ECG,AZZ,AEIS,FLR,KRNT,UAL,OSK,HLIO,CMPR,BKSY,KEX,BRC,JCI,GE,GD,MMM,HEI,EBF,LUNR,LECO,ALGT,CECO,SNA,ETN,LGN,CR,MLI,MEC,MYRG,LOAR,MRCY,APOG,CTAS,ABM,CAR,EXPO,ALLE,VSECU,AYI,DLX,MSA,AER,ITW,VMI,ITT,GHC,LMT,ROK,OTTR,CMI,MAS,DCI,TAYD,CRAI,FELE,RGR,DY,LUV,SKYW,WWD,DLB,ELMT,MGRC,GTES,LTM,CDLR,GATX,TRI,VLTO,WSC,CCEC,TITN,EME,ENR,CMRE,FSS,UPS,IR,MIDD,CSL,ROCK,HUBG,ZWS,RKLB,TT,CWST,EFX,GVA,CXT,RSG,APG,KAI,HY,DOV,AWI,WM,FERG,BCO,WCN,RBC,HUBB,FTAIM,RELX,SUNB,CPA,PAM,WOR,MTZ,NSSC,GFL,LYNX,BLBD,FBIN,SAIA,RYZ,CW,GGG,CMC,CARR,EPAC,KMT,ZTO,WMS,TRN,IIIN,CDRE,BA,LNN,MWA,CAAP,FCN,BBSI,KBR,DRS,AIRTP,AOS,FER,CAE,GNRC,AGCO,SPXC,FTAI,POWWP,GBX,VRSK,ALG,SEB,OMAB,RRX,ROAD,HON,LPX,TATT,TXT,ALK,TDG,NOC,GXO,TRC,ASTE,XYL,PPIH,DPC,HII,RYAAY,CHRW,BAH,REZI,SARO,FOIL,FPS,OFLX,OTIS,KE,CPRT,RJET,ULS,CNM,FDXF,POOL,LHX,TNC,MDA,STN,PAC,BBUC,WLDN,SPCX,RTO,MATW,MMS,JBTM,ASR,WSO,KRMN,RBA,HONA,KTOS,AMTM,BWXT,LII,SYM,ESAB,BLDR,FLY,IESC,SITE,ONT,AAON,ACM,MAIR,EQPT,AMRC,PNR,AMSC,AVAV,AVEX,NNE,PSIX,INIO,ATS,XE,HAWK,PRIM,LMB,SMX,MFP,WLFC"
9,Consumer Cyclical,50,48,57,44,"NDLS,VSXY,CAKE,KRT,HBB,LIND,CTRN,ANDG,HZO,EAT,VAC,BJRI,MYE,CBRL,FLXS,SN,EXPE,LTH,BDL,MOV,FIGS,ABNB,KMX,LQDT,ETSY,RCKY,FTDR,FIVE,WEYS,ESCA,JILL,BZH,VGNT,ANF,W,HRB,LOCO,MLKN,TILE,CROX,MLR,RUSHB,ALSN,BBY,DIN,JAKK,PAG,CALY,HNI,CASY,GEF,MUSA,GTX,VIK,ROST,LAD,LEGH,BSET,PRSU,KSS,RUSHA,CART,JACK,SHOO,M,DASH,CVEO,BH,INTG,RSI,CARG,CZR,WSM,GLBE,SBH,SW,FOXF,MGM,RICK,MGA,HOG,GM,BKNG,BWA,PRKS,MHK,HVT,GPC,SON,SKY,BOBS,KTB,OSW,MCRI,CCK,RIVN,PENN,THRM,MCFT,IHG,TXRH,PKG,LGIH,WWW,QSR,GIII,XPEL,BALL,OPLN,DAN,MHO,SBUX,H,RVLV,AMCR,DRI,GCO,MAR,COOK,TNL,BC,RACE,HMC,DDS,AMZN,HAS,HLT,CVCO,URBN,PLOW,JOUT,IP,HTHT,EBAY,HOV,REYN,CAVA,BURL,CMG,RGS,MTN,JMKE,PHIN,LOVE,TOL,STRT,RL,CVNA,GRBK,TPR,AVY,SCI,TRS,MMYT,RRR,PHM,YETI,SAH,DOO,RCL,CNNE,MTH,GOLF,ETD,CRI,AIN,CHH,YUMC,BWMX,COLM,PII,SLGN,MELI,SE,MBUU,DORM,ALV,LEVI,YUM,AEO,HGV,LEA,ABG,KBH,MOD,ULTA,BYD,DHI,IBP,AN,BROS,ALH,JD,CPHC,PVH,HD,GNTX,SHAK,ATMU,ATAT,CHDN,SMP,NATH,TM,WGO,SIG,BOOT,VVV,DPZ,ORLY,VC,FND,DKNG,WYNN,CCL,WH,CHWY,NVR,GIL,TJX,FUN,OXM,LCII,LOW,BFAM,BBWI,NCLH,ASO,MCD,DECK,RH,LZB,TSLA,BBW,CYD,KEQU,LKQ,THO,WINA,LVS,ADNT,BABA,EYE,GAP,HSAI,ZUMZ,SHOE,AS,KRUS,BKE,SGI,TCOM,TSCO,CPS,LEN,BIRK,PATK,PDD,CPNG,GME,AZO,DKS,LULU,CSV,AAP,QVCG,FLUT,PLNT,NKE,GPI,APTV,ONON,WHR,PZZA,ROL,BGSI,WING,NEGG"
10,Real Estate,46,30,50,44,"PEB,CBL,PK,SLG,JLL,XHR,APLE,RHP,NHPBP,NHP,CHCI,LXP,FVR,MAC,NHPAP,JAN,PSTL,HIW,CDP,HST,VNO,WELL,CCS,NREF,OUT,DOC,SEG,JOE,CTO,CUZ,ALX,EQIX,CURB,AHR,SPG,IRM,VTR,MMI,RMR,COLD,SKT,PINE,LAMR,AAT,BNL,BXP,IIPR,PSA,ESS,TRNO,FOR,ADAMN,DEA,VTMX,FRT,PLD,FR,OLP,AMH,EGP,EPR,IVT,NLY,UMH,GTY,KIM,INVH,LINE,DLR,LTC,NNN,KRG,ADAML,CBRE,NTST,PECO,SAFE,XRN,NMRK,LANDO,BPYPP,CUBE,BEKE,UE,LANDP,GOODN,ELS,EXR,KRC,SMA,ARL,AKR,MRP,HR,O,UDR,MAYS,BRX,CTRE,SBRA,WY,CPT,REG,BFS,FCPT,BPYPO,BXDC,AGNCP,OHI,AGNCM,UHT,ADAMM,WPC,AGNCL,IRT,AGNCO,AGNCN,ARE,AGNCZ,REGCP,IRS,ADAMZ,MAA,REXR,ARR,ADC,EPRT,REGCO,STAG,MLP,TCI,FRPH,RYN,SUI,FSV,WHLRD,AXR,HHH,CHCT,AMT,GLPI,CIGI,NHI,STWD,OZ,SBAC,VICI,CSR,CCI,NXRT,NEN,CSGP,EUDA,OPI"
