Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
55,PRAX,331.81,651924.0,Healthcare,Biotechnology,99.0,63.0,64.0,96.0,411405.0,424220.0,356.0,35.21,9250455552.0,No,,317.57,211.01,318.22,282.4
57,LASR,84.95,2370087.0,Technology,Semiconductors,99.0,93.0,96.0,99.0,1754768.0,1347470.0,86.95,12.08,4791728640.0,No,,66.77,43.05,69.42,50.85
61,DOCN,162.72,3352007.0,Technology,Software - Infrastructure,99.0,99.0,99.0,99.0,4628876.0,4951700.0,164.77,25.56,16982139904.0,No,,89.1,55.35,100.86,67.81
86,DLLL,75.47,626686.0,ETF,ETF,99.0,98.0,99.0,98.0,111023.0,100820.0,86.18,17.34,,No,,44.26,31.1,50.71,33.84
119,AGL,59.61,645930.0,Healthcare,Medical Care Facilities,98.0,99.0,99.0,99.0,383281.0,767150.0,76.25,7.48,994520512.0,No,,21.17,22.28,26.5,20.71
177,TER,366.64,4275787.0,Technology,Semiconductor Equipment & Materials,98.0,25.0,87.0,97.0,3432366.0,5139370.0,422.11,75.99,57394618368.0,No,,333.59,217.41,342.07,262.8
203,MKSI,319.71,1207478.0,Technology,Scientific & Technical Instruments,97.0,88.0,91.0,97.0,1334310.0,1543890.0,326.84,80.22,21594531840.0,No,,253.6,180.12,263.91,213.15
210,KLIC,104.28,923253.0,Technology,Semiconductor Equipment & Materials,97.0,94.0,94.0,98.0,677975.0,959420.0,107.01,31.21,5457272320.0,No,,75.19,53.3,79.73,61.65
270,DIOD,111.99,804842.0,Technology,Semiconductors,97.0,94.0,98.0,97.0,563201.0,728240.0,117.8,42.28,5145350656.0,No,,82.59,61.2,87.94,66.12
273,CENX,60.18,1610764.0,Basic Materials,Aluminum,97.0,6.0,80.0,97.0,2195820.0,1298470.0,68.69,15.13,5956258304.0,No,,58.3,39.57,58.39,46.23
287,CNTA,39.59,973012.0,Healthcare,Biotechnology,96.0,34.0,97.0,95.0,2672933.0,1322410.0,40.26,10.95,6125719552.0,No,,34.48,25.87,35.91,28.84
289,RAPP,38.43,547007.0,Healthcare,Biotechnology,96.0,82.0,94.0,91.0,349360.0,339280.0,42.27,7.73,1837988864.0,No,,32.55,26.93,33.71,30.04
328,DELL,247.04,11194957.0,Technology,Computer Hardware,96.0,95.0,98.0,94.0,8344360.0,5689310.0,263.99,101.0,160622624768.0,No,,182.89,144.99,196.36,153.31
340,NWPX,111.18,113004.0,Basic Materials,Steel,96.0,93.0,95.0,96.0,133790.0,203140.0,114.27,37.99,1071442560.0,No,,83.9,64.83,87.93,72.87
364,SANM,245.44,738055.0,Technology,Electronic Components,96.0,98.0,97.0,89.0,809150.0,1385870.0,255.22,78.43,13155027968.0,No,,159.27,144.94,174.02,160.07
379,VPG,66.6,280800.0,Technology,Scientific & Technical Instruments,96.0,94.0,88.0,97.0,242465.0,285760.0,68.86,24.89,885607424.0,No,,50.03,39.7,52.58,44.72
410,YOU,56.89,1467000.0,Technology,Software - Application,95.0,90.0,97.0,95.0,1904373.0,1707610.0,61.68,23.88,7603990528.0,No,,51.35,38.67,51.42,41.22
421,BTSGU,183.23,4638.0,Healthcare,Health Information Services,95.0,89.0,94.0,94.0,35990.0,108040.0,183.76,68.14,,No,,150.74,119.44,155.65,135.21
432,SNEX,121.84,670160.0,Financial Services,Capital Markets,95.0,93.0,95.0,97.0,747666.0,696880.0,125.42,53.53,9656001536.0,No,,90.21,72.63,95.55,77.9
