IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
1,TJGC,26.24,Communication Services,Advertising Agencies,98.0,98.0,98.0,98.0,2.7805,2.7784,0.0,NO,NO
2,WPP,25.99,Communication Services,Advertising Agencies,93.0,73.0,97.0,94.0,0.69,0.6036,2.3,NO,NO
3,MGNI,23.97,Communication Services,Advertising Agencies,93.0,82.0,93.0,96.0,0.9586,0.8807,0.0,NO,NO
4,ZD,56.51,Communication Services,Advertising Agencies,91.0,80.0,85.0,85.0,1.675,1.6143,0.0,NO,NO
5,ADV,33.12,Communication Services,Advertising Agencies,53.0,77.0,3.0,91.0,1.4032,1.4032,0.0,NO,NO
1,SIF,22.06,Industrials,Aerospace & Defense,97.0,81.0,54.0,94.0,0.9871,0.9511,0.0,NO,NO
2,DCO,172.15,Industrials,Aerospace & Defense,92.0,18.0,35.0,90.0,6.8871,6.7479,0.0,NO,NO
3,ATRO,69.22,Industrials,Aerospace & Defense,90.0,9.0,7.0,86.0,3.2764,3.0836,0.0,NO,NO
4,EMBJ,78.63,Industrials,Aerospace & Defense,88.0,86.0,92.0,89.0,2.3568,2.3111,0.0,NO,NO
5,ARXS,50.12,Industrials,Aerospace & Defense,85.0,18.0,86.0,,2.4786,2.47,0.0,NO,NO
1,UAN,122.7,Basic Materials,Agricultural Inputs,78.0,45.0,85.0,9.0,3.7579,3.3771,0.0,NO,NO
2,CF,114.67,Basic Materials,Agricultural Inputs,78.0,12.0,81.0,7.0,5.0675,4.7668,0.0,NO,NO
3,NTR,72.23,Basic Materials,Agricultural Inputs,76.0,54.0,90.0,23.0,2.3211,2.2372,0.0,NO,NO
4,CTVA,78.52,Basic Materials,Agricultural Inputs,45.0,27.0,26.0,14.0,2.5096,2.4325,0.0,NO,NO
5,IPI,34.04,Basic Materials,Agricultural Inputs,41.0,12.0,42.0,4.0,1.645,1.5934,0.0,NO,NO
1,DAL,84.94,Industrials,Airlines,79.0,81.0,17.0,83.0,2.397,2.1791,1.5,NO,NO
2,SKYW,102.29,Industrials,Airlines,45.0,79.0,65.0,50.0,2.9193,2.6593,1.18,NO,NO
3,CPA,133.72,Industrials,Airlines,42.0,76.0,9.0,69.0,3.9764,3.6179,1.77,NO,NO
4,LUV,42.68,Industrials,Airlines,40.0,87.0,7.0,48.0,1.2707,1.1436,1.54,NO,NO
5,UAL,113.99,Industrials,Airlines,39.0,63.0,8.0,79.0,4.09,3.5957,1.85,NO,NO
1,CAAP,23.88,Industrials,Airports & Air Services,35.0,43.0,21.0,13.0,0.6185,0.6028,0.93,NO,NO
2,OMAB,103.03,Industrials,Airports & Air Services,13.0,71.0,17.0,9.0,2.695,2.6743,0.44,NO,NO
3,PAC,215.94,Industrials,Airports & Air Services,6.0,73.0,9.0,8.0,5.3821,5.2679,0.18,NO,NO
4,ASR,243.21,Industrials,Airports & Air Services,3.0,17.0,5.0,2.0,5.5436,5.4107,0.08,NO,NO
1,KALU,152.55,Basic Materials,Aluminum,88.0,54.0,6.0,86.0,6.0107,5.2643,0.0,NO,NO
2,CSTM,24.89,Basic Materials,Aluminum,70.0,13.0,5.0,40.0,0.8414,0.7229,0.2,NO,NO
3,CENX,38.39,Basic Materials,Aluminum,30.0,6.0,7.0,3.0,2.0079,1.7436,0.37,NO,NO
