Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Aluminum,Basic Materials,96,94,91,97,"AA,CENX,CSTM,KALU"
2,Copper,Basic Materials,93,46,71,85,"SCCO,FCX,HBM,ERO,TGB,IE"
3,Other Precious Metals & Mining,Basic Materials,91,17,61,81,"HL,BVN,SBSW,TFPM,PPTA,SLSR,MUX,VMET,ELE,ASM,GMTL,MTA,VOXR"
4,Gold,Basic Materials,89,21,63,73,"NEM,AEM,B,WPM,AU,FNV,GFI,KGC,PAAS,RGLD,CDE,AGI,EQX,IAG,HMY,AUGO,OR,EGO,SSRM,ORLA,ARIS,NG,AAUC,CGAU,HYMC,SA,FSM,DRD,CNL,DC,CTGO,MAKO,IDR,CMCL,USAU"
5,Oil & Gas Integrated,Energy,89,89,93,89,"XOM,CVX,SHEL,TTE,PBR,BP,EQNR,E,SU,IMO,CVE,EC,YPF,NFG,TGS,DEC,SKYQ"
6,Semiconductor Equipment & Materials,Technology,89,85,81,88,"ASML,LRCX,AMAT,KLAC,TER,Q,ENTG,NVMI,AMKR,ONTO,FORM,CAMT,IPGP,KLIC,AXTI,ACLS,UCTT,ACMR,PLAB,VECO,AMBA,AEHR,ICHR,COHU,DQ,ASYS,INTT,TRT"
7,Oil & Gas Drilling,Energy,88,69,94,85,"NE,RIG,PTEN,HP,SDRL,SOC,BORR,NBR,PDS"
8,Real Estate - Diversified,Real Estate,88,16,84,92,"JOE,STRS"
9,Business Equipment & Supplies,Industrials,86,90,92,90,"EBF,ACTG"
10,Other Industrial Metals & Mining,Basic Materials,85,37,56,71,"BHP,RIO,VALE,TECK,MP,ALM,EMAT,SKE,USAR,MTRN,USAS,NEXA,SGML,UAMY,LAR,ELVR,IPX,CRML,CMP,TMCR,SCZM,BMM,ALOY,NVA,USGO"
11,Oil & Gas Equipment & Services,Energy,82,61,84,83,"SLB,BKR,HAL,TS,FTI,WFRD,NOV,VAL,AROC,SEI,KGS,LB,LBRT,TDW,USAC,WHD,OII,EFXT,NESR,FLOC,WTTR,NEXT,XPRO,INVX,PUMP,RES,VTOL,AESI,HLX,NPKI,WBI,ACDC,HMH,CLB,OIS,FET,FTK,NGS,NOA,RNGR,NCSM,NINE,GEOS"
12,Marine Shipping,Industrials,82,58,79,83,"KEX,MATX,HAFN,ZIM,SBLK,BWLP,DAC,CMRE,NMM,ECO,SFL,GSL,CCEC,GNK,SB,HSHP,ASC,PANL,ESEA,CMDB,GASS,SHIP,SMHI,HTCO,EDRY,EHLD,SVRN"
13,Oil & Gas Midstream,Energy,81,54,87,81,"ENB,WMB,EPD,KMI,TRP,ET,MPLX,LNG,OKE,TRGP,VG,CQP,PBA,VNOM,WES,PAA,DTM,AM,HESM,FRO,SOBO,PAGP,GLNG,EE,STNG,INSW,CMBT,SUNC,TRMD,KNTK,DHT,TNK,GEL,NGL,FLNG,LPG,NVGS,NAT,TEN,SBR,TK,PBT,SMC,KNOP,MARPS,IMPPP,GLP"
14,Communication Equipment,Technology,80,76,74,67,"CSCO,MSI,CIEN,LITE,UI,NOK,ERIC,ASTS,HPE,ZBRA,AAOI,VIAV,VSAT,BDC,ONDS,VISN,EXTR,TSAT,DGII,GILT,ADTN,HLIT,NTGR,FEIM,CLFD,BKTI,AVNW,AUDC,LTRX,INSG,SILC,WATT,OCC,AIRG,FIEE"
15,Banks - Diversified,Financial Services,79,78,56,76,"JPM,BAC,HSBC,WFC,RY,C,MUFG,SAN,TD,SMFG,UBS,BBVA,BMO,CM,BK,BNS,ING,BCS,NTB"
