SectorRank,Sector,LeaderRank,Ticker,Leader_Score,Setup_Type,Tightness,Setup_Price,Dist_52WH_%,ATR_%,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,IPO,Gap (%),HVE,SMA50,SMA200,SMA10W,SMA30W,Industry
1,Health technology,1,SI,68.89,Pullback to 50D,Loose,21.13,14.07,7.06,92.0,14.0,93.0,94.0,NO,0.25,NO,20.41,15.64,21.0,16.5,Medical specialties
2,Healthcare,1,ETON,99.14,Extended Near High,Loose,63.43,0.2,6.45,98.0,98.0,98.0,98.0,NO,0.0,NO,39.91,25.32,44.05,30.52,Drug Manufacturers - Specialty & Generic
2,Healthcare,2,FBRX,98.98,Extended Near High,Very Tight,76.88,0.41,0.25,98.0,98.0,98.0,97.0,NO,0.0,NO,44.35,29.95,51.45,34.64,Biotechnology
2,Healthcare,3,XNCR,98.94,Extended Near High,Loose,25.41,0.47,5.58,98.0,98.0,98.0,97.0,NO,0.0,NO,17.0,14.24,18.52,14.23,Biotechnology
2,Healthcare,4,AMLX,98.7,Extended Near High,Loose,35.11,0.79,6.75,98.0,98.0,98.0,98.0,NO,39.66,NO,18.42,15.29,20.6,16.64,Drug Manufacturers - Specialty & Generic
2,Healthcare,5,REPL,98.67,Extended Near High,Loose,15.58,0.83,11.73,98.0,98.0,98.0,97.0,NO,0.0,NO,10.82,8.19,11.81,8.27,Biotechnology
3,Energy,1,PBF,97.1,Extended Near High,Loose,75.2,0.63,6.15,97.0,92.0,97.0,97.0,NO,0.0,NO,55.69,42.01,58.68,46.76,Oil & Gas Refining & Marketing
3,Energy,2,MPC,96.71,Extended Near High,Normal,366.21,0.28,3.48,96.0,92.0,95.0,96.0,NO,1.36,NO,291.68,230.25,300.52,253.06,Oil & Gas Refining & Marketing
3,Energy,3,PSX,96.59,Extended Near High,Normal,243.49,0.04,3.21,95.0,93.0,94.0,93.0,NO,0.0,NO,194.78,164.96,200.89,179.24,Oil & Gas Refining & Marketing
3,Energy,4,OII,95.78,Extended Near High,Normal,53.1,2.12,3.7,96.0,95.0,94.0,94.0,NO,0.0,NO,43.81,34.7,45.37,38.99,Oil & Gas Equipment & Services
3,Energy,5,VLO,95.61,Extended Near High,Normal,350.05,0.27,3.41,96.0,88.0,93.0,96.0,NO,0.82,NO,287.77,228.05,295.92,252.85,Oil & Gas Refining & Marketing
4,Technology,1,BVC,96.7,Extended Near High,Loose,15.08,2.58,9.2,98.0,97.0,95.0,97.0,NO,0.0,NO,11.27,8.03,11.54,10.01,Software - Application
4,Technology,2,P,96.64,Extended Near High,Loose,117.06,1.71,5.09,95.0,98.0,96.0,94.0,NO,0.0,NO,80.34,74.77,84.22,74.76,Computer Hardware
4,Technology,3,NTAP,96.27,Extended Near High,Normal,204.71,2.08,3.71,96.0,95.0,97.0,97.0,NO,0.0,NO,171.43,125.72,174.66,135.28,Software - Infrastructure
4,Technology,4,RNG,95.06,Near Breakout,Loose,65.19,4.76,4.97,97.0,98.0,96.0,97.0,NO,0.0,NO,46.11,36.98,49.19,41.86,Software - Application
4,Technology,5,CHYM,94.51,Near Breakout,Loose,31.91,4.49,5.7,94.0,98.0,98.0,94.0,NO,0.0,NO,22.37,21.86,23.88,21.4,Software - Application
5,Financial Services,1,SAFT,95.47,Extended Near High,Very Tight,103.28,0.45,0.31,90.0,97.0,95.0,86.0,NO,0.0,NO,84.34,77.48,88.96,79.33,Insurance - Property & Casualty
5,Financial Services,2,VCTR,95.34,Extended Near High,Normal,117.77,1.5,3.17,94.0,94.0,94.0,94.0,NO,0.0,NO,95.47,76.61,98.93,83.03,Asset Management
5,Financial Services,3,ENVA,95.09,Near Breakout,Normal,262.0,2.04,2.91,96.0,89.0,97.0,95.0,NO,0.0,NO,229.63,169.52,241.09,183.51,Credit Services
5,Financial Services,4,CIB,94.47,Near Breakout,Normal,97.65,3.07,3.68,94.0,94.0,96.0,85.0,NO,0.0,NO,84.55,73.08,86.46,76.41,Banks - Regional
5,Financial Services,5,CZFS,94.27,Breakout Zone,Normal,83.67,0.3,3.43,90.0,92.0,93.0,90.0,NO,0.71,NO,73.32,64.32,75.59,67.63,Banks - Regional
