Rank,Industry,Sector,Relative Strength,1 Month Ago,3 Months Ago,6 Months Ago,Ticker
1,Utilities - Independent Power Producers,Utilities,94,86,86,93,"TLN,VST,NRG,KEN,TAC,PAM"
2,Silver,Basic Materials,90,94,48,67,"MAG,AG,EXK"
3,Banks - Diversified,Financial Services,84,85,84,77,"SAN,BBVA,BCS,C,BK,ING,JPM,HSBC,TD,MUFG,UBS,BMO,CM,NTB,WFC,BAC,BNS,SMFG,RY"
4,Other Precious Metals & Mining,Basic Materials,80,88,64,48,"SBSW,PPTA,TFPM,BVN,MUX,HL"
5,Gold,Basic Materials,79,88,82,69,"CNL,CMCL,SSRM,ORLA,ARMN,AU,CDE,AAUC,KGC,SAND,USAU,OR,NG,WPM,AEM,GFI,NEM,CTGO,FSM,EGO,IAG,IDR,B,PAAS,HMY,AGI,DRD,FNV,SA,CGAU,EQX,AUGO,RGLD,BGL"
6,Pollution & Treatment Controls,Industrials,77,73,40,71,"ADUR,CECO,PCTTU,PCT,FSS,ZWS,ARQ,VLTO,ERII"
7,Uranium,Energy,76,78,29,36,"LEU,UUUU,CCJ,UEC,NXE,ISOU"
8,Metal Fabrication,Industrials,76,85,79,65,"MTEN,CRS,CMPO,WOR,PRLB,ATI,TG,ESAB,IIIN,MLI,MEC,GIFI,RYI"
9,Computer Hardware,Technology,76,75,47,66,"RGTI,UMAC,IONQ,RCAT,OSS,WDC,STX,SMCI,ANET,DELL,SNDK,SSYS,CRSR,PSTG,LOGI,ALOT,NTAP,QMCO,HPQ"
10,Tobacco,Consumer Defensive,76,84,93,73,"TPB,BTI,PM,MO,UVV"
11,Engineering & Construction,Industrials,75,76,56,66,"MSGY,PHOE,ONEG,WLDN,MIMI,TPC,AGX,STRL,IESC,FIX,EME,ECG,DY,MTZ,PRIM,APG,BWMN,MYRG,PWR,FLR,ROAD,MTRX,STN,GVA,ESOA,FER,ACM,NVEE,GLDD,J,ORN,BLD,BBCP,TTEK,AMRC,ACA,CDLR,VATE,KBR,EXPO"
