SectorRank,Sector,LeaderRank,Ticker,Leader_Score,Setup_Type,Tightness,Setup_Price,Dist_52WH_%,ATR_%,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,IPO,Gap (%),HVE,SMA50,SMA200,SMA10W,SMA30W,Industry
1,Health technology,1,SI,83.88,Stage 2 Watch,Loose,20.41,11.26,6.94,93.0,73.0,97.0,91.0,NO,0.0,NO,18.19,14.91,18.71,15.58,Medical specialties
2,Energy,1,OII,97.62,Extended Near High,Loose,52.73,0.68,4.08,96.0,98.0,95.0,97.0,NO,0.5,NO,39.84,32.43,40.52,35.86,Oil & Gas Equipment & Services
2,Energy,2,DINO,93.99,Stage 2 Watch,Normal,88.3,5.72,3.32,96.0,98.0,96.0,97.0,NO,0.0,NO,73.8,59.61,74.27,63.05,Oil & Gas Refining & Marketing
2,Energy,3,MPC,93.67,Stage 2 Watch,Normal,309.24,5.41,2.98,95.0,97.0,96.0,96.0,NO,0.0,NO,268.41,218.67,269.79,231.59,Oil & Gas Refining & Marketing
2,Energy,4,PSX,93.49,Near Breakout,Normal,206.77,4.31,3.07,93.0,97.0,94.0,93.0,NO,0.0,NO,182.52,158.17,183.23,167.9,Oil & Gas Refining & Marketing
2,Energy,5,VLO,93.27,Stage 2 Watch,Normal,302.5,5.54,3.74,95.0,97.0,94.0,96.0,NO,0.0,NO,264.98,214.96,266.25,233.46,Oil & Gas Refining & Marketing
3,Healthcare,1,CRNX,98.7,Extended Near High,Normal,83.73,0.32,3.74,97.0,98.0,98.0,95.0,NO,0.0,NO,49.33,45.04,50.57,45.05,Biotechnology
3,Healthcare,2,PACS,97.42,Extended Near High,Loose,46.85,1.62,4.29,98.0,97.0,95.0,91.0,NO,1.47,NO,40.0,32.9,40.68,37.35,Medical Care Facilities
3,Healthcare,3,SYRE,96.47,Extended Near High,Loose,102.13,2.82,6.19,98.0,96.0,96.0,98.0,NO,0.57,NO,84.98,50.36,86.49,60.36,Biotechnology
3,Healthcare,4,CORT,96.24,Extended Near High,Loose,95.36,2.33,4.46,96.0,95.0,98.0,98.0,NO,0.0,NO,79.22,61.31,82.04,54.7,Biotechnology
3,Healthcare,5,BTSG,96.06,Breakout Zone,Normal,72.91,0.67,3.78,97.0,87.0,97.0,97.0,NO,2.26,NO,64.79,45.63,66.01,50.92,Health Information Services
4,Financial Services,1,TRV,95.5,Extended Near High,Normal,387.26,0.48,2.65,91.0,97.0,93.0,92.0,NO,0.57,NO,320.77,297.55,327.87,305.83,Insurance - Property & Casualty
4,Financial Services,2,MUFG,95.49,Breakout Zone,Tight,22.89,0.82,2.13,92.0,95.0,95.0,89.0,NO,0.0,NO,20.37,17.75,20.59,18.76,Banks - Diversified
4,Financial Services,3,MSBI,94.2,Breakout Zone,Normal,32.25,0.8,2.97,94.0,85.0,95.0,91.0,NO,0.06,NO,29.4,23.1,29.9,25.5,Banks - Regional
4,Financial Services,4,AMTB,94.18,Extended Near High,Normal,28.5,0.42,2.8,90.0,95.0,89.0,89.0,NO,2.9,NO,24.13,21.55,24.64,22.87,Banks - Regional
4,Financial Services,5,ENVA,93.89,Near Breakout,Loose,237.27,3.7,4.04,96.0,90.0,96.0,94.0,NO,6.19,NO,199.45,157.92,205.38,170.3,Credit Services
5,Industrials,1,SIF,95.65,Near Breakout,Loose,25.99,4.59,7.54,98.0,97.0,98.0,98.0,NO,0.08,NO,21.6,12.76,22.1,15.42,Aerospace & Defense
5,Industrials,2,HXL,95.37,Breakout Zone,Normal,110.28,0.66,2.88,93.0,95.0,91.0,90.0,NO,0.22,NO,96.02,83.84,96.95,89.27,Aerospace & Defense
5,Industrials,3,CSX,94.29,Breakout Zone,Tight,53.23,0.34,2.0,91.0,95.0,87.0,94.0,NO,0.0,NO,47.62,40.93,48.09,43.15,Railroads
5,Industrials,4,DAC,94.16,Breakout Zone,Tight,140.22,0.31,2.49,91.0,92.0,90.0,92.0,NO,0.0,NO,128.71,109.93,128.23,116.92,Marine Shipping
5,Industrials,5,HSHP,94.0,Near Breakout,Normal,16.12,3.42,3.64,96.0,94.0,90.0,96.0,NO,0.0,NO,14.79,11.86,14.61,13.22,Marine Shipping
