Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,Earning_Date,SMA50,SMA200,SMA10W,SMA30W
1189,TFII,134.12,183546,Industrials,Trucking,87.0,79.0,73.0,93.0,389303.0,314790.0,149.09,80.63,11022790656.0,No,,121.22,104.21,122.59,110.03
1194,GEME,43.03,11368,ETF,ETF,87.0,88.0,85.0,87.0,94571.0,74140.0,43.99,26.03,,No,,37.53,33.92,37.91,35.56
1197,UNF,256.4,123220,Industrials,Specialty Business Services,87.0,25.0,78.0,95.0,310988.0,210130.0,283.77,147.66,4636712960.0,No,,258.85,201.83,257.94,215.8
1201,MAIR,42.5,3366202,Industrials,Building Products & Equipment,87.0,,,,5695810.0,2224730.0,44.25,31.0,21305982976.0,No,,,,,
1208,UWM,60.09,175501,ETF,ETF,87.0,84.0,81.0,86.0,541745.0,304530.0,62.24,32.34,,No,,52.56,48.85,53.07,50.92
1216,SAIA,431.42,251336,Industrials,Trucking,87.0,77.0,81.0,93.0,513611.0,472990.0,460.05,248.37,11476601856.0,No,,389.25,339.05,392.92,355.36
1221,REPX,36.15,439983,Energy,Oil & Gas E&P,87.0,67.0,92.0,91.0,435780.0,439150.0,41.26,24.08,784308544.0,No,,35.38,29.19,35.61,30.08
1226,AGI,43.65,2504929,Basic Materials,Gold,87.0,9.0,22.0,88.0,3674376.0,3998260.0,55.41,23.75,18331490304.0,No,,44.83,37.96,44.21,40.98
1234,NPK,138.29,63487,Industrials,Aerospace & Defense,87.0,17.0,84.0,90.0,92066.0,90880.0,149.86,82.67,990758208.0,No,,138.91,117.7,139.1,122.16
1236,IBLC,52.82,20655,ETF,ETF,87.0,92.0,93.0,19.0,21310.0,19500.0,68.77,30.76,,No,,43.04,46.87,43.61,45.44
1254,VTVT,31.67,42924,Healthcare,Biotechnology,87.0,4.0,18.0,72.0,55355.0,28660.0,44.0,14.0,124717480.0,No,,35.65,29.2,35.04,33.1
1295,WPM,142.22,1412253,Basic Materials,Gold,86.0,18.0,24.0,90.0,2380945.0,2419710.0,165.76,75.42,64585670656.0,No,,136.65,120.04,135.83,127.79
1310,MPTI,74.08,74542,Technology,Electronic Components,86.0,84.0,86.0,89.0,80385.0,75840.0,87.23,36.38,320099904.0,No,,67.11,57.07,68.33,61.12
1312,OAEM,47.71,15351,ETF,ETF,86.0,75.0,79.0,89.0,23630.0,97370.0,48.92,30.45,,No,,43.42,37.99,43.61,39.94
1331,CVLG,31.95,102558,Industrials,Trucking,86.0,87.0,78.0,94.0,159290.0,170110.0,35.91,18.0,804213056.0,No,,29.23,24.85,29.66,25.73
1338,XPO,198.28,1159728,Industrials,Trucking,86.0,13.0,33.0,90.0,1435613.0,1533840.0,231.46,110.78,23280052224.0,No,,203.69,159.09,203.26,172.08
1339,KDEF,56.04,71506,ETF,ETF,86.0,11.0,52.0,85.0,168298.0,201980.0,67.41,31.35,,No,,59.26,50.67,58.73,53.07
1346,METL,31.09,21868,ETF,ETF,86.0,67.0,52.0,90.0,46790.0,17730.0,34.46,19.89,,No,,28.39,,28.29,27.04
1350,EMM,43.09,7521,ETF,ETF,86.0,82.0,81.0,87.0,22865.0,17700.0,44.41,27.67,,No,,38.6,34.63,38.99,36.32
1353,IONL,34.12,887401,ETF,ETF,85.0,99.0,98.0,4.0,1019216.0,1600750.0,148.84,8.76,,No,,18.84,43.46,19.33,31.82
1404,HGER,33.24,927434,ETF,ETF,85.0,75.0,89.0,83.0,1153855.0,1216770.0,33.54,23.48,,No,,31.27,27.27,31.54,28.19
1439,NANR,85.08,22335,ETF,ETF,85.0,52.0,59.0,87.0,74083.0,38370.0,86.58,53.31,,No,,82.83,71.41,82.82,75.57
1465,CTS,59.48,175562,Technology,Electronic Components,84.0,78.0,65.0,91.0,236763.0,361350.0,62.02,36.03,1700706304.0,No,,52.41,46.29,53.32,48.94
1467,UGL,60.82,1155394,ETF,ETF,84.0,12.0,9.0,79.0,3368358.0,2069310.0,90.4,32.11,,No,,63.36,55.65,61.92,61.41
1476,RSHO,57.8,12216,ETF,ETF,84.0,69.0,71.0,87.0,35258.0,32550.0,59.4,36.64,,No,,53.05,47.17,53.3,49.34
1484,ARMK,50.75,4832592,Industrials,Specialty Business Services,84.0,89.0,88.0,88.0,2559541.0,3394350.0,51.18,35.07,13338927104.0,No,,42.98,39.86,43.64,40.31
1485,FYC,113.34,55191,ETF,ETF,84.0,77.0,82.0,81.0,64733.0,59070.0,115.79,72.04,,No,,103.8,96.14,104.67,99.99
1519,NGVT,71.26,160616,Basic Materials,Specialty Chemicals,84.0,12.0,23.0,90.0,324360.0,293180.0,79.29,39.74,2477830656.0,No,,71.54,61.62,71.96,64.83
1543,C,124.1,7160338,Financial Services,Banks - Diversified,84.0,17.0,71.0,82.0,13995786.0,13511810.0,135.29,71.65,211662094336.0,No,,119.54,108.69,119.95,113.75
1547,VCTR,87.0,469940,Financial Services,Asset Management,83.0,92.0,84.0,90.0,678436.0,508910.0,88.42,57.03,5440205824.0,No,,71.99,68.48,72.92,68.66
1556,MCY,99.57,180591,Financial Services,Insurance - Property & Casualty,83.0,77.0,72.0,76.0,272320.0,253970.0,102.37,59.01,5515045888.0,No,,92.69,86.52,93.05,90.54
1558,NATL,44.72,2009482,Technology,Software - Application,83.0,50.0,77.0,84.0,1199578.0,854400.0,48.5,23.56,3299433472.0,No,,44.31,39.73,44.1,40.68
1560,OXY,56.18,5737686,Energy,Oil & Gas E&P,83.0,54.0,87.0,88.0,17453453.0,13663840.0,67.45,38.8,55878578176.0,No,,58.29,47.63,58.37,48.89
1568,TRST,48.41,101091,Financial Services,Banks - Regional,83.0,67.0,75.0,82.0,119605.0,81310.0,49.21,30.17,845955648.0,No,,45.45,41.48,45.84,43.57
1570,GFI,44.78,3152830,Basic Materials,Gold,83.0,8.0,7.0,54.0,3264575.0,2934300.0,61.64,19.35,40052060160.0,No,,45.85,43.21,45.13,46.07
1582,AEM,195.97,2053511,Basic Materials,Gold,83.0,8.0,16.0,77.0,2552851.0,2413600.0,255.24,103.38,97992097792.0,No,,202.98,180.03,200.04,192.04
1584,LOUP,86.28,18284,ETF,ETF,83.0,85.0,83.0,54.0,15085.0,22650.0,89.45,52.82,,No,,76.57,75.11,77.07,77.25
1618,PNTG,35.59,422318,Healthcare,Medical Care Facilities,83.0,90.0,83.0,91.0,269778.0,299110.0,37.54,21.73,1237377280.0,No,,31.8,28.17,31.77,29.83
1626,RRX,205.72,1055370,Industrials,Specialty Industrial Machinery,83.0,25.0,17.0,93.0,1145101.0,1481290.0,236.35,127.96,13694692352.0,No,,200.03,166.06,198.81,174.84
1630,GOAU,46.31,18790,ETF,ETF,83.0,17.0,15.0,80.0,33286.0,23210.0,57.09,25.35,,No,,45.16,42.05,44.54,44.64
1646,DWAS,114.91,8355,ETF,ETF,82.0,76.0,83.0,83.0,11810.0,11340.0,116.16,78.98,,No,,104.96,97.35,105.81,100.62
1652,MIDU,64.9,22999,ETF,ETF,82.0,73.0,59.0,87.0,40320.0,24950.0,70.26,38.52,,No,,58.57,54.17,58.67,56.22
1656,WST,302.4,566072,Healthcare,Medical Instruments & Supplies,82.0,87.0,89.0,65.0,910500.0,936530.0,330.88,202.79,21363830784.0,No,,268.48,262.35,273.61,267.04
1676,UMDD,32.6,1631,ETF,ETF,82.0,73.0,57.0,87.0,12633.0,6680.0,35.19,19.43,,No,,29.46,27.26,29.51,28.28
