IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
1,MGNI,24.2,Communication Services,Advertising Agencies,94.0,32.0,97.0,95.0,1.0014,0.9879,0.0,NO,NO
2,QNST,18.82,Communication Services,Advertising Agencies,92.0,95.0,97.0,93.0,0.8211,0.8126,0.0,NO,NO
3,ZD,55.72,Communication Services,Advertising Agencies,90.0,88.0,88.0,87.0,1.3083,1.2669,0.0,NO,NO
4,WPP,25.32,Communication Services,Advertising Agencies,89.0,19.0,95.0,91.0,0.8379,0.5814,0.0,NO,NO
5,ADV,31.65,Communication Services,Advertising Agencies,67.0,95.0,3.0,97.0,1.8451,1.7976,0.0,NO,NO
1,SIF,21.35,Industrials,Aerospace & Defense,97.0,0.0,58.0,95.0,1.1531,1.1288,0.0,NO,NO
2,ATRO,75.95,Industrials,Aerospace & Defense,94.0,54.0,81.0,83.0,3.7436,3.5414,0.09,NO,NO
3,DCO,167.71,Industrials,Aerospace & Defense,93.0,2.0,80.0,86.0,7.0314,6.945,0.0,NO,NO
4,ARXS,53.45,Industrials,Aerospace & Defense,91.0,8.0,94.0,,2.1746,2.1746,0.0,NO,NO
5,AIR,126.2,Industrials,Aerospace & Defense,88.0,3.0,72.0,70.0,5.0471,4.5836,0.0,NO,NO
1,CF,133.78,Basic Materials,Agricultural Inputs,90.0,92.0,86.0,67.0,5.7514,5.1168,0.0,NO,NO
2,IPI,40.55,Basic Materials,Agricultural Inputs,84.0,93.0,84.0,13.0,1.8771,1.825,0.0,NO,NO
3,NTR,79.43,Basic Materials,Agricultural Inputs,82.0,94.0,86.0,40.0,2.3626,2.0326,0.0,NO,NO
4,UAN,131.18,Basic Materials,Agricultural Inputs,82.0,78.0,77.0,38.0,2.92,2.7614,0.0,NO,NO
5,CTVA,87.83,Basic Materials,Agricultural Inputs,79.0,92.0,83.0,64.0,2.4343,2.2524,0.0,NO,NO
1,DAL,80.09,Industrials,Airlines,77.0,3.0,37.0,89.0,2.2386,1.9521,0.17,NO,NO
2,UAL,111.57,Industrials,Airlines,51.0,3.0,60.0,78.0,3.7107,3.1839,0.44,NO,NO
3,LTM,52.43,Industrials,Airlines,47.0,6.0,73.0,51.0,1.55,1.3179,0.12,NO,NO
4,CPA,131.58,Industrials,Airlines,43.0,8.0,24.0,43.0,3.3021,2.9575,0.46,NO,NO
5,LUV,39.66,Industrials,Airlines,43.0,2.0,12.0,13.0,1.1054,1.0054,0.05,NO,NO
1,CAAP,24.4,Industrials,Airports & Air Services,25.0,9.0,13.0,14.0,0.9348,0.8812,0.0,NO,NO
2,OMAB,99.56,Industrials,Airports & Air Services,17.0,5.0,46.0,8.0,2.59,2.505,0.0,NO,NO
3,PAC,208.12,Industrials,Airports & Air Services,6.0,9.0,8.0,6.0,5.6554,5.5911,0.0,NO,NO
4,ASR,257.1,Industrials,Airports & Air Services,4.0,8.0,8.0,2.0,5.6293,5.4864,0.0,NO,NO
1,KALU,164.41,Basic Materials,Aluminum,91.0,14.0,9.0,88.0,8.1193,7.5814,0.02,NO,NO
2,CSTM,27.0,Basic Materials,Aluminum,83.0,11.0,3.0,53.0,1.1043,1.0514,0.3,NO,NO
3,CENX,46.76,Basic Materials,Aluminum,81.0,70.0,2.0,6.0,2.3814,2.3264,0.0,NO,NO
4,AA,50.05,Basic Materials,Aluminum,25.0,82.0,1.0,4.0,2.2229,2.0168,0.0,NO,NO
1,RL,351.22,Consumer Cyclical,Apparel Manufacturing,32.0,4.0,13.0,39.0,9.6479,9.3114,0.0,NO,NO
2,KTB,73.7,Consumer Cyclical,Apparel Manufacturing,21.0,9.0,58.0,15.0,2.8286,2.6096,0.0,NO,NO
3,COLM,57.7,Consumer Cyclical,Apparel Manufacturing,13.0,61.0,7.0,25.0,1.5361,1.4089,0.0,NO,NO
4,LEVI,21.06,Consumer Cyclical,Apparel Manufacturing,12.0,3.0,10.0,47.0,0.5754,0.5257,0.0,NO,NO
