Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Silver,Basic Materials,97,44,96,97,"AG,EXK,SVM"
2,Copper,Basic Materials,96,70,94,95,"SCCO,FCX,HBM,ERO,TGB,IE"
3,Other Precious Metals & Mining,Basic Materials,96,52,91,94,"HL,SBSW,BVN,TFPM,PPTA,SLSR,ASM,MUX,ELE,MTA,VOXR"
4,Aluminum,Basic Materials,96,75,96,96,"AA,CENX,CSTM,KALU"
5,Gold,Basic Materials,95,68,88,92,"NEM,AEM,B,WPM,AU,FNV,GFI,KGC,PAAS,RGLD,AGI,CDE,IAG,HMY,EQX,EGO,NGD,OR,BTG,ORLA,AUGO,SSRM,NG,AAUC,CGAU,SA,HYMC,FSM,DRD,CNL,DC,IDR,CMCL,CTGO,USAU"
6,Uranium,Energy,93,27,77,88,"CCJ,NXE,UEC,UUUU,LEU,ISOU,AEC"
7,Real Estate - Diversified,Real Estate,90,86,90,90,"JOE,STRS"
8,Other Industrial Metals & Mining,Basic Materials,89,49,78,85,"RIO,BHP,VALE,TECK,MP,EMAT,USAR,SKE,ALM,MTRN,TMC,USAS,NEXA,SGML,IPX,LAR,CRML,UAMY,ELVR,CMP,GSM,SCZM,NB,NVA,USGO"
9,Solar,Technology,88,66,57,84,"FSLR,NXT,ENPH,RUN,SEDG,SHLS,ARRY,JKS,CSIQ,TOYO,FTCI,ASTI"
10,Semiconductor Equipment & Materials,Technology,88,68,85,88,"ASML,LRCX,AMAT,KLAC,TER,Q,ENTG,NVMI,AMKR,ONTO,FORM,CAMT,IPGP,ACMR,KLIC,AMBA,ACLS,UCTT,PLAB,VECO,ICHR,DQ,COHU,AXTI,AEHR,ATOM,ASYS,INTT"
11,Oil & Gas Drilling,Energy,85,84,94,84,"NE,RIG,HP,PTEN,SDRL,BORR,SOC,PDS,NBR"
12,Banks - Diversified,Financial Services,81,54,72,78,"JPM,BAC,HSBC,WFC,RY,MUFG,C,SAN,TD,SMFG,UBS,BBVA,BMO,BNS,BCS,CM,ING,BK,NTB"
13,Marine Shipping,Industrials,81,86,75,80,"KEX,MATX,ZIM,HAFN,SBLK,BWLP,CMRE,DAC,NMM,ECO,GSL,SFL,CCEC,GNK,SB,HSHP,ASC,PANL,CMDB,ESEA,GASS,SHIP,SMHI,HTCO,EDRY,EHLD"
14,Electronic Components,Technology,81,61,71,79,"APH,GLW,TEL,CLS,JBL,FLEX,FN,TTMI,LFUS,SANM,VICR,OLED,PLXS,RAL,OSIS,BELFA,BELFB,KN,BHE,ROG,CTS,DAKT,ALNT,OUST,LYTS,LPTH,MEI,OPTX,RELL,MPTI,ELTK"
15,Medical Distribution,Healthcare,80,71,65,81,"MCK,COR,CAH,HSIC,YI"
