SectorRank,Sector,LeaderRank,Ticker,Leader_Score,Setup_Type,Tightness,Setup_Price,Dist_52WH_%,ATR_%,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,IPO,Gap (%),HVE,SMA50,SMA200,SMA10W,SMA30W,Industry
1,Health technology,1,SI,86.56,Stage 2 Watch,Loose,22.32,9.23,7.21,95.0,76.0,96.0,95.0,NO,0.41,NO,21.06,15.96,21.47,16.8,Medical specialties
2,Healthcare,1,REPL,98.87,Extended Near High,Loose,15.8,0.57,8.14,98.0,98.0,98.0,96.0,NO,0.0,NO,11.42,8.33,12.29,8.53,Biotechnology
2,Healthcare,2,CDNA,98.42,Extended Near High,Loose,50.8,0.63,4.04,98.0,96.0,98.0,98.0,NO,1.48,NO,36.7,23.69,39.85,26.67,Diagnostics & Research
2,Healthcare,3,VREX,97.71,Extended Near High,Normal,18.5,0.7,2.98,95.0,98.0,98.0,90.0,NO,0.0,NO,12.7,12.06,13.25,11.99,Medical Devices
2,Healthcare,4,CGEM,97.67,Extended Near High,Loose,22.95,0.48,5.63,97.0,95.0,96.0,94.0,NO,1.56,NO,18.13,14.05,18.81,15.65,Biotechnology
2,Healthcare,5,TWST,97.58,Extended Near High,Loose,151.42,2.28,6.44,98.0,98.0,98.0,98.0,NO,3.5,NO,102.8,60.45,109.66,73.77,Diagnostics & Research
3,Energy,1,MPC,93.52,Near Breakout,Normal,354.88,3.46,3.22,96.0,88.0,95.0,96.0,NO,0.0,NO,301.38,234.45,311.17,258.83,Oil & Gas Refining & Marketing
3,Energy,2,PBT,93.42,Extended Near High,Loose,34.61,2.51,4.52,95.0,94.0,84.0,95.0,NO,0.0,NO,29.03,23.07,29.62,25.26,Oil & Gas Midstream
3,Energy,3,VLO,93.03,Near Breakout,Normal,340.41,3.57,3.08,96.0,86.0,95.0,95.0,NO,0.0,NO,296.54,232.42,306.21,258.11,Oil & Gas Refining & Marketing
3,Energy,4,PSX,92.2,Near Breakout,Normal,236.9,4.07,3.02,94.0,88.0,94.0,94.0,NO,0.0,NO,201.65,168.0,207.9,182.33,Oil & Gas Refining & Marketing
3,Energy,5,CMBT,91.81,Extended Near High,Normal,18.17,1.89,2.67,93.0,91.0,79.0,85.0,NO,0.0,NO,15.8,13.32,16.08,14.55,Oil & Gas Midstream
4,Basic Materials,1,ERO,97.67,Extended Near High,Loose,40.4,0.35,5.14,96.0,97.0,95.0,81.0,NO,0.0,NO,29.23,28.35,30.33,29.01,Copper
4,Basic Materials,2,CGAU,97.5,Extended Near High,Normal,24.18,0.58,3.93,96.0,97.0,95.0,85.0,NO,0.0,NO,18.03,16.97,18.81,18.17,Gold
4,Basic Materials,3,SSRM,96.57,Extended Near High,Loose,39.21,0.53,4.04,95.0,97.0,91.0,87.0,NO,0.0,NO,29.71,27.45,30.76,29.94,Gold
4,Basic Materials,4,FCX,95.48,Extended Near High,Normal,79.91,0.04,3.51,93.0,94.0,90.0,78.0,NO,0.0,NO,65.13,59.54,66.12,63.7,Copper
4,Basic Materials,5,AYA,95.17,Near Breakout,Loose,27.71,4.08,5.61,97.0,96.0,96.0,91.0,NO,0.0,NO,21.75,17.59,22.53,19.23,Silver
5,Technology,1,PAYC,96.96,Extended Near High,Loose,231.7,0.75,4.42,94.0,97.0,97.0,96.0,NO,0.33,NO,164.47,146.41,175.86,144.28,Software - Application
5,Technology,2,CHYM,96.61,Extended Near High,Loose,33.1,1.9,5.66,95.0,97.0,98.0,94.0,NO,1.01,NO,23.94,22.24,25.51,21.69,Software - Application
5,Technology,3,NAVN,94.87,Near Breakout,Normal,29.29,2.33,3.73,97.0,88.0,96.0,98.0,NO,0.0,NO,25.83,17.51,26.7,18.79,Software - Application
5,Technology,4,SAIH,94.67,Stage 2 Watch,Loose,23.31,5.63,9.31,98.0,96.0,98.0,98.0,NO,0.0,NO,16.1,10.7,16.97,11.93,Information Technology Services
5,Technology,5,RNG,94.31,Near Breakout,Loose,65.61,4.15,4.35,97.0,92.0,96.0,96.0,NO,0.0,NO,49.26,38.08,52.43,43.25,Software - Application
