IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
1,MGNI,24.63,Communication Services,Advertising Agencies,95.0,94.0,97.0,96.0,1.0052,0.9902,0.0,NO,NO
2,QNST,18.76,Communication Services,Advertising Agencies,93.0,94.0,97.0,93.0,0.8068,0.7982,0.0,NO,NO
3,ZD,56.31,Communication Services,Advertising Agencies,91.0,85.0,87.0,87.0,1.3357,1.2942,0.0,NO,NO
4,WPP,25.93,Communication Services,Advertising Agencies,89.0,95.0,95.0,92.0,0.8779,0.6186,7.35,NO,NO
5,ADV,31.92,Communication Services,Advertising Agencies,80.0,19.0,6.0,97.0,1.9516,1.9041,0.0,NO,NO
1,SIF,21.14,Industrials,Aerospace & Defense,97.0,1.0,51.0,94.0,1.2696,1.2454,0.0,NO,NO
2,ATRO,74.53,Industrials,Aerospace & Defense,95.0,19.0,73.0,83.0,3.7585,3.5578,1.33,NO,NO
3,DCO,166.51,Industrials,Aerospace & Defense,93.0,4.0,80.0,86.0,7.1625,7.0825,0.0,NO,NO
4,ARXS,53.24,Industrials,Aerospace & Defense,90.0,6.0,92.0,,2.3414,2.3414,0.37,NO,NO
5,AIR,125.61,Industrials,Aerospace & Defense,89.0,3.0,77.0,67.0,5.5704,5.1068,1.41,NO,NO
1,CF,137.82,Basic Materials,Agricultural Inputs,92.0,93.0,86.0,84.0,5.4814,4.9782,0.0,NO,NO
2,NTR,80.74,Basic Materials,Agricultural Inputs,85.0,94.0,86.0,52.0,2.2516,1.9737,0.04,NO,NO
3,IPI,40.88,Basic Materials,Agricultural Inputs,85.0,94.0,79.0,38.0,1.8231,1.771,0.0,NO,NO
4,UAN,131.16,Basic Materials,Agricultural Inputs,84.0,79.0,77.0,56.0,3.1475,2.9889,0.0,NO,NO
5,CTVA,88.63,Basic Materials,Agricultural Inputs,82.0,90.0,84.0,73.0,2.3796,2.2246,0.0,NO,NO
1,DAL,78.76,Industrials,Airlines,75.0,3.0,33.0,87.0,2.2514,1.9564,0.63,NO,NO
2,UAL,108.66,Industrials,Airlines,46.0,2.0,61.0,68.0,3.7339,3.2139,0.0,NO,NO
3,LTM,51.78,Industrials,Airlines,42.0,6.0,64.0,47.0,1.5143,1.3014,0.0,NO,NO
4,CPA,129.49,Industrials,Airlines,38.0,3.0,22.0,36.0,3.2836,3.0157,0.0,NO,NO
5,SKYW,96.24,Industrials,Airlines,34.0,2.0,85.0,34.0,2.5707,2.2614,0.91,NO,NO
