Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
1,BWET,170.04,155981,ETF,ETF,98.0,8.0,86.0,98.0,20.5075,16.23,128044.0,97180.0,223.03,10.81,0,NO,176.26,77.68,176.14,107.44,,795,0.0,156400,NO,NO,2024-01-30,657200
2,MUU,760.0,1625770,ETF,ETF,98.0,1.0,98.0,98.0,187.1205,135.3619,3086036.0,3613550.0,1252.8,16.73,0,NO,695.01,266.89,754.48,369.52,,433,0.0,1643000,NO,NO,2026-06-09,5492900
3,SNDK,1744.43,8664403,Technology,Computer Hardware,98.0,15.0,98.0,98.0,231.2671,173.3139,13661583.0,12836390.0,2354.39,40.1,258332229632,NO,1625.76,711.62,1744.79,990.92,,348,0.0,8940900,NO,NO,2025-11-26,43000900
8,INTW,38.27,3011457,ETF,ETF,98.0,77.0,98.0,98.0,7.2766,6.1762,6623186.0,5199120.0,52.62,1.72,0,NO,37.17,14.6,39.2,19.48,,348,0.0,3030800,NO,NO,2025-09-18,79455200
11,LINT,194.41,109095,ETF,ETF,98.0,77.0,98.0,98.0,36.1756,30.4311,209216.0,174130.0,266.71,23.87,0,NO,188.33,,199.02,98.84,,155,3.49,109600,NO,NO,2026-01-23,456000
17,MRVU,157.71,124836,ETF,ETF,98.0,0.0,98.0,,41.0479,34.4064,345093.0,364490.0,308.77,20.8,0,NO,154.87,,161.15,,,98,0.0,125400,NO,NO,2026-06-03,1251400
18,MXL,95.68,3116082,Technology,Semiconductors,98.0,71.0,98.0,98.0,12.4193,11.325,5225662.0,4615660.0,128.3,12.77,8567757312,NO,86.81,34.94,92.38,46.48,,4095,1.45,3122700,NO,NO,2026-04-24,29044000
19,LABX,172.9,158217,ETF,ETF,98.0,95.0,98.0,98.0,35.0189,31.7996,347224.0,196910.0,234.25,12.0,0,NO,105.04,60.43,121.22,63.09,,225,3.84,158800,NO,NO,2026-02-11,1873200
20,SOXL,194.65,41148304,ETF,ETF,98.0,1.0,98.0,98.0,43.1629,30.425,64076362.0,55971760.0,302.0,22.57,0,NO,197.25,87.88,204.42,111.69,,4104,0.0,41659100,YES,NO,2025-04-09,787748800
21,BE,295.05,8916547,Industrials,Electrical Equipment & Parts,98.0,64.0,97.0,98.0,35.9303,31.1846,11912503.0,18424970.0,351.28,23.75,83925164032,NO,280.62,165.96,279.52,194.79,,1996,3.7,11590400,YES,NO,2024-11-15,64722200
22,MVLL,39.14,3158621,ETF,ETF,98.0,0.0,98.0,98.0,10.3636,8.7143,6171011.0,6141700.0,77.67,4.32,0,NO,39.02,15.81,40.5,19.78,,333,0.0,3168800,NO,NO,2025-08-29,36696300
24,SNDU,37.8,3410845,ETF,ETF,98.0,1.0,98.0,,13.2721,9.7379,2509660.0,3039730.0,79.0,5.72,0,NO,41.04,,44.51,,,79,0.0,3485400,NO,NO,2026-07-02,6307800
26,BEG,78.32,122870,ETF,ETF,98.0,7.0,98.0,98.0,19.8306,16.8418,102467.0,155760.0,121.25,10.89,0,NO,84.19,,80.3,50.36,,137,8.55,124600,NO,NO,2026-06-26,274700
27,MU,984.75,35948270,Technology,Semiconductors,98.0,9.0,98.0,98.0,106.0315,77.0543,51461354.0,63100320.0,1255.0,103.38,1112169906176,NO,862.03,448.47,926.57,571.95,,10604,0.0,36265700,YES,NO,2013-10-11,153906100
32,WDC,577.46,7428356,Technology,Computer Hardware,98.0,20.0,97.0,98.0,70.8386,52.9186,8365480.0,12727090.0,799.87,63.67,199040155648,NO,533.39,292.93,550.13,367.4,,12016,5.19,7549300,NO,NO,2009-06-30,65696343
34,LRCU,70.88,124128,ETF,ETF,98.0,13.0,97.0,98.0,14.4591,12.4251,123711.0,206350.0,113.66,7.68,0,NO,66.83,37.83,69.67,47.47,,220,0.0,127300,NO,NO,2026-01-28,366600
36,BEX,55.57,1165802,ETF,ETF,98.0,8.0,98.0,98.0,14.5233,12.7455,965350.0,1552710.0,86.12,7.2,0,NO,59.5,,56.79,35.4,,159,7.21,1172300,NO,NO,2026-07-02,2753200
37,ATEX,106.04,517269,Communication Services,Telecom Services,98.0,98.0,98.0,98.0,7.1969,7.1962,445068.0,636520.0,111.9,17.58,2067618048,NO,67.12,37.19,76.51,47.66,,2871,0.0,517500,NO,NO,2020-12-21,3077900
40,VICR,285.34,651994,Technology,Electronic Components,98.0,5.0,96.0,97.0,32.9571,28.8657,898026.0,1182230.0,382.65,41.76,13006198784,NO,298.81,169.45,293.44,210.37,,9129,0.0,665300,NO,NO,2023-07-26,4839800
46,ARMG,32.18,578436,ETF,ETF,98.0,0.0,98.0,98.0,8.4964,7.6629,2285718.0,1399240.0,65.95,4.63,0,NO,33.18,15.32,36.02,17.64,,369,0.0,584400,NO,NO,2026-05-06,10883000
47,WDCX,33.64,2262339,ETF,ETF,98.0,3.0,98.0,,9.8185,7.2604,1655918.0,3036630.0,69.0,7.46,0,NO,32.96,,34.01,,,110,12.22,2290000,NO,NO,2026-06-18,6292500
48,INTC,122.2,85811308,Technology,Semiconductors,98.0,79.0,97.0,98.0,10.8264,9.2707,137506732.0,128221660.0,142.35,18.97,614177177600,NO,114.52,60.82,119.68,74.0,,11669,0.0,86396800,YES,NO,1993-04-19,567708800
49,ALAB,432.74,4114168,Technology,Semiconductors,98.0,92.0,98.0,97.0,44.7301,40.3806,6340706.0,7573310.0,499.48,88.19,74175070208,NO,308.84,196.65,341.44,215.4,,574,2.68,4116900,NO,NO,2024-11-05,24756900
50,ORKA,83.13,1579405,Healthcare,Biotechnology,98.0,98.0,94.0,97.0,5.9114,5.2686,1827716.0,2619500.0,97.78,12.48,5013744640,NO,68.98,42.3,70.7,51.01,,7270,0.0,1579400,NO,NO,2026-04-29,7921000
53,VPG,123.0,680343,Technology,Scientific & Technical Instruments,98.0,14.0,98.0,98.0,12.2786,11.5321,524701.0,656260.0,151.78,25.58,1636023040,NO,107.81,57.43,117.44,70.04,,4032,0.0,681600,NO,NO,2026-05-13,1453400
59,STX,868.26,3444889,Technology,Computer Hardware,98.0,11.0,97.0,98.0,92.7264,77.2021,4337960.0,5910060.0,1145.0,138.3,196445667328,NO,845.96,460.1,870.77,565.24,,5927,5.3,3451200,NO,NO,2012-06-29,89629700
63,LITE,731.25,3607460,Technology,Communication Equipment,98.0,2.0,6.0,96.0,71.6543,64.9661,5935785.0,5745610.0,1085.68,88.93,56891248640,NO,895.23,545.73,858.81,688.88,,2753,0.09,3797700,NO,NO,2026-03-20,22868800
67,PRAX,313.5,387253,Healthcare,Biotechnology,98.0,86.0,31.0,44.0,20.3021,19.6192,498996.0,784460.0,366.52,37.19,8739995648,NO,313.82,259.26,312.88,310.95,,1434,0.0,401000,NO,NO,2025-10-16,13741900
69,UCTT,105.53,1419241,Technology,Semiconductor Equipment & Materials,98.0,88.0,95.0,98.0,12.0286,10.235,1212324.0,1725770.0,144.22,21.28,4730736128,NO,94.12,54.51,98.57,68.38,,5604,0.0,1424300,NO,NO,2018-01-02,7165600
72,KOD,37.02,436200,Healthcare,Biotechnology,98.0,81.0,8.0,86.0,2.8321,2.7986,770047.0,1090070.0,47.84,3.7,2316653824,NO,37.63,27.74,36.37,32.37,,1946,0.0,436300,NO,NO,2022-02-23,26802500
74,AAOI,123.36,7979021,Technology,Communication Equipment,97.0,0.0,76.0,98.0,17.9884,16.6738,12631380.0,12923400.0,233.67,18.5,9898747904,NO,168.14,82.71,156.71,106.27,,3211,0.0,8084200,NO,NO,2022-09-16,77414200
75,CRDU,89.08,604890,ETF,ETF,97.0,97.0,98.0,96.0,20.0559,17.9439,643870.0,497970.0,126.88,12.87,0,NO,69.19,50.69,73.22,47.45,,201,10.08,607500,NO,NO,2026-06-02,2403200
79,KEEX,76.5,9943,ETF,ETF,97.0,0.0,98.0,,25.0203,22.5591,14503.0,23150.0,181.67,15.35,0,NO,91.75,,95.95,,,128,0.0,10000,NO,NO,2026-02-06,81800
80,ASX,43.32,8164468,Technology,Semiconductors,97.0,79.0,96.0,97.0,2.9086,2.1236,10124568.0,14785960.0,45.52,9.3,95041732608,NO,36.43,22.58,37.93,27.32,,6476,3.08,10333400,YES,NO,2025-04-09,36777100
82,BRUN,32.31,1805583,Technology,Software - Infrastructure,97.0,4.0,98.0,97.0,4.3786,4.1584,1551555.0,1760220.0,42.0,10.21,1984760448,NO,27.92,15.9,30.16,18.22,,378,0.0,1883900,NO,NO,2025-09-16,5067100
88,DOCN,131.37,1913926,Technology,Software - Infrastructure,97.0,1.0,92.0,97.0,13.8288,12.9077,4177183.0,4699020.0,187.5,25.56,13710322688,NO,150.06,79.08,154.76,96.52,,1326,0.51,2442000,NO,NO,2026-04-08,16602000
89,CDNL,80.09,972302,Industrials,Engineering & Construction,97.0,96.0,96.0,98.0,8.1593,8.0907,602680.0,1200570.0,96.4,21.98,1545423360,NO,62.2,,66.39,44.17,,141,0.43,974400,NO,NO,2025-12-10,3595800
91,MRVL,249.27,25129311,Technology,Semiconductors,97.0,4.0,97.0,97.0,27.6321,23.42,43155086.0,60496870.0,329.88,61.44,218249134080,NO,225.47,123.53,236.34,144.36,,6540,0.0,25551300,YES,NO,2026-06-18,250989400
92,VSH,46.17,7601423,Technology,Semiconductors,97.0,1.0,97.0,98.0,6.0336,5.1214,6620403.0,9543400.0,69.47,11.77,7081457664,NO,46.77,24.56,50.07,29.62,,11669,0.0,7709600,NO,NO,2010-11-04,49052300
94,AEHR,72.32,2118142,Technology,Semiconductor Equipment & Materials,97.0,0.0,95.0,98.0,12.1114,10.2557,2865409.0,1610720.0,126.62,12.19,2274856448,NO,96.76,48.5,94.04,58.89,,7265,0.0,2128400,NO,NO,2021-07-19,139700300
95,AMBQ,83.82,320160,Technology,Semiconductors,97.0,56.0,98.0,97.0,6.9246,6.5606,693345.0,1070270.0,91.61,22.12,1998724608,NO,69.34,39.48,77.26,46.16,,234,0.0,355200,NO,NO,2025-07-30,5479500
105,AIP,34.82,1074189,Technology,Semiconductors,97.0,12.0,96.0,97.0,3.6616,3.472,1026180.0,1311540.0,50.26,8.42,1607708416,NO,35.87,20.46,37.04,24.03,,1175,0.0,1091700,NO,NO,2025-08-05,21920200
107,ACMR,98.52,1494502,Technology,Semiconductor Equipment & Materials,97.0,83.0,97.0,97.0,11.3549,9.8335,1669962.0,2303470.0,127.19,23.03,6808666624,NO,79.75,53.47,86.43,62.55,,2177,0.0,1506900,NO,NO,2024-02-28,12244400
121,SILC,43.57,140804,Technology,Communication Equipment,97.0,28.0,97.0,97.0,5.1371,4.725,158632.0,210230.0,52.95,13.34,250423408,NO,42.35,23.95,43.73,28.23,,8146,0.0,140900,NO,NO,1999-12-08,2163100
125,CIEN,433.83,1310500,Technology,Communication Equipment,97.0,1.0,13.0,95.0,34.2136,33.1386,2894640.0,3778770.0,637.51,76.89,61409906688,NO,515.58,327.04,496.47,394.03,,7396,1.07,1328800,NO,NO,2011-06-08,36581000
126,VIAV,42.42,4524059,Technology,Communication Equipment,97.0,3.0,68.0,97.0,4.1279,3.875,7690478.0,13389270.0,60.43,9.62,10464404480,NO,49.78,29.35,48.06,35.81,,8211,0.02,4525800,NO,NO,2013-12-20,87404420
127,TSEM,218.95,1204129,Technology,Semiconductors,97.0,3.0,56.0,95.0,23.7457,18.7436,2250191.0,1891580.0,319.94,43.12,26052646912,NO,248.69,152.97,249.67,183.69,,7974,0.0,1207300,NO,NO,2022-02-15,19691500
