SectorRank,Sector,LeaderRank,Ticker,Leader_Score,Setup_Type,Tightness,Setup_Price,Dist_52WH_%,ATR_%,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,IPO,Gap (%),HVE,SMA50,SMA200,SMA10W,SMA30W,Industry
1,Consumer services,1,LION,86.54,Stage 2 Watch,Loose,15.03,10.0,5.08,95.0,81.0,93.0,93.0,NO,0.0,NO,13.54,9.59,14.15,11.07,Movies/Entertainment
3,Healthcare,1,OSCR,98.03,Extended Near High,Loose,31.9,0.47,5.59,96.0,97.0,98.0,96.0,NO,0.63,NO,23.59,17.77,25.08,17.96,Healthcare Plans
3,Healthcare,2,APGE,97.61,Extended Near High,Normal,132.77,0.29,3.86,96.0,98.0,93.0,94.0,NO,0.02,NO,91.77,73.18,93.92,81.59,Biotechnology
3,Healthcare,3,LQDA,97.31,Extended Near High,Loose,79.32,1.7,5.85,97.0,97.0,97.0,96.0,NO,0.0,NO,57.98,38.85,62.18,45.18,Drug Manufacturers - Specialty & Generic
3,Healthcare,4,GH,97.13,Extended Near High,Loose,170.77,1.06,4.57,96.0,97.0,95.0,94.0,NO,7.15,NO,115.33,97.35,123.59,106.51,Diagnostics & Research
3,Healthcare,5,TWST,97.07,Extended Near High,Loose,102.25,2.29,6.16,97.0,98.0,97.0,97.0,NO,0.0,NO,68.89,45.98,72.89,53.6,Diagnostics & Research
4,n/a,1,BSP,93.36,Stage 2 Watch,Loose,40.5,7.91,7.76,98.0,98.0,98.0,98.0,NO,2066566.65,YES,0.81,0.21,4.05,1.35,n/a
4,n/a,2,LIME,91.65,Stage 2 Watch,Loose,26.0,10.19,6.68,98.0,98.0,98.0,98.0,NO,0.0,NO,4.63,2.28,6.72,3.54,n/a
5,Technology,1,ALOT,98.44,Extended Near High,Loose,28.49,0.66,4.35,97.0,98.0,98.0,98.0,NO,0.0,NO,17.49,11.29,18.91,12.69,Computer Hardware
5,Technology,2,BLZE,98.25,Extended Near High,Loose,16.36,1.39,7.87,98.0,98.0,98.0,98.0,NO,0.0,NO,7.94,6.3,8.97,5.82,Software - Infrastructure
5,Technology,3,ICHR,97.95,Extended Near High,Loose,111.77,1.59,7.9,98.0,98.0,97.0,98.0,NO,0.0,NO,76.88,41.77,80.67,52.98,Semiconductor Equipment & Materials
5,Technology,4,KLIC,97.13,Extended Near High,Loose,133.81,1.47,6.68,97.0,96.0,96.0,97.0,NO,0.0,NO,104.69,66.42,108.95,78.49,Semiconductor Equipment & Materials
5,Technology,5,ATEN,96.06,Extended Near High,Normal,38.0,1.02,3.74,95.0,94.0,94.0,96.0,NO,0.37,NO,30.23,21.91,31.05,23.98,Software - Infrastructure
