Rank,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Health technology,96,82,98,95,SI
2,Healthcare,68,44,67,58,"ERAS,QTTB,FBRX,AGL,DMRA,SYRE,ORKA,ALMS,ANRO,MBX,LQDA,DFTX,TWST,TXG,RLAY,RVMD,CDNA,DNTH,SLGL,TNGX,KOD,RLYB,PACS,NBTX,TRAX,ETON,NVCT,PLSE,BDSX,APGE,ARWR,URGN,PRAX,MANE,ELVN,CRNX,GH,PVLA,TVTX,MNPR,LBRX,FTH,CORT,SEPN,FBIOP,EWTX,QURE,COGT,BVS,OSCR,BTSG,NEO,AXGN,HNGE,KNSA,BTSGU,ANAB,GHRS,ROIV,MCTA,NRIX,PTGX,ANIK,ELMD,XNCR,FTRE,TCMD,ADPT,CNC,AMLX,COAG,RAPP,IMVT,NHC,BLLN,STRO,TRVI,AMN,JAZZ,JBIO,OBX,ELOX,DYN,AMRX,KYMR,ILMN,CGON,LGND,CGEM,ACHC,GKOS,NKTR,ESTA,MRNA,RCUS,PARK,YARW,HUM,PGNY,BCAX,SMTI,ALKS,TGTX,ZBIO,GPCR,KRYS,BWAY,CLDX,ITGR,BLFS,UFPT,APLM,MD,SION,BAX,PDEX,NTRA,NGNE,VTRS,XENE,LIVN,VCYT,IART,INBX,CTNM,ANGO,CON,PNTG,CRL,LNTH,IMNM,RIGL,HAE,THC,VTVT,GRDN,DNLI,EXEL,BRKR,TEVA,GLUE,DVA,RPRX,AVBP,BLTE,NUTX,CYTK,AVTX,UNH,CVS,DRUG,AXSM,ICUI,BRKRP,CUE,SNDA,WRBY,PHVS,ASTH,WST,MIRM,MRK,GRAL,INCY,BBIO,DGX,DXCM,CSTL,LLY,ELAN,AMGN,CHE,TYRA,STOK,ODTX,KIDS,HSIC,TECX,HALO,SNDX,CAH,ARQT,SCTX,JNJ,BIIB,NVST,ALMR,HCSG,IQV,BIO,ACAD,INDV,MMED,VCEL,SPTX,RVTY,BMY,SOLV,MEDP,IDYA,TECH,ABVX,NRC,VOR,HQY,LH,SHC,KMTS,RGEN,CNMD,SLP,SIBN,NVCR,ENOV,MDGL,MMSI,CBIO,NBIX,WGS,SRRK,WAT,ELV,ATRC,PCVX,TFX,SRZN,ZYME,ABBV,HSTM,BDX,UTHR,UTMD,HRMY,ASND,TMO,OMDA,REGN,ALGN,NVS,TNDM,PTHS,PEN,A,RYTM,MOH,ICLR,AVLN,IRMD,IRON,GMED,ZBH,ADUS,MCK,TBPH,PBLS,ARGX,CELC,COO,ATR,CBLL,VRTX,AZTA,BLCO,GSK,PCRX,AKTS,EW,MLYS,BMRN,TAK,PTCT,MTD,IMCR,SDGR,AUPH,GMAB,MAZE,BEAM,RDNT,APMD,ONC,MLTX,EHC,PRVA,FMS,ENSG,PRPO,INMD,TARS,DHR,VKTX,GILD,STVN,GEHC,USPH,PFE,VEEV,STE,AGIO,CI,ABT,VRDN,SYK,STAA,FLGT,INVA,QGEN,HROW,QDEL,SUPN,ANIP,VERA,COR,LFMDP,ASMB,MDT,COLL,PHG,OMCL,HIMS,IDXX,HCA,UHS,RMD,AZN,CRSP,NVO,OPCH,NAMS,SGP,INSP,JANX,SGRY,SNY,SNN,KARD,RARE,ALC,WAY,BNTX,HTFL,PAHC,PBH,IRTC,MDLN,LKFT,AMPH,LMAT,WW,IONS,ZLAB,CTEV,ISRG,TEM,SRPT,KLRA,LEGN,CAI,QNCX,AORT,INSM,TMDX,ALNY,AAPG,PRCT,BSX,PODD,DOCS,ZTS,SPRB"
3,Technology,61,58,58,67,"SNDK,MGRT,AXTI,YXT,CHRN,MU,LITE,AEHR,BLZE,DELL,MXL,WDC,AAOI,ALOT,STX,SAIH,FSLY,INTC,BAND,DOCN,MEI,PENG,OCC,RTB,HPE,VSAT,MRVL,ICHR,VICR,ASX,UCTT,UMC,TSEM,DDOG,PANW,SIMO,UMAC,AIP,RNG,LASR,CIEN,AMAT,TER,DAVE,SILC,AMD,FTNT,FORM,MKSI,VIAV,ALAB,SNOW,COHR,CRWD,AMBQ,KLIC,ACMR,NVEC,ARM,COHU,RELL,FLEX,OKTA,IMOS,LRCX,OUST,NTAP,VPG,FROG,NAVN,DGII,ASYS,VECO,FEIM,NSIT,QLYS,ARW,ONTO,LSCC,ADEA,STM,PTRN,OOMA,SHAZ,SITM,ALNT,RDVT,TSAT,ZETA,AVT,MITK,TTMI,CCSI,PDFS,HQ,VSH,SMTC,KN,TENB,GLW,CGNX,BHE,ASML,PLXS,CRDO,ATEN,BELFB,CSCO,CIFR,YOU,FLYW,PAY,SNX,MPTI,BRUN,KLAC,MRAM,LFUS,KEYS,ZBRA,ACLS,RAL,NTCT,GCT,WATT,RELY,CNXN,KARO,SLAB,CTS,SCSC,GRMN,FFIV,VRNS,ENTG,EXTR,INOD,RAMP,OSPN,BELFA,TWLO,CPAY,NET,ACIW,DBX,AKAM,AMKR,ST,RBRK,ROG,ANET,MDB,FIVN,S,MTSI,GRND,AEVA,CEVA,APH,ESE,PLTS,WYFI,TXN,DJCO,TSM,JBL,ADI,HPQ,AGYS,DIOD,WEX,SANM,INTA,NYAX,SYNA,NTNX,NATL,IOT,INGM,GEN,SAIC,DT,MANH,Q,XYZ,PLUS,AAPL,NOVTU,CHYM,ITRN,U,BILL,ON,MLAB,CVLT,PRGS,DLO,NOVT,SWMR,IBEX,SHOP,APPN,BOX,DBD,SAIL,ALRM,CLS,MPWR,P,AVGO,AMBA,CORZ,TDY,PCTY,PAYC,SONO,NVDA,BKTI,ENPH,POWI,KSPI,LYTS,IBTA,FTV,TTAN,PGY,VRSN,ADP,CLMB,PAYX,AVNW,DAKT,ESTC,GTLB,ZM,FN,RDWR,ALGM,CLBT,IDCC,BDC,ITRI,BRZE,DFIN,MSFT,BSP,QTWO,AOSL,TOST,FSLR,APLD,QRVO,GFS,EVTC,LYFT,TDC,CAMT,LOGI,SSNC,IPGP,NXT,LIF,WDAY,DOCU,UPBD,MSI,CLFD,PLTR,NVMI,PLAB,FIG,CDNS,ALKT,MBGL,SMCIP,TEL,PI,MCHP,ARQQ,EEFT,CACI,SONY,IT,EFOR,WOLF,ROP,JKHY,SPSC,GWRE,ASTS,CSQR,SEDG,SWKS,NOW,FOUR,VHC,RMBS,BLKB,DSGX,CDW,MCHPP,EXLS,OTEX,OSIS,NXPI,TEAM,QBTS,NTGR,BMI,PCOR,STRC,CRUS,SAP,G,QNT,QCOM,CSIQ,GIB,APPF,BSY,DUOL,STRF,IIIV,ACFN,NCNO,IBM,MQ,DCBO,WK,CRM,ADSK,ADBE,SKHY,VNT,OCTV,CTSH,VIA,BR,IONQ,GDDY,FICO,PTC,SMCI,UBER,RGTI,ZS,UI,CHKP,PAR,MNDY,ALMU,CNXC,STRD,SNPS,HUBS,PAYP,TRMB,GDS,FORTY,EPAM,KVYO,LDOS,ACN,TYL,CRWV,FIS,NICE,PSN,STRK,DOX,CALX,BL,GLOB,OLED,ORCL,PEGA,WIX,CBRS,INTU,JKS,BLSH,MSTR"
4,Energy,59,56,27,60,"FTK,FET,NESR,NGL,PBT,PBF,WTTR,DK,OII,VLO,PARR,INSW,EC,EFXT,DINO,WKC,MPC,INVX,FRO,PSX,CMBT,NBR,CVE,WHD,FTI,WBI,TEN,LPG,TRGP,SUNC,KGS,APA,EQNR,NCSM,BWLP,EE,LB,YPF,OVV,SU,SUN,E,TDW,TS,DHT,VAL,PAGP,PR,HP,IMO,SOBO,PAA,CNQ,NOV,PBR,TBN,SM,DKL,TNK,WDS,XOM,CHRD,TTE,MUR,VIST,SLB,WES,PBA,AROC,NGS,TRMD,XPRO,STNG,TRP,NE,SMC,BKR,OXY,SDRL,EOG,REPX,FANG,NVGS,MPLX,COP,EPD,SHEL,APC,KNTK,ET,OKE,AM,GLNG,CQP,CVX,WMB,LNG,DTM,TPL,HESM,FLNG,SEI,DVN,WFRD,BP,KMI,CVI,RNGR,VTOL,ENB,USAC,PNRG,PDS,HAL,NC,HMH,CAPL,FLOC,EROK,GLP,IMPPP,RRC,CNR,ARLP,TGS,CNX,AR,WHK,DMLP,SBR,VNOM,NFG,MTDR,NRP,BTU,LBRT,EQT,CRC,CCJ,MGY,EXE,BKV,GPOR,NOG,LEU,VTS"
5,Financial Services,59,54,62,54,"MAAS,RACC,SEZL,HUT,ENVA,ATLC,ECPG,AAMI,CARE,MSBI,LIFE,CCXIU,UFCS,MRX,BFH,CCXI,WULF,GCBC,CIB,MBIN,WT,PRCH,IX,STT,AMAL,CBNA,PGC,PMTS,DGICB,SNEX,AMTB,BOTJ,BWFG,CHMG,SAFT,KF,WRLD,AGM,AMG,ALRS,FNWD,RBCAA,UVE,VCTR,HFBL,SKWD,PFIS,OPY,PLGO,SHBI,FISI,VIRT,SMBK,CZFS,TWN,MUFG,IFS,TRST,CMTV,HBT,AIZ,SMFG,FCAP,CAC,BPOP,SRCE,EZPW,THFF,CFBK,BNY,TMP,BBVA,BMO,TRV,VBNK,OSBC,ACNB,HG,CNO,FBIZ,FVCB,PBAM,ING,CBK,PS,OBK,TD,PKBK,BAP,RY,OBT,FNRN,CTBI,INBK,HSBC,PEBO,KINS,BY,RRBI,WSFS,PLBC,UVSP,FBP,EGBN,CCNE,CBC,GSBC,DCOM,FMAO,VOYA,NP,JXN,GOLD,FNLC,ATLO,BEN,TFSL,KB,WASH,SMBC,FRAF,ASIC,RIOT,THG,CM,IVZ,BOW,STBA,FMBH,WSBC,PDLB,ALL,BNS,MCY,SFST,FRST,CFG,MYFW,FXNC,NTRS,BUSE,RBB,CPF,UBS,FCBC,GL,WSBF,NIC,ESQ,MS,PEBK,PFG,QCRH,TFIN,FFBC,MBWM,WTBA,BCS,CIVB,AROW,FSBC,SBFG,FSEA,CNOB,CATY,STK,PBFS,CPBI,USCB,BHB,PRK,NKSH,BPRN,FULT,OFG,FDSB,MFC,GS,NEWT,BSTZ,SHG,USB,FCF,CFR,LCNB,BLX,BWIN,LOB,NWG,PCB,GABC,NWBI,MPB,SLF,EBC,AVBC,FUNC,MKTW,EIG,C,HBCP,NBN,NBTB,BSRR,TSBK,CNS,CCBG,FITB,ZION,HWBK,MET,MTB,MCBS,PNC,FBLA,ACT,MBBC,CBNK,TCBK,FHI,ORRF,UBSI,HWC,FCCO,HAPN,BAC,SRBK,BFST,CACC,LARK,HNVR,TWFG,UMBF,CFFI,NECB,EBMT,PFS,WBS,NTB,FDBC,CBAN,HTB,AVBH,CZNC,BOKF,CZWI,HBNC,NWFL,BWB,SYBT,FRBA,SEIC,AUB,SFNC,MRBK,RGA,ECBK,LNC,HQH,HFWA,BSAC,HAFC,BCAL,BHRB,HQL,GSHD,AX,EQBK,FBNC,NMIH,SIGI,NBBK,PRI,EWBC,ITIC,CHCO,IBKR,HRTG,RF,FCFS,DBRG,ONB,MVBF,ISTR,TRMK,EFSC,ASB,CB,RNST,RNR,IBCP,NODK,BBT,WABC,UNTY,LSBK,BVFL,EMF,PBHC,FMNB,SLDE,BCH,CEE,SII,JMSB,PRU,UNM,MCB,COSO,WAFD,JPM,MCHB,HMN,TCBX,INDB,NRIM,CVBF,BFC,VABK,BST,CLST,TBBK,SFBS,PFBC,CWBC,SPNT,AMP,SPFI,BMRC,BSVN,MTG,AFRM,FAF,BMA,AFL,KEY,WTW,FBK,CUBI,CNA,NFJ,RDN,PNFP,IOR,HASI,COFS,FCNCA,WTFC,RGT,WF,ABCB,FNB,SBCF,FUSB,SSB,PLMR,OMF,HOMB,HTH,WHG,L,OPBK,IGIC,AFG,FGNXP,FIBK,CINF,BTO,SCHW,DB,EVT,DGICA,COLB,CBSH,EFSI,HCI,ORI,EG,UCB,BANR,BME,MIAX,CCD,ADX,CASH,RJF,FRME,BBAR,PYPL,V,RLI,GGZ,PROV,FHN,CBU,RVI,BOH,RMBI,CAF,HYNE,TROW,ESNT,OVLY,FDS,EQH,TOWN,MNSB,BANC,MGYR,GAIN,RYAN,TFC,NXG,FSUN,RVT,ALLY,OVBC,CRBG,HIG,NBHC,PB,BKU,ETG,ASA,PEO,HIPO,ETO,NCZ,UBCP,SYF,FFIN,OCFC,PJT,GLRE,FSBW,IBOC,OZK,GDV,ACGL,PRAA,CBFV,BMEZ,FRBT,COF,NCV,AON,GBCI,SF,CSQ,TRIN,WFC,MXF,SFBC,TRU,MA,GAM,AIO,FHB,HIFS,TCBI,RMI,CSWC,BHF,AXP,MRSH,AJG,PFX,AXS,SLM,ASGI,BGR,HBAN,QQQX,FFA,SPXX,BCML,CET,STEW,TBLD,BCAT,WTM,TY,BCV,MC,NDAQ,TCBS,BLK,FGBIP,SATA,JEF,AUBN,JCE,THQ,EMO,CII,IBN,ACV,WRB,SBSI,AII,UTF,FOA,ECCC,JCAP,NPB,NEWTP,LGI,CNOBP,MORN,FRHC,ISBA,MBINL,ATLCP,LKFN,EOT,AIG,VRTS,RLTY,SCD,NIE,MEGI,KNSL,NBXG,IREN,APAM,MNSBP,ETB,PGR,BAM,FDUS,BRO,OXLCO,MSBIP,MCO,NNI,SRV,GGAL,WAL,MBINM,GLU,MBNKO,OCCIN,OXLCN,LPLA,HTD,EVR,EICA,SOR,BUSEP,FG,CCNEP,EIIA,ARES,TIPT,SLMBP,BUI,CBOE,SPME,CCID,STC,AGO,WAFDP,BANX,UMBFO,ECAT,PDPA,HOOD,BANF,OCCIM,SPMA,CRVL,GBLI,BNT,APO,BMN,MKL,WSBCO,VLYPN,BTT,BX,MKTX,MBINN,VLYPP,VLYPO,WTFCN,ONBPP,SDHY,BPYPM,MSCI,ONBPO,BWBBP,GUG,FRMEP,HBANL,FFC,BN,HPF,EOI,EFSCP,HPI,PDX,DFP,ONIT,RNP,ETX,VALU,BBN,FLC,UTG,LDP,ARCC,IGI,OZKAP,TCBIO,UNB,FNF,IIF,KLAR,PSF,NBB,PUK,EOS,ETOR,PTA,HTGC,LMND,ERIE,FPF,MAIN,KKR,FULTP,VEL,TPG,PIPR,IOND,NPFD,NTRSO,ACGLN,FCNCP,ACGLO,CME,ICE,JLS,HBANZ,FCNCO,HBANP,MSDL,SIGIP,SPGI,HBANM,LCLN,GLAD,XP,TW,AB,SOFI,PSUS,CG,TYG,LAZ,MPV,RM,ZIONP,HLNE,BXSL,ROOT,PDI,AIFU,PWP,STEP,TSLX,XZO,XFLT,MCI,AMSF,WD,SAR,HERZ,PFSI,HDB,HLI,FIGR,TRUP,UPST,KMPR,DXYZ,TREE,BOT,BMNR,FUTU,GLXY,COIN,GBFH,CRCL,GSIW,BETR,CCB,VCX"
6,Industrials,58,55,54,52,"DFNS,SIF,BUUU,SMX,FCEL,NCEW,BE,CDNL,XMTR,PLPC,PKOH,EDRY,ATI,OESX,GEO,IESC,ATRO,TWIN,DCO,MAN,TH,KFRC,CRS,PRLB,KELYB,CXW,NVRI,SHIP,ARXS,RHLD,AGX,CYRX,PKE,ECO,FA,AIR,HSHP,ALGT,GRC,ARCB,PBI,FIX,MATX,DAL,HLIO,UNF,PL,TKR,AIRT,BLBD,POWL,KELYA,AEIS,EFTY,NSP,MRCY,PRG,RHI,JBHT,GHM,SWK,SXI,UAL,SNDR,UHAL,FSTR,LIME,CBZ,CMPR,ARMK,ESLT,HWM,CVLG,MSM,KNX,CMCO,PESI,NMM,ECG,CAT,HXL,LUV,URI,TNET,CSW,ACA,R,AAL,WCC,DAC,WAB,MEC,EXPD,CASS,VRT,TRNS,FDX,GE,ZIM,NVT,NPO,CMDB,GEV,CSX,PWR,WTS,MG,ISSC,TFII,AIT,LGN,ATKR,ODFL,HRI,CNI,RTX,ENS,SBLK,GNK,CMI,ESOA,CPA,BXC,IEX,ESEA,AZZ,KFY,AXON,BRC,LXFR,RXO,VVX,HURC,XPO,JCI,GFF,SKYW,UNP,GTES,PCAR,DSGR,NDSN,VSEC,STRL,MLI,CIX,GIC,GWW,GPN,MIDD,GSL,MMM,WERN,CR,ADUR,OC,DXPE,PH,MYRG,ULH,TEX,HEI,LTM,WSC,CLH,AME,CW,LSTR,WWD,HUBG,CP,ALK,SNA,EBF,CMC,TPC,FLS,DLX,ASC,AER,FPS,TTC,VOYG,ITW,DY,EML,DE,RCMT,ESP,NSC,NPK,NX,RJET,AYI,ETN,LOAR,APOG,RBC,LMT,EMR,KMT,DCI,GHC,RKLB,ABM,IR,EMBJ,ROCK,SARO,FAST,MSA,MAS,KAI,GD,FBIN,ROK,BBSI,FELE,TREX,HON,DRS,ALLE,AADX,VSECU,OTTR,VMI,UPS,MDA,ZWS,CSL,BCO,KEX,CECO,PHOE,FTAI,RYZ,DPC,FSS,KRNT,LECO,CAAP,TATT,BA,WMS,CTAS,TRN,CCEC,EME,SUNB,IIIN,TNC,ZTO,ITT,HUBB,TT,MATW,OSK,MGRC,GNRC,HY,FLR,ENR,TISI,HAYW,RRX,REZI,HURN,GVA,FER,GBX,DOV,ARLO,PAM,ICFI,AWI,TITN,CARR,KE,FERG,J,WOR,TXT,GATX,APG,OMAB,CXT,SPXC,VLTO,MTZ,FTAIM,CRAI,HONA,WM,AAON,NSSC,TTEK,RYAAY,SAIA,POWWP,GGG,MWA,ONT,BETA,GFL,CHRW,OFLX,RGR,WCN,TAYD,RSG,BKSY,AIRTP,EXPO,SEB,HII,LNN,EPAC,CDLR,DLB,CWST,AOS,LPX,TDG,CAE,CAR,RELX,ELMT,FDXF,ULS,LHX,NOC,AMRC,EFX,XYL,VRSK,TRC,AGCO,MAIR,FCN,GXO,AMTM,ATS,ALG,BBUC,ROAD,JBTM,PAC,CDRE,POOL,RBA,KBR,AERO,OTIS,ASTE,CNM,PPIH,ASR,GPGI,BWXT,TRI,BAH,MMS,LII,RTO,ESAB,WLDN,WSO,QXO,KRMN,KTOS,EQPT,BLDR,SITE,INIO,SYM,PNR,BWMN,CPRT,ACM,AVEX,AVAV,FLY,FWRD,STN,HAWK,AMSC,MIR,SPCX,XE,NNE,PRIM,LMB,PSIX,MFP,WLFC"
7,Basic Materials,57,63,41,36,"HYMC,MTRN,FRD,AYA,NWPX,CLMT,MT,CGAU,HBM,KALU,ODC,NUE,KOP,STLD,RMIX,PRM,AUGO,CSTM,CLW,SKE,TECK,GPRE,SCCO,TX,FCX,SSRM,ERO,ELVR,ASH,BHP,HL,AXTA,CMP,RS,JHX,NGVT,EGO,IFF,IAG,CENX,SCL,BVN,ARIS,NEU,RIO,SXT,DD,AG,ESI,KWR,SA,REX,B,CMT,MTUS,IOSP,PAAS,AU,MTX,CDE,SQM,UAN,CF,CBT,HCC,OGC,NEM,MUX,PPG,BCPC,BCC,FNV,SMG,WDFC,SHW,MEOH,WFG,ACNT,RPM,HMY,ECL,WPM,SSD,AVNT,USLM,TFPM,RGLD,ELE,EMN,CTVA,SIM,LIN,APD,WS,AA,KGC,IDR,SOLS,EXP,TTAM,LYB,UFPI,DOW,NTR,FUL,USAU,AMRZ,AEM,WLKP,IPI,VMC,ALB,DRD,ASIX,GFI,PPTA,OR,AAUC,SSMR,AGI,TGLS,WLK,MLM,CRH,HWKN,KNF,SLVM,MOS,AMR,CMCL,PKX,CE,OLN,USAR,CTGO,SMID,MSB,MP,IPX"
8,Consumer Cyclical,55,61,60,49,"DBGI,LVLU,NDLS,VSXY,LIND,ELA,ANDG,MYE,CTRN,MOV,FLXS,BJRI,CAKE,CBRL,GTX,SN,BZH,CALY,LTH,EAT,RCKY,KRT,VIK,VAC,ZGN,ESCA,LOCO,CROX,M,BDL,ETSY,SHOO,WEYS,EXPE,BOBS,MGA,PRSU,COOK,BWA,HBB,MLKN,W,CYD,ROST,GEF,VGNT,KSS,JILL,JAKK,YETI,KMX,RUSHA,HVT,DIN,HZO,RUSHB,BSET,GCO,CASY,BBY,PAG,ANF,OPLN,THRM,MUSA,TILE,LGIH,GIII,SKY,WSM,TPR,CRI,GM,LEGH,LQDT,STRT,MGM,CZR,CVEO,GLBE,INTG,BURL,SON,SAH,MHK,FIVE,KTB,RH,TXRH,PENN,BH,LAD,IHG,RSI,TNL,PHIN,CVCO,PLOW,FTDR,LOVE,PKG,CCK,REYN,SW,HRB,HOV,LZB,XPEL,LEVI,MAR,H,HNI,PRKS,OSW,MCRI,SBH,EBAY,GOLF,MHO,PII,JACK,BROS,AMCR,ABNB,MCFT,BC,DAN,MLR,BALL,TOL,DORM,ALSN,MTN,IP,RACE,SIG,RCL,PVH,SBUX,AAP,HLT,RL,RIVN,DOO,ALH,RGS,VVV,BKNG,AMZN,ATMU,DDS,MTH,GRBK,HMC,PHM,LEA,TJX,CART,URBN,RVLV,HOG,GPC,TRS,RRR,AN,KBH,BWMX,JD,AIN,CHH,CARG,JMKE,REF,DRI,CPS,SCI,FND,JOUT,AEO,SMP,HAS,HGV,ALV,CCL,AS,SE,ETD,SLGN,AVY,COLM,QSR,DASH,WWW,MBUU,MMYT,BYD,MOD,YUM,ABG,HTHT,GNTX,DHI,DECK,HD,YUMC,NCLH,VIPS,OXM,GIL,ULTA,CMG,ONON,WH,RICK,VC,NATH,FOXF,ORLY,DPZ,CPHC,ADNT,LCII,CVNA,BBWI,EYE,DKS,ATAT,ZUMZ,TM,BIRK,VFC,MELI,WGO,NVR,WINA,WYNN,LOW,IBP,BOOT,MCD,ASO,BABA,FUN,CSV,CAVA,CHDN,SGI,GAP,THO,KEQU,BKE,PATK,LEN,PDD,CHWY,LVS,SHOE,AZO,CPRI,TSLA,HSAI,GME,BFAM,LKQ,LULU,PZZA,TCOM,NKE,KRUS,TSCO,GPI,DKNG,BBW,SHAK,BGSI,APTV,PLNT,CPNG,WHR,ROL,FLUT,WING,NEGG"
9,Real Estate,49,36,52,52,"CBL,PEB,XHR,OUT,HST,FVR,APLE,MAC,PSTL,RHP,DOC,NHP,LXP,CDP,JAN,WELL,CCS,LAMR,HIW,NHPBP,SKT,SEG,CURB,JLL,NHPAP,SPG,VNO,AHR,CTO,IRM,VTR,PINE,FRT,AAT,CUZ,NREF,EQIX,ALX,SLG,TRNO,BNL,KRG,PSA,KIM,PECO,FR,CTRE,IVT,EPR,HR,SAFE,OHI,CHCI,ESS,RMR,FOR,BRX,BXP,GTY,EGP,PLD,SBRA,NNN,DEA,MMI,NTST,IIPR,EXR,DLR,MDV,OLP,JOE,LINE,CUBE,LANDO,UE,INVH,KRC,CPT,EQR,MLP,LANDP,AMH,REG,UHT,ADAML,LTC,AKR,UDR,WY,ADAMN,AVB,BPYPP,VTMX,GOODN,IRT,ELS,SMA,WPC,BFS,WHLRD,NLY,O,XRN,ADC,MAA,FCPT,BPYPO,BXDC,AGNCM,RYN,AGNCP,AGNCN,AGNCO,AGNCL,NHI,EPRT,CBRE,AGNCZ,ADAMM,STAG,ADAMZ,REGCP,SDHC,REXR,TCI,ARR,UMH,FSV,MAYS,REGCO,MRP,SUI,FRPH,NMRK,BEKE,GLPI,AXR,ARE,HHH,CHCT,CSR,AMT,VICI,OZ,STWD,NEN,SBAC,STRS,CIGI,NXRT,CCI,EUDA,CSGP,OPI"
10,Consumer Defensive,47,44,49,44,"AGCC,DAO,CHEF,LINC,MAMA,SENEB,HELE,SENEA,PSMT,SPB,PRE,ACU,EPC,TGT,DAR,MNST,APEI,COCO,TBBB,UTI,LAUR,IPAR,ANDE,CENT,DLTR,UNFI,BUD,MICC,CENTA,PFGC,COKE,PRMB,FMX,CVSA,USFD,JBSS,FRPT,KO,LWAY,CCEP,SJM,ADM,PM,IMKTA,VLGEA,KVUE,WILC,KOF,CHD,FC,SYY,LW,HRL,CL,DG,WMK,STRA,ELF,KHC,KDP,MO,NGVC,KMB,EDU,TR,BTI,PRDO,CLX,MDLZ,NATR,SFD,BJ,SFM,UL,CALM,ALCO,DEO,BG,CHSCN,CHSCM,CHSCL,RYM,PG,CHSCO,COST,WMT,HSY,UVV,TSN,OFRM,JJSF,CHSCP,EL,TPB,TAP,PXED,CAG,PEP,LRN,MKC,YSWY,CPB,INGR,FIZZ,LOPE,SAM,GIS,DIT,STZ,POST,KR,DMC,MZTI,OLLI,MGPI,PPC,CELH,ODD,COE"
