20260814T,0,1000,0,209.46,0
20260817T,0,1000,0,209.46,0
20260818T,0,1000,0,209.46,0
20260819T,0,1000,0,209.46,0
20260820T,0,1000,0,209.46,0
20260814T,0,1000,0,172.67,0
20260817T,0,1000,0,172.67,0
20260818T,0,1000,0,172.67,0
20260819T,0,1000,0,172.67,0
20260820T,0,1000,0,172.67,0
20260814T,0,1000,0,138.0,0
20260817T,0,1000,0,138.0,0
20260818T,0,1000,0,138.0,0
20260819T,0,1000,0,138.0,0
20260820T,0,1000,0,138.0,0
20260814T,0,1000,0,120.54,0
20260817T,0,1000,0,120.54,0
20260818T,0,1000,0,120.54,0
20260819T,0,1000,0,120.54,0
20260820T,0,1000,0,120.54,0
20260814T,0,1000,0,112.93,0
20260817T,0,1000,0,112.93,0
20260818T,0,1000,0,112.93,0
20260819T,0,1000,0,112.93,0
20260820T,0,1000,0,112.93,0
20260814T,0,1000,0,108.44,0
20260817T,0,1000,0,108.44,0
20260818T,0,1000,0,108.44,0
20260819T,0,1000,0,108.44,0
20260820T,0,1000,0,108.44,0
20260814T,0,1000,0,105.45,0
20260817T,0,1000,0,105.45,0
20260818T,0,1000,0,105.45,0
20260819T,0,1000,0,105.45,0
20260820T,0,1000,0,105.45,0
20260814T,0,1000,0,103.27,0
20260817T,0,1000,0,103.27,0
20260818T,0,1000,0,103.27,0
20260819T,0,1000,0,103.27,0
20260820T,0,1000,0,103.27,0
20260814T,0,1000,0,100.08,0
20260817T,0,1000,0,100.08,0
20260818T,0,1000,0,100.08,0
20260819T,0,1000,0,100.08,0
20260820T,0,1000,0,100.08,0
20260814T,0,1000,0,97.43,0
20260817T,0,1000,0,97.43,0
20260818T,0,1000,0,97.43,0
20260819T,0,1000,0,97.43,0
20260820T,0,1000,0,97.43,0
20260814T,0,1000,0,94.1,0
20260817T,0,1000,0,94.1,0
20260818T,0,1000,0,94.1,0
20260819T,0,1000,0,94.1,0
20260820T,0,1000,0,94.1,0
20260814T,0,1000,0,90.76,0
20260817T,0,1000,0,90.76,0
20260818T,0,1000,0,90.76,0
20260819T,0,1000,0,90.76,0
20260820T,0,1000,0,90.76,0
20260814T,0,1000,0,89.4,0
20260817T,0,1000,0,89.4,0
20260818T,0,1000,0,89.4,0
20260819T,0,1000,0,89.4,0
20260820T,0,1000,0,89.4,0
20260814T,0,1000,0,84.8,0
20260817T,0,1000,0,84.8,0
20260818T,0,1000,0,84.8,0
20260819T,0,1000,0,84.8,0
20260820T,0,1000,0,84.8,0
20260814T,0,1000,0,76.85,0
20260817T,0,1000,0,76.85,0
20260818T,0,1000,0,76.85,0
20260819T,0,1000,0,76.85,0
20260820T,0,1000,0,76.85,0
20260814T,0,1000,0,57.28,0
20260817T,0,1000,0,57.28,0
20260818T,0,1000,0,57.28,0
20260819T,0,1000,0,57.28,0
20260820T,0,1000,0,57.28,0
