Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
1290,BWA,64.16,64.09,1431932.0,Consumer Cyclical,Auto Parts,82.0,45.0,10.0,77.0,2.0871,1.9029,2575380.0,1953540.0,78.82,40.5,13067234304,NO,66.61,65.61,57.2,65.22,62.19,,8318,0.0,1431932,NO,NO,2025-03-21,55739000.0
1294,AWR,89.29,89.88,255266.0,Utilities,Utilities - Regulated Water,81.0,73.0,88.0,82.0,1.5157,1.3693,308811.0,184440.0,91.72,69.45,3539064832,NO,88.31,86.07,77.68,87.48,80.19,,13495,0.0,255266,NO,NO,2018-01-31,3714000.0
1297,JPM,356.02,357.62,7742145.0,Financial Services,Banks - Diversified,81.0,50.0,90.0,82.0,5.0986,4.9957,8380647.0,5602900.0,366.5,279.1,946367430656,NO,358.28,347.82,317.35,350.26,319.57,,11709,0.0,7742145,NO,NO,2012-05-11,217294200.0
1299,FDBC,53.57,53.7,5318.0,Financial Services,Banks - Regional,81.0,56.0,87.0,82.0,0.9957,0.9643,12444.0,5740.0,56.14,39.87,311161760,NO,54.2,52.63,47.05,53.1,48.25,,6889,0.0,5318,NO,NO,2023-06-23,543900.0
1300,CRM,257.54,256.0,20989333.0,Technology,Software - Application,81.0,97.0,91.0,90.0,11.1249,9.0585,15291592.0,19195410.0,269.11,146.32,211955433472,NO,207.16,183.01,200.39,195.95,186.11,,5583,0.0,20989333,YES,NO,2008-09-12,87332400.0
1302,CECO,71.2,69.67,712715.0,Industrials,Pollution & Treatment Controls,81.0,83.0,10.0,85.0,4.2451,4.0666,910069.0,654180.0,101.24,42.82,4170171904,NO,73.04,77.99,69.78,75.01,73.56,,11529,0.67,712715,NO,NO,2023-06-23,4359900.0
1307,SMCIP,62.82,62.78,285320.0,Technology,Computer Hardware,81.0,94.0,,,3.5271,2.8657,2010376.0,427380.0,71.0,42.92,0,NO,60.79,54.49,,55.48,,,56,0.0,285320,NO,NO,2026-06-11,50814100.0
1317,GWW,1309.49,1306.3,425988.0,Industrials,Industrial Distribution,81.0,9.0,70.0,74.0,22.9446,21.8303,292825.0,184670.0,1419.91,906.52,61678215168,NO,1307.06,1342.39,1170.03,1340.68,1238.93,,13495,0.0,425988,NO,NO,2017-10-17,6078300.0
1322,EVLU,42.39,42.145,2958.0,ETF,ETF,81.0,77.0,29.0,77.0,0.3495,0.1842,3333.0,2150.0,43.97,28.1,0,NO,41.47,40.81,36.92,40.92,38.64,,497,0.34,2958,NO,NO,2026-02-26,32700.0
1363,CACC,599.74,594.89,105662.0,Financial Services,Credit Services,81.0,77.0,74.0,86.0,15.26,14.5986,154152.0,112760.0,668.86,401.9,6273323008,NO,587.89,601.28,515.59,603.46,540.42,,8619,0.0,105662,NO,NO,1997-04-25,5324000.0
1374,TXN,260.91,258.64,5605972.0,Technology,Semiconductors,80.0,9.0,9.0,86.0,8.2021,7.7543,8234404.0,5758700.0,334.03,152.73,238275461120,NO,271.83,284.65,237.48,279.34,260.35,,13675,0.0,5605972,NO,NO,1987-09-16,136944000.0
1375,DGRE,40.53,40.477,4553.0,ETF,ETF,80.0,79.0,28.0,72.0,0.5746,0.3903,11036.0,6760.0,43.24,27.3,0,NO,40.09,39.43,35.9,39.42,37.79,,3290,0.0,4553,NO,NO,2026-01-21,1249400.0
1378,GMOI,41.25,41.29,29968.0,ETF,ETF,80.0,60.0,78.0,64.0,0.3082,0.2523,119993.0,136390.0,42.01,30.41,0,NO,41.08,39.59,36.81,40.09,38.16,,460,0.0,29968,NO,NO,2026-01-21,2067400.0
1385,WERN,39.18,38.42,664067.0,Industrials,Trucking,80.0,74.0,12.0,73.0,1.245,1.2071,1107285.0,860360.0,47.49,23.06,2349904896,NO,38.08,40.78,35.03,40.58,37.16,,10126,0.52,664067,NO,NO,2024-06-21,12667900.0
1413,WCC,340.4,336.42,325217.0,Industrials,Industrial Distribution,80.0,24.0,18.0,77.0,11.53,10.7529,634730.0,492820.0,385.37,203.4,16588663808,NO,355.26,342.73,308.19,339.8,324.93,,6868,0.29,325217,NO,NO,2023-06-16,7823100.0
1416,GM,86.32,86.27,7813744.0,Consumer Cyclical,Auto Manufacturers,80.0,15.0,66.0,68.0,1.9164,1.8507,7236155.0,5331620.0,91.85,54.33,78072258560,NO,86.71,82.74,79.55,83.63,79.73,,3968,0.01,7813744,NO,NO,2010-11-18,457044300.0
1419,BST,50.86,50.81,101920.0,Financial Services,Asset Management,80.0,86.0,61.0,87.0,0.7614,0.7061,96488.0,75470.0,51.3,34.87,1765860224,NO,49.53,48.11,43.06,48.3,44.44,,2976,0.0,101920,NO,NO,2014-10-29,950673.0
1441,EZJ,67.45,67.36,32150.0,ETF,ETF,80.0,80.0,65.0,53.0,1.2007,0.4848,3028.0,4280.0,71.65,46.18,0,NO,67.73,65.36,59.98,65.77,62.55,,4336,0.0,32150,NO,NO,2011-03-15,2004000.0
1442,HAP,76.8,76.3,27821.0,ETF,ETF,80.0,83.0,73.0,46.0,0.8364,0.6479,32903.0,15280.0,77.49,54.83,0,NO,74.73,71.65,69.06,72.66,71.97,,4477,0.0,27821,NO,NO,2009-11-02,1341800.0
