IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
1,TJGC,28.2,Communication Services,Advertising Agencies,98.0,98.0,98.0,98.0,2.4969,2.4948,3.22,NO,NO
2,MGNI,24.07,Communication Services,Advertising Agencies,93.0,81.0,94.0,96.0,1.0079,0.8879,0.0,NO,NO
3,WPP,25.27,Communication Services,Advertising Agencies,92.0,21.0,96.0,94.0,0.7543,0.5736,0.0,NO,NO
4,ZD,56.47,Communication Services,Advertising Agencies,91.0,78.0,88.0,85.0,1.6529,1.6079,0.0,NO,NO
5,ADV,33.95,Communication Services,Advertising Agencies,70.0,76.0,4.0,95.0,1.5047,1.5047,0.0,NO,NO
1,SIF,21.33,Industrials,Aerospace & Defense,97.0,75.0,66.0,94.0,0.98,0.9629,0.0,NO,NO
2,DCO,174.57,Industrials,Aerospace & Defense,93.0,28.0,75.0,90.0,6.7557,6.6164,0.66,NO,NO
3,ATRO,69.15,Industrials,Aerospace & Defense,90.0,17.0,6.0,85.0,3.3343,3.14,0.0,NO,NO
4,ARXS,51.3,Industrials,Aerospace & Defense,88.0,40.0,89.0,,2.4907,2.4821,0.0,NO,NO
5,EMBJ,76.4,Industrials,Aerospace & Defense,87.0,71.0,91.0,87.0,2.1557,2.11,0.0,NO,NO
1,CF,118.44,Basic Materials,Agricultural Inputs,85.0,14.0,86.0,12.0,5.19,4.7693,0.0,NO,NO
2,UAN,126.01,Basic Materials,Agricultural Inputs,83.0,75.0,88.0,12.0,3.4714,3.0621,0.0,NO,NO
3,NTR,73.96,Basic Materials,Agricultural Inputs,82.0,66.0,91.0,19.0,2.209,2.0915,0.0,NO,NO
4,IPI,35.84,Basic Materials,Agricultural Inputs,72.0,26.0,78.0,6.0,1.715,1.7071,0.0,NO,NO
5,CTVA,79.45,Basic Materials,Agricultural Inputs,55.0,34.0,45.0,27.0,2.4932,2.3846,0.0,NO,NO
1,DAL,82.76,Industrials,Airlines,75.0,72.0,15.0,82.0,2.1475,1.9818,0.0,NO,NO
2,SKYW,100.69,Industrials,Airlines,44.0,62.0,70.0,55.0,2.7668,2.5861,0.0,NO,NO
3,RJET,18.72,Industrials,Airlines,36.0,66.0,62.0,44.0,0.6843,0.6779,0.0,NO,NO
4,LUV,41.55,Industrials,Airlines,34.0,81.0,6.0,42.0,1.1636,1.0571,0.0,NO,NO
5,UAL,111.19,Industrials,Airlines,32.0,52.0,8.0,75.0,3.7736,3.3171,0.0,NO,NO
1,CAAP,23.55,Industrials,Airports & Air Services,30.0,60.0,14.0,12.0,0.6595,0.6316,0.0,NO,NO
2,OMAB,101.06,Industrials,Airports & Air Services,13.0,55.0,20.0,9.0,2.5568,2.4904,0.0,NO,NO
3,PAC,211.41,Industrials,Airports & Air Services,6.0,83.0,9.0,8.0,5.2279,5.1486,0.0,NO,NO
4,ASR,238.3,Industrials,Airports & Air Services,2.0,13.0,5.0,2.0,5.3421,5.1836,0.0,NO,NO
1,KALU,151.67,Basic Materials,Aluminum,89.0,65.0,9.0,88.0,6.0621,5.3293,0.0,NO,NO
2,CSTM,24.63,Basic Materials,Aluminum,64.0,17.0,3.0,31.0,0.8943,0.7611,0.0,NO,NO
3,CENX,38.12,Basic Materials,Aluminum,30.0,7.0,9.0,3.0,2.0661,1.7932,0.0,NO,NO
4,AA,42.68,Basic Materials,Aluminum,10.0,6.0,6.0,3.0,1.7874,1.4994,0.0,NO,NO
1,PVH,75.79,Consumer Cyclical,Apparel Manufacturing,49.0,57.0,70.0,68.0,2.7221,2.5186,0.49,NO,NO
2,COLM,56.97,Consumer Cyclical,Apparel Manufacturing,29.0,27.0,11.0,39.0,1.3871,1.38,0.0,NO,NO
3,RL,351.86,Consumer Cyclical,Apparel Manufacturing,24.0,27.0,8.0,38.0,10.0257,9.9129,0.71,NO,NO
4,LEVI,19.72,Consumer Cyclical,Apparel Manufacturing,10.0,12.0,7.0,48.0,0.5187,0.5116,0.1,NO,NO
5,GIII,27.05,Consumer Cyclical,Apparel Manufacturing,9.0,2.0,5.0,33.0,0.8689,0.8532,0.0,NO,NO
1,VSXY,83.81,Consumer Cyclical,Apparel Retail,96.0,36.0,69.0,96.0,4.2056,3.5838,0.0,NO,NO
2,JILL,24.05,Consumer Cyclical,Apparel Retail,95.0,96.0,97.0,93.0,1.2164,1.1306,0.0,NO,NO
3,ANF,134.3,Consumer Cyclical,Apparel Retail,93.0,96.0,96.0,93.0,5.9457,5.6493,0.19,NO,NO
4,ROST,235.4,Consumer Cyclical,Apparel Retail,84.0,48.0,65.0,53.0,4.8643,4.6,0.16,NO,NO
5,GCO,34.45,Consumer Cyclical,Apparel Retail,80.0,55.0,37.0,86.0,1.5729,1.505,0.67,NO,NO
1,SVRN,42.23,Financial Services,Asset Management,98.0,99.0,98.0,98.0,4.4702,3.7931,0.0,NO,NO
2,ASST,29.94,Financial Services,Asset Management,97.0,98.0,98.0,98.0,2.0857,1.9486,0.0,NO,NO
3,PS,52.28,Financial Services,Asset Management,97.0,97.0,97.0,,3.6536,3.6371,0.0,NO,NO
4,AAMI,93.32,Financial Services,Asset Management,96.0,79.0,94.0,95.0,3.1551,2.7926,0.0,NO,NO
5,WT,23.99,Financial Services,Asset Management,95.0,75.0,94.0,95.0,1.0468,1.0375,0.0,NO,NO
1,RUSHB,55.01,Consumer Cyclical,Auto & Truck Dealerships,88.0,86.0,83.0,86.0,2.1554,2.0625,0.0,NO,NO
2,PAG,207.97,Consumer Cyclical,Auto & Truck Dealerships,85.0,30.0,85.0,91.0,2.8575,2.6168,0.0,NO,NO
3,KMX,56.36,Consumer Cyclical,Auto & Truck Dealerships,83.0,10.0,83.0,88.0,2.1479,2.0579,0.0,NO,NO
4,RUSHA,47.98,Consumer Cyclical,Auto & Truck Dealerships,73.0,13.0,47.0,50.0,1.3,1.1879,0.0,NO,NO
5,OPLN,34.5,Consumer Cyclical,Auto & Truck Dealerships,58.0,78.0,10.0,84.0,0.8275,0.7868,0.0,NO,NO
1,HMC,32.19,Consumer Cyclical,Auto Manufacturers,80.0,60.0,92.0,86.0,0.6914,0.4086,0.0,NO,NO
2,RACE,411.82,Consumer Cyclical,Auto Manufacturers,73.0,44.0,88.0,85.0,8.0111,5.8796,0.0,NO,NO
3,GM,80.57,Consumer Cyclical,Auto Manufacturers,64.0,17.0,60.0,44.0,2.7861,2.6196,0.0,NO,NO
4,TM,186.72,Consumer Cyclical,Auto Manufacturers,29.0,37.0,84.0,8.0,3.5168,2.1261,0.0,NO,NO
5,RIVN,15.29,Consumer Cyclical,Auto Manufacturers,16.0,14.0,65.0,26.0,0.6559,0.6277,0.0,NO,NO
1,VGNT,45.22,Consumer Cyclical,Auto Parts,90.0,37.0,78.0,,1.8707,1.7786,0.0,NO,NO
2,GTX,25.3,Consumer Cyclical,Auto Parts,87.0,53.0,4.0,90.0,0.8593,0.7593,0.0,NO,NO
3,MLR,53.84,Consumer Cyclical,Auto Parts,85.0,27.0,76.0,76.0,1.67,1.6564,0.0,NO,NO
4,GPC,129.26,Consumer Cyclical,Auto Parts,71.0,30.0,88.0,83.0,3.2968,3.0296,0.33,NO,NO
5,MGA,62.22,Consumer Cyclical,Auto Parts,70.0,14.0,34.0,64.0,1.785,1.51,0.0,NO,NO
1,ING,36.11,Financial Services,Banks - Diversified,89.0,83.0,88.0,91.0,0.6414,0.4207,0.08,NO,NO
2,BBVA,28.47,Financial Services,Banks - Diversified,89.0,48.0,88.0,88.0,0.5911,0.3614,1.03,NO,NO
3,MUFG,22.57,Financial Services,Banks - Diversified,89.0,83.0,86.0,89.0,0.5039,0.2957,0.0,NO,NO
4,SMFG,25.51,Financial Services,Banks - Diversified,87.0,81.0,80.0,86.0,0.6021,0.3318,0.0,NO,NO
5,BNS,92.23,Financial Services,Banks - Diversified,86.0,88.0,80.0,88.0,1.555,1.4264,0.0,NO,NO
1,HFBL,25.0,Financial Services,Banks - Regional,94.0,20.0,91.0,93.0,0.8568,0.5318,0.0,NO,NO
2,VBNK,23.31,Financial Services,Banks - Regional,94.0,96.0,90.0,95.0,0.9504,0.9319,0.0,NO,NO
3,MSBI,33.13,Financial Services,Banks - Regional,93.0,77.0,82.0,93.0,0.7851,0.7266,0.37,NO,NO
4,SBFG,30.73,Financial Services,Banks - Regional,92.0,92.0,93.0,92.0,1.2611,1.2346,0.0,NO,NO
5,SHG,79.59,Financial Services,Banks - Regional,92.0,88.0,92.0,86.0,2.5352,1.3702,0.0,NO,NO
1,BUD,77.42,Consumer Defensive,Beverages - Brewers,67.0,50.0,16.0,65.0,1.4121,1.0857,0.0,NO,NO
2,FMX,117.71,Consumer Defensive,Beverages - Brewers,62.0,38.0,27.0,59.0,2.6179,2.6179,0.0,NO,NO
3,SAM,166.25,Consumer Defensive,Beverages - Brewers,6.0,7.0,15.0,3.0,6.4172,6.1822,0.0,NO,NO
4,TAP,36.35,Consumer Defensive,Beverages - Brewers,6.0,4.0,13.0,8.0,1.0639,1.0075,0.0,NO,NO
5,STZ,114.21,Consumer Defensive,Beverages - Brewers,4.0,3.0,5.0,2.0,3.4231,3.3488,0.0,NO,NO
1,KO,88.1,Consumer Defensive,Beverages - Non-Alcoholic,83.0,33.0,82.0,74.0,1.2304,1.0996,0.0,NO,NO
2,COKE,189.65,Consumer Defensive,Beverages - Non-Alcoholic,82.0,58.0,78.0,38.0,5.7106,5.4535,0.01,NO,NO
3,KOF,108.96,Consumer Defensive,Beverages - Non-Alcoholic,76.0,27.0,69.0,69.0,2.26,2.2579,0.0,NO,NO
4,KDP,30.88,Consumer Defensive,Beverages - Non-Alcoholic,64.0,28.0,40.0,73.0,0.7016,0.6423,0.0,NO,NO
5,MNST,42.67,Consumer Defensive,Beverages - Non-Alcoholic,63.0,6.0,13.0,72.0,0.8596,0.8232,0.0,NO,NO
1,DEO,86.83,Consumer Defensive,Beverages - Wineries & Distilleries,47.0,11.0,72.0,77.0,1.5671,1.2786,0.0,NO,NO
1,TWST,184.03,Healthcare,Biotechnology,98.0,97.0,98.0,98.0,11.205,10.6257,0.0,NO,NO
2,MRNA,194.82,Healthcare,Biotechnology,98.0,96.0,98.0,98.0,11.9482,11.3125,0.0,NO,NO
3,OMER,20.13,Healthcare,Biotechnology,98.0,85.0,98.0,96.0,0.9136,0.7457,0.0,NO,NO
4,KRSA,37.19,Healthcare,Biotechnology,98.0,97.0,97.0,98.0,4.9131,4.3549,0.0,NO,NO
5,ANL,15.83,Healthcare,Biotechnology,98.0,93.0,95.0,97.0,1.1638,1.1534,0.0,NO,NO
