Rank,Industry,Sector,Relative Strength,1 Month Ago,3 Months Ago,6 Months Ago,Ticker
37,Auto Manufacturers,Consumer Cyclical,61,57,49,36,"FLYE,CYD,XPEV,ZK,LI,TSLA,RACE,HMC,GM,F,RIVN,TM,VLCN,AYRO,STLA"
38,Industrial Distribution,Industrials,61,58,39,44,"DXPE,REZI,WCC,CNM,EVI,FAST,TITN,FERG,AIT,MSM,DNOW,GIC,WSO,GWW,SITE,POOL,DSGR,BXC"
39,Specialty Industrial Machinery,Industrials,61,56,37,59,"PSIX,SMR,GEV,SYM,AMSC,NNE,GHM,MIR,XMTR,HUHU,GTES,ROK,EMR,NPO,ETN,JBTM,TAYD,SERV,CR,WTS,PH,CMI,RRX,GTLS,ITT,ATS,GNRC,GRC,PNR,CXT,FLS,HURC,MIDD,MWA,XYL,AME,KRNT,HLIO,LXFR,ITW,KAI,DCI,IR,SXI,NDSN,GGG,DOV,THR,AOS,TNC,FELE,IEX,TWIN,EPAC,OTIS,CSW,OFLX,HI,PKOH"
40,Pharmaceutical Retailers,Healthcare,59,67,31,5,WBA
41,Software - Infrastructure,Technology,59,62,55,63,"AEVA,ARQQ,PLTR,PDYN,PGY,CRWV,GRRR,PAYS,VHC,ATGL,TAOX,XNET,SUPX,NET,ZENA,JG,ALLT,RBRK,ORCL,AFRM,AISP,ODD,TWLO,AMBR,TOST,CALX,ZS,KPLT,NN,VRSN,CORZ,NYAX,BASE,CRWD,CTLP,BKKT,YEXT,MQ,AVPT,FFIV,GCT,RDWR,FOUR,FTNT,MSFT,XYZ,SNPS,NTNX,CYBR,RAMP,DLO,VRNS,IIIV,GB,ALAR,GEN,ATEN,CSGS,PANW,MDB,EXOD,TCX,CGNT,INFA,CFLT,STNE,WEX,EVCM,CHKP,AVDX,BOX,OKTA,EEFT,PAY,SAIL,QLYS,PRTH,BAND,KVYO,NTCT,AI,DBX,CPAY,PATH,DOX,EVTC,CCSI,SANG,RELY,OS,OSPN,BLZE,VRNT,GDDY,RPAY,IOT,APPN,FIVN,ZETA,PAYO,GTLB,S,FLYW,ACIW,CINT,AKAM,PAGS,WIX,TENB,KSPI,DOCN,TDC,PRGS,SNCR,CLBT,ARAI,PSFE,RPD,FATN,DAVA,IMXI,MLGO"
42,Education & Training Services,Consumer Defensive,59,59,61,58,"QSG,LGCY,COE,STG,COUR,LINC,FEDU,DAO,APEI,UTI,LAUR,ATGE,LRN,PRDO,GHC,LOPE,TAL,MH,UDMY,EDU,STRA,AFYA,SKIL,FC,KLC"
43,Copper,Basic Materials,58,71,15,16,"IE,HBM,MTAL,FCX,SCCO,ERO"
44,Credit Services,Financial Services,58,64,57,68,"SEZL,MCVT,UPST,SOFI,XYF,FOA,OPRT,OPFI,LX,FINV,SYF,SLM,COF,BFH,WRLD,OMF,V,MFIN,AXP,GDOT,NNI,PYPL,MA,ENVA,QFIN,ATLC,ALLY,YRD,RWAY,EZPW,NAVI,CACC,SLMBP,FCFS,OMCC,RM,ATLCP,AGM,ANTA,ECPG,CPSS,JCAP,PMTS,WU,PRAA,DXF"
45,Rental & Leasing Services,Industrials,57,55,41,55,"CAR,HTZ,ALTG,CTOS,R,URI,AL,AER,MGRC,FTAI,GATX,FTAIM,HRI,WLFC,FTAIN,WSC,PRG,UHAL,VSTS"
46,Internet Content & Information,Communication Services,57,57,44,54,"AREN,SOGP,NBIS,GRPN,JFIN,TME,CMCM,RDDT,SPOT,BZ,BILI,MOMO,JOYY,META,Z,BMBL,ZG,PERI,PINS,LCFY,GENI,RUM,WB,EVER,GOOGL,GOOG,VBIX,OPRA,IAC,MTCH,ANGI,ATHM,FVRR,BIDU,DJTWW,YELP,NRDS,UPWK,SNAP,UPXI,DOYU,MAX,CARS,WBTN,SCOR,TZOO,SSTK,THRY,DJT,SLE"
47,Discount Stores,Consumer Defensive,57,71,75,59,"DLTR,OLLI,DG,PSMT,WMT,BJ,COST,TGT,TBBB"
48,Waste Management,Industrials,57,69,57,59,"PESI,MEG,NVRI,RSG,GFL,WM,CLH,WCN,CWST"
49,Electronic Gaming & Multimedia,Communication Services,56,51,45,40,"RBLX,SKLZ,NTES,TTWO,SOHU,EA,GRVY,GDEV,DDI,TRUG"
50,Food Distribution,Consumer Defensive,56,59,61,51,"WILC,USFD,SPTN,CHEF,UNFI,PFGC,SYY,AVO,CVGW,DIT,MTEX,ANDE,TWG"
51,Oil & Gas Refining & Marketing,Energy,56,45,29,29,"PARR,DK,CVI,DINO,MPC,VLO,DKL,PSX,WKC,PBF,CAPL,SGU,SUN,IEP"
52,Consumer Electronics,Technology,55,27,32,52,"ZEPP,AXIL,FOXX,SONY,TBCH,SONO,AAPL,KOSS,UEIC"
53,Lodging,Consumer Cyclical,54,48,38,65,"ATAT,HLT,SHCO,H,MAR,CVEO,WH,IHG,CHH,HTHT,INTG"
54,Software - Application,Technology,54,55,51,62,"PRCH,MFI,DAVE,KC,OCFT,BLBX,AZ,DOMO,IDN,ALTS,APPS,LIF,CRNC,OLO,SRAD,CCRD,YB,U,VERB,NUKK,INUV,DUOT,MSTR,SOUN,YALA,SNOW,SHOP,ATHR,PEGA,BTDR,AMPL,RDVT,IDCC,AGYS,QXO,DBD,DDOG,INTU,FROG,BSY,GRAB,KARO,GWRE,STRK,BULL,UBER,CDNS,STRF,PAYC,PTC,DUOL,APPF,YOU,GTM,DFIN,EGAN,YMM,SSNC,PCOR,QTWO,CXM,PAR,LSPD,INLX,VTSI,DT,ADSK,CVLT,GRND,SAP,LYFT,TTAN,RSKD,ADEA,MNDY,BL,DOCU,ADP,DSP,MNTN,NCNO,NOW,PAYX,SMWB,VTEX,PCTY,ZM,OTEX,FSLY,ROP,PDFS,NICE,ASUR,FRSH,WRD,MANH,DSGX,TYL,STRD,DV,OOMA,MITK,DAY,WDAY,CCCS,ASAN,UPBD,ESTC,ALRM,CRM,DJCO,PUBM,PD,SPNS,NATL,HUBS,TEAM,XPER,MTLS,ONTF,RNG,ALKT,ALIT,CWAN,TRAK,CHYM,PLUS,SSTI,BLKB,WK,MLNK,IMMR,BIGC,ADBE,BRZE,BILL,DCBO,PRO,AEYE,SPSC,FICO,INTA,VERX,SEMR,CYN,SPT,ULY,IBTA,DMRC,JAMF"
55,Footwear & Accessories,Consumer Cyclical,54,42,33,62,"FORD,FMFC,WWW,NKE,RCKY,SKX,ONON,WEYS,CROX,BIRK,SHOO,DECK"
56,Financial Data & Stock Exchanges,Financial Services,54,59,53,64,"COIN,MKTW,NDAQ,CBOE,CME,ICE,MCO,TRU,SPGI,MSCI,FDS,MORN,DNB,VALU"
57,Conglomerates,Industrials,54,46,48,42,"RCMT,AIRT,BBU,MMM,VMI,CRESY,SEB,FBYD,TRC,HON,AIRTP,FIP,BOOM,MDU,MATW,OTTR,BOC,DLX,CODI"
58,Utilities - Regulated Electric,Utilities,53,57,79,52,"OKLO,KEP,GNE,TXNM,ETR,ELPC,EMA,ELP,VIASP,CEPU,CNP,IDA,EDN,XEL,WEC,AEE,DTE,FTS,EVRG,PEG,LNT,SO,PPL,ES,AEP,D,NGG,OGE,EXC,CMS,DUK,HE,PNW,NEE,FE,ED,MGEE,NWE,POR,EIX,PCG"
59,Steel,Basic Materials,53,46,45,29,"LUD,MT,MSB,ACNT,MTUS,NUE,PKX,CLF,CMC,WS,RS,STLD,TX,SIM,NWPX,FRD,ZEUS,ASTL"
60,Oil & Gas Integrated,Energy,53,42,34,42,"NFG,TGS,YPF,IMO,E,DEC,EQNR,SHEL,SU,CVX,BP,CVE,XOM,TTE,EC,PBR,CRGY"
61,Health Information Services,Healthcare,52,58,52,58,"SY,CTEV,LFMD,OPRX,STRM,DOCS,VEEV,CCLDO,TBRG,TEM,BTSG,TXG,HNGE,BTSGU,SPOK,PHR,WAY,HQY,LFMDP,AMWL,PINC,GEHC,CARL,TDOC,SDGR,PRVA,NRC,GDRX,HSTM,OMCL,CERT,OMDA,EVH,WEAV,ACON,SLP"
62,Restaurants,Consumer Cyclical,52,54,40,52,"MB,VENU,RRGB,YOSH,BH,SHAK,CAKE,EAT,PBPB,KRUS,CBRL,BDL,BROS,CNNE,DRI,YUMC,PZZA,NATH,TXRH,BJRI,SBUX,DPZ,YUM,HDL,QSR,WING,MCD,LOCO,FWRG,DIN,PTLO,CAVA,ARCO,BLMN,CMG,RICK,ARKR,CHA,WEN,JACK,SG"
