SectorRank,Sector,LeaderRank,Ticker,Leader_Score,Setup_Type,Tightness,Setup_Price,Dist_52WH_%,ATR_%,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,IPO,Gap (%),HVE,SMA50,SMA200,SMA10W,SMA30W,Industry
1,Health technology,1,SI,86.32,Stage 2 Watch,Loose,20.16,12.04,8.72,90.0,97.0,92.0,90.0,NO,0.0,NO,16.53,14.48,17.39,15.2,Medical specialties
2,Healthcare,1,APGE,98.36,Extended Near High,Normal,133.65,0.16,2.6,97.0,98.0,95.0,95.0,NO,0.0,NO,97.23,76.06,99.22,83.48,Biotechnology
2,Healthcare,2,TXG,97.72,Extended Near High,Loose,42.73,1.16,6.42,97.0,97.0,97.0,97.0,NO,0.0,NO,29.28,20.81,30.79,23.77,Health Information Services
2,Healthcare,3,BTSG,96.82,Extended Near High,Normal,71.43,0.87,3.08,97.0,93.0,95.0,96.0,NO,0.0,NO,61.24,43.53,62.92,48.64,Health Information Services
2,Healthcare,4,HNGE,96.72,Extended Near High,Loose,88.8,2.49,4.55,96.0,98.0,98.0,96.0,NO,0.0,NO,64.02,49.55,67.22,50.42,Health Information Services
2,Healthcare,5,DFTX,96.05,Near Breakout,Loose,47.07,4.33,9.42,98.0,98.0,98.0,98.0,NO,0.0,NO,28.67,18.7,29.87,21.65,Biotechnology
3,Energy,1,PBF,94.25,Extended Near High,Loose,53.18,2.96,5.06,94.0,97.0,90.0,96.0,NO,0.0,NO,42.84,37.3,42.97,39.14,Oil & Gas Refining & Marketing
3,Energy,2,DINO,94.11,Breakout Zone,Normal,78.07,0.91,3.4,92.0,90.0,93.0,94.0,NO,0.31,NO,70.45,57.86,70.83,60.26,Oil & Gas Refining & Marketing
3,Energy,3,DK,93.48,Near Breakout,Loose,55.51,3.58,4.73,94.0,94.0,92.0,96.0,NO,0.0,NO,46.93,38.96,47.2,40.22,Oil & Gas Refining & Marketing
3,Energy,4,FTK,93.12,Extended Near High,Loose,25.56,0.35,6.01,93.0,79.0,96.0,88.0,NO,0.08,NO,21.2,17.56,21.62,18.42,Oil & Gas Equipment & Services
3,Energy,5,MPC,92.54,Near Breakout,Normal,283.74,1.19,2.89,91.0,88.0,89.0,94.0,NO,0.0,NO,256.33,212.92,257.6,221.93,Oil & Gas Refining & Marketing
4,Technology,1,ALOT,98.52,Extended Near High,Very Tight,28.52,0.56,0.27,97.0,98.0,98.0,98.0,NO,0.04,NO,19.24,11.85,20.41,13.37,Computer Hardware
4,Technology,2,EXTR,97.38,Extended Near High,Loose,33.71,0.06,4.71,96.0,93.0,97.0,97.0,NO,0.0,NO,27.8,19.63,28.66,20.15,Communication Equipment
4,Technology,3,DAVE,97.07,Extended Near High,Loose,400.75,2.02,5.84,96.0,98.0,98.0,95.0,NO,1.56,NO,291.01,228.78,299.94,238.11,Software - Application
4,Technology,4,PTRN,96.86,Extended Near High,Loose,28.95,2.29,4.87,96.0,98.0,98.0,97.0,NO,0.0,NO,19.98,15.06,20.96,15.21,Software - Application
4,Technology,5,BLZE,96.62,Near Breakout,Loose,17.6,3.56,9.11,98.0,98.0,98.0,98.0,NO,0.0,NO,9.41,6.49,10.21,6.22,Software - Infrastructure
5,Financial Services,1,SEZL,96.66,Near Breakout,Loose,179.38,3.04,5.93,97.0,98.0,98.0,97.0,NO,0.0,NO,127.7,83.97,136.11,91.67,Credit Services
5,Financial Services,2,ENVA,95.2,Near Breakout,Normal,238.09,3.36,3.95,95.0,97.0,96.0,91.0,NO,0.25,NO,187.35,152.31,192.3,165.6,Credit Services
5,Financial Services,3,VIRT,93.59,Near Breakout,Loose,65.8,3.22,4.47,94.0,94.0,91.0,96.0,NO,0.0,NO,55.62,42.42,56.96,46.11,Capital Markets
5,Financial Services,4,ECPG,92.69,Near Breakout,Normal,92.58,2.14,3.38,94.0,90.0,85.0,94.0,NO,0.11,NO,83.79,63.89,84.53,71.47,Credit Services
5,Financial Services,5,SMFG,92.44,Breakout Zone,Tight,25.74,0.31,2.0,90.0,89.0,85.0,86.0,NO,0.27,NO,23.12,20.22,23.48,21.7,Banks - Diversified
