Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
65,KEEX,113.16,13168.0,ETF,ETF,99.0,98.0,99.0,,23.2248,20.9909,11028.0,21720.0,153.91,15.35,,0,No,68.56,,78.52,
80,SLGL,73.82,33419.0,Healthcare,Biotechnology,99.0,85.0,19.0,96.0,6.2474,6.1889,42520.0,38610.0,97.97,6.91,,241316912,No,73.14,56.49,74.37,67.42
136,AMBQ,85.49,599631.0,Technology,Semiconductors,98.0,93.0,99.0,98.0,7.0291,6.7841,574715.0,583340.0,89.33,22.12,,1827413120,No,55.61,36.39,63.14,40.52
160,ACMR,95.21,1344237.0,Technology,Semiconductor Equipment & Materials,98.0,99.0,98.0,98.0,8.9569,8.2472,1412403.0,1652090.0,99.45,23.03,,6579914240,No,64.89,48.46,70.77,55.61
173,PL,30.58,13431919.0,Industrials,Aerospace & Defense,98.0,2.0,86.0,96.0,4.7129,4.33,14806596.0,19039030.0,51.76,4.9,,10898789376,No,38.79,23.53,38.09,28.81
199,SHAZ,70.21,640589.0,Technology,Information Technology Services,98.0,97.0,99.0,,9.8536,9.38,489401.0,887000.0,86.94,16.55,,1185186304,No,52.03,,57.19,
228,CRDU,92.57,618903.0,ETF,ETF,97.0,99.0,99.0,96.0,17.1688,16.5653,631022.0,1387040.0,101.24,12.87,,0,No,55.01,,64.01,45.53
249,SATS,117.86,17592637.0,Communication Services,Telecom Services,97.0,7.0,46.0,73.0,9.71,9.37,7881184.0,12594130.0,147.25,23.87,,34158868480,No,125.6,101.97,123.99,115.16
258,CRDO,259.41,7894164.0,Technology,Semiconductors,97.0,98.0,98.0,95.0,26.8896,26.0982,7817107.0,12279910.0,270.21,75.5,,47848157184,No,188.51,151.7,207.23,156.14
260,HPE,49.02,27050350.0,Technology,Communication Equipment,97.0,98.0,98.0,97.0,4.3319,3.4693,23999880.0,53894240.0,64.25,17.49,,64912457728,No,34.41,25.92,37.46,27.67
271,MANE,96.27,294932.0,Healthcare,Biotechnology,97.0,10.0,96.0,,6.8539,6.7075,581185.0,429290.0,117.71,32.0,,4022034176,No,91.83,,93.76,
272,RKLX,54.7,3535861.0,ETF,ETF,97.0,1.0,95.0,89.0,14.4546,12.6135,3360736.0,3600430.0,114.83,10.26,,0,No,57.52,42.68,61.41,46.44
274,RKLB,109.25,28744919.0,Industrials,Aerospace & Defense,97.0,5.0,94.0,96.0,12.043,10.6491,26617703.0,26394720.0,151.0,25.6,,68261449728,No,101.57,72.92,107.45,82.55
284,MTRN,252.14,293566.0,Basic Materials,Other Industrial Metals & Mining,97.0,95.0,96.0,97.0,10.3129,9.9571,273258.0,354200.0,257.14,76.09,,5244886016,No,198.43,148.14,211.57,164.05
302,BTSG,64.08,2533368.0,Healthcare,Health Information Services,97.0,88.0,95.0,96.0,2.1347,1.9422,2993447.0,4531570.0,64.18,19.01,,12576239616,No,53.67,39.91,56.56,45.21
312,BELFB,302.15,186740.0,Technology,Electronic Components,96.0,91.0,94.0,96.0,15.6707,15.4736,252671.0,274390.0,308.27,85.18,,4297390592,No,265.95,198.68,277.23,224.38
366,ELVN,42.36,2608354.0,Healthcare,Biotechnology,96.0,24.0,95.0,98.0,3.2148,2.9423,1276971.0,2059050.0,48.53,14.79,,2579933440,No,41.6,27.88,42.05,31.85
381,FRD,34.87,136718.0,Basic Materials,Steel,96.0,99.0,98.0,96.0,1.675,1.3314,34568.0,61570.0,36.26,14.51,,247838208,No,21.67,20.42,24.08,20.79
403,ATI,195.81,1951415.0,Industrials,Metal Fabrication,96.0,95.0,90.0,96.0,7.9293,7.7257,1860474.0,1815580.0,203.6,70.42,,26722275328,No,164.49,125.26,169.6,144.31
433,URGN,30.86,781405.0,Healthcare,Biotechnology,95.0,74.0,96.0,91.0,1.6158,1.5971,795396.0,658440.0,32.37,12.61,,1503795200,No,25.93,21.9,27.23,23.08
474,TINY,92.5,32090.0,ETF,ETF,95.0,88.0,94.0,95.0,3.2969,2.9319,4861.0,21030.0,94.76,41.35,,0,No,77.79,61.46,81.52,67.55
529,KGS,69.25,1406773.0,Energy,Oil & Gas Equipment & Services,94.0,13.0,87.0,96.0,2.4784,2.2834,1584214.0,1463200.0,77.68,30.06,,6988634624,No,67.66,47.62,68.49,53.62
530,FROG,80.39,2306824.0,Technology,Software - Application,94.0,96.0,97.0,80.0,4.9519,4.629,2776436.0,2554430.0,89.16,34.05,,9736814592,No,62.07,54.87,67.16,57.59
554,ESTA,84.21,448702.0,Healthcare,Medical Devices,94.0,95.0,90.0,78.0,4.9229,4.8636,502242.0,562130.0,86.0,33.35,,2478333184,No,69.53,62.67,72.47,69.84
568,ALB,168.9,2391690.0,Basic Materials,Specialty Chemicals,94.0,8.0,49.0,86.0,8.2193,7.4757,2102823.0,2336600.0,221.0,55.9,,19919161344,No,181.81,144.92,180.66,166.8
574,FSTR,41.98,63076.0,Industrials,Railroads,94.0,77.0,94.0,94.0,1.8121,1.7971,108722.0,79010.0,43.5,19.39,,439055392,No,36.4,30.13,37.89,31.85
600,SKM,38.52,2326628.0,Communication Services,Telecom Services,94.0,31.0,90.0,97.0,2.8857,2.0471,2291393.0,4026490.0,47.18,19.66,,14787371008,No,37.9,27.25,37.84,29.91
612,CAR,190.07,453532.0,Industrials,Rental & Leasing Services,94.0,97.0,97.0,91.0,9.13,8.9707,2777946.0,707160.0,847.7,85.96,,6714220032,No,230.92,157.11,207.61,157.63
656,ELMD,37.44,62645.0,Healthcare,Medical Devices,93.0,67.0,95.0,86.0,2.1,2.0686,54785.0,55670.0,40.0,17.73,,310005600,No,30.91,27.11,32.89,28.56
694,PKOH,34.3,64204.0,Industrials,Specialty Industrial Machinery,93.0,90.0,92.0,93.0,1.3471,1.3114,58438.0,59780.0,35.53,15.52,,493857184,No,29.77,24.22,31.05,26.16
718,DVA,209.75,552222.0,Healthcare,Medical Care Facilities,93.0,87.0,93.0,96.0,5.6093,5.4986,843896.0,767380.0,211.8,101.0,,13462803456,No,176.72,141.25,185.33,149.56
721,ILMN,166.89,2094418.0,Healthcare,Diagnostics & Research,92.0,93.0,92.0,84.0,7.5029,7.3186,1642563.0,2059260.0,177.22,86.03,,25250457600,No,142.51,125.77,148.01,135.99
741,ASTS,87.57,23569691.0,Technology,Communication Equipment,92.0,80.0,21.0,48.0,12.8046,10.585,20329825.0,24388740.0,133.86,36.08,,33988069376,No,89.13,79.95,87.44,87.54
747,ROKU,140.9,27029344.0,Communication Services,Entertainment,92.0,91.0,94.0,89.0,7.1693,7.0564,2668987.0,3655090.0,148.88,77.64,,20810047488,No,120.13,104.42,127.11,108.58
766,LGND,253.25,148836.0,Healthcare,Biotechnology,92.0,93.0,84.0,91.0,7.3425,7.1304,221314.0,208550.0,259.03,110.0,,5075398656,No,227.21,199.86,233.22,208.5
810,ADV,38.9,68219.0,Communication Services,Advertising Agencies,92.0,92.0,98.0,95.0,3.1827,3.172,90356.0,99540.0,53.62,12.22,,517186400,No,34.95,29.17,37.18,26.19
835,ROKT,119.96,69783.0,ETF,ETF,91.0,25.0,81.0,91.0,6.0014,5.315,49219.0,76290.0,137.63,60.84,,0,No,117.08,94.95,118.64,103.76
892,TS,61.65,913490.0,Energy,Oil & Gas Equipment & Services,91.0,24.0,76.0,93.0,1.7293,1.3364,1920036.0,1222640.0,64.6,33.65,,31122145280,No,61.49,47.39,61.57,52.08
917,TBN,36.47,518471.0,Energy,Oil & Gas E&P,91.0,37.0,85.0,92.0,2.1236,1.9771,227311.0,267190.0,52.21,17.29,,1271213440,No,35.88,29.25,36.04,31.95
