SectorRank,Sector,LeaderRank,Ticker,Leader_Score,Setup_Type,Tightness,Setup_Price,Dist_52WH_%,ATR_%,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,IPO,Gap (%),HVE,SMA50,SMA200,SMA10W,SMA30W,Industry
2,Healthcare,1,FBRX,98.96,Extended Near High,Normal,76.86,0.44,2.81,98.0,98.0,98.0,98.0,NO,0.05,NO,40.77,28.99,45.52,33.14,Biotechnology
2,Healthcare,2,TWST,98.47,Extended Near High,Loose,125.29,0.82,6.98,98.0,97.0,98.0,98.0,NO,0.0,NO,91.7,55.91,97.01,66.89,Diagnostics & Research
2,Healthcare,3,ORKA,97.64,Extended Near High,Loose,108.12,1.19,5.13,98.0,95.0,97.0,98.0,NO,0.0,NO,85.74,52.35,89.31,62.31,Biotechnology
2,Healthcare,4,XNCR,97.63,Extended Near High,Loose,22.99,1.75,5.85,97.0,98.0,98.0,96.0,NO,0.0,NO,16.26,14.09,17.18,13.8,Biotechnology
2,Healthcare,5,GKOS,97.3,Extended Near High,Loose,189.45,0.09,4.45,96.0,95.0,94.0,95.0,NO,0.2,NO,147.79,121.07,154.96,130.08,Medical Devices
3,Technology,1,QMCO,98.54,Extended Near High,Loose,24.68,1.0,7.85,98.0,98.0,98.0,98.0,NO,0.0,NO,12.53,8.51,13.03,8.97,Computer Hardware
3,Technology,2,BVC,98.44,Extended Near High,Loose,15.03,0.66,8.87,98.0,97.0,97.0,96.0,NO,0.0,NO,10.96,7.82,11.16,9.81,Software - Application
3,Technology,3,RNG,98.05,Extended Near High,Loose,67.78,0.98,5.12,97.0,98.0,97.0,97.0,NO,0.56,NO,45.26,36.63,46.87,40.69,Software - Application
3,Technology,4,NSIT,97.89,Extended Near High,Loose,156.6,0.19,4.55,95.0,97.0,98.0,95.0,NO,0.0,NO,121.39,93.07,124.0,96.61,Electronics & Computer Distribution
3,Technology,5,MDB,97.37,Extended Near High,Loose,472.29,0.01,4.59,94.0,97.0,96.0,88.0,NO,1.41,NO,347.49,337.09,350.56,319.09,Software - Infrastructure
4,Energy,1,PBF,98.15,Extended Near High,Loose,74.36,0.51,6.51,97.0,96.0,98.0,97.0,NO,0.0,NO,53.8,41.4,55.6,45.45,Oil & Gas Refining & Marketing
4,Energy,2,NESR,96.61,Extended Near High,Loose,35.9,2.37,5.62,98.0,95.0,96.0,95.0,NO,0.0,NO,27.39,21.48,28.28,24.59,Oil & Gas Equipment & Services
4,Energy,3,MPC,96.6,Extended Near High,Normal,356.37,0.23,3.6,95.0,93.0,95.0,95.0,NO,0.0,NO,286.01,227.77,290.35,246.73,Oil & Gas Refining & Marketing
4,Energy,4,VLO,96.59,Extended Near High,Normal,342.92,0.23,3.63,96.0,92.0,94.0,95.0,NO,0.0,NO,282.52,225.43,286.91,247.46,Oil & Gas Refining & Marketing
4,Energy,5,DK,96.54,Extended Near High,Loose,68.3,0.91,5.4,97.0,91.0,96.0,97.0,NO,0.0,NO,55.73,42.55,56.57,45.98,Oil & Gas Refining & Marketing
5,Financial Services,1,VCTR,96.28,Extended Near High,Normal,118.17,0.04,3.19,94.0,94.0,93.0,93.0,NO,0.22,NO,93.55,75.79,95.63,81.37,Asset Management
5,Financial Services,2,SAFT,96.19,Extended Near High,Very Tight,103.58,0.16,0.32,91.0,97.0,96.0,88.0,NO,0.0,NO,82.27,76.96,85.84,78.42,Insurance - Property & Casualty
5,Financial Services,3,ENVA,95.64,Extended Near High,Normal,261.92,1.36,3.85,96.0,90.0,96.0,95.0,NO,0.0,NO,223.61,167.39,233.47,179.91,Credit Services
5,Financial Services,4,ECPG,95.33,Breakout Zone,Loose,101.29,0.5,4.66,96.0,89.0,91.0,96.0,NO,0.94,NO,89.43,69.95,91.53,78.1,Credit Services
5,Financial Services,5,AAMI,95.14,Extended Near High,Normal,93.16,0.48,3.78,95.0,89.0,92.0,96.0,NO,0.44,NO,80.61,61.24,81.38,67.05,Asset Management
