Rank,Ticker,Price,Sector,Industry,Relative Strength Percentile,1 Month Ago Percentile,3 Months Ago Percentile,6 Months Ago Percentile
1,NAKA,10.84,Healthcare,Medical Care Facilities,99,,94.0,7.0
2,DRUG,32.37,Healthcare,Biotechnology,99,,,
3,TGEN,8.15,Industrials,Electrical Equipment & Parts,99,99.0,99.0,99.0
4,RGTI,15.65,Technology,Computer Hardware,99,99.0,99.0,
5,BSGM,5.18,Healthcare,Medical Devices,99,,92.0,72.0
6,CRCL,190.18,Financial Services,Capital Markets,99,,99.0,99.0
7,PTIR,26.21,ETF,ETF,99,99.0,99.0,99.0
8,DBVT,10.22,Healthcare,Biotechnology,99,99.0,,99.0
9,SBDS,16.29,n/a,n/a,99,3.0,0.0,1.0
10,NEGG,34.03,Consumer Cyclical,Internet Retail,99,96.0,0.0,1.0
11,MNPR,47.0,Healthcare,Biotechnology,99,99.0,99.0,
12,BMNR,41.29,Financial Services,Capital Markets,99,1.0,99.0,99.0
13,SEZL,144.12,Financial Services,Credit Services,99,99.0,99.0,99.0
14,DGNX,56.28,Industrials,Consulting Services,99,99.0,,99.0
15,TMC,7.89,Basic Materials,Other Industrial Metals & Mining,99,99.0,99.0,93.0
16,TSSI,28.53,Technology,Information Technology Services,99,99.0,99.0,
17,PRCH,13.19,Technology,Software - Application,99,99.0,99.0,97.0
18,MFI,26.29,Technology,Software - Application,99,,5.0,2.0
19,RKLX,95.11,ETF,ETF,99,99.0,97.0,99.0
20,SBET,22.86,Consumer Cyclical,Gambling,99,97.0,0.0,1.0
21,ALMU,21.5,Technology,Semiconductors,99,99.0,99.0,98.0
22,AEVA,22.77,Technology,Software - Infrastructure,99,,99.0,79.0
23,AREN,5.84,Communication Services,Internet Content & Information,99,99.0,99.0,96.0
24,HOOX,102.54,ETF,ETF,99,99.0,91.0,99.0
25,TDUP,8.05,Consumer Cyclical,Internet Retail,99,99.0,99.0,98.0
26,QNTM,22.75,Healthcare,Biotechnology,99,99.0,96.0,0.0
27,GSRTR,7.14,n/a,n/a,99,99.0,98.0,87.0
28,HOOG,65.26,ETF,ETF,99,99.0,85.0,99.0
29,DDC,17.25,Consumer Defensive,Packaged Foods,99,98.0,0.0,0.0
30,AMPX,8.15,Industrials,Electrical Equipment & Parts,99,99.0,93.0,97.0
31,NEON,27.85,Technology,Electronic Components,99,99.0,99.0,99.0
32,PSIX,89.27,Industrials,Specialty Industrial Machinery,99,99.0,99.0,
33,OKLO,74.63,Utilities,Utilities - Regulated Electric,99,99.0,97.0,99.0
34,NUTX,94.07,Healthcare,Medical Care Facilities,99,,,99.0
35,QBTX,110.7,ETF,ETF,99,99.0,17.0,99.0
36,ZEPP,11.52,Technology,Consumer Electronics,99,11.0,31.0,8.0
37,CDTX,62.78,Healthcare,Biotechnology,99,99.0,97.0,93.0
38,MB,14.45,Consumer Cyclical,Restaurants,99,98.0,13.0,99.0
39,RKLB,47.26,Industrials,Aerospace & Defense,99,99.0,99.0,99.0
40,YI,7.38,Healthcare,Medical Distribution,99,99.0,,99.0
41,UMAC,11.64,Technology,Computer Hardware,99,99.0,99.0,
42,LEU,245.1,Energy,Uranium,99,99.0,92.0,93.0
43,DAVE,209.82,Technology,Software - Application,99,99.0,99.0,99.0
44,AGFY,25.54,Industrials,Farm & Heavy Construction Machinery,99,99.0,99.0,99.0
45,NVTS,9.04,Technology,Semiconductors,99,99.0,3.0,10.0
46,VIGL,8.06,Healthcare,Biotechnology,99,99.0,6.0,3.0
47,QSG,9.5,Consumer Defensive,Education & Training Services,99,99.0,99.0,7.0
48,BTM,5.17,Financial Services,Capital Markets,99,99.0,33.0,14.0
49,HYPD,8.28,Healthcare,Biotechnology,99,99.0,0.0,0.0
50,KC,15.55,Technology,Software - Application,99,99.0,99.0,99.0
51,ROBN,61.46,ETF,ETF,99,99.0,5.0,
52,MP,62.96,Basic Materials,Other Industrial Metals & Mining,99,98.0,97.0,92.0
53,ARQQ,38.0,Technology,Software - Infrastructure,99,99.0,96.0,98.0
54,COIG,54.74,ETF,ETF,99,99.0,85.0,99.0
55,SMR,50.47,Industrials,Specialty Industrial Machinery,99,99.0,96.0,99.0
56,ATHE,6.04,Healthcare,Biotechnology,99,97.0,98.0,99.0
57,DALN,14.76,Communication Services,Publishing,99,10.0,87.0,94.0
58,RBLU,82.67,ETF,ETF,99,99.0,79.0,99.0
59,VVPR,5.13,Technology,Solar,99,98.0,99.0,8.0
60,TZUP,13.63,Communication Services,Advertising Agencies,99,96.0,88.0,3.0
61,BBAI,7.6,Technology,Information Technology Services,99,99.0,98.0,99.0
62,HOOD,103.1,Financial Services,Capital Markets,99,99.0,98.0,99.0
63,PDYN,10.24,Technology,Software - Infrastructure,99,99.0,99.0,
64,CNVS,5.85,Communication Services,Entertainment,99,99.0,99.0,99.0
65,PLTR,159.22,Technology,Software - Infrastructure,99,99.0,99.0,99.0
66,SDM,17.82,Communication Services,Advertising Agencies,99,95.0,99.0,99.0
67,MTEN,16.61,Industrials,Metal Fabrication,99,99.0,98.0,53.0
68,OCG,5.52,Consumer Cyclical,Internet Retail,99,99.0,99.0,13.0
69,CRWV,115.43,Technology,Software - Infrastructure,99,99.0,83.0,99.0
70,OUST,27.33,Technology,Electronic Components,99,99.0,14.0,90.0
71,BTCS,5.18,Financial Services,Capital Markets,99,94.0,54.0,98.0
72,TAOX,8.49,Technology,Software - Infrastructure,99,96.0,5.0,10.0
73,SGMT,10.63,Healthcare,Biotechnology,99,99.0,15.0,10.0
74,PAYS,8.2,Technology,Software - Infrastructure,99,99.0,6.0,2.0
75,PGY,31.84,Technology,Software - Infrastructure,99,97.0,85.0,4.0
76,AMUU,45.2,ETF,ETF,99,98.0,41.0,99.0
77,JOBY,17.47,Industrials,Airports & Air Services,99,96.0,75.0,95.0
78,HSAI,21.04,Consumer Cyclical,Auto Parts,99,99.0,99.0,99.0
79,TNGX,6.73,Healthcare,Biotechnology,99,97.0,0.0,0.0
80,MEIP,6.4,Healthcare,Biotechnology,99,62.0,6.0,7.0
81,ASTS,55.38,Technology,Communication Equipment,99,99.0,99.0,99.0
82,VRNA,105.15,Healthcare,Biotechnology,99,99.0,99.0,98.0
83,VHC,20.49,Technology,Software - Infrastructure,99,95.0,94.0,93.0
84,EPSM,14.39,Consumer Defensive,Beverages - Wineries & Distilleries,99,99.0,98.0,98.0
85,AZ,10.73,Technology,Software - Application,99,99.0,99.0,99.0
86,IONQ,43.48,Technology,Computer Hardware,99,99.0,99.0,99.0
87,PLTU,82.22,ETF,ETF,99,99.0,98.0,85.0
88,RCAT,9.69,Technology,Computer Hardware,99,99.0,98.0,99.0
89,GRRR,17.71,Technology,Software - Infrastructure,98,99.0,99.0,99.0
90,PRPO,14.21,Healthcare,Diagnostics & Research,98,98.0,40.0,78.0
91,OCFT,7.43,Technology,Software - Application,98,99.0,99.0,95.0
92,QS,11.31,Consumer Cyclical,Auto Parts,98,96.0,7.0,11.0
93,LTBR,14.79,Industrials,Electrical Equipment & Parts,98,99.0,99.0,98.0
94,SOGP,5.43,Communication Services,Internet Content & Information,98,98.0,53.0,49.0
95,BLBX,7.35,Technology,Software - Application,98,98.0,78.0,64.0
96,ONEG,6.07,Industrials,Engineering & Construction,98,97.0,4.0,4.0
97,CRDO,101.6,Technology,Semiconductors,98,99.0,95.0,99.0
98,LAYS,40.95,ETF,ETF,98,97.0,18.0,98.0
99,CTEV,42.01,Healthcare,Health Information Services,98,99.0,97.0,88.0
100,COMM,7.87,Technology,Communication Equipment,98,99.0,98.0,98.0
101,GRPN,32.94,Communication Services,Internet Content & Information,98,99.0,98.0,11.0
102,ADUR,10.93,Industrials,Pollution & Treatment Controls,98,98.0,54.0,91.0
103,MSGY,10.31,Industrials,Engineering & Construction,98,98.0,99.0,98.0
104,GENVR,9.73,n/a,n/a,98,98.0,95.0,98.0
105,CLS,166.16,Technology,Electronic Components,98,98.0,96.0,98.0
106,CAR,208.25,Industrials,Rental & Leasing Services,98,98.0,54.0,12.0
107,INKT,19.71,Healthcare,Biotechnology,98,32.0,79.0,73.0
108,BKSY,19.91,Industrials,Specialty Business Services,98,99.0,23.0,97.0
109,AMLX,8.23,Healthcare,Biotechnology,98,98.0,98.0,56.0
110,SRFM,5.53,Industrials,Airlines,98,95.0,26.0,96.0
111,ASPI,9.59,Basic Materials,Chemicals,98,98.0,96.0,95.0
112,GEV,646.87,Industrials,Specialty Industrial Machinery,98,98.0,98.0,97.0
113,PHOE,9.51,Industrials,Engineering & Construction,98,98.0,13.0,98.0
114,RGTX,49.62,ETF,ETF,98,95.0,91.0,98.0
115,RBLX,121.5,Communication Services,Electronic Gaming & Multimedia,98,98.0,96.0,96.0
116,PVLA,38.6,Healthcare,Biotechnology,98,93.0,98.0,8.0
117,HIMS,57.31,Consumer Defensive,Household & Personal Products,98,98.0,98.0,99.0
118,IONX,67.78,ETF,ETF,98,99.0,96.0,98.0
119,PL,6.8,Industrials,Aerospace & Defense,98,98.0,93.0,99.0
120,YSG,8.69,Consumer Defensive,Household & Personal Products,98,99.0,87.0,8.0
121,ORCX,34.29,ETF,ETF,98,96.0,3.0,98.0
122,ISSC,15.56,Industrials,Aerospace & Defense,98,98.0,22.0,95.0
123,EYE,25.14,Consumer Cyclical,Specialty Retail,98,98.0,57.0,8.0
124,KOD,8.28,Healthcare,Biotechnology,98,84.0,62.0,96.0
125,VNET,8.24,Technology,Information Technology Services,98,95.0,99.0,99.0
126,NBIS,51.79,Communication Services,Internet Content & Information,98,98.0,78.0,95.0
127,METC,22.68,Basic Materials,Coking Coal,98,86.0,25.0,4.0
128,WLDN,82.0,Industrials,Engineering & Construction,98,97.0,88.0,75.0
129,BE,33.81,Industrials,Electrical Equipment & Parts,98,93.0,96.0,98.0
130,TTMI,44.85,Technology,Electronic Components,98,98.0,66.0,93.0
131,TNXP,46.25,Healthcare,Biotechnology,98,92.0,0.0,91.0
132,SBSW,9.4,Basic Materials,Other Precious Metals & Mining,98,97.0,86.0,6.0
133,APP,365.1,Communication Services,Advertising Agencies,98,98.0,99.0,99.0
134,KTOS,58.41,Industrials,Aerospace & Defense,98,96.0,96.0,95.0
135,MGRM,5.69,Healthcare,Medical Devices,98,79.0,88.0,78.0
136,XGN,7.29,Healthcare,Diagnostics & Research,98,98.0,99.0,97.0
137,JFB,7.39,Real Estate,Real Estate - Development,98,97.0,94.0,98.0
138,DOMO,16.0,Technology,Software - Application,98,98.0,37.0,31.0
139,AIRS,6.46,Healthcare,Medical Care Facilities,98,93.0,1.0,7.0
140,IREN,17.73,Financial Services,Capital Markets,98,96.0,10.0,95.0
141,JG,11.36,Technology,Software - Infrastructure,98,98.0,98.0,97.0
142,FORD,9.75,Consumer Cyclical,Footwear & Accessories,98,95.0,94.0,91.0
143,SORA,6.78,Consumer Cyclical,Luxury Goods,98,97.0,5.0,98.0
144,SNES,5.74,Basic Materials,Specialty Chemicals,98,97.0,4.0,2.0
145,OSS,5.44,Technology,Computer Hardware,98,96.0,13.0,95.0
146,FTK,12.56,Energy,Oil & Gas Equipment & Services,98,99.0,96.0,98.0
147,CEP,28.29,Financial Services,Shell Companies,98,99.0,99.0,49.0
148,RFIL,8.38,Industrials,Electrical Equipment & Parts,98,94.0,45.0,93.0
149,ALTS,7.16,Technology,Software - Application,98,99.0,98.0,99.0
150,ETU,30.02,ETF,ETF,98,5.0,0.0,92.0
151,SPCY,32.95,ETF,ETF,98,96.0,18.0,98.0
152,LASR,19.42,Technology,Semiconductors,98,98.0,7.0,12.0
153,VRTL,42.26,ETF,ETF,98,97.0,11.0,97.0
154,AMDG,21.72,ETF,ETF,98,91.0,2.0,10.0
155,GDS,36.6,Technology,Information Technology Services,98,97.0,98.0,98.0
156,IPX,40.0,Basic Materials,Other Industrial Metals & Mining,98,97.0,92.0,95.0
157,CNL,9.37,Basic Materials,Gold,98,99.0,99.0,95.0
158,GOGO,15.7,Communication Services,Telecom Services,98,97.0,33.0,62.0
159,TSAT,25.43,Technology,Communication Equipment,98,97.0,97.0,97.0
160,TARK,65.62,ETF,ETF,98,97.0,17.0,96.0
161,ARTL,13.97,Healthcare,Biotechnology,98,69.0,14.0,15.0
162,FUTU,162.5,Financial Services,Capital Markets,98,94.0,90.0,93.0
163,ATYR,5.66,Healthcare,Biotechnology,98,99.0,96.0,97.0
164,AS,37.24,Consumer Cyclical,Leisure,98,98.0,96.0,98.0
165,OWLT,8.43,Healthcare,Medical Devices,98,97.0,24.0,16.0
166,UPSX,46.99,ETF,ETF,98,84.0,98.0,97.0
167,SGHC,10.97,Consumer Cyclical,Gambling,98,98.0,98.0,98.0
168,IONL,47.62,ETF,ETF,98,98.0,89.0,97.0
169,SYM,51.75,Industrials,Specialty Industrial Machinery,98,96.0,7.0,13.0
170,TPR,108.04,Consumer Cyclical,Luxury Goods,98,96.0,96.0,96.0
171,AAOI,27.22,Technology,Communication Equipment,98,97.0,23.0,98.0
172,TPC,48.74,Industrials,Engineering & Construction,98,98.0,37.0,92.0
173,XYZG,26.9,ETF,ETF,98,95.0,96.0,97.0
174,WKEY,5.96,Technology,Semiconductors,98,98.0,97.0,99.0
175,CONL,55.28,ETF,ETF,98,98.0,0.0,93.0
176,OPRX,14.06,Healthcare,Health Information Services,98,97.0,96.0,2.0
177,TIL,30.9,Healthcare,Biotechnology,97,85.0,6.0,93.0
178,NET,195.96,Technology,Software - Infrastructure,97,98.0,93.0,96.0
179,PCT,15.49,Industrials,Pollution & Treatment Controls,97,97.0,18.0,92.0
180,ACHR,10.99,Industrials,Aerospace & Defense,97,98.0,99.0,98.0
181,IDN,5.14,Technology,Software - Application,97,98.0,26.0,61.0
182,NAGE,9.33,Healthcare,Biotechnology,97,99.0,99.0,98.0
183,FLYE,5.29,Consumer Cyclical,Auto Manufacturers,97,96.0,2.0,0.0
