Rank,Ticker,Price,Sector,Industry,Relative Strength Percentile,1 Month Ago Percentile,3 Months Ago Percentile,6 Months Ago Percentile
1,JL,6.31,Consumer Cyclical,Apparel Manufacturing,99,,99.0,
2,CRCL,190.68,Financial Services,Capital Markets,99,99.0,99.0,99.0
3,PTIR,25.83,ETF,ETF,99,99.0,99.0,
4,RGTI,14.14,Technology,Computer Hardware,99,,99.0,
5,SEZL,151.05,Financial Services,Credit Services,99,99.0,99.0,99.0
6,NAKA,7.98,Healthcare,Medical Care Facilities,99,,99.0,9.0
7,ZEPP,12.06,Technology,Consumer Electronics,99,11.0,27.0,12.0
8,DBVT,9.55,Healthcare,Biotechnology,99,,,99.0
9,TDUP,7.53,Consumer Cyclical,Internet Retail,99,99.0,99.0,98.0
10,AREN,6.25,Communication Services,Internet Content & Information,99,99.0,99.0,97.0
11,ALMU,24.01,Technology,Semiconductors,99,99.0,99.0,98.0
12,TSSI,25.11,Technology,Information Technology Services,99,99.0,99.0,
13,BMNR,34.38,Financial Services,Capital Markets,99,,99.0,99.0
14,QNTM,22.71,Healthcare,Biotechnology,99,99.0,94.0,97.0
15,HOOX,108.67,ETF,ETF,99,99.0,84.0,99.0
16,RKLX,90.94,ETF,ETF,99,99.0,96.0,99.0
17,MFI,22.0,Technology,Software - Application,99,,9.0,3.0
18,HOOG,69.3,ETF,ETF,99,99.0,71.0,99.0
19,GSRTR,6.79,n/a,n/a,99,99.0,99.0,76.0
20,PSIX,88.16,Industrials,Specialty Industrial Machinery,99,99.0,99.0,
21,DAVE,240.2,Technology,Software - Application,99,99.0,99.0,99.0
22,MB,14.38,Consumer Cyclical,Restaurants,99,97.0,10.0,99.0
23,RBLU,87.68,ETF,ETF,99,99.0,92.0,99.0
24,OKLO,75.66,Utilities,Utilities - Regulated Electric,99,99.0,97.0,99.0
25,PRCH,12.76,Technology,Software - Application,99,99.0,99.0,98.0
26,AEVA,19.39,Technology,Software - Infrastructure,99,,99.0,78.0
27,CDTX,61.79,Healthcare,Biotechnology,99,99.0,97.0,95.0
28,SUPX,23.41,Technology,Software - Infrastructure,99,98.0,99.0,5.0
29,AMPX,7.03,Industrials,Electrical Equipment & Parts,99,99.0,92.0,98.0
30,VAPE,35.49,Industrials,Farm & Heavy Construction Machinery,99,93.0,25.0,64.0
31,SBET,19.52,Consumer Cyclical,Gambling,99,99.0,7.0,2.0
32,TMC,6.11,Basic Materials,Other Industrial Metals & Mining,99,99.0,99.0,95.0
33,RKLB,46.44,Industrials,Aerospace & Defense,99,99.0,99.0,99.0
34,AGFY,24.86,Industrials,Farm & Heavy Construction Machinery,99,99.0,99.0,99.0
35,SDM,24.51,Communication Services,Advertising Agencies,99,97.0,8.0,99.0
36,QBTX,85.95,ETF,ETF,99,99.0,22.0,99.0
37,HYPD,7.88,Healthcare,Biotechnology,99,99.0,0.0,0.0
38,YI,7.0,Healthcare,Medical Distribution,99,99.0,99.0,
39,MNPR,42.41,Healthcare,Biotechnology,99,99.0,,
40,DGNX,55.88,Industrials,Consulting Services,99,99.0,,99.0
41,NUTX,84.0,Healthcare,Medical Care Facilities,99,,,99.0
42,DDC,13.98,Consumer Defensive,Packaged Foods,99,99.0,0.0,0.0
43,ROBN,64.92,ETF,ETF,99,99.0,3.0,51.0
44,LEU,224.43,Energy,Uranium,99,99.0,92.0,94.0
45,MP,60.87,Basic Materials,Other Industrial Metals & Mining,99,97.0,97.0,95.0
46,DALN,14.8,Communication Services,Publishing,99,21.0,17.0,93.0
47,SMR,50.47,Industrials,Specialty Industrial Machinery,99,99.0,97.0,99.0
48,CELC,40.3,Healthcare,Biotechnology,99,65.0,8.0,5.0
49,AMUU,52.81,ETF,ETF,99,98.0,78.0,99.0
50,HOOD,106.1,Financial Services,Capital Markets,99,99.0,98.0,99.0
51,NEON,20.58,Technology,Electronic Components,99,99.0,99.0,99.0
52,COIG,51.7,ETF,ETF,99,99.0,66.0,99.0
53,UMAC,9.41,Technology,Computer Hardware,99,99.0,99.0,
54,NVTS,7.21,Technology,Semiconductors,99,99.0,4.0,15.0
55,EPSM,15.93,Consumer Defensive,Beverages - Wineries & Distilleries,99,99.0,99.0,99.0
56,PLTR,158.61,Technology,Software - Infrastructure,99,99.0,99.0,99.0
57,QSG,8.52,Consumer Defensive,Education & Training Services,99,99.0,99.0,6.0
58,ARQQ,33.34,Technology,Software - Infrastructure,99,99.0,98.0,99.0
59,KC,13.67,Technology,Software - Application,99,99.0,99.0,99.0
60,MSGY,10.44,Industrials,Engineering & Construction,99,99.0,99.0,99.0
61,MCVT,6.24,Financial Services,Credit Services,99,12.0,3.0,74.0
62,CRWV,102.89,Technology,Software - Infrastructure,99,99.0,94.0,99.0
63,CRDO,116.01,Technology,Semiconductors,99,98.0,97.0,99.0
64,VIGL,8.05,Healthcare,Biotechnology,99,99.0,40.0,5.0
65,OUST,22.49,Technology,Electronic Components,99,99.0,16.0,93.0
66,BBAI,6.41,Technology,Information Technology Services,99,99.0,97.0,99.0
67,CNVS,5.31,Communication Services,Entertainment,99,99.0,99.0,99.0
68,TZUP,13.1,Communication Services,Advertising Agencies,99,98.0,96.0,1.0
69,GRRR,16.31,Technology,Software - Infrastructure,99,99.0,99.0,99.0
70,JOBY,16.83,Industrials,Airports & Air Services,99,97.0,84.0,94.0
71,CLS,202.47,Technology,Electronic Components,99,98.0,96.0,99.0
72,SBDS,15.53,Consumer Cyclical,Internet Retail,99,11.0,0.0,1.0
73,PGY,29.94,Technology,Software - Infrastructure,99,98.0,79.0,14.0
74,SOGP,5.19,Communication Services,Internet Content & Information,99,99.0,3.0,27.0
75,LAYS,45.6,ETF,ETF,99,97.0,30.0,99.0
76,BLBX,7.58,Technology,Software - Application,99,98.0,87.0,68.0
77,VRNA,105.14,Healthcare,Biotechnology,99,99.0,99.0,99.0
78,BE,37.65,Industrials,Electrical Equipment & Parts,99,94.0,91.0,98.0
79,PAYS,7.53,Technology,Software - Infrastructure,99,99.0,7.0,2.0
80,PHOE,8.54,Industrials,Engineering & Construction,99,99.0,6.0,99.0
81,ASTS,54.32,Technology,Communication Equipment,99,99.0,99.0,99.0
82,RBLX,124.98,Communication Services,Electronic Gaming & Multimedia,99,98.0,96.0,94.0
83,AMSC,43.94,Industrials,Specialty Industrial Machinery,99,97.0,58.0,97.0
84,VWAV,8.28,Industrials,Aerospace & Defense,99,99.0,99.0,98.0
85,ONEG,6.02,Industrials,Engineering & Construction,99,99.0,3.0,5.0
86,OCFT,7.4,Technology,Software - Application,99,99.0,99.0,93.0
87,XGN,8.63,Healthcare,Diagnostics & Research,99,98.0,99.0,99.0
88,FORD,11.22,Consumer Cyclical,Footwear & Accessories,99,96.0,98.0,93.0
89,PLTU,81.65,ETF,ETF,98,98.0,98.0,98.0
90,TNGX,6.3,Healthcare,Biotechnology,98,99.0,0.0,0.0
91,MTEN,13.95,Industrials,Metal Fabrication,98,99.0,98.0,77.0
92,CTEV,38.74,Healthcare,Health Information Services,98,99.0,96.0,96.0
93,HSAI,19.13,Consumer Cyclical,Auto Parts,98,99.0,99.0,99.0
94,YSG,8.98,Consumer Defensive,Household & Personal Products,98,99.0,88.0,8.0
95,APLD,10.04,Technology,Information Technology Services,98,96.0,67.0,96.0
96,SPCY,38.9,ETF,ETF,98,96.0,11.0,98.0
97,HIMS,65.57,Consumer Defensive,Household & Personal Products,98,98.0,99.0,99.0
98,PRPO,14.48,Healthcare,Diagnostics & Research,98,98.0,75.0,77.0
99,ATHE,5.2,Healthcare,Biotechnology,98,97.0,99.0,99.0
100,GEV,654.99,Industrials,Specialty Industrial Machinery,98,98.0,98.0,97.0
101,APP,363.83,Communication Services,Advertising Agencies,98,98.0,99.0,99.0
102,PDYN,8.2,Technology,Software - Infrastructure,98,99.0,99.0,
103,AZ,9.7,Technology,Software - Application,98,99.0,99.0,99.0
104,IONQ,39.94,Technology,Computer Hardware,98,99.0,99.0,99.0
105,NBIS,51.29,Communication Services,Internet Content & Information,98,98.0,42.0,96.0
106,AMDG,25.36,ETF,ETF,98,88.0,2.0,5.0
107,GRPN,31.72,Communication Services,Internet Content & Information,98,99.0,97.0,44.0
108,AMLX,7.98,Healthcare,Biotechnology,98,98.0,98.0,64.0
109,ORCX,36.15,ETF,ETF,98,97.0,5.0,98.0
110,WLDN,82.62,Industrials,Engineering & Construction,98,97.0,86.0,71.0
111,RCAT,8.19,Technology,Computer Hardware,98,98.0,99.0,
112,BKSY,18.47,Industrials,Specialty Business Services,98,99.0,15.0,97.0
113,VRTL,47.28,ETF,ETF,98,97.0,28.0,98.0
114,TTMI,48.73,Technology,Electronic Components,98,98.0,92.0,93.0
115,OSS,5.31,Technology,Computer Hardware,98,96.0,32.0,97.0
116,ISSC,15.21,Industrials,Aerospace & Defense,98,98.0,15.0,95.0
117,TAOX,6.72,Technology,Software - Infrastructure,98,99.0,7.0,9.0
118,VNET,8.02,Technology,Information Technology Services,98,96.0,99.0,99.0
119,SYM,52.66,Industrials,Specialty Industrial Machinery,98,97.0,10.0,7.0
120,FLYE,5.55,Consumer Cyclical,Auto Manufacturers,98,87.0,2.0,0.0
121,MIMI,8.48,Industrials,Engineering & Construction,98,96.0,18.0,91.0
122,TLN,373.36,Utilities,Utilities - Independent Power Producers,98,96.0,97.0,98.0
123,ALAB,129.08,Technology,Semiconductors,98,92.0,66.0,95.0
124,LASR,20.55,Technology,Semiconductors,98,98.0,8.0,12.0
