Rank,Industry,Sector,RS,1M_RS,3M_RS,6M_RS,Ticker
111,Drug Manufacturers - General,Healthcare,91.04,85.69,85.2,82.46,
112,Farm Products,Consumer Defensive,91.0,88.47,96.98,92.41,
113,Electronics & Computer Distribution,Technology,90.48,99.95,95.58,94.88,
114,Packaging & Containers,Consumer Cyclical,90.1,96.05,91.58,88.09,
115,Real Estate - Development,Real Estate,89.75,93.94,95.15,99.17,
116,REIT - Specialty,Real Estate,89.65,89.97,98.07,92.08,
117,Utilities - Regulated Water,Utilities,88.5,91.14,107.56,90.54,
118,REIT - Office,Real Estate,88.5,91.88,86.68,91.05,
119,REIT - Retail,Real Estate,88.48,88.79,98.09,94.66,
120,REIT - Mortgage,Real Estate,88.21,87.62,94.59,93.59,
121,Insurance - Specialty,Financial Services,87.84,92.51,102.8,96.91,
122,Oil & Gas E&P,Energy,87.33,86.1,87.92,93.18,
123,Medical Devices,Healthcare,87.23,90.23,93.16,103.05,
124,Insurance - Life,Financial Services,85.75,90.53,102.14,96.21,
125,"Furnishings, Fixtures & Appliances",Consumer Cyclical,85.54,93.43,81.01,95.08,
126,Real Estate - Diversified,Real Estate,84.76,88.69,88.06,81.24,
127,REIT - Residential,Real Estate,84.73,85.38,99.86,92.53,
128,Medical Instruments & Supplies,Healthcare,84.53,87.97,86.81,95.31,
129,Integrated Freight & Logistics,Industrials,84.46,87.08,84.33,84.77,
130,Insurance Brokers,Financial Services,84.33,88.67,97.0,95.16,
131,Chemicals,Basic Materials,84.3,89.46,74.52,82.05,
132,Residential Construction,Consumer Cyclical,83.93,84.92,83.12,81.52,
133,Recreational Vehicles,Consumer Cyclical,83.08,85.88,67.42,68.51,
134,REIT - Hotel & Motel,Real Estate,83.0,84.52,79.6,88.35,
135,Oil & Gas Drilling,Energy,82.16,73.93,66.38,80.69,
136,REIT - Industrial,Real Estate,81.92,84.35,86.83,84.45,
137,REIT - Diversified,Real Estate,81.59,82.92,89.67,86.59,
138,Business Equipment & Supplies,Industrials,81.0,77.67,88.11,86.87,
139,Beverages - Brewers,Consumer Defensive,80.81,84.02,107.46,78.07,
140,Lumber & Wood Production,Basic Materials,79.62,83.22,81.8,84.87,
141,Staffing & Employment Services,Industrials,79.6,80.0,74.52,80.08,
142,Broadcasting,Communication Services,79.0,77.94,82.4,74.79,
143,Trucking,Industrials,76.06,85.49,71.69,83.75,
144,Healthcare Plans,Healthcare,73.28,80.52,100.09,89.63,
145,Textile Manufacturing,Consumer Cyclical,69.87,85.48,79.14,85.25,
146,Paper & Paper Products,Basic Materials,68.8,77.52,78.39,88.46,
