Rank,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Health technology,92,3,95,94,SI
2,Healthcare,71,56,74,64,"SLS,ERAS,QTTB,FBRX,MRNA,CLYM,TWST,AGL,ANRO,ORKA,NVCT,TXG,ETON,DMRA,CDNA,DFTX,AMLX,RVMD,SYRE,REPL,PLSE,FTH,VOGX,RLAY,PRAX,TRAX,SPRB,BDSX,MBX,XNCR,QURE,DNTH,RLYB,OMER,CRNX,NBTX,LBRX,ALMS,TNGX,APGE,TVTX,APLM,ELVN,MNPR,INBX,PSNL,ANAB,NEO,CORT,ARWR,MANE,ARCT,KOD,LQDA,URGN,RAPP,KNSA,AXGN,HNGE,CGEM,NRIX,EWTX,IMVT,PTGX,ROIV,DSGN,KYMR,ANIK,ILMN,CGON,GKOS,KZIA,PACS,SEPN,CRL,GHRS,OSCR,CUE,ADPT,GH,NGNE,TGTX,FBIOP,RCUS,IMNM,NUTX,VREX,NTRA,MCTA,AMN,HTFL,IMUX,DCTH,TRVI,HAE,VOR,YARW,FTRE,PVLA,JBIO,COAG,ALMR,BTSG,CNC,KRYS,PARK,ATRC,HUM,ODTX,BTSGU,SCTX,HALO,DYN,SLGL,ZBIO,NHC,BLFS,ALKS,AMRX,CON,SMTI,TECX,NKTR,BHVN,CLDX,STRO,ELOX,ACHC,CTEV,GPCR,CBLL,VEEV,ITGR,BCAX,CTNM,OMDA,IDYA,LGND,COGT,MRK,IQV,ANGO,THC,PRPO,LNTH,RGEN,RPRX,TEVA,SRRK,JAZZ,LTGO,AVTX,GRAL,ASTH,PHVS,SRZN,SPTX,UFPT,PDEX,XENE,SDGR,PCVX,CSTL,AVBP,INCY,ZYME,BRKR,RVTY,NRC,AMGN,ARGX,MMED,MD,BLTE,TECH,BRKRP,RIGL,CYTK,BAX,VTRS,BBNX,CARL,PNTG,DNLI,ZLAB,BIO,MEDP,ACAD,NVCR,CLPT,BIIB,DGX,VRTX,AVLN,DXCM,KIDS,CAI,BMY,ICUI,AKTS,AZTA,WST,PBLS,LH,JNJ,BLSM,GMAB,BBIO,TMO,GENB,EXEL,TNDM,SLP,HRMY,AXSM,ICLR,CAH,MOH,BDX,REGN,WAT,HIMS,SRPT,LIVN,ONC,CHE,BEAM,IART,CNMD,SHC,SIBN,UNH,HSIC,A,MMSI,HCSG,VTVT,ASMB,SNDA,LLY,WGS,GLSI,SOLV,NVST,TEM,ABBV,HSTM,BMRN,MESO,STVN,KMTS,MIRM,IRON,GRDN,DVA,ELV,IMCR,APMD,UTHR,STOK,RYTM,RDNT,UTMD,ADUS,GILD,SGP,AUPH,VCEL,TAK,CVS,ESTA,ASND,TYRA,BNTX,MAZE,TFX,MCK,CBIO,AGIO,VCYT,VRDN,ARQT,MDGL,USPH,MTD,INDV,VERA,TARS,DRUG,PCRX,NBIX,PTCT,EHC,NVS,BLCO,DHR,PFE,VKTX,ELAN,ELMD,ZBH,SNDX,EW,CRSP,PGNY,JANX,ATR,ABT,TCMD,COR,WRBY,PEN,HQY,TBPH,GSK,MDT,GMED,NVO,QGEN,RARE,GEHC,CELC,COO,ABVX,FMS,PTHS,RMD,LFMDP,WAY,BLLN,PAHC,STE,ATTO,INSP,ALGN,IRMD,HROW,MLYS,OBX,ALC,CI,HCA,INVA,TMDX,LKFT,PHG,UHS,ENSG,ENOV,SNY,KARD,BRVE,IONS,SUPN,OPCH,AMPH,SYK,PRVA,FLGT,INSM,AZN,PBH,ANIP,SNN,DOCS,IDXX,STAA,MDLN,AORT,OMCL,IRTC,LMAT,QDEL,QNCX,NAMS,MLTX,ISRG,WW,LEGN,KLRA,AAPG,ZTS,PRCT,COLL,PODD,BSX,ALNY"
3,Energy,70,60,60,59,"NESR,FET,PBF,DK,VLO,NGL,PARR,MPC,DINO,OII,INSW,PSX,WTTR,PBT,NBR,FRO,FTK,CMBT,SM,APA,CVE,BWLP,HP,LPG,EQNR,FTI,EC,TEN,WHD,PR,TDW,TNK,TALO,TBN,TRGP,OVV,LB,WKC,SMC,SUNC,CVI,PAGP,DHT,CHRD,CNQ,KNTK,EE,SU,VIST,INVX,PAA,WBI,NCSM,YPF,TRMD,KGS,SDRL,SUN,XPRO,REPX,NE,COP,PDS,EFXT,LNG,PNRG,SLB,IMO,E,WDS,NOV,CNR,VAL,FANG,PBR,STNG,CQP,XOM,OXY,SOBO,OKE,DVN,EOG,CVX,GLNG,ET,WES,TTE,BTU,HAL,MTDR,MUR,SHEL,PBA,DKL,DMLP,AM,TS,NVGS,AR,EROK,NOG,VTOL,EPD,RNGR,WMB,BP,FLNG,BKR,CAPL,SEI,RRC,CCJ,MPLX,KRP,AROC,WFRD,INR,ARLP,FLOC,VNOM,HESM,GLP,KMI,CNX,DTM,TRP,NGS,MGY,GEL,NRP,DEC,WHK,USAC,TPL,NFG,APC,SBR,IMPPP,EQT,EXE,LBRT,ENB,CRC,HMH,TGS,UUUU,GPOR,LEU,BKV,NC,VTS"
4,Technology,63,64,50,68,"MGRT,SNDK,AXTI,MU,QMCO,CHRN,SAIH,LITE,DELL,ALOT,BLZE,AAOI,MXL,BAND,STX,WDC,AEHR,MRVL,SILC,DOCN,HPE,ICHR,ASX,SIMO,OKTA,MEI,INTC,RNG,FSLY,PANW,PENG,NAVN,UCTT,TSEM,FROG,AMD,FTNT,UMAC,CRWD,PUBM,CIEN,TWLO,UMC,IMOS,TEAM,FORM,VIAV,QLYS,LRCX,ONTO,VICR,AMAT,TER,OOMA,COHU,DAVE,ACMR,INTA,NTAP,CHYM,FIVN,DGII,NSIT,PATH,ALAB,ZETA,COHR,ALNT,VSAT,RBRK,CRDO,PAYC,SMTC,SITM,APPN,SNOW,DDOG,RELY,MITK,MRAM,NET,FLEX,TENB,HQ,ASYS,SHAZ,MDB,ASML,VSH,PDFS,MLAB,AMBQ,ANET,BRZE,U,SNX,GCT,FEIM,ARM,CCSI,STM,PTRN,TTMI,MKSI,RELL,AVT,P,RDVT,KLIC,KARO,NVEC,MANH,TSAT,ZBRA,ADEA,S,VRNS,BRUN,GTLB,ARW,SCSC,PGY,ENTG,NTNX,VPG,AIP,GLW,KEYS,KLAC,VIA,VECO,AGYS,DBX,FFIV,FLYW,PLXS,DIOD,BELFB,WEX,ESTC,IBTA,TTAN,PAY,INGM,IOT,SAIC,OUST,BOX,LSCC,BHE,PLTS,CSCO,TSM,DT,WK,ATEN,SLAB,SPSC,NTCT,DJCO,CNXN,MTSI,KSPI,GRMN,KN,OSPN,XYZ,MPTI,DCBO,CRM,RAL,PLTR,HPQ,LFUS,PCTY,BELFA,ROG,AMKR,ACIW,CGNX,CLMB,PRGS,CPAY,NCNO,GWRE,BILL,SMCIP,APPF,RAMP,ACLS,WDAY,CVLT,PAYX,QTWO,WIX,SAIL,SHOP,DLO,GEN,ADP,IBEX,JBL,TOST,GRND,APH,ALRM,SANM,TXN,EXTR,ADI,ZM,NVDA,CACI,BLKB,DOCU,RDWR,MSI,IDCC,CIFR,CDW,MPWR,ACFN,EXLS,BSP,MSFT,PCOR,AAPL,CAMT,LYFT,Q,ROP,JKHY,NATL,CTS,VRSN,ESE,SSNC,CLS,PI,ST,NOW,SYNA,NOVT,NTSK,FTV,EVTC,ITRN,ALKT,AKAM,ZS,IT,NOVTU,ON,SAP,CEVA,TDY,PLAB,ADSK,POWI,PLUS,ARQQ,DSGX,DFIN,ITRI,ADBE,GRRR,ADIG,ALGM,CDNS,QRVO,MCHP,AVNW,TDC,MNDY,AVGO,DUOL,AEVA,CTSH,SMCI,BDC,EFOR,KVYO,INOD,STRC,PTC,MCHPP,STRF,NICE,NVMI,SONY,BSY,BR,TYL,SNPS,G,UI,STRD,OCTV,YOU,FIG,UBER,APLD,WOLF,DAKT,CSQR,GIB,BKTI,GFS,SONO,MBGL,GDDY,SWMR,SKHY,HUBS,VNT,FORTY,LASR,SWKS,UPBD,OTEX,GDS,TEL,BL,TRMB,NYAX,CRWV,LOGI,STRK,DBD,CORZ,BMI,LYTS,MQ,EEFT,IBM,QCOM,ACN,DOX,AOSL,ENPH,NXT,NN,QNT,NXPI,NTGR,WYFI,LDOS,FN,OSIS,CNXC,AMBA,CHKP,RMBS,PAR,EPAM,FSLR,PEGA,BLSH,IONQ,INTU,CLFD,GLOB,FICO,PAYP,QBTS,FOUR,LIF,MSTR,ASTS,CALX,CRUS,OLED,FIS,ORCL,AIOS,IPGP,RGTI,SEDG,PSN,IIIV,CBRS"
5,Basic Materials,61,60,49,37,"HYMC,FRD,ALM,AYA,CLMT,CGAU,AUGO,ERO,MTRN,PHOS,ARIS,HBM,SSRM,EGO,HL,NWPX,SKE,SCCO,MT,IAG,FCX,ELVR,TECK,AG,RMIX,AU,BHP,ODC,JHX,NEM,TX,SIND,NUE,ELE,KOP,HCC,WPM,ASH,KALU,AMR,CDE,CF,MEOH,BVN,SA,CSTM,STLD,CLW,RGLD,SXT,AVNT,SCL,RIO,FNV,VHI,NEU,B,AEM,SQM,OGC,RS,PRM,IOSP,CMT,UAN,KGC,MUX,CENX,AXTA,IFF,PAAS,GFI,HMY,DRD,IPI,CNL,AAUC,KWR,NTR,ESI,ACNT,NGVT,TFPM,MTUS,VALE,DD,APD,SSMR,REX,LYB,CTVA,BCPC,CBT,OR,DOW,MTX,USAU,WDFC,ECL,PPTA,CMP,WFG,SHW,BCC,USLM,EMN,SIM,ALB,PPG,USAR,LIN,AA,WLKP,AGI,SMG,SSD,PKX,CMCL,RPM,IDR,VMC,CC,CE,UFPI,CTGO,MP,FUL,MOS,WS,WLK,SOLS,EXP,MLM,SLVM,CRH,ASIX,AMRZ,TGLS,KNF,MSB,HWKN,OLN,SMID,IPX"
6,Financial Services,58,36,63,56,"TOP,RFAI,RFAIU,MAAS,LIFE,RACC,PMTS,ECPG,HUT,MRX,AAMI,ENVA,PRCH,WT,VCTR,VIRT,CIB,CCXIU,MSBI,TWN,HFBL,OPY,EZPW,PS,CARE,SEZL,STT,GCBC,BFH,KF,AII,GSHD,HRTG,VBNK,SAFT,UFCS,ATLC,SLDE,BOTJ,BWFG,NP,PBAM,CHMG,CMTV,AMAL,CBNA,AMTB,DGICB,MBIN,TWFG,VOYA,SHG,PGC,BNY,GOLD,IBKR,BWIN,UVE,AMG,ALRS,KINS,ASST,BBVA,SII,HBT,HQL,SBFG,IVZ,CZFS,JXN,SEIC,FBIZ,MUFG,KB,BEN,SMBK,BNS,AVBC,UBS,TD,ASIC,CNO,PRAA,SMFG,FISI,SNEX,PLBC,STK,ATLO,WASH,ARX,CBK,HSBC,TRST,CFBK,RRBI,TRV,OBK,ACNB,SRCE,OSBC,BPOP,NTRS,CBC,ING,PKBK,FVCB,FMAO,FNWD,PFIS,MBBC,RBCAA,CAC,TMP,PBFS,BSTZ,FRST,FCBC,PLGO,AGM,FSEA,HG,THG,THFF,WTBA,SKWD,RY,ITIC,HQH,WSBF,CFFI,FBP,OBT,FNLC,TSBK,FDSB,BY,CTBI,ALL,DBRG,BAP,FCFS,SHBI,DCOM,NIC,BOW,RCBC,AIZ,INBK,BMO,MFC,CM,WSFS,CPBI,RGA,PEBO,BPRN,NKSH,WRLD,MET,MS,IX,USCB,RNR,GL,SLF,IFS,PDLB,FMBH,ACT,UNM,CFG,CNS,PFG,CZNC,TFSL,FRHC,EGBN,CFR,RBB,PYPL,GSBC,FHI,OFG,FBLA,ASA,MYFW,FSBC,AMP,C,CCNE,BAC,USB,HNVR,FXNC,FCAP,WSBC,BHB,PEO,UVSP,NBN,SCHW,FNRN,PCB,HOOD,SMBC,BWB,NMIH,JPM,BUSE,MBWM,WF,TRIN,EBC,BSVN,BST,GABC,CATY,CACC,PEBK,FDS,GS,NWBI,PRK,WTW,MCBS,PFX,EMF,UMBF,LPLA,FDBC,STBA,NWFL,QCRH,WHG,BCS,CBNK,PBHC,SPNT,EIG,BSAC,CNOB,FULT,FRAF,LCNB,CCBG,LSBK,ECBK,NWG,MPB,BMEZ,FCF,ORRF,MTG,FFBC,AFRM,SRBK,SFST,QNBC,UBSI,PNC,PRU,HBCP,TCBX,CIVB,ZION,CPF,NTB,RJF,DB,BME,NBTB,BCAL,V,FITB,BFST,BSRR,TFIN,LNC,MVBF,BGR,RIOT,AROW,CHCO,FCCO,MTB,FUNC,HCI,LARK,ISTR,MNSB,FUSB,BCH,HWC,IOND,CLST,AVBH,HASI,EG,COSO,ESNT,RGT,CBAN,BOKF,CRBG,BVFL,MCY,PROV,NECB,EWBC,CZWI,JCAP,ASB,EQH,FBNC,MRBK,EBMT,NFJ,MGYR,EMO,EVT,MA,HMN,CWBC,HWBK,AJG,BBT,BFC,FMNB,PFS,TPG,EQBK,VABK,CSWC,FAF,HIPO,SYBT,HBNC,WABC,AUB,GAIN,NODK,FIGR,FSUN,RMBI,HAFC,SIGI,BHRB,MCHB,OMF,FRBA,NBBK,HYNE,TCBK,RF,ONB,BX,EFSI,JMSB,HFWA,PLMR,SBCF,CVBF,AX,PJT,SSB,MCB,SFNC,PFBC,CB,ADX,FGNXP,OVLY,PRI,GAM,MORN,LOB,DXYZ,RLI,TBBK,TROW,SLM,BTO,CUBI,HAPN,CCD,OPBK,IOR,TRMK,NDAQ,FCNCA,BLK,LCLN,UNTY,GGZ,IGIC,SYF,FIBK,WAFD,BANR,KEY,ESQ,IBCP,SFBS,CBSH,COFS,CBOE,VRTS,TRU,ETG,CAF,GLRE,ASGI,BLX,CSQ,RVT,INDB,TOWN,EFSC,SPFI,SF,FNB,THQ,MRSH,CNA,ETO,MCO,UCB,GDV,APAM,CBFV,ABCB,RYAN,AIO,CINF,MKTW,COF,NCZ,SFBC,DGICA,AFG,SPXX,QQQX,BCV,KNSL,ACGL,NXG,HTB,COLB,WTFC,HTGC,OVBC,JCE,CRVL,CET,MXF,RNST,FBK,HOMB,PNFP,BOH,AUBN,HTH,ETV,APO,NRIM,UBCP,TFC,L,CEE,GBLI,WULF,TCBS,SATA,BCAT,BKU,BMNR,TBLD,WFC,TRUP,MAIN,RDN,FFA,AFL,WTM,FRME,ORI,PB,ECCC,MNSBP,AON,MBINL,ARES,BMN,MKTX,NCV,HIFS,STEW,KKR,FHN,TY,VALU,BMRC,FGBIP,MIAX,UTF,XZO,TCBI,FSBW,IBN,NEWTP,CNOBP,CII,HIG,BRO,MC,MSBIP,ALLY,FRBT,ETB,NBHC,ICE,SRV,PGR,CBU,LGI,BANC,SCD,AXP,OZK,NBXG,FDUS,BANX,BAM,EOT,ACV,RVI,HBAN,OXLCO,OCFC,OCCIN,SOR,RMI,BUSEP,MBINM,NIE,HLNE,GBCI,SBSI,EICA,CASH,RLTY,RVII,AXS,SPGI,ARCC,GLU,VLYPN,BMA,OXLCN,MBNKO,OCCIM,STC,ATLCP,WSBCO,CCNEP,ONBPO,IBOC,SLMBP,SPMA,HTD,BTT,ONBPP,ERIE,PDX,VLYPO,PDPA,CME,EOI,CCID,WAFDP,VLYPP,AIG,SPME,WTFCN,FHB,FFIN,UMBFO,FRMEP,BCML,BWBBP,HBANL,VEL,XP,TW,MBINN,TIPT,WRB,NNI,EFSCP,LDP,ECAT,NPB,IGI,FFC,DFP,OZKAP,GLXY,JEF,BUI,TCBIO,BXSL,SDHY,NPFD,HPI,TSLX,PSUS,CRCL,BBN,TYG,LKFN,PUK,GLAD,MSCI,UNB,NBB,PSF,HPF,FLC,NTRSO,IIF,CG,XFLT,RNP,IREN,BANF,ETX,FPF,MSDL,HBANP,WAL,EOS,UTG,FULTP,AB,ISBA,GUG,SOFI,AGO,STEP,PTA,ACGLN,HBANM,MCI,FCNCO,MKL,SIGIP,PIPR,GGAL,ACGLO,FCNCP,BHF,HBANZ,JLS,LMND,BN,BNT,FUTU,FNF,PWP,COIN,RM,ZIONP,EVR,ONIT,PDI,ROOT,MPV,KMPR,LAZ,FOA,ETOR,FG,UPST,HERZ,HLI,SAR,BOT,HDB,PFSI,AMSF,WD,TREE,GBFH,GSIW,CCB,AIFU,VCX"
7,Communication Services,52,43,52,54,"CCG,BBGI,ATEX,MF,STRZ,NBIS,IRDM,SPHR,MCS,LILAP,ZD,GSAT,MGNI,ROKU,WLYB,QNST,WLY,TIGO,RDIB,IMAX,SKM,MSGS,MSGE,WBD,CNK,WPP,ATNI,IDT,ADV,MANU,EVER,JOYY,OPRA,SCHL,NWSA,MTCH,PSO,NWS,VOD,LYV,SIRI,GRVY,BATRA,OMC,BATRK,FWONA,LLYVK,GOOGL,LLYVA,GOOG,FWONK,ATHM,VEON,VZ,BZ,FOXA,FOX,GRPN,TTWO,KT,PPLI,PINS,ECHO,DIS,CHT,AMX,NYT,CMCSA,T,RCI,NTES,VSNT,SPOT,BCE,TKO,WMG,NXST,YELP,CRTO,GLIBA,META,RDDT,GLIBK,TMUS,PHI,NFLX,TDS,BIDU,CHTR,BILI,TIMB,GIBO,ZG,Z,AD,LFTO,APP,RBLX,CABO"
8,Industrials,50,43,47,42,"EDRY,BUUU,OESX,NCEW,FCEL,SIF,MAN,RCMT,TH,BE,PKOH,ATI,GEO,CXW,KFRC,PESI,ECO,PLPC,LIME,MTW,ATRO,PHOE,MATX,KELYB,DCO,KELYA,XMTR,RHI,AIRT,NSP,CYRX,SHIP,DXPE,ARCB,TISI,TWIN,HSHP,NMM,HQI,FA,IA,MG,TNET,CBZ,AIR,PBI,CRS,DAC,FIX,ZIM,ATKR,GRC,UNF,NVRI,ARMK,PRLB,CMDB,EXPD,HURC,SBLK,CSX,BXC,NPK,GHM,TPC,PL,GENC,JBHT,ARXS,CIX,POWL,VRT,SWK,WAB,PKE,CASS,GSL,FDX,NVT,RXO,EML,CDNL,NDSN,CVLG,ACA,GIC,SNDR,CAT,ESP,MSM,HURN,TKR,TRNS,UHAL,UNP,WTS,KFY,EMBJ,GEV,EFTY,ASC,IEX,BWMN,SXI,GNK,GFF,VSEC,KNX,GWW,WCC,DSGR,DNOW,GPN,ESEA,ENS,CLH,AIT,FSTR,RTX,TFII,LXFR,CNI,FLR,HWM,NPO,AEIS,VVX,PH,R,WERN,HXL,DE,TTC,NSC,AXON,PWR,TEX,FLS,ICFI,OC,TTEK,KEX,DAL,CECO,PCAR,PRG,J,AME,LSTR,CDLR,RHLD,CP,FAST,CSW,CMPR,URI,HRI,OSK,LECO,EMR,KRNT,CMCO,JCI,VSECU,ODFL,ETN,MMM,AGX,MSA,MLI,BRC,HLIO,LGN,AZZ,STRL,GD,CR,XPO,GE,NX,WWD,EBF,FWRD,ESLT,MYRG,ECG,SNA,ITT,ADUR,ABM,ULH,LMT,DCI,CTAS,ITW,TREX,AER,LOAR,ENR,EXPO,EME,OTTR,TAYD,MRCY,AYI,ALLE,VMI,VOYG,CMI,ROK,VLTO,RGR,GATX,ELMT,GTES,APOG,LUNR,GHC,FELE,UPS,MAS,CRAI,CXT,FSS,CCEC,TT,UAL,MEC,HEI,DLX,CWST,CMRE,APG,CSL,FTAIM,RBC,BKSY,ZWS,MGRC,PAM,RSG,BBSI,KMT,GFL,HUBB,GVA,RYZ,IR,CMC,WCN,SKYW,AWI,CAR,EPAC,LUV,DLB,DOV,WOR,ALGT,LTM,ZTO,HUBG,BETA,CPA,WM,ROCK,MIDD,HY,TRI,RELX,EFX,FERG,POWWP,CAAP,SUNB,TRN,BLBD,DPC,AIRTP,GGG,FBIN,SPXC,OMAB,RKLB,KBR,SAIA,CW,BCO,BA,IIIN,KAI,ROAD,CARR,AGCO,HON,MTZ,AOS,GBX,LNN,VRSK,MWA,FTAI,FCN,CHRW,ALG,WMS,CAE,GNRC,TXT,TITN,NOC,WSC,DRS,RRX,HII,TNC,GXO,NSSC,PPIH,TRC,TDG,XYL,FER,FOIL,SARO,ULS,KE,ASTE,CDRE,FPS,OTIS,PAC,TATT,BAH,SPCX,CPRT,LPX,RJET,ALK,SEB,RYAAY,LHX,REZI,WLDN,OFLX,STN,CNM,POOL,MDA,WSO,JBTM,RTO,BWXT,BBUC,RBA,ASR,AERO,FDXF,MATW,MMS,HONA,AMTM,SYM,DY,ONT,MAIR,LII,SITE,KTOS,ESAB,FLY,ACM,AAON,AMRC,KRMN,AMSC,BLDR,PNR,IESC,ATS,PSIX,EQPT,INIO,NNE,XE,AVAV,HAWK,AVEX,PRIM,SMX,LMB,MFP,WLFC"
