Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Aluminum,Basic Materials,96,40,66,96,"AA,CENX,CSTM,KALU"
2,Trucking,Industrials,90,95,94,94,"ODFL,XPO,KNX,TFII,SAIA,SNDR,RXO,ARCB,WERN,MRTN,HTLD,CVLG,ULH,PAMT"
3,Semiconductor Equipment & Materials,Technology,90,37,82,89,"ASML,LRCX,AMAT,KLAC,TER,Q,ENTG,AMKR,NVMI,ONTO,FORM,CAMT,AXTI,ACMR,KLIC,ACLS,IPGP,UCTT,VECO,AEHR,AMBA,COHU,ICHR,PLAB,DQ,ASYS,ATOM,INTT,TRT"
4,REIT - Hotel & Motel,Real Estate,89,94,92,91,"HST,RHP,APLE,PK,DRH,SHO,PEB,XHR,RLJ,INN,CLDT"
5,Semiconductors,Technology,89,47,90,87,"DIOD,MCHPP,NVDA,TSM,AVGO,MU,AMD,INTC,ARM,TXN,MRVL,QCOM,ADI,ASX,MPWR,NXPI,STM,ALAB,CBRS,MCHP,UMC,CRDO,ON,GFS,TSEM,MTSI,LSCC,SITM,RMBS,SMTC,SWKS,SIMO,QRVO,ALGM,CRUS,VSH,SLAB,MXL,SYNA,NVTS,POWI,PI,LASR,HIMX,WOLF,IMOS,POET,SKYT,AMBQ,AIP,AOSL,CEVA,MRAM,NVEC,ALMU,QUIK,GSIT,MX,IPWR,WKEY,PXLW"
6,Healthcare Plans,Healthcare,85,91,93,82,"UNH,CVS,ELV,CI,HUM,CNC,MOH,OSCR,ALHC,PGNY"
7,Textile Manufacturing,Consumer Cyclical,84,96,92,91,"AIN,SMJF"
8,Publishing,Communication Services,84,79,77,88,"NYT,PSO,WLY,WLYB,TDAY,SCHL,LEE"
9,Oil & Gas Drilling,Energy,84,43,52,94,"NE,RIG,VAL,PTEN,HP,SDRL,SOC,NBR,PDS"
10,Electronic Components,Technology,82,55,79,79,"APH,GLW,TEL,FLEX,CLS,JBL,FN,TTMI,VICR,SANM,LFUS,PLXS,RAL,OLED,BELFB,OSIS,KN,BELFA,BHE,ROG,OUST,CTS,ALNT,DAKT,LYTS,LPTH,OPTX,MPTI,MEI,RELL,CPSH,ELTK,MSAI"
11,Steel,Basic Materials,82,74,79,77,"NUE,MT,STLD,RS,PKX,TX,CLF,WS,NWPX,MTUS,MSB,FRD"
12,Marine Shipping,Industrials,81,34,60,75,"KEX,MATX,HAFN,ZIM,SBLK,DAC,NMM,CMRE,ECO,SFL,GSL,CCEC,GNK,HSHP,ASC,SB,PANL,ESEA,CMDB,GASS,SHIP,SMHI,EDRY,EHLD,SVRN"
13,Banks - Diversified,Financial Services,80,75,75,69,"JPM,BAC,HSBC,RY,WFC,C,MUFG,TD,SAN,UBS,SMFG,BBVA,BMO,CM,BNS,BNY,ING,BCS,NTB"
14,Oil & Gas Equipment & Services,Energy,80,51,60,84,"SLB,BKR,HAL,TS,FTI,NOV,WFRD,KGS,SEI,AROC,LB,LBRT,WHD,USAC,OII,TDW,EFXT,WTTR,FLOC,NESR,NEXT,AESI,INVX,XPRO,PUMP,RES,WBI,HLX,ACDC,VTOL,HMH,FTK,CLB,FET,EROK,NGS,OIS,NINE,RNGR,NOA,SND,STAK,NCSM,GEOS"
15,Real Estate - Diversified,Real Estate,78,41,15,79,"JOE,STRS"
16,Oil & Gas Integrated,Energy,77,47,52,78,"XOM,CVX,SHEL,TTE,PBR,BP,EQNR,E,SU,IMO,CVE,EC,YPF,TGS,DEC,NFG"
17,Integrated Freight & Logistics,Industrials,77,83,72,71,"UPS,FDX,JBHT,FDXF,CHRW,EXPD,ZTO,LSTR,GXO,HUBG,PBI,CYRX,RLGT,FWRD,PAL,PSIG,NCEW"
18,Electronics & Computer Distribution,Technology,77,92,92,80,"SNX,ARW,AVT,NSIT,CNXN,SCSC,CLMB"
19,Oil & Gas Midstream,Energy,76,52,57,80,"DHT,ENB,WMB,EPD,TRP,KMI,ET,TRGP,MPLX,OKE,LNG,VG,CQP,PBA,WES,VNOM,PAA,DTM,AM,FRO,HESM,KNTK,SOBO,PAGP,GLNG,CMBT,INSW,STNG,EE,SUNC,BWLP,TRMD,TNK,NGL,LPG,GLP,FLNG,NVGS,PBT,SBR,TEN,NAT,TK,SMC,KNOP,IMPP,TORO,IMPPP,GEL"
20,Copper,Basic Materials,76,16,28,69,"SCCO,FCX,HBM,ERO,TGB,IE"
21,Communication Equipment,Technology,75,47,67,74,"CSCO,NOK,LITE,CIEN,DGII,MSI,HPE,ERIC,ASTS,UI,AAOI,VIAV,ZBRA,VSAT,ONDS,BDC,EXTR,VISN,TSAT,HLIT,ADTN,GILT,FEIM,NTGR,CLFD,BKTI,LTRX,SILC,AUDC,OCC,AVNW,AMPG,INSG,WATT,AIRG"
22,Oil & Gas Refining & Marketing,Energy,75,55,65,76,"DK,VLO,DINO,MPC,PSX,SUN,PBF,DKL,IEP,CVI,PARR,APC,WKC,CAPL,SGU"
23,Computer Hardware,Technology,73,65,80,60,"SNDK,DELL,ANET,STX,WDC,HPQ,P,IONQ,SMCI,LOGI,QBTS,RGTI,QUBT,BRAI,UMAC,CRSR,SSYS,VELO,OSS,DPRO,QMCO,ALOT,TACT"
24,Financial Conglomerates,Financial Services,72,66,71,76,"RILYP,RILYL,IX,FRHC,VOYA,HTH,TREE,RILY"
25,Silver,Basic Materials,71,3,7,64,"AG,AYA,EXK,SVM"
26,Chemicals,Basic Materials,70,21,52,80,"DOW,CE,MEOH,OLN,HUN,REX,TROX,GPRE,LXU,WLKP,ASPI,ASIX,RYAM,VHI,ACNT"
27,Rental & Leasing Services,Industrials,70,64,70,78,"URI,SUNB,AER,UHAL,R,CAR,GATX,WSC,HRI,EQPT,MGRC,CTOS,VSTS,PRG,WLFC,ALTG"
