Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Silver,Basic Materials,97,84,96,97,"AG,EXK,SVM"
2,Copper,Basic Materials,96,67,93,95,"SCCO,FCX,HBM,ERO,TGB,IE"
3,Other Precious Metals & Mining,Basic Materials,96,57,89,94,"HL,SBSW,BVN,TFPM,PPTA,SLSR,ASM,MUX,ELE,MTA,VOXR"
4,Gold,Basic Materials,95,70,89,93,"NEM,AEM,B,WPM,AU,GFI,FNV,KGC,PAAS,RGLD,AGI,CDE,HMY,IAG,EQX,EGO,NGD,OR,BTG,AUGO,ORLA,SSRM,NG,AAUC,CGAU,SA,FSM,DRD,HYMC,CNL,DC,IDR,CMCL,CTGO,USAU"
5,Aluminum,Basic Materials,95,48,96,94,"AA,CENX,CSTM,KALU"
6,Semiconductor Equipment & Materials,Technology,90,78,87,90,"ASML,LRCX,AMAT,KLAC,TER,Q,ENTG,NVMI,AMKR,ONTO,FORM,CAMT,IPGP,ACMR,KLIC,ACLS,AMBA,UCTT,PLAB,VECO,DQ,ICHR,COHU,AXTI,AEHR,ASYS,INTT,TRT"
7,Uranium,Energy,90,35,67,84,"CCJ,NXE,UEC,UUUU,LEU,ISOU,AEC"
8,Real Estate - Diversified,Real Estate,90,87,90,91,"JOE,STRS"
9,Other Industrial Metals & Mining,Basic Materials,90,46,76,84,"RIO,BHP,VALE,TECK,MP,EMAT,USAR,SKE,ALM,MTRN,TMC,USAS,NEXA,SGML,IPX,LAR,CRML,UAMY,CMP,GSM,ELVR,SCZM,NB,NVA,USGO"
10,Solar,Technology,88,63,50,92,"FSLR,NXT,ENPH,RUN,SEDG,SHLS,ARRY,JKS,CSIQ,TOYO,FTCI,ASTI"
11,Medical Distribution,Healthcare,84,72,61,85,"MCK,COR,CAH,HSIC,EMPG,YI"
12,Oil & Gas Drilling,Energy,83,81,94,83,"NE,RIG,HP,PTEN,SDRL,BORR,SOC,PDS,NBR"
13,Metal Fabrication,Industrials,82,78,82,76,"ATI,CRS,MLI,ESAB,GPGI,WOR,PRLB,RYI,IIIN,MEC,TG,AP"
14,Steel,Basic Materials,81,61,74,78,"MT,NUE,STLD,PKX,RS,CMC,TX,CLF,SIM,WS,MTUS,NWPX,ZEUS,MSB,LUD,FRD"
15,Electronic Components,Technology,81,65,70,79,"APH,GLW,TEL,CLS,JBL,FLEX,FN,TTMI,LFUS,SANM,VICR,OLED,PLXS,RAL,OSIS,BELFA,BELFB,KN,BHE,ROG,CTS,DAKT,ALNT,OUST,LYTS,LPTH,MEI,OPTX,RELL,MPTI,ELTK"
16,Farm & Heavy Construction Machinery,Industrials,80,86,90,67,"CAT,DE,PCAR,CNH,OSK,AGCO,TEX,ALG,BLBD,LNN,ASTE,AEBI,TWI,HY,CMCO,MTW,WNC,GENC"
17,Oil & Gas Equipment & Services,Energy,80,79,80,84,"SLB,BKR,HAL,FTI,TS,WFRD,NOV,VAL,AROC,LB,KGS,LBRT,SEI,WHD,TDW,OII,USAC,EFXT,NESR,FLOC,AESI,XPRO,INVX,WTTR,PUMP,NEXT,RES,VTOL,HLX,NPKI,WBI,ACDC,CLB,FET,OIS,FTK,NOA,NGS,RNGR,SND,GEOS,NCSM"
18,Marine Shipping,Industrials,79,76,72,79,"KEX,MATX,HAFN,SBLK,ZIM,BWLP,CMRE,DAC,NMM,ECO,SFL,GSL,CCEC,GNK,SB,HSHP,PANL,ASC,CMDB,ESEA,GASS,SHIP,SMHI,HTCO,EDRY,EHLD"
19,Banks - Diversified,Financial Services,79,48,67,75,"JPM,BAC,HSBC,WFC,RY,MUFG,C,SAN,TD,SMFG,UBS,BBVA,BMO,BNS,CM,BCS,ING,BK,NTB"
20,Tools & Accessories,Industrials,76,78,82,71,"SNA,RBC,LECO,SWK,TTC,TKR,KMT,HLMN,EML,CVR"
21,Thermal Coal,Energy,74,62,60,76,"CNR,BTU,ARLP,NRP,HNRG,NC"
22,Department Stores,Consumer Cyclical,73,44,68,71,"DDS,M,PLBL,KSS"
23,Luxury Goods,Consumer Cyclical,73,52,54,76,"TPR,SIG,CPRI,LUXE,REAL,MOV,ELA"
24,Communication Equipment,Technology,73,62,67,75,"CSCO,MSI,UI,CIEN,LITE,NOK,ERIC,ASTS,HPE,ZBRA,VSAT,VIAV,BDC,VISN,ONDS,AAOI,EXTR,DGII,TSAT,HLIT,GILT,ADTN,NTGR,FEIM,CLFD,AVNW,BKTI,LTRX,AUDC,CMTL,INSG,SILC,AIRG,OCC,FIEE,WATT,CLRO"
25,Integrated Freight & Logistics,Industrials,71,50,75,64,"UPS,FDX,JBHT,CHRW,EXPD,ZTO,GXO,LSTR,HUBG,PBI,FWRD,CYRX,RLGT,PAL,PSIG,NCEW"
26,Confectioners,Consumer Defensive,71,88,75,59,"MDLZ,HSY,TR"
27,REIT - Healthcare Facilities,Real Estate,71,73,67,70,"WELL,VTR,AHR,NHPAP,NHPBP,OHI,DOC,CTRE,HR,SBRA,NHI,MPT,LTC,DHC,SILA,GMRE,STRW,UHT,CHCT"
28,Utilities - Diversified,Utilities,70,82,67,74,"SRE,BIP,AES,AQN,AVA,UTL"
29,Railroads,Industrials,70,83,76,71,"UNP,CSX,CP,NSC,CNI,WAB,TRN,GBX,FSTR,RAIL,RVSN"
30,Engineering & Construction,Industrials,70,66,64,65,"PWR,FER,FIX,EME,MTZ,APG,J,BLD,STRL,DY,ACM,IESC,STN,TTEK,PRIM,ROAD,FLR,ACA,GVA,AGX,ECG,KBR,LGN,TPC,MYRG,EXPO,CDLR,WLDN,AMRC,GLDD,CDNL,BWMN,ORN,BBCP,MTRX,ESOA,PHOE,MAGH,VATE,FGL"
31,Business Equipment & Supplies,Industrials,70,87,88,70,EBF
32,Discount Stores,Consumer Defensive,70,68,78,63,"WMT,COST,TGT,DG,DLTR,BJ,OLLI,PSMT,TBBB"
33,Oil & Gas Midstream,Energy,70,82,77,68,"ENB,WMB,EPD,KMI,TRP,ET,MPLX,OKE,TRGP,CQP,IMPPP,LNG,PBA,VG,WES,VNOM,PAA,DTM,AM,HESM,FRO,SOBO,PAGP,EE,GLNG,CMBT,STNG,INSW,SUNC,TRMD,KNTK,DHT,TNK,GEL,GLP,NGL,LPG,FLNG,NVGS,SBR,TK,PBT,TEN,KNOP,SMC"
34,Specialty Chemicals,Basic Materials,69,72,78,60,"LIN,SHW,ECL,APD,PPG,IFF,DD,SQM,ALB,LYB,RPM,WLK,SOLS,EMN,ESI,AXTA,BCPC,NEU,SSL,CBT,SXT,AVNT,PRM,FUL,WDFC,KWR,CC,HWKN,NGVT,ASH,CLMT,MTX,IOSP,SCL,ECVT,ODC,MATV,KRO,KOP,OEC,HDSN,CMT,NTIC,FSI"
35,Specialty Industrial Machinery,Industrials,69,70,70,65,"GEV,ETN,PH,ITW,EMR,CMI,AME,ROK,IR,OTIS,SYM,DOV,XYL,ITT,NDSN,PNR,IEX,GGG,RRX,GNRC,DCI,CR,FLS,AOS,WTS,GTLS,JBTM,MIDD,GTES,NPO,MIR,CSW,FELE,MWA,SMR,KAI,SXI,CXT,ATS,HLIO,EPAC,PSIX,GRC,THR,AMSC,TNC,NNE,BW,GHM,KRNT,SERV,SHMD,LXFR,PKOH,OFLX,TWIN,TAYD,HUHU,HURC"
36,Oil & Gas Integrated,Energy,69,84,69,71,"XOM,CVX,SHEL,TTE,PBR,BP,EQNR,SU,E,IMO,CVE,EC,YPF,NFG,TGS,DEC,SLNG"
37,Semiconductors,Technology,69,56,63,66,"MCHPP,NVDA,TSM,AVGO,MU,AMD,INTC,TXN,ADI,QCOM,ARM,MRVL,NXPI,MPWR,ASX,MCHP,STM,ON,GFS,UMC,ALAB,CRDO,MTSI,TSEM,LSCC,SITM,RMBS,SWKS,SMTC,ALGM,QRVO,CRUS,SLAB,SIMO,PI,SYNA,DIOD,LASR,POWI,VSH,NVTS,MXL,SKYT,HIMX,IMOS,POET,WOLF,AOSL,AIP,AMBQ,CEVA,NVEC,ALMU,MRAM,GSIT,QUIK,WKEY,PXLW"
38,Recreational Vehicles,Consumer Cyclical,69,49,70,61,"THO,DOO,BC,PATK,LCII,PII,HOG,WGO,MBUU,MCFT,MPX"
39,Electrical Equipment & Parts,Industrials,68,48,54,64,"VRT,BE,HUBB,NVT,AEIS,AYI,FPS,POWL,ENS,HAYW,EOSE,ATKR,ENR,PLPC,AMPX,TE,ENVX,ADSE,KE,LTBR,ELVA,FCEL,EAF,ESP,RFIL,ULBI,OESX"
40,Utilities - Regulated Gas,Utilities,68,80,60,68,"ATO,NI,UGI,SWX,BIPC,BKH,NJR,SR,OGS,MDU,CPK,CTRI,NWN,SPH,RGCO"
41,Trucking,Industrials,68,64,88,66,"ODFL,XPO,SAIA,TFII,KNX,SNDR,ARCB,RXO,WERN,MRTN,HTLD,CVLG,ULH,PAMT"
42,Utilities - Renewable,Utilities,68,58,49,68,"AXIA,BEP,ENLT,CWEN,BEPC,ORA,FLNC,RNW,XIFR,ELLO,STEM,WAVE"
43,Airports & Air Services,Industrials,68,62,74,55,"PAC,ASR,JOBY,OMAB,CAAP,ASLE"
44,Auto Parts,Consumer Cyclical,68,71,70,58,"ORLY,AZO,GPC,MGA,APTV,BWA,MOD,ALSN,ALV,LKQ,MBLY,LEA,GNTX,ATMU,QS,GTX,HSAI,DORM,DAN,AAP,PHIN,VC,GT,ADNT,DCH,XPEL,THRM,SMP,PLOW,FOXF,CPS,MNRO,MLR,STRT,SRI,MPAA"
