Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
36,Internet Retail,Consumer Cyclical,62,68,48,61,"AMZN,BABA,PDD,MELI,SE,DASH,CPNG,JD,EBAY,CHWY,CART,W,VIPS,ETSY,GLBE,JMIA,LQDT,BYON,SBDS,QVCGP,NEGG,RVLV,TDUP,JFBR"
37,Real Estate Services,Real Estate,62,50,30,44,"CBRE,CSGP,FSV,KW,BPYPN,BEKE,JLL,CIGI,COMP,NMRK,OPEN,CWK,IHS,BPYPO,BPYPP,EXPI,MMI,IRS,HOUS,FRPH,RMAX,TCI,SEG,MLP,RMR,NEN,ARL,CHCI,ASPS,STHO,LHAI,NYC,GYRO,LRHC"
38,Mortgage Finance,Financial Services,62,39,43,48,"RKT,COOP,UWMC,PFSI,WD,GHLD,VEL,ONIT,BETR,GHI,SNFCA,IOR"
39,Specialty Industrial Machinery,Industrials,61,61,48,49,"GEV,ETN,PH,ITW,EMR,CMI,AME,ROK,XYL,OTIS,IR,SYM,DOV,PNR,GGG,ITT,NDSN,IEX,GNRC,CR,AOS,RRX,WTS,GTLS,DCI,JBTM,FLS,MIDD,GTES,MIR,NPO,SMR,CSW,FELE,MWA,KAI,CXT,ATS,SXI,XMTR,EPAC,AMSC,PSIX,HI,HLIO,TNC,NNE,GRC,THR,KRNT,SERV,GHM,OFLX,LXFR,PKOH,TWIN,TAYD,HUHU,HURC,LASE"
40,Rental & Leasing Services,Industrials,60,62,47,43,"URI,AER,FTAI,R,GATX,FTAIM,FTAIN,UHAL,AL,CAR,WSC,HRI,MGRC,HTZ,PRG,CTOS,WLFC,ALTG"
41,Medical Distribution,Healthcare,60,56,72,56,"MCK,COR,CAH,HSIC,OMI,EMPG,YI"
42,Recreational Vehicles,Consumer Cyclical,60,42,9,9,"THO,BC,DOOO,HOG,PII,LCII,WGO,MBUU,MCFT,MPX"
43,Copper,Basic Materials,59,58,42,10,"SCCO,FCX,HBM,ERO,IE,MTAL"
44,Education & Training Services,Consumer Defensive,59,58,69,65,"EDU,LRN,TAL,LOPE,ATGE,GHC,LAUR,MH,PRDO,STRA,COUR,UTI,AFYA,DAO,UDMY,KLC,LINC,APEI,QSG,FC,COE,LGCY,STG,SKIL"
45,Food Distribution,Consumer Defensive,59,56,55,59,"SYY,USFD,PFGC,CHEF,UNFI,ANDE,AVO,SPTN,CVGW,WILC,DIT,MTEX,TWG"
46,Electronic Gaming & Multimedia,Communication Services,58,63,58,44,"NTES,RBLX,EA,TTWO,SOHU,DDI,GRVY,GDEV,SKLZ,DKI"
47,Specialty Retail,Consumer Cyclical,58,39,36,30,"TSCO,WSM,ULTA,CASY,DKS,BBY,GME,MNSO,FIVE,MUSA,BBWI,RH,ASO,EYE,SVV,ARHS,WINA,SBH,BBW,ODP,HZO,ARKO,BWMX,FLWS,BNED,ONEW,CHPT"
48,Other Industrial Metals & Mining,Basic Materials,58,45,41,38,"BHP,RIO,VALE,TECK,MP,MTRN,SKE,USAR,IPX,CMP,SGML,CRML,PLL,NEXM,ATLX,USGO,NVA,USARW"
