Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
84,INBX,110.57,220904,Healthcare,Biotechnology,99.0,21.0,94.0,90.0,13.5671,13.3785,395619.0,643030.0,155.29,12.24,,1622193024.0,No,93.09,68.3,95.77,84.14
109,ORKA,58.69,1281419,Healthcare,Biotechnology,98.0,6.0,98.0,97.0,3.7464,3.6629,1403790.0,1500630.0,91.0,10.64,,3539717120.0,No,58.03,34.1,58.2,40.4
128,DNTH,89.63,493535,Healthcare,Biotechnology,98.0,28.0,97.0,97.0,4.8071,4.745,946298.0,519290.0,96.5,16.64,,4899734016.0,No,85.89,51.6,86.52,60.24
155,AFJK,40.5,6178,Financial Services,Shell Companies,98.0,8.0,73.0,99.0,2.744,2.3947,18380.0,2920.0,130.37,6.75,,128236448.0,No,38.03,29.3,39.62,36.64
161,MANE,104.7,276191,Healthcare,Biotechnology,98.0,98.0,98.0,,7.2043,7.1864,531677.0,431480.0,117.71,32.0,,4374228480.0,No,79.93,,81.31,
172,ARWR,75.54,1580117,Healthcare,Biotechnology,98.0,66.0,88.0,96.0,4.3517,4.1531,2094930.0,1977960.0,82.26,14.3,,10640339968.0,No,67.71,52.81,68.34,62.4
184,GGLL,137.72,917431,ETF,ETF,98.0,97.0,95.0,94.0,7.1486,6.5764,1209188.0,1232450.0,153.0,29.75,,,No,109.18,88.79,112.23,101.5
209,COGT,32.58,1377721,Healthcare,Biotechnology,97.0,10.0,12.0,24.0,1.3871,1.3571,2022864.0,1618270.0,43.73,4.75,,5566879744.0,No,35.46,29.05,35.18,35.17
211,PBRG,42.36,1485,ETF,ETF,97.0,10.0,96.0,,2.2587,1.5278,10550.0,5470.0,52.49,14.83,,,No,45.07,,44.94,
230,AGX,644.64,210016,Industrials,Engineering & Construction,97.0,35.0,95.0,96.0,40.0564,36.9614,429025.0,300160.0,748.5,184.35,,8999474176.0,No,597.85,388.11,621.98,448.67
252,SEI,73.43,949893,Energy,Oil & Gas Equipment & Services,97.0,90.0,95.0,95.0,4.8321,4.7564,2659109.0,2580910.0,81.24,21.68,,6858887680.0,No,66.28,50.51,67.32,56.04
281,ON,109.61,6132913,Technology,Semiconductors,97.0,96.0,96.0,98.0,6.345,5.5857,9872450.0,12748720.0,119.1,40.62,,42616717312.0,No,82.67,61.72,85.88,67.0
322,FN,703.27,551603,Technology,Electronic Components,96.0,64.0,92.0,95.0,54.4864,50.6679,764143.0,969060.0,748.89,222.67,,25197981696.0,No,626.26,480.84,644.15,531.93
338,AMDW,94.15,42619,ETF,ETF,96.0,98.0,98.0,93.0,7.4499,5.7584,50762.0,71880.0,100.75,38.3,,,No,61.8,55.22,66.63,56.88
347,UNHU,47.46,1173,ETF,ETF,96.0,93.0,,,1.7812,1.6147,6517.0,5480.0,53.16,22.15,,,No,,,,
350,YOU,61.1,1039074,Technology,Software - Application,96.0,86.0,97.0,95.0,3.5679,3.5671,1890645.0,1575600.0,62.22,23.88,,8166704640.0,No,53.27,39.83,53.27,42.28
381,CDNL,50.03,632987,Industrials,Engineering & Construction,96.0,42.0,95.0,,5.0041,4.9231,440162.0,553020.0,63.18,21.98,,765107968.0,No,45.39,,46.8,
385,THR,65.04,352351,Industrials,Specialty Industrial Machinery,96.0,95.0,91.0,96.0,3.2021,3.0043,652416.0,663460.0,71.24,23.86,,2137834752.0,No,56.18,40.41,56.87,46.44
