Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
784,TILE,35.68,550467,Consumer Cyclical,"Furnishings, Fixtures & Appliances",88.0,94.0,90.0,83.0,1.14,1.0971,614582.0,748470.0,36.05,20.37,2071444992,NO,29.68,28.76,30.99,29.76,10887,0.0,553118,NO,NO,1999-01-08,6473700.0
806,RBC,634.78,200160,Industrials,Tools & Accessories,88.0,86.0,71.0,89.0,20.04,19.2879,244680.0,312640.0,667.69,364.5,20081494016,NO,598.62,505.49,600.08,550.89,5253,0.0,200160,NO,NO,2005-08-10,4659200.0
814,AMAL,46.65,253147,Financial Services,Banks - Regional,88.0,89.0,77.0,90.0,1.1414,1.0721,144559.0,207030.0,47.17,25.13,1393311872,NO,42.32,35.67,43.05,39.45,1981,0.0,253147,NO,NO,2018-08-09,3584100.0
820,MNST,97.64,5029658,Consumer Defensive,Beverages - Non-Alcoholic,88.0,88.0,87.0,83.0,1.795,1.7679,5476953.0,6494060.0,97.87,58.09,95492710400,NO,85.9,77.1,89.31,81.65,10216,0.11,5029658,NO,NO,2006-08-07,541976400.0
824,XENE,60.13,1688684,Healthcare,Biotechnology,87.0,86.0,50.0,87.0,1.8818,1.8636,1274600.0,2040130.0,63.95,30.0,5812499968,NO,54.88,47.01,55.25,50.0,2927,0.0,1688684,NO,NO,2021-10-04,63786400.0
825,CPRX,31.46,1617250,Healthcare,Biotechnology,87.0,55.0,86.0,85.0,0.0479,0.0443,2264187.0,2116760.0,32.56,19.05,3851325696,NO,30.4,24.77,31.05,26.39,4938,0.0,1617250,NO,NO,2022-09-14,28326000.0
853,ESP,66.48,44081,Industrials,Electrical Equipment & Parts,87.0,88.0,69.0,90.0,3.2921,3.1293,37417.0,62680.0,74.77,36.0,199168912,NO,64.11,51.9,63.4,57.48,11665,0.0,44081,NO,NO,2026-06-26,319000.0
863,RRX,219.88,514569,Industrials,Specialty Industrial Machinery,87.0,84.0,72.0,92.0,11.105,9.3786,1078435.0,1078600.0,236.35,127.96,14637318144,NO,210.84,175.8,211.02,191.06,11665,0.0,514569,NO,NO,2021-10-05,5195500.0
870,CYD,46.2,217561,Consumer Cyclical,Auto Manufacturers,87.0,3.0,78.0,85.0,3.2696,3.2368,182438.0,248970.0,61.48,21.27,1733346560,NO,49.02,42.62,49.68,45.1,7934,0.0,217561,NO,NO,2003-11-12,10089300.0
878,NBCE,44.56,349,ETF,ETF,87.0,77.0,84.0,87.0,0.7931,0.1101,600.0,430.0,45.93,27.15,0,NO,41.0,35.9,41.79,37.47,677,0.02,349,NO,NO,2026-01-27,118700.0
893,AIN,75.49,147671,Consumer Cyclical,Textile Manufacturing,87.0,93.0,91.0,91.0,2.5114,2.4443,248761.0,320770.0,76.56,41.15,2140516224,NO,63.99,56.65,66.98,59.09,9759,0.0,147671,NO,NO,2006-03-08,3370700.0
903,SLAB,219.03,295121,Technology,Semiconductors,86.0,50.0,41.0,93.0,1.88,1.8436,442054.0,636880.0,220.9,115.51,7224008704,NO,217.5,173.33,218.22,193.07,6604,0.0,295121,NO,NO,2004-07-27,14643300.0
904,C,142.49,7463609,Financial Services,Banks - Diversified,86.0,91.0,85.0,74.0,3.6348,3.3262,12217745.0,15110470.0,147.96,84.61,243027673088,NO,131.53,114.74,132.7,121.67,12474,0.06,7463609,NO,NO,2009-12-17,377263850.0
922,NUVL,123.51,1234941,Healthcare,Biotechnology,86.0,90.0,82.0,73.0,2.7204,0.2689,2115672.0,3197220.0,123.69,71.13,9773128704,NO,107.96,100.99,110.38,105.06,1234,0.0,1234941,NO,NO,2026-06-09,51699500.0
934,VCEL,45.07,755213,Healthcare,Biotechnology,86.0,97.0,92.0,78.0,1.7307,1.6721,663362.0,864650.0,46.62,28.95,2301645056,NO,36.28,35.73,37.53,36.1,7395,0.0,755213,NO,NO,2016-12-14,53758900.0
947,NOVT,157.74,537848,Technology,Scientific & Technical Instruments,86.0,34.0,88.0,85.0,8.0479,7.5229,479070.0,647210.0,171.85,98.27,5617820672,NO,149.11,128.17,152.56,136.14,6858,0.0,537848,NO,NO,2022-07-25,6805900.0
954,UVSP,44.19,235088,Financial Services,Banks - Regional,86.0,89.0,85.0,86.0,1.335,1.3186,216932.0,313470.0,44.78,27.91,1230505984,NO,39.68,34.41,40.7,36.46,7094,0.0,235088,NO,NO,2017-11-30,1435900.0
955,MOH,229.54,1124243,Healthcare,Healthcare Plans,86.0,96.0,94.0,89.0,8.7823,8.588,1148340.0,1190790.0,311.52,121.06,11959033856,NO,188.33,169.05,196.72,171.55,5784,0.0,1124243,NO,NO,2026-03-20,14407900.0
