IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
1,QMMM,119.4,Communication Services,Advertising Agencies,98.0,65.0,45.0,40.0,0.0,0.0,0.0,NO,NO
2,ZD,55.38,Communication Services,Advertising Agencies,92.0,69.0,88.0,93.0,1.8243,1.7214,0.0,NO,NO
3,MGNI,20.86,Communication Services,Advertising Agencies,88.0,41.0,97.0,93.0,0.8436,0.7986,0.92,NO,NO
4,ADV,41.72,Communication Services,Advertising Agencies,84.0,77.0,80.0,93.0,2.7939,2.6412,0.2,NO,NO
5,QNST,15.63,Communication Services,Advertising Agencies,64.0,12.0,89.0,78.0,0.6979,0.6557,0.0,NO,NO
1,DFNS,47.36,Industrials,Aerospace & Defense,98.0,98.0,98.0,98.0,18.0117,11.7514,0.0,NO,NO
2,SIF,27.65,Industrials,Aerospace & Defense,98.0,88.0,97.0,98.0,1.9716,1.9516,1.4,NO,NO
3,DCO,191.86,Industrials,Aerospace & Defense,95.0,55.0,95.0,95.0,8.1582,7.6539,0.51,NO,NO
4,ATRO,75.58,Industrials,Aerospace & Defense,95.0,81.0,93.0,84.0,3.4336,3.1857,2.45,NO,NO
5,ARXS,58.05,Industrials,Aerospace & Defense,94.0,97.0,97.0,,3.5039,3.3832,1.54,NO,NO
1,CF,118.11,Basic Materials,Agricultural Inputs,75.0,77.0,12.0,89.0,4.3639,3.5839,0.0,NO,NO
2,UAN,126.09,Basic Materials,Agricultural Inputs,69.0,90.0,11.0,85.0,3.2773,3.0544,0.0,NO,NO
3,SMG,66.38,Basic Materials,Agricultural Inputs,61.0,27.0,76.0,49.0,3.3994,3.0529,0.0,NO,NO
4,CTVA,78.31,Basic Materials,Agricultural Inputs,46.0,6.0,14.0,51.0,2.6344,2.1744,0.0,NO,NO
5,NTR,66.92,Basic Materials,Agricultural Inputs,34.0,74.0,7.0,18.0,1.8221,1.6257,0.64,NO,NO
1,ALGT,105.09,Industrials,Airlines,94.0,6.0,96.0,75.0,5.135,4.2529,0.0,NO,NO
2,DAL,92.77,Industrials,Airlines,93.0,52.0,94.0,90.0,2.7629,2.3189,0.0,NO,NO
3,UAL,132.62,Industrials,Airlines,91.0,41.0,96.0,84.0,4.9729,4.2496,2.94,NO,NO
4,AAL,16.56,Industrials,Airlines,89.0,8.0,95.0,82.0,0.7264,0.5957,0.0,NO,NO
5,LUV,48.7,Industrials,Airlines,89.0,12.0,91.0,22.0,1.8,1.5586,1.76,NO,NO
1,CAAP,26.44,Industrials,Airports & Air Services,65.0,69.0,74.0,9.0,0.7484,0.7199,1.25,NO,NO
2,OMAB,111.0,Industrials,Airports & Air Services,41.0,21.0,58.0,13.0,2.7729,2.6321,0.52,NO,NO
3,PAC,220.7,Industrials,Airports & Air Services,9.0,3.0,8.0,4.0,5.7139,5.53,0.12,NO,NO
4,ASR,276.31,Industrials,Airports & Air Services,7.0,5.0,10.0,4.0,7.4386,7.2386,0.0,NO,NO
