Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
9,MGRT,84.55,13807.0,Technology,Information Technology Services,99.0,1.0,99.0,99.0,12.0845,11.8032,80756.0,23840.0,170.0,1.5,,1162562560.0,No,83.85,25.24,90.13,34.5
16,MXL,101.1,,Technology,Semiconductors,99.0,99.0,99.0,99.0,12.2057,11.66,,,,,,,No,50.17,25.16,61.19,31.91
21,PL,50.48,15373667.0,Industrials,Aerospace & Defense,99.0,97.0,98.0,99.0,4.0897,3.8976,13274180.0,9698660.0,51.13,3.66,,17990727680.0,No,36.65,21.44,38.77,26.83
61,CIEN,582.08,1748942.0,Technology,Communication Equipment,99.0,91.0,96.0,98.0,36.34,34.0486,2699305.0,1781890.0,605.61,70.77,,82305204224.0,No,493.74,277.49,517.73,343.94
77,ARMG,33.05,1593915.0,ETF,ETF,99.0,98.0,99.0,99.0,3.9141,3.5177,1743648.0,2062860.0,38.06,4.63,,,No,15.16,10.99,18.04,10.98
83,LUNR,40.34,29577850.0,Industrials,Aerospace & Defense,99.0,98.0,99.0,99.0,5.0747,4.8536,14474856.0,18100220.0,45.52,7.78,,6472646144.0,No,26.05,16.48,28.53,19.79
91,VIAV,53.06,7119938.0,Technology,Communication Equipment,99.0,92.0,97.0,98.0,3.5613,3.4241,6571848.0,6273610.0,60.43,8.87,,13087906816.0,No,43.97,24.46,46.57,30.13
97,SLGL,73.8,,Healthcare,Biotechnology,99.0,17.0,8.0,96.0,5.8866,5.7317,,,,,,,No,73.8,52.87,75.19,63.29
107,LUNL,43.14,1957731.0,ETF,ETF,98.0,99.0,99.0,,9.3233,8.9803,665506.0,960750.0,55.0,8.65,,,No,21.65,,25.06,
123,SYRE,72.51,549636.0,Healthcare,Biotechnology,98.0,50.0,96.0,98.0,4.1714,4.0814,1111913.0,1029050.0,78.8,13.93,,6296859648.0,No,62.76,36.03,65.48,44.21
148,SATS,122.46,7085554.0,Communication Services,Telecom Services,98.0,49.0,84.0,95.0,7.9536,7.9193,6618228.0,7405660.0,147.25,14.9,,35490562048.0,No,123.64,96.16,125.74,110.31
159,SILC,47.06,,Technology,Communication Equipment,98.0,98.0,98.0,98.0,4.2693,4.0157,,,,,,,No,31.56,20.46,35.19,22.78
170,PENG,54.44,2218174.0,Technology,Information Technology Services,98.0,99.0,99.0,98.0,4.6104,4.2171,2088520.0,4178110.0,55.65,16.04,,2861374720.0,No,30.67,23.9,34.78,24.63
