Rank,Ticker,Price,Sector,Industry,Relative Strength Percentile,1 Month Ago Percentile,3 Months Ago Percentile,6 Months Ago Percentile
1,RGTI,15.65,Technology,Computer Hardware,99,99.0,99.0,
2,BSGM,5.18,Healthcare,Medical Devices,99,,92.0,72.0
3,NAKA,10.84,Healthcare,Medical Care Facilities,99,,94.0,7.0
4,TGEN,8.15,Industrials,Electrical Equipment & Parts,99,99.0,99.0,99.0
5,CRCL,190.18,Financial Services,Capital Markets,99,,99.0,99.0
6,PTIR,26.21,ETF,ETF,99,99.0,99.0,99.0
7,DRUG,32.37,Healthcare,Biotechnology,99,,,
8,DBVT,10.22,Healthcare,Biotechnology,99,99.0,,99.0
9,NEGG,34.03,Consumer Cyclical,Internet Retail,99,96.0,0.0,1.0
10,DGNX,56.28,Industrials,Consulting Services,99,99.0,,99.0
11,SBDS,16.29,n/a,n/a,99,3.0,0.0,1.0
12,BMNR,41.29,Financial Services,Capital Markets,99,1.0,99.0,99.0
13,MNPR,47.0,Healthcare,Biotechnology,99,99.0,99.0,
14,SEZL,144.12,Financial Services,Credit Services,99,99.0,99.0,99.0
15,TMC,7.89,Basic Materials,Other Industrial Metals & Mining,99,99.0,99.0,93.0
16,TSSI,28.53,Technology,Information Technology Services,99,99.0,99.0,
17,AEVA,22.77,Technology,Software - Infrastructure,99,,99.0,80.0
18,PRCH,13.19,Technology,Software - Application,99,99.0,99.0,97.0
19,MFI,26.29,Technology,Software - Application,99,,5.0,2.0
20,RKLX,95.11,ETF,ETF,99,99.0,97.0,99.0
21,SBET,22.86,Consumer Cyclical,Gambling,99,97.0,0.0,1.0
22,TDUP,8.05,Consumer Cyclical,Internet Retail,99,99.0,99.0,98.0
23,HOOX,102.54,ETF,ETF,99,99.0,91.0,99.0
24,GSRTR,7.14,n/a,n/a,99,99.0,98.0,87.0
25,ALMU,21.5,Technology,Semiconductors,99,99.0,99.0,98.0
26,HOOG,65.26,ETF,ETF,99,99.0,85.0,99.0
27,NEON,27.85,Technology,Electronic Components,99,99.0,99.0,99.0
28,QBTX,110.7,ETF,ETF,99,99.0,17.0,99.0
29,AREN,5.84,Communication Services,Internet Content & Information,99,99.0,99.0,96.0
30,DDC,17.25,Consumer Defensive,Packaged Foods,99,98.0,0.0,0.0
31,AMPX,8.15,Industrials,Electrical Equipment & Parts,99,99.0,93.0,97.0
32,PSIX,89.27,Industrials,Specialty Industrial Machinery,99,99.0,99.0,
33,ZEPP,11.52,Technology,Consumer Electronics,99,11.0,31.0,8.0
34,OKLO,74.63,Utilities,Utilities - Regulated Electric,99,99.0,97.0,99.0
35,NUTX,94.07,Healthcare,Medical Care Facilities,99,,,99.0
36,QNTM,22.75,Healthcare,Biotechnology,99,99.0,96.0,0.0
37,MB,14.45,Consumer Cyclical,Restaurants,99,98.0,13.0,99.0
38,CDTX,62.78,Healthcare,Biotechnology,99,99.0,97.0,93.0
39,UMAC,11.64,Technology,Computer Hardware,99,99.0,99.0,
40,RKLB,47.26,Industrials,Aerospace & Defense,99,99.0,99.0,99.0
41,LEU,245.1,Energy,Uranium,99,99.0,92.0,93.0
42,DAVE,209.82,Technology,Software - Application,99,99.0,99.0,99.0
43,NVTS,9.04,Technology,Semiconductors,99,99.0,3.0,10.0
44,VIGL,8.06,Healthcare,Biotechnology,99,99.0,6.0,3.0
45,AGFY,25.54,Industrials,Farm & Heavy Construction Machinery,99,99.0,99.0,99.0
46,VVPR,5.13,Technology,Solar,99,98.0,99.0,8.0
47,ATHE,6.04,Healthcare,Biotechnology,99,97.0,98.0,99.0
48,MP,62.96,Basic Materials,Other Industrial Metals & Mining,99,98.0,97.0,92.0
49,QSG,9.5,Consumer Defensive,Education & Training Services,99,99.0,99.0,7.0
50,RBLU,82.67,ETF,ETF,99,99.0,79.0,99.0
51,ROBN,61.46,ETF,ETF,99,99.0,5.0,
52,KC,15.55,Technology,Software - Application,99,99.0,99.0,99.0
53,BTM,5.17,Financial Services,Capital Markets,99,99.0,33.0,14.0
54,ARQQ,38.0,Technology,Software - Infrastructure,99,99.0,96.0,98.0
55,HYPD,8.28,Healthcare,Biotechnology,99,99.0,0.0,0.0
56,COIG,54.74,ETF,ETF,99,99.0,85.0,99.0
57,BBAI,7.6,Technology,Information Technology Services,99,99.0,98.0,99.0
58,SMR,50.47,Industrials,Specialty Industrial Machinery,99,99.0,96.0,99.0
59,DALN,14.76,Communication Services,Publishing,99,10.0,87.0,94.0
60,HOOD,103.1,Financial Services,Capital Markets,99,99.0,98.0,99.0
61,SGMT,10.63,Healthcare,Biotechnology,99,99.0,15.0,10.0
62,SDM,17.82,Communication Services,Advertising Agencies,99,95.0,99.0,99.0
63,PDYN,10.24,Technology,Software - Infrastructure,99,99.0,99.0,
64,CNVS,5.85,Communication Services,Entertainment,99,99.0,99.0,99.0
65,PLTR,159.22,Technology,Software - Infrastructure,99,99.0,99.0,99.0
66,OUST,27.33,Technology,Electronic Components,99,99.0,15.0,90.0
67,OCG,5.52,Consumer Cyclical,Internet Retail,99,99.0,99.0,13.0
68,TAOX,8.49,Technology,Software - Infrastructure,99,96.0,5.0,10.0
69,CRWV,115.43,Technology,Software - Infrastructure,99,99.0,83.0,99.0
70,BTCS,5.18,Financial Services,Capital Markets,99,94.0,54.0,98.0
71,MTEN,16.61,Industrials,Metal Fabrication,99,99.0,98.0,53.0
72,PGY,31.84,Technology,Software - Infrastructure,99,97.0,85.0,4.0
