IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,Gap (%),IPO,HVE
1,QMMM,119.4,Communication Services,Advertising Agencies,98.0,47.0,40.0,36.0,0.0,0.0,0.0,NO,NO
2,ZD,52.36,Communication Services,Advertising Agencies,90.0,85.0,84.0,92.0,1.7161,1.6686,0.0,NO,NO
3,ADV,37.93,Communication Services,Advertising Agencies,84.0,7.0,85.0,97.0,2.6036,2.5454,0.47,NO,NO
4,MGNI,19.09,Communication Services,Advertising Agencies,83.0,89.0,96.0,86.0,0.8493,0.8229,3.03,NO,NO
5,QNST,15.54,Communication Services,Advertising Agencies,61.0,94.0,89.0,63.0,0.7257,0.7186,0.0,NO,NO
1,SIF,26.15,Industrials,Aerospace & Defense,98.0,97.0,98.0,98.0,1.9028,1.8893,0.0,NO,NO
2,DCO,183.61,Industrials,Aerospace & Defense,95.0,85.0,94.0,96.0,6.9464,6.3936,0.78,NO,NO
3,ATRO,70.24,Industrials,Aerospace & Defense,95.0,3.0,90.0,79.0,3.0818,2.9704,0.0,NO,NO
4,PKE,36.08,Industrials,Aerospace & Defense,94.0,92.0,78.0,94.0,2.3057,2.0743,1.96,NO,NO
5,VVX,87.31,Industrials,Aerospace & Defense,93.0,96.0,95.0,87.0,2.9576,2.7634,0.0,NO,NO
1,CTVA,87.58,Basic Materials,Agricultural Inputs,82.0,84.0,80.0,85.0,1.9893,1.8939,0.0,NO,NO
2,CF,119.78,Basic Materials,Agricultural Inputs,81.0,92.0,35.0,89.0,4.2921,3.7143,0.0,NO,NO
3,SMG,69.86,Basic Materials,Agricultural Inputs,64.0,55.0,62.0,72.0,2.8094,2.6572,0.56,NO,NO
4,UAN,120.05,Basic Materials,Agricultural Inputs,64.0,88.0,12.0,42.0,3.0643,2.9943,0.0,NO,NO
5,NTR,67.4,Basic Materials,Agricultural Inputs,42.0,89.0,15.0,18.0,1.7129,1.4679,0.0,NO,NO
1,ALGT,99.14,Industrials,Airlines,92.0,7.0,92.0,73.0,5.2964,4.695,0.0,NO,NO
2,DAL,86.67,Industrials,Airlines,91.0,13.0,93.0,88.0,2.58,2.2371,0.0,NO,NO
3,UAL,120.57,Industrials,Airlines,87.0,7.0,94.0,73.0,4.7393,4.2786,0.0,NO,NO
4,LUV,45.38,Industrials,Airlines,84.0,5.0,86.0,63.0,1.6329,1.4893,0.0,NO,NO
5,SKYW,110.29,Industrials,Airlines,75.0,91.0,93.0,64.0,3.8807,3.3786,2.36,NO,NO
1,CAAP,26.24,Industrials,Airports & Air Services,77.0,61.0,66.0,16.0,0.7016,0.6826,1.51,NO,NO
2,OMAB,104.8,Industrials,Airports & Air Services,16.0,20.0,11.0,14.0,2.6686,2.5236,0.0,NO,NO
3,PAC,216.27,Industrials,Airports & Air Services,9.0,4.0,4.0,6.0,6.2707,6.2086,0.0,NO,NO
