Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume
479,IREN,45.73,28100823,Financial Services,Capital Markets,92.0,1.0,89.0,67.0,4.4684,4.4276,44943829.0,36830140.0,76.87,13.99,16342927360,NO,54.71,49.06,54.72,47.23,,1157,0.0,28100823,YES,NO,2026-05-11,112561500
504,VIK,104.67,1840844,Consumer Cyclical,Travel Services,92.0,90.0,91.0,90.0,3.73,3.4407,3218679.0,3260430.0,105.76,52.66,46699266048,NO,88.57,73.54,91.15,79.45,,542,0.0,1840844,NO,NO,2024-05-01,35017400
513,AIR,142.93,443342,Industrials,Aerospace & Defense,92.0,95.0,87.0,93.0,5.4239,5.1382,420795.0,644490.0,143.46,68.3,5683506688,NO,117.85,101.06,122.03,110.44,,11666,0.0,443342,NO,NO,2008-02-06,4345300
524,CLMT,36.02,627960,Basic Materials,Specialty Chemicals,92.0,61.0,32.0,95.0,1.4657,1.415,1001603.0,984670.0,38.75,12.94,3139040256,NO,33.61,25.67,34.02,28.78,,5138,0.0,627960,NO,NO,2016-04-18,11492600
530,ARKG,42.06,5403993,ETF,ETF,91.0,94.0,93.0,89.0,1.6871,1.4778,2986640.0,4999280.0,42.7,22.73,0,NO,32.72,30.16,34.15,30.71,,2931,0.0,5403993,NO,NO,2020-12-29,15040000
539,THYP,37.86,56980,ETF,ETF,91.0,28.0,,,2.8407,1.9849,385960.0,156160.0,44.12,22.54,0,NO,,,,,,34,0.0,56980,NO,NO,2026-05-21,1422400
546,AAON,126.86,911698,Industrials,Building Products & Equipment,91.0,9.0,92.0,93.0,7.1279,6.48,1093030.0,900240.0,150.46,62.0,10391319552,NO,123.92,99.33,129.37,102.26,,8441,0.71,911698,NO,NO,2000-01-28,30539405
553,WYFL,30.76,58901,ETF,ETF,91.0,,,,8.6486,8.3986,60870.0,96140.0,46.76,12.08,0,NO,,,,,,18,0.0,58901,NO,NO,2026-06-22,181200
581,PTGX,122.58,521742,Healthcare,Biotechnology,91.0,95.0,74.0,88.0,4.8293,4.7657,698382.0,1072660.0,126.59,49.38,7883288064,NO,104.79,89.67,106.31,95.98,,2484,0.56,521742,NO,NO,2021-10-11,45683600
583,MSBI,31.14,140665,Financial Services,Banks - Regional,91.0,88.0,88.0,91.0,0.8538,0.8395,164238.0,248760.0,31.48,14.24,645525952,NO,27.72,21.97,28.72,24.53,,2539,0.0,140665,NO,NO,2016-05-24,1775300
