Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
6,MGRT,83.93,14426.0,Technology,Information Technology Services,99.0,1.0,99.0,99.0,9.3614,9.0075,73841.0,8860.0,170.0,1.5,,1154037504,No,105.34,31.57,101.62,43.76
14,AXTI,92.44,11897744.0,Technology,Semiconductor Equipment & Materials,99.0,9.0,95.0,99.0,13.9779,13.2271,11673275.0,9756660.0,143.16,1.8,,6047719424,No,96.99,39.35,101.95,56.18
53,STX,1094.04,5326010.0,Technology,Computer Hardware,99.0,98.0,98.0,99.0,68.8007,61.6643,4035404.0,4322770.0,1145.0,130.92,,247528865792,No,772.65,426.43,852.66,534.32
121,STXX,79.65,108172.0,ETF,ETF,98.0,99.0,,,8.4703,7.816,108202.0,84780.0,86.89,22.23,,0,No,,,51.19,
129,STXL,64.48,388927.0,ETF,ETF,98.0,99.0,,,6.9991,6.0505,294305.0,219720.0,70.41,18.2,,0,No,,,41.59,
131,AMBQ,88.56,657873.0,Technology,Semiconductors,98.0,92.0,99.0,99.0,7.4939,7.1103,594059.0,718630.0,91.61,22.12,,1893036672,No,60.14,37.32,69.02,42.82
172,ATEX,77.02,429593.0,Communication Services,Telecom Services,98.0,96.0,97.0,99.0,6.4556,6.3217,391216.0,692450.0,88.12,17.58,,1456777216,No,57.35,33.91,63.6,41.64
183,SILC,44.96,106971.0,Technology,Communication Equipment,98.0,83.0,98.0,98.0,4.6782,4.5346,133062.0,155260.0,52.58,13.34,,256548144,No,39.47,22.84,42.78,26.46
213,NWPX,140.92,281166.0,Basic Materials,Steel,97.0,96.0,97.0,97.0,5.8557,5.7493,147645.0,153810.0,144.35,38.38,,1358047104,No,108.54,74.98,117.2,86.56
243,ARWR,82.0,1510230.0,Healthcare,Biotechnology,97.0,80.0,92.0,84.0,4.1116,4.0551,1779830.0,1692110.0,84.55,14.3,,11550275584,No,74.46,58.39,76.24,68.15
252,EWY,219.02,10598127.0,ETF,ETF,97.0,94.0,96.0,98.0,12.8957,8.9879,19545543.0,25278780.0,220.89,67.98,,0,No,179.42,123.64,188.44,142.86
258,AXGN,44.95,684346.0,Healthcare,Medical Devices,97.0,77.0,92.0,90.0,2.1514,2.0964,1089425.0,1557790.0,45.83,9.35,,2390343168,No,40.67,30.54,42.16,35.88
