SectorRank,Sector,LeaderRank,Ticker,Leader_Score,Setup_Type,Tightness,Setup_Price,Dist_52WH_%,ATR_%,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,IPO,Gap (%),HVE,SMA50,SMA200,SMA10W,SMA30W,Industry
2,Healthcare,1,VREX,97.98,Extended Near High,Very Tight,18.48,0.81,0.33,96.0,98.0,98.0,93.0,NO,0.0,NO,13.34,12.19,14.07,12.14,Medical Devices
2,Healthcare,2,PLSE,96.37,Near Breakout,Loose,52.42,3.62,5.78,98.0,97.0,98.0,98.0,NO,0.0,NO,35.89,23.33,38.76,28.01,Medical Instruments & Supplies
2,Healthcare,3,HALO,96.34,Extended Near High,Normal,107.71,1.78,2.52,95.0,96.0,97.0,94.0,NO,0.77,NO,87.6,73.44,92.25,76.0,Biotechnology
2,Healthcare,4,REPL,96.0,Near Breakout,Loose,15.56,3.65,6.29,97.0,97.0,98.0,97.0,NO,0.0,NO,11.91,8.46,12.68,8.79,Biotechnology
2,Healthcare,5,OMER,95.43,Near Breakout,Loose,18.73,4.68,6.36,97.0,98.0,98.0,95.0,NO,0.0,NO,12.83,11.91,13.86,12.29,Biotechnology
3,Energy,1,MPC,97.07,Extended Near High,Normal,378.33,0.74,2.82,96.0,94.0,97.0,96.0,NO,2.0,NO,311.25,237.95,324.93,265.12,Oil & Gas Refining & Marketing
3,Energy,2,DINO,96.38,Extended Near High,Normal,103.38,0.38,3.65,96.0,90.0,96.0,96.0,NO,1.16,NO,85.23,64.65,89.23,71.67,Oil & Gas Refining & Marketing
3,Energy,3,VLO,96.24,Extended Near High,Normal,360.85,1.11,2.88,96.0,92.0,96.0,95.0,NO,0.0,NO,305.51,235.94,317.09,263.63,Oil & Gas Refining & Marketing
3,Energy,4,TDW,95.51,Extended Near High,Normal,96.87,1.81,3.41,94.0,96.0,94.0,84.0,NO,0.0,NO,79.55,72.63,83.24,79.81,Oil & Gas Equipment & Services
3,Energy,5,CVI,94.56,Extended Near High,Loose,42.95,1.2,4.7,92.0,94.0,92.0,96.0,NO,0.0,NO,33.48,30.52,35.22,31.74,Oil & Gas Refining & Marketing
4,Basic Materials,1,FRD,91.48,Stage 2 Watch,Loose,44.18,9.41,5.79,97.0,96.0,98.0,97.0,NO,0.0,NO,37.69,24.78,39.11,27.7,Steel
4,Basic Materials,2,TX,90.47,Near Breakout,Normal,55.7,4.36,3.04,92.0,90.0,86.0,89.0,NO,0.0,NO,48.89,43.62,50.2,45.65,Steel
4,Basic Materials,3,SSRM,90.35,Stage 2 Watch,Loose,36.32,7.89,4.56,93.0,97.0,91.0,73.0,NO,0.0,NO,30.25,27.79,31.38,30.33,Gold
4,Basic Materials,4,MT,86.36,Near Breakout,Normal,73.37,3.37,2.87,93.0,77.0,69.0,77.0,NO,0.0,NO,68.44,58.63,70.02,63.56,Steel
4,Basic Materials,5,JHX,86.05,Pullback to 50D,Normal,28.42,9.37,2.96,90.0,85.0,93.0,83.0,NO,0.0,NO,27.41,22.94,27.93,23.97,Building Materials
5,Technology,1,RNG,97.49,Extended Near High,Loose,70.15,0.72,4.16,97.0,95.0,96.0,97.0,NO,0.56,NO,51.82,38.92,56.08,44.8,Software - Application
5,Technology,2,ZETA,96.71,Extended Near High,Loose,31.81,0.75,4.29,95.0,97.0,93.0,96.0,NO,0.0,NO,23.85,19.84,25.11,20.29,Software - Infrastructure
5,Technology,3,TEAM,94.87,Near Breakout,Loose,187.53,4.95,4.93,96.0,98.0,98.0,97.0,NO,0.0,NO,119.25,108.67,131.44,97.4,Software - Application
5,Technology,4,RDVT,94.26,Breakout Zone,Loose,75.94,0.32,4.02,93.0,86.0,94.0,96.0,NO,0.74,NO,66.57,52.05,68.26,52.76,Software - Application
5,Technology,5,FIVN,94.16,Near Breakout,Loose,33.83,3.81,5.01,95.0,95.0,94.0,97.0,NO,0.0,NO,27.4,20.99,29.34,22.34,Software - Infrastructure
