Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
1308,FSBC,40.73,82491.0,Financial Services,Banks - Regional,85.0,84.0,83.0,86.0,76961.0,73410.0,42.26,25.62,870650752.0,No
1328,IDYA,32.18,2115254.0,Healthcare,Biotechnology,85.0,5.0,18.0,80.0,1127378.0,2312100.0,39.28,15.84,2825855232.0,No
1330,DCOM,36.13,170197.0,Financial Services,Banks - Regional,85.0,87.0,90.0,83.0,297370.0,293930.0,36.86,24.41,1586319744.0,No
1344,DRIV,34.18,109694.0,ETF,ETF,84.0,85.0,72.0,78.0,48495.0,38390.0,34.29,18.84,,No
1346,GDS,42.9,756525.0,Technology,Information Technology Services,84.0,18.0,55.0,80.0,2056218.0,1147090.0,48.61,18.09,8596200448.0,No
1358,ETR,114.95,2522918.0,Utilities,Utilities - Regulated Electric,84.0,78.0,90.0,80.0,2815541.0,2492300.0,117.81,79.4,52623949824.0,No
1372,MEMX,43.74,540.0,ETF,ETF,84.0,77.0,84.0,82.0,5650.0,2950.0,45.35,27.15,,No
1405,CTEF,76.7,268.0,ETF,ETF,84.0,78.0,82.0,81.0,5371.0,2560.0,77.11,49.95,,No
1406,CCNE,30.5,108995.0,Financial Services,Banks - Regional,84.0,85.0,88.0,86.0,168541.0,170760.0,31.43,20.53,903874304.0,No
1411,DGRE,36.69,19066.0,ETF,ETF,84.0,80.0,85.0,84.0,39366.0,18190.0,37.28,23.91,,No
1414,AVXC,74.69,17906.0,ETF,ETF,84.0,79.0,84.0,82.0,43045.0,38220.0,76.42,47.38,,No
1428,ECH,43.94,737747.0,ETF,ETF,84.0,84.0,35.0,89.0,1164008.0,786020.0,47.85,29.28,,No
1434,WASH,35.61,143664.0,Financial Services,Banks - Regional,84.0,84.0,90.0,89.0,164576.0,181100.0,37.08,25.23,678012544.0,No
1444,DBJP,107.12,12366.0,ETF,ETF,83.0,63.0,75.0,83.0,29145.0,50380.0,109.09,67.98,,No
