Rank,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Health technology,96,88,98,96,SI
2,Healthcare,69,47,67,60,"ERAS,QTTB,FBRX,AGL,DMRA,SYRE,ALMS,ORKA,ANRO,DFTX,MBX,LQDA,RLAY,TWST,PRAX,CDNA,TXG,RVMD,DNTH,TNGX,SLGL,RLYB,PACS,KOD,ETON,NVCT,TRAX,PLSE,ELVN,APGE,BDSX,NBTX,LBRX,ARWR,CRNX,MANE,FTH,PVLA,TVTX,QURE,MNPR,SEPN,URGN,FBIOP,GH,COGT,CORT,EWTX,AMLX,GHRS,PTGX,RAPP,NEO,OBX,ANAB,ANIK,ROIV,BTSG,COAG,XNCR,KNSA,NRIX,BTSGU,ELMD,YARW,HNGE,AXGN,TRVI,IMVT,CGEM,JBIO,MCTA,CNC,CGON,NKTR,BCAX,ADPT,NHC,OSCR,KYMR,STRO,PARK,ELOX,GPCR,GKOS,JAZZ,RCUS,LGND,FTRE,SMTI,BWAY,ILMN,AMRX,AMN,DYN,SION,CLDX,ZBIO,HUM,MRNA,ALKS,ACHC,PGNY,BLFS,TCMD,ITGR,DCTH,KRYS,INBX,HAE,CRL,TGTX,APLM,XENE,SPRB,ANGO,PDEX,BAX,CON,IMNM,CTNM,NGNE,PNTG,CYTK,LNTH,NTRA,VTVT,MD,RIGL,UFPT,DNLI,GLUE,THC,AVBP,CUE,TEVA,IART,BLTE,PHVS,DRUG,ESTA,GRDN,SNDA,LIVN,VCYT,RPRX,SRRK,STOK,AXSM,TYRA,TECH,AZTA,ODTX,BRKR,BBIO,KIDS,VTRS,ICUI,VOR,DGX,MRK,UNH,TECX,AVTX,WST,DXCM,HALO,CAH,SPTX,LLY,NUTX,CHE,ABVX,NRC,HSIC,ACAD,BRKRP,SHC,SIBN,JNJ,IDYA,AMGN,CBIO,PCVX,CVS,SCTX,INCY,BIIB,ALMR,BMY,EXEL,IQV,BIO,MMED,MEDP,ATRC,VCEL,BDX,RGEN,SLP,ASTH,INDV,LH,HSTM,CSTL,ARQT,MMSI,KMTS,HQY,WGS,CNMD,HCSG,WRBY,DVA,RVTY,SRZN,NVCR,NVST,WAT,TFX,ELV,SNDX,PTHS,ABBV,EHC,UTHR,SDGR,ASND,HRMY,OMDA,SOLV,MIRM,TMO,PEN,ZYME,UTMD,VRTX,NBIX,MDGL,AUPH,REGN,MCK,AVLN,PCRX,A,NVS,PBLS,TNDM,COR,CELC,AKTS,RYTM,ELAN,ADUS,GMED,APMD,MAZE,VRDN,TARS,MOH,ARGX,CBLL,PTCT,ICLR,GSK,IRMD,ZBH,TBPH,BMRN,EW,IMCR,GMAB,TAK,RDNT,ATR,ALGN,COO,IRON,MLYS,PRPO,MLTX,INMD,MTD,VERA,BEAM,VEEV,ENSG,GRAL,BLCO,FMS,AGIO,ABT,STVN,ONC,INVA,DHR,HROW,ANIP,ENOV,VKTX,PFE,SYK,GEHC,GILD,STE,CI,BLLN,QGEN,MDT,USPH,LFMDP,ASMB,INSP,FLGT,NVO,MESO,SUPN,PRVA,QDEL,PHG,SGP,ALC,STAA,OPCH,HCA,INSM,RARE,OMCL,IDXX,AZN,CRSP,RMD,NAMS,UHS,JANX,KARD,HIMS,WAY,SNY,WW,ZLAB,IRTC,HTFL,SNN,BNTX,PBH,CAI,LMAT,PAHC,LKFT,CTEV,TMDX,MDLN,IONS,AMPH,SRPT,COLL,ISRG,TEM,KLRA,AORT,LEGN,QNCX,BSX,PODD,PRCT,AAPG,ZTS,ALNY,DOCS"
3,Energy,63,52,39,61,"FTK,FET,NGL,NESR,PBF,DK,OII,PBT,WTTR,VLO,EC,PARR,INSW,MPC,DINO,FRO,WKC,CMBT,WHD,PSX,NBR,CVE,EFXT,INVX,APA,TRGP,EQNR,TEN,FTI,LPG,HP,BWLP,LB,SUNC,WBI,NCSM,OVV,E,YPF,KGS,SUN,EE,DHT,PR,SU,PAGP,TNK,PAA,TDW,TBN,DKL,CNQ,IMO,PBR,WDS,SM,SOBO,NOV,XOM,XPRO,VIST,OXY,TTE,CHRD,VAL,REPX,TRMD,WES,PBA,STNG,KNTK,SLB,FANG,SMC,TS,BKR,EOG,OKE,SDRL,LNG,NGS,CQP,SHEL,MPLX,AROC,COP,TRP,ET,NE,NVGS,GLNG,EPD,AM,SEI,CVX,FLNG,DVN,APC,WMB,BP,VTOL,DTM,KMI,MUR,RNGR,HESM,CNR,EROK,PDS,CVI,WFRD,HAL,USAC,CAPL,ENB,FLOC,DMLP,GLP,RRC,CNX,AR,HMH,TPL,PNRG,MTDR,IMPPP,ARLP,WHK,VNOM,SBR,NFG,LBRT,CRC,MGY,TGS,NRP,BTU,EQT,NC,BKV,GEL,CCJ,EXE,GPOR,NOG,VTS,LEU"
4,Technology,62,56,57,67,"MGRT,AXTI,SNDK,MU,LITE,AEHR,CHRN,MXL,BLZE,AAOI,DELL,STX,ALOT,SAIH,WDC,ICHR,BAND,INTC,TSEM,PENG,OCC,SIMO,MEI,UCTT,VSAT,HPE,FSLY,MRVL,ASX,RTB,DOCN,SITM,VICR,PANW,LASR,RNG,UMC,VIAV,ALAB,CIEN,DGII,AMD,ALNT,AMBQ,UMAC,AMAT,COHR,SNOW,FORM,TER,AIP,NVEC,FTNT,SILC,ARM,NSIT,CRWD,FEIM,NTAP,IMOS,COHU,ACMR,OUST,KLIC,LRCX,NAVN,RELL,SMTC,OKTA,MKSI,AEVA,TSAT,FROG,DDOG,DAVE,QLYS,FLEX,TTMI,ONTO,CRDO,STM,GCT,OOMA,ARW,ADEA,VECO,VPG,TENB,AVT,LSCC,MITK,VSH,KN,MTSI,ASML,CCSI,CSCO,RDVT,PTRN,ZETA,GLW,MPTI,BELFB,KLAC,CIFR,RELY,BHE,PLXS,SNX,KEYS,DIOD,PAYC,ZBRA,PAY,PDFS,WATT,LFUS,MRAM,CGNX,CNXN,NTCT,CHYM,RAL,ANET,U,SCSC,FFIV,SHAZ,FLYW,VRNS,YOU,RAMP,CTS,ATEN,TWLO,GRMN,KARO,CEVA,ROG,CPAY,BELFA,OSPN,DBX,ACLS,RBRK,S,ENTG,INOD,APH,ESE,SLAB,FIVN,AMKR,MDB,NET,PLTS,TSM,JBL,INTA,AKAM,GRND,TXN,ACIW,EXTR,SANM,SAIC,ADI,ST,WEX,ADIG,NYAX,BRUN,HPQ,NOVTU,DJCO,INGM,IOT,SYNA,NOVT,AGYS,GEN,MLAB,WYFI,SHOP,P,MANH,PCTY,NATL,CACI,AAPL,IBEX,NTNX,SAIL,Q,ON,CVLT,AVGO,PRGS,BOX,DT,AMBA,APPN,IBTA,MPWR,BILL,PLUS,ALRM,ITRN,TDY,ADP,FN,PAYX,SWMR,TTAN,XYZ,CLMB,BKTI,ESTC,NVDA,ZM,MSI,VRSN,LYTS,ALGM,BSP,ENPH,GFS,KSPI,DBD,GTLB,PGY,MSFT,BRZE,CLBT,CAMT,QTWO,FTV,FSLR,DAKT,QRVO,RDWR,IDCC,BDC,SONO,CORZ,CDW,POWI,TOST,TDC,ALKT,PI,AOSL,WOLF,EVTC,ITRI,SSNC,WDAY,DFIN,LIF,AVNW,DOCU,LYFT,CLS,NXT,IT,CDNS,PLTR,PLAB,JKHY,GWRE,VHC,BLKB,SWKS,SONY,LOGI,APLD,ARQQ,EXLS,ROP,NOW,EFOR,SPSC,DSGX,MBGL,SMCIP,TEL,EEFT,UPBD,NTGR,OTEX,NVMI,G,QNT,CSQR,OSIS,WK,SEDG,ASTS,PCOR,NXPI,STRC,SAP,NN,TEAM,IPGP,GIB,APPF,MQ,QCOM,RMBS,MCHP,VNT,BMI,BSY,ADSK,NCNO,MCHPP,ACFN,PTC,IBM,STRF,DCBO,CTSH,IIIV,ADBE,CSIQ,CRUS,CRM,OCTV,BR,FIG,VIA,GDDY,ZS,SKHY,IONQ,UBER,NICE,ALMU,CHKP,LDOS,DUOL,TRMB,UI,SNPS,CNXC,KVYO,STRD,FICO,DOX,ACN,RGTI,FORTY,CLFD,PAYP,MNDY,FIS,GDS,PAR,TYL,FOUR,STRK,OLED,PSN,BL,CRWV,SMCI,CALX,PEGA,ORCL,QBTS,GLOB,EPAM,CBRS,HUBS,JKS,WIX,INTU,BLSH,ALIT,MSTR"
5,Financial Services,59,58,63,53,"MAAS,RACC,SEZL,HUT,ATLC,ENVA,ECPG,AAMI,LIFE,CCXIU,CARE,CCXI,MSBI,UFCS,PMTS,MRX,BFH,CIB,VCTR,SKWD,GCBC,AMAL,CBNA,PRCH,WULF,BOTJ,IX,PGC,BWFG,STT,SAFT,DGICB,CHMG,MBIN,UVE,WT,AMTB,ALRS,CFBK,PS,FNWD,HRTG,RBCAA,TWN,OPY,AGM,HBT,HFBL,CZFS,AMG,PFIS,PLGO,SMFG,VOYA,SMBK,IFS,HG,CMTV,WRLD,TRV,MUFG,THFF,SHBI,BNY,FBIZ,SRCE,TRST,AIZ,FISI,BPOP,KF,BMO,BBVA,PKBK,EZPW,CNO,CAC,ACNB,CBK,TMP,TD,ALL,CBC,RY,OSBC,ASIC,BAP,FMAO,PBAM,FVCB,INBK,PLBC,NP,VIRT,CTBI,FBP,BOW,FCAP,OBT,VBNK,OBK,RRBI,ATLO,BY,THG,WSFS,FRAF,UVSP,GSBC,ING,HSBC,PEBO,KINS,CCNE,EGBN,FNRN,FNLC,GL,KB,SNEX,SBFG,CM,DCOM,WASH,NTRS,PFG,FMBH,MET,SMBC,BNS,FXNC,SFST,IVZ,FRST,MKTW,JXN,PDLB,SHG,NIC,WSBC,UBS,STK,ESQ,TWFG,FCBC,WSBF,STBA,MCY,WTBA,PEBK,CPBI,GOLD,FSEA,RBB,TFSL,FUNC,BUSE,CIVB,TSBK,QCRH,LCNB,NKSH,CFG,FSBC,CPF,FDSB,BPRN,BEN,PBFS,MYFW,MS,BWIN,RIOT,SLF,MFC,MBWM,USCB,CATY,EIG,CNOB,AVBC,OFG,BCS,HBCP,FFBC,BSRR,CFR,EBC,CFFI,USB,PRK,CBNK,LARK,HMN,TFIN,MBBC,CCBG,AROW,MPB,MCBS,FCF,PCB,HQL,FULT,CNS,BSTZ,EBMT,BHB,FDBC,GABC,NBN,HQH,SRBK,CZNC,GS,NBTB,MTB,ACT,ITIC,NTB,PNC,FCCO,PRI,BAC,BWB,TCBK,NWBI,FITB,ORRF,HWBK,HTB,FRBA,NWG,FBLA,BLX,HNVR,BSAC,CBAN,ZION,C,UBSI,SLDE,WBS,GSHD,BFST,NWFL,PLMR,AVBH,BOKF,SEIC,FHI,LNC,CZWI,BVFL,NODK,SIGI,LOB,HWC,HBNC,NECB,PRU,EQBK,PFS,RGA,BCAL,MCHB,ECBK,SYBT,UNTY,UMBF,BHRB,CHCO,UNM,HAPN,HAFC,LSBK,COSO,SFNC,DBRG,PBHC,MVBF,CB,EWBC,AUB,HFWA,IBCP,CACC,WABC,FCFS,CEE,MRBK,NBBK,BCH,WTW,RNR,ISTR,EFSC,AFL,FBNC,AX,CNA,FMNB,TRMK,RF,PYPL,RCBC,ONB,WHG,CLST,BSVN,TCBX,ASB,BBT,JMSB,JPM,NMIH,EMF,BFC,BST,MCB,WAFD,EFSI,RLI,FCNCA,WF,SPNT,IOR,TBBK,AMP,RGT,COFS,CVBF,NRIM,FUSB,FAF,SPFI,VABK,PFBC,HCI,HASI,AFG,PRAA,HIPO,SFBS,IBKR,RNST,L,INDB,FGNXP,NFJ,GAIN,AFRM,CWBC,EVT,CINF,MTG,CUBI,SCHW,EQH,V,BMRC,RVI,BME,FBK,PNFP,MNSB,CRBG,KEY,ABCB,OPBK,SSB,PEO,DGICA,WTFC,ORI,CCD,OMF,FNB,SBCF,RYAN,HTH,PROV,BTO,NXG,ADX,FDS,HOMB,CAF,CBSH,RMBI,EG,GGZ,HYNE,RJF,IGIC,TROW,BANR,MIAX,UCB,CASH,DB,COLB,MGYR,OVBC,HIG,OVLY,AJG,FIBK,CBFV,BGR,FSUN,FRME,MA,BOH,BHF,CBU,TRIN,RVT,EMO,MRSH,SII,BMEZ,AON,TFC,CSWC,TOWN,WTM,ETG,UBCP,NCZ,FHN,ETO,AII,NBHC,GAM,GDV,MXF,ESNT,CSQ,ACGL,PB,FSBW,FGBIP,PJT,OZK,JCAP,GLRE,CET,SATA,BANC,SFBC,SYF,NCV,BKU,TCBS,SPXX,THQ,FFA,BCML,ALLY,JCE,QQQX,AIO,OCFC,AXS,STEW,BCAT,FDUS,SLM,ASA,TCBI,COF,FFIN,FHB,AUBN,BMA,ASGI,RMI,NDAQ,FRBT,IBOC,RDN,TY,SF,PFX,TBLD,WFC,WRB,VRTS,BBAR,BLK,CII,TRU,KNSL,BCV,UTF,SBSI,HBAN,AXP,HIFS,LCLN,ECCC,IBN,MBINL,NEWTP,EOT,PGR,SRV,JEF,CNOBP,BRO,SCD,APAM,MEGI,ISBA,MNSBP,ATLCP,GBCI,LGI,NPB,AIG,FRHC,ACV,NIE,MORN,ETB,MSBIP,RLTY,BAM,CRVL,NBXG,MBNKO,LKFN,OXLCO,BPYPM,MC,CBOE,OCCIN,NNI,MBINM,HTD,BUSEP,LPLA,OXLCN,EICA,GLU,CCID,SOR,CCNEP,MCO,FOA,EIIA,SPME,SLMBP,PDPA,OCCIM,TIPT,BANX,MKTX,SPMA,VALU,BMN,STC,ECAT,BTT,WSBCO,WAFDP,EFSCP,VLYPN,BUI,ONBPP,ONBPO,IREN,BWBBP,UMBFO,AGO,GUG,VLYPP,MSCI,WTFCN,PDX,MKL,WAL,GBLI,VLYPO,BANF,HBANL,FG,HTGC,FFC,SDHY,FNF,EOI,HOOD,HPI,HPF,FRMEP,ARCC,MBINN,ERIE,BNT,ARES,BBN,DFP,ETX,OZKAP,BX,APO,UTG,LDP,TCBIO,VEL,FLC,IGI,EVR,PSF,RNP,MAIN,BN,NBB,KLAR,PTA,EOS,ETOR,TPG,UNB,IIF,NPFD,GGAL,GLAD,MSDL,FPF,ACGLN,FULTP,ICE,ONIT,NTRSO,FCNCP,IOND,CME,ACGLO,JLS,HBANZ,KKR,PUK,TW,BXSL,FCNCO,HBANP,SIGIP,AB,TSLX,TYG,HBANM,LMND,SPGI,PIPR,PSUS,SOFI,CG,RM,XP,MPV,ZIONP,TRUP,PDI,HLNE,LAZ,STEP,MCI,XZO,XFLT,PWP,SAR,AMSF,HERZ,PFSI,AIFU,HLI,UPST,HDB,FIGR,KMPR,DXYZ,ROOT,BOT,GLXY,WD,BMNR,TREE,COIN,GBFH,FUTU,CRCL,GSIW,BETR,CCB,VCX"
6,Industrials,56,56,53,50,"DFNS,SIF,BUUU,FCEL,NCEW,BE,SMX,EDRY,CDNL,OESX,PKOH,ATI,PLPC,FA,KELYB,DCO,MAN,KFRC,TH,IESC,ATRO,ECO,SHIP,XMTR,TWIN,CXW,CRS,NVRI,HSHP,PRLB,AIRT,ARXS,AGX,PKE,GEO,AIR,PBI,GHM,PL,FIX,GRC,MATX,KELYA,UNF,MRCY,PESI,ARCB,DAL,RHI,SXI,EFTY,LIME,CBZ,DXPE,NSP,AEIS,ALGT,PAMT,NMM,UHAL,ESLT,ARMK,TKR,ATKR,FSTR,JBHT,ECG,DAC,VOYG,POWL,HLIO,SWK,HWM,WTS,TNET,CASS,TPC,CMPR,PRG,MSM,UAL,NVT,CAT,CVLG,ACA,RHLD,KNX,CSW,SNDR,WCC,HXL,ZIM,BXC,URI,FDX,VVX,NPO,ESOA,VRT,SBLK,GIC,TRNS,R,EXPD,WAB,ISSC,GEV,MG,CIX,PH,RTX,PWR,CSX,CMDB,CMCO,LGN,LUV,AIT,HURC,GFF,ESEA,GE,MEC,ENS,GNK,KFY,BRC,CNI,JCI,TFII,AAL,BLBD,HRI,AZZ,ODFL,MLI,LXFR,IEX,DSGR,GSL,DPC,CLH,CMI,UNP,ASC,NDSN,ADUR,GPN,MYRG,VSEC,XPO,PCAR,DLX,GWW,MMM,HEI,EML,MIDD,STRL,OC,SKYW,LSTR,AME,CR,EBF,TEX,LMT,ETN,WERN,GTES,AER,RCMT,ESP,RKLB,SNA,WWD,DY,LTM,TTC,NSC,CP,RXO,CPA,DE,GD,PHOE,DCI,FAST,DRS,APOG,FLS,FPS,NX,RJET,AYI,NPK,CW,ITW,HUBG,RBC,WSC,CMC,ALK,AADX,MSA,ABM,ITT,GHC,FELE,KEX,ULH,BKSY,ALLE,EMBJ,VMI,OTTR,VSECU,HURN,MDA,CTAS,IR,ROK,MAS,ZTO,CECO,SARO,SUNB,CAAP,CCEC,LOAR,HON,EMR,MATW,EME,LECO,HUBB,RYZ,FSS,KMT,DNOW,ZWS,MGRC,KAI,ICFI,TREX,WMS,NSSC,KRNT,KE,FTAI,CSL,ROCK,WM,IIIN,AXON,OSK,TISI,BCO,VLTO,UPS,TT,FBIN,CXT,J,OMAB,DOV,BA,GVA,REZI,CRAI,GNRC,FERG,TAYD,FTAIM,ARLO,TTEK,MWA,APG,AWI,FER,TATT,TRN,RRX,GATX,TXT,WCN,SPXC,FLR,POWWP,GFL,WOR,MTZ,BETA,TITN,HAYW,HII,RSG,GGG,PAM,SAIA,GBX,SEB,CDRE,CARR,HY,OFLX,CWST,CDLR,RGR,TDG,EXPO,EPAC,FDXF,ENR,AIRTP,VRSK,ELMT,LHX,AAON,RYAAY,DLB,NOC,CAE,LNN,CAR,AOS,RELX,CHRW,ULS,BBSI,KBR,TRC,TNC,PAC,AMTM,LPX,EFX,XYL,FCN,MAIR,GXO,ASTE,ALG,OTIS,TRI,AGCO,ASR,PPIH,JBTM,RBA,BAH,AERO,POOL,BBUC,ROAD,WLDN,CNM,ESAB,AMRC,FWRD,BWXT,RTO,KTOS,AVEX,KRMN,LII,MMS,HONA,WSO,QXO,INIO,PNR,FLY,SITE,EQPT,ACM,CPRT,AVAV,BWMN,STN,HAWK,BLDR,SPCX,AMSC,XE,PRIM,ATS,MIR,ONT,SYM,NNE,LMB,MFP,PSIX,WLFC"
7,Basic Materials,54,65,36,34,"HYMC,MTRN,FRD,AYA,CLMT,NWPX,PRM,MT,HBM,CGAU,KOP,ODC,NUE,RMIX,KALU,STLD,AUGO,ERO,TECK,SKE,ELVR,CLW,CSTM,FCX,SCCO,ASH,SIND,BHP,TX,SSRM,GPRE,AXTA,RS,NEU,HL,JHX,SCL,EGO,CENX,BVN,IAG,REX,ESI,NGVT,SXT,ARIS,SQM,RIO,HCC,B,CMT,KWR,AVNT,SA,DD,MEOH,AG,MTUS,CF,IOSP,UAN,IFF,CMP,CBT,BCPC,MTX,NEM,PAAS,FNV,AU,OGC,ACNT,BCC,WDFC,VHI,PPG,TFPM,EMN,WPM,APD,SHW,USLM,ECL,RPM,WFG,RGLD,LYB,SIM,IPI,LIN,CTVA,AA,ELE,ALB,SOLS,DOW,HMY,SSD,NTR,SMG,CDE,MUX,WS,KGC,USAU,WLKP,UFPI,FUL,AAUC,AEM,IDR,ASIX,EXP,AMRZ,TTAM,VMC,PPTA,DRD,GFI,OR,CC,SSMR,AGI,WLK,HWKN,AMR,CE,MOS,CRH,MLM,PKX,KNF,TGLS,USAR,SLVM,CMCL,OLN,CTGO,SMID,MSB,MP,IPX"
8,Consumer Cyclical,51,62,57,43,"VSXY,NDLS,LVLU,LIND,ANDG,CAKE,BJRI,MYE,FLXS,CTRN,VAC,MOV,ELA,CBRL,SN,EAT,GTX,HBB,BZH,KRT,RCKY,LTH,VIK,CALY,BDL,ESCA,FTDR,LOCO,LQDT,WEYS,CROX,SHOO,M,ROST,ETSY,EXPE,BOBS,MLKN,BSET,GEF,BWA,HOFT,DIN,W,CYD,JAKK,KMX,PRSU,JILL,LEGH,ANF,YETI,CASY,RUSHA,RUSHB,PAG,GCO,MGA,TPR,HVT,FIVE,HZO,PENN,VGNT,TILE,KSS,OPLN,WSM,SKY,BURL,HRB,GLBE,HNI,MGM,CZR,PLOW,GIII,LAD,THRM,TXRH,GM,MLR,CRI,BBY,RSI,SAH,MUSA,BH,LGIH,SON,IHG,TNL,INTG,MCRI,CCK,PKG,XPEL,CVEO,STRT,COOK,RGS,MAR,EBAY,PHIN,MHK,H,CVCO,RL,SBH,LZB,REYN,KTB,OSW,ABNB,LEVI,RH,RVLV,HOV,SW,RIVN,CART,BALL,ALSN,LOVE,RRR,MHO,RACE,BKNG,TJX,MCFT,HLT,SBUX,PRKS,ATMU,BC,AMCR,GOLF,PVH,AMZN,GPC,PII,URBN,TOL,ALH,DDS,HMC,HOG,DAN,CARG,RCL,DORM,JD,AEO,DRI,MTN,TRS,DOO,REF,DASH,SIG,BWMX,GRBK,JACK,SCI,IP,AAP,JMKE,PHM,MTH,HAS,AIN,VVV,AN,CHH,JOUT,HTHT,QSR,KBH,SMP,YUM,YUMC,HGV,ETD,BYD,AS,ALV,AVY,MOD,LEA,CCL,ABG,MBUU,SE,RICK,FND,WWW,MMYT,COLM,ULTA,HD,VIPS,DECK,SLGN,ORLY,GIL,GNTX,DHI,NATH,DPZ,ATAT,CMG,ONON,CPHC,VC,WH,NCLH,BROS,ZUMZ,CPS,MCD,BOOT,TM,CVNA,KEQU,LCII,OXM,EYE,DKS,NVR,BIRK,FOXF,WYNN,BBWI,CHDN,WINA,LOW,IBP,WGO,ASO,BABA,MELI,BFAM,GAP,BKE,CAVA,THO,AZO,LVS,CHWY,PDD,PATK,SHOE,TSLA,CSV,ADNT,LKQ,SGI,LEN,GME,LULU,TSCO,HSAI,TCOM,DKNG,KRUS,CPRI,NKE,BBW,CPNG,BGSI,GPI,FUN,SHAK,APTV,PZZA,ROL,FLUT,PLNT,WHR,WING,NEGG"
9,Communication Services,48,49,47,51,"QMMM,BBGI,ATEX,SPHR,STRZ,MCS,IRDM,NBIS,TIGO,GSAT,MGNI,LILAP,IMAX,MSGS,ATNI,MSGE,WLY,CNK,ROKU,WLYB,ZD,GRPN,SIFY,WPP,ECHO,SKM,SIRI,JOYY,IDT,OPRA,WBD,MANU,SCHL,GOOGL,GOOG,LYV,VOD,PSO,PPLI,LLYVK,EVER,LLYVA,VEON,NWSA,OMC,QNST,NWS,FWONA,BATRA,BATRK,FWONK,MTCH,VZ,AMX,NTES,TTWO,ATHM,TKO,FOXA,FOX,CHT,NYT,GRVY,VSNT,SPOT,NXST,RCI,DIS,PHI,BCE,CRTO,BZ,PINS,LBRDP,CMCSA,T,BIDU,KT,META,WMG,TMUS,YELP,RDDT,TDS,LFTO,LBRDA,LBRDK,ADV,TIMB,CHTR,NFLX,BILI,APP,GLIBA,GLIBK,AD,GIBO,ZG,Z,RBLX,TTD,CABO"
10,Real Estate,47,39,51,49,"CBL,PEB,NHP,XHR,NHPBP,OUT,NHPAP,FVR,APLE,HST,LXP,PSTL,RHP,CDP,WELL,LAMR,SEG,MAC,NREF,JAN,CTO,CURB,AHR,PINE,VTR,JLL,EQIX,SPG,CCS,HIW,DOC,VNO,SLG,SKT,MDV,AAT,BNL,IRM,FRT,CUZ,ALX,CTRE,OHI,EPR,PSA,IVT,FR,HR,KRG,KIM,TRNO,JOE,PECO,IIPR,SBRA,MMI,ESS,NNN,GTY,RMR,DEA,OLP,SAFE,EGP,FOR,NTST,PLD,BXP,LANDO,BRX,LTC,EXR,CUBE,INVH,CHCI,DLR,LANDP,AMH,ADAML,ADAMN,UHT,CPT,EQR,MLP,GOODN,VTMX,UE,XRN,UDR,WY,BPYPP,SMA,LINE,BFS,WHLRD,WPC,NLY,IRT,REG,ELS,AVB,O,ADC,BPYPO,KRC,AGNCM,AGNCL,AGNCP,AGNCN,MAA,AGNCO,AKR,NHI,AGNCZ,UMH,FCPT,BXDC,ADAMM,EPRT,REGCP,ADAMZ,MAYS,REGCO,STAG,RYN,CBRE,ARR,MRP,HHH,TCI,REXR,SUI,CHCT,GLPI,AXR,BEKE,AMT,FSV,FRPH,CSR,NMRK,ARE,VICI,SBAC,NEN,STRS,STWD,OZ,NXRT,CCI,CIGI,EUDA,CSGP,OPI"
