Rank,Ticker,Price,Sector,Industry,Relative Strength Percentile,1 Month Ago Percentile,3 Months Ago Percentile,6 Months Ago Percentile
1,TGEN,8.43,Industrials,Electrical Equipment & Parts,99,99.0,99.0,99.0
2,CRCL,190.68,Financial Services,Capital Markets,99,99.0,99.0,99.0
3,RGTI,14.14,Technology,Computer Hardware,99,99.0,99.0,
4,PTIR,25.83,ETF,ETF,99,99.0,,
5,NAKA,7.98,Healthcare,Medical Care Facilities,99,,97.0,7.0
6,DBVT,9.55,Healthcare,Biotechnology,99,,,99.0
7,SEZL,151.05,Financial Services,Credit Services,99,99.0,99.0,99.0
8,VAPE,35.49,Industrials,Farm & Heavy Construction Machinery,99,93.0,35.0,63.0
9,ALMU,24.01,Technology,Semiconductors,99,99.0,99.0,98.0
10,SBDS,15.53,Consumer Cyclical,Internet Retail,99,5.0,0.0,0.0
11,PRCH,12.76,Technology,Software - Application,99,99.0,99.0,98.0
12,AREN,6.25,Communication Services,Internet Content & Information,99,99.0,99.0,97.0
13,HOOX,108.67,ETF,ETF,99,99.0,87.0,99.0
14,RKLX,90.94,ETF,ETF,99,99.0,97.0,99.0
15,ZEPP,12.06,Technology,Consumer Electronics,99,16.0,18.0,15.0
16,BMNR,34.38,Financial Services,Capital Markets,99,99.0,99.0,99.0
17,DGNX,55.88,Industrials,Consulting Services,99,99.0,,99.0
18,TDUP,7.53,Consumer Cyclical,Internet Retail,99,99.0,99.0,99.0
19,GSRTR,6.79,n/a,n/a,99,99.0,98.0,62.0
20,TSSI,25.11,Technology,Information Technology Services,99,99.0,99.0,
21,HOOG,69.3,ETF,ETF,99,99.0,77.0,99.0
22,QNTM,22.71,Healthcare,Biotechnology,99,99.0,98.0,77.0
23,SUPX,23.41,Technology,Software - Infrastructure,99,98.0,99.0,7.0
24,SDM,24.51,Communication Services,Advertising Agencies,99,97.0,,99.0
25,OKLO,75.66,Utilities,Utilities - Regulated Electric,99,99.0,97.0,99.0
26,SBET,19.52,Consumer Cyclical,Gambling,99,96.0,1.0,0.0
27,AEVA,19.39,Technology,Software - Infrastructure,99,,99.0,71.0
28,DAVE,240.2,Technology,Software - Application,99,99.0,99.0,99.0
29,MB,14.38,Consumer Cyclical,Restaurants,99,98.0,10.0,99.0
30,AMPX,7.03,Industrials,Electrical Equipment & Parts,99,98.0,93.0,97.0
31,TMC,6.11,Basic Materials,Other Industrial Metals & Mining,99,99.0,99.0,95.0
32,PSIX,88.16,Industrials,Specialty Industrial Machinery,99,99.0,99.0,
33,MFI,22.0,Technology,Software - Application,99,,9.0,3.0
34,CDTX,61.79,Healthcare,Biotechnology,99,99.0,97.0,94.0
35,RKLB,46.44,Industrials,Aerospace & Defense,99,99.0,99.0,99.0
36,AGFY,24.86,Industrials,Farm & Heavy Construction Machinery,99,99.0,99.0,99.0
37,DDC,13.98,Consumer Defensive,Packaged Foods,99,98.0,0.0,0.0
38,YI,7.0,Healthcare,Medical Distribution,99,99.0,99.0,99.0
39,QBTX,85.95,ETF,ETF,99,99.0,80.0,99.0
40,MNPR,42.41,Healthcare,Biotechnology,99,99.0,,
41,LEU,224.43,Energy,Uranium,99,99.0,92.0,95.0
42,HYPD,7.88,Healthcare,Biotechnology,99,99.0,0.0,0.0
43,RBLU,87.68,ETF,ETF,99,99.0,95.0,99.0
44,NUTX,84.0,Healthcare,Medical Care Facilities,99,,,99.0
45,SMR,50.47,Industrials,Specialty Industrial Machinery,99,99.0,97.0,99.0
46,ROBN,64.92,ETF,ETF,99,99.0,3.0,63.0
47,MP,60.87,Basic Materials,Other Industrial Metals & Mining,99,97.0,96.0,94.0
48,AMUU,52.81,ETF,ETF,99,98.0,66.0,99.0
49,CELC,40.3,Healthcare,Biotechnology,99,51.0,7.0,5.0
50,DALN,14.8,Communication Services,Publishing,99,39.0,15.0,94.0
51,HOOD,106.1,Financial Services,Capital Markets,99,99.0,98.0,99.0
52,VIGL,8.05,Healthcare,Biotechnology,99,99.0,28.0,6.0
53,NEON,20.58,Technology,Electronic Components,99,99.0,99.0,99.0
54,COIG,51.7,ETF,ETF,99,99.0,80.0,99.0
55,UMAC,9.41,Technology,Computer Hardware,99,99.0,99.0,99.0
56,MCVT,6.24,Financial Services,Credit Services,99,12.0,3.0,76.0
57,NVTS,7.21,Technology,Semiconductors,99,99.0,4.0,11.0
58,CRDO,116.01,Technology,Semiconductors,99,98.0,97.0,99.0
59,QSG,8.52,Consumer Defensive,Education & Training Services,99,99.0,99.0,6.0
60,CNVS,5.31,Communication Services,Entertainment,99,99.0,99.0,99.0
61,BBAI,6.41,Technology,Information Technology Services,99,99.0,98.0,99.0
62,PLTR,158.61,Technology,Software - Infrastructure,99,99.0,99.0,99.0
63,ARQQ,33.34,Technology,Software - Infrastructure,99,99.0,98.0,98.0
64,EPSM,15.93,Consumer Defensive,Beverages - Wineries & Distilleries,99,99.0,98.0,99.0
65,CLS,202.47,Technology,Electronic Components,99,98.0,96.0,99.0
