Rank,Ticker,Price,Sector,Industry,Relative Strength Percentile,1 Month Ago Percentile,3 Months Ago Percentile,6 Months Ago Percentile
1,RGTI,14.46,Technology,Computer Hardware,99,99.0,99.0,
2,CRCL,181.63,Financial Services,Capital Markets,99,99.0,99.0,99.0
3,PTIR,25.08,ETF,ETF,99,99.0,99.0,
4,SY,5.0,Healthcare,Health Information Services,99,99.0,14.0,15.0
5,NAKA,8.41,Healthcare,Medical Care Facilities,99,,95.0,6.0
6,VAPE,40.98,Industrials,Farm & Heavy Construction Machinery,99,90.0,41.0,53.0
7,TGEN,7.43,Industrials,Electrical Equipment & Parts,99,99.0,99.0,99.0
8,DBVT,9.8,Healthcare,Biotechnology,99,99.0,,99.0
9,SBDS,15.75,Consumer Cyclical,Internet Retail,99,7.0,0.0,1.0
10,SEZL,142.36,Financial Services,Credit Services,99,,99.0,99.0
11,ZEPP,12.64,Technology,Consumer Electronics,99,13.0,36.0,17.0
12,PRCH,12.81,Technology,Software - Application,99,99.0,99.0,98.0
13,SBET,19.14,Consumer Cyclical,Gambling,99,97.0,1.0,1.0
14,GSRTR,6.72,n/a,n/a,99,99.0,98.0,81.0
15,TDUP,7.51,Consumer Cyclical,Internet Retail,99,99.0,99.0,99.0
16,AREN,5.93,Communication Services,Internet Content & Information,99,99.0,99.0,96.0
17,HOOX,103.31,ETF,ETF,99,99.0,79.0,99.0
18,AEVA,20.43,Technology,Software - Infrastructure,99,,99.0,67.0
19,ALMU,22.57,Technology,Semiconductors,99,99.0,99.0,98.0
20,MFI,24.7,Technology,Software - Application,99,,8.0,2.0
21,BMNR,31.98,Financial Services,Capital Markets,99,99.0,99.0,99.0
22,TMC,6.61,Basic Materials,Other Industrial Metals & Mining,99,99.0,99.0,94.0
23,HOOG,65.91,ETF,ETF,99,99.0,46.0,99.0
24,QNTM,22.44,Healthcare,Biotechnology,99,99.0,96.0,10.0
25,PSIX,88.15,Industrials,Specialty Industrial Machinery,99,99.0,99.0,
26,TSSI,23.69,Technology,Information Technology Services,99,99.0,99.0,
27,RKLX,80.96,ETF,ETF,99,99.0,96.0,99.0
28,AMPX,7.16,Industrials,Electrical Equipment & Parts,99,99.0,91.0,97.0
29,OKLO,71.01,Utilities,Utilities - Regulated Electric,99,99.0,97.0,99.0
30,CDTX,61.93,Healthcare,Biotechnology,99,99.0,97.0,94.0
31,QBTX,92.93,ETF,ETF,99,99.0,17.0,99.0
32,MB,14.18,Consumer Cyclical,Restaurants,99,98.0,12.0,99.0
33,DDC,15.01,Consumer Defensive,Packaged Foods,99,98.0,0.0,0.0
34,DAVE,220.23,Technology,Software - Application,99,99.0,99.0,99.0
35,HYPD,8.76,Healthcare,Biotechnology,99,99.0,0.0,0.0
36,AGFY,24.91,Industrials,Farm & Heavy Construction Machinery,99,99.0,99.0,99.0
37,NUTX,85.41,Healthcare,Medical Care Facilities,99,,,99.0
38,YI,6.99,Healthcare,Medical Distribution,99,99.0,99.0,
39,RKLB,43.78,Industrials,Aerospace & Defense,99,99.0,99.0,99.0
40,LEU,224.34,Energy,Uranium,99,99.0,90.0,92.0
41,SDM,21.9,Communication Services,Advertising Agencies,99,97.0,99.0,99.0
42,NEON,22.48,Technology,Electronic Components,99,99.0,99.0,99.0
43,MNPR,43.5,Healthcare,Biotechnology,99,99.0,,
44,MCVT,6.47,Financial Services,Credit Services,99,14.0,3.0,87.0
45,VIGL,8.06,Healthcare,Biotechnology,99,99.0,22.0,4.0
46,AMUU,51.55,ETF,ETF,99,98.0,49.0,99.0
47,ROBN,61.79,ETF,ETF,99,99.0,3.0,45.0
48,MP,60.31,Basic Materials,Other Industrial Metals & Mining,99,97.0,96.0,95.0
49,SMR,48.9,Industrials,Specialty Industrial Machinery,99,99.0,96.0,99.0
50,RBLU,78.6,ETF,ETF,99,99.0,89.0,99.0
51,NVTS,7.52,Technology,Semiconductors,99,99.0,2.0,10.0
52,DALN,14.81,Communication Services,Publishing,99,17.0,21.0,94.0
53,HOOD,103.32,Financial Services,Capital Markets,99,99.0,98.0,99.0
54,CELC,38.5,Healthcare,Biotechnology,99,66.0,10.0,5.0
55,UMAC,9.32,Technology,Computer Hardware,99,99.0,99.0,99.0
56,BTCS,5.05,Financial Services,Capital Markets,99,94.0,61.0,98.0
57,QSG,8.78,Consumer Defensive,Education & Training Services,99,99.0,99.0,8.0
58,CNVS,5.48,Communication Services,Entertainment,99,99.0,99.0,99.0
59,SUPX,16.12,Technology,Software - Infrastructure,99,97.0,99.0,11.0
60,OCG,5.07,Consumer Cyclical,Internet Retail,99,99.0,99.0,10.0
61,COIG,50.04,ETF,ETF,99,99.0,78.0,99.0
62,KC,13.95,Technology,Software - Application,99,99.0,99.0,99.0
63,PLTR,156.24,Technology,Software - Infrastructure,99,99.0,99.0,99.0
64,BBAI,6.61,Technology,Information Technology Services,99,99.0,98.0,99.0
65,TZUP,13.2,Communication Services,Advertising Agencies,99,97.0,95.0,2.0
66,ARQQ,34.06,Technology,Software - Infrastructure,99,99.0,97.0,99.0
67,CLS,202.1,Technology,Electronic Components,99,98.0,95.0,99.0
68,CRDO,109.38,Technology,Semiconductors,99,99.0,96.0,99.0
69,WHLRL,148.0,n/a,n/a,99,85.0,99.0,99.0
70,TNGX,6.45,Healthcare,Biotechnology,99,98.0,0.0,0.0
71,CRWV,108.74,Technology,Software - Infrastructure,99,99.0,88.0,99.0
72,OUST,23.22,Technology,Electronic Components,99,99.0,13.0,91.0
73,LAYS,44.63,ETF,ETF,99,97.0,21.0,99.0
74,ATHE,5.34,Healthcare,Biotechnology,99,97.0,98.0,99.0
75,PAYS,7.69,Technology,Software - Infrastructure,99,99.0,5.0,3.0
76,PGY,29.08,Technology,Software - Infrastructure,99,98.0,83.0,8.0
77,JOBY,16.89,Industrials,Airports & Air Services,99,97.0,73.0,94.0
78,HSAI,20.41,Consumer Cyclical,Auto Parts,99,99.0,99.0,99.0
79,VRNA,105.17,Healthcare,Biotechnology,99,99.0,99.0,99.0
80,GRRR,16.76,Technology,Software - Infrastructure,99,99.0,99.0,99.0
81,ONEG,5.67,Industrials,Engineering & Construction,99,99.0,6.0,3.0
82,OCFT,7.41,Technology,Software - Application,99,99.0,99.0,94.0
83,MTEN,13.9,Industrials,Metal Fabrication,99,98.0,98.0,69.0
84,PDYN,8.51,Technology,Software - Infrastructure,99,99.0,99.0,
85,BLBX,7.55,Technology,Software - Application,99,98.0,93.0,83.0
86,PRPO,14.45,Healthcare,Diagnostics & Research,99,98.0,79.0,72.0
87,EPSM,13.76,Consumer Defensive,Beverages - Wineries & Distilleries,98,99.0,98.0,98.0
88,ASTS,53.1,Technology,Communication Equipment,98,99.0,99.0,99.0
89,SGMT,9.25,Healthcare,Biotechnology,98,98.0,32.0,59.0
90,PLTU,79.25,ETF,ETF,98,98.0,98.0,97.0
91,VWAV,7.73,Industrials,Aerospace & Defense,98,98.0,99.0,98.0
92,YSG,8.98,Consumer Defensive,Household & Personal Products,98,99.0,90.0,9.0
93,MSGY,9.81,Industrials,Engineering & Construction,98,98.0,99.0,98.0
94,COMM,8.34,Technology,Communication Equipment,98,99.0,99.0,98.0
95,XGN,8.45,Healthcare,Diagnostics & Research,98,98.0,99.0,98.0
96,ADUR,11.47,Industrials,Pollution & Treatment Controls,98,97.0,74.0,90.0
97,CTEV,38.61,Healthcare,Health Information Services,98,99.0,96.0,93.0
98,AMDG,24.75,ETF,ETF,98,91.0,2.0,14.0
99,LTBR,13.66,Industrials,Electrical Equipment & Parts,98,99.0,99.0,98.0
100,BE,34.76,Industrials,Electrical Equipment & Parts,98,95.0,91.0,98.0
101,PHOE,7.65,Industrials,Engineering & Construction,98,99.0,8.0,98.0
102,TTMI,48.52,Technology,Electronic Components,98,98.0,91.0,90.0
